# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   5.623646e-01   9.900990e-03   5.696668e+00   0.000000e+00   3.120460e-01
      1   5.748646e-01   1.028074e-02   5.587493e+00   5.281370e-10   3.120460e-01
      2   5.873646e-01   1.066743e-02   5.482525e+00   1.009605e-09   3.120460e-01
      3   5.998646e-01   1.106107e-02   5.381521e+00   1.450564e-09   3.120460e-01
      4   6.123646e-01   1.146166e-02   5.284255e+00   1.856251e-09   3.120460e-01
      5   6.248646e-01   1.186918e-02   5.190521e+00   2.231149e-09   3.120460e-01
      6   6.373646e-01   1.228365e-02   5.100125e+00   2.579117e-09   3.120460e-01
      7   6.498646e-01   1.270507e-02   5.012889e+00   2.903487e-09   3.120460e-01
      8   6.623646e-01   1.313343e-02   4.928647e+00   3.207152e-09   3.120460e-01
      9   6.748646e-01   1.356873e-02   4.847246e+00   3.492623e-09   3.120460e-01
     10   6.873646e-01   1.401098e-02   4.768541e+00   3.762092e-09   3.120460e-01
     11   6.998646e-01   1.446018e-02   4.692398e+00   4.017473e-09   3.120460e-01
     12   7.123646e-01   1.491632e-02   4.618693e+00   4.260444e-09   3.120460e-01
     13   7.248646e-01   1.537940e-02   4.547307e+00   4.492480e-09   3.120460e-01
     14   7.373646e-01   1.584943e-02   4.478133e+00   4.714878e-09   3.120460e-01
     15   7.498646e-01   1.632640e-02   4.411067e+00   4.928781e-09   3.120460e-01
     16   7.623646e-01   1.681032e-02   4.346013e+00   5.135202e-09   3.120459e-01
     17   7.748646e-01   1.730118e-02   4.282880e+00   5.335035e-09   3.120459e-01
     18   7.873646e-01   1.779898e-02   4.221583e+00   5.529077e-09   3.120459e-01
     19   7.998646e-01   1.830374e-02   4.162042e+00   5.718033e-09   3.120459e-01
     20   8.123646e-01   1.881543e-02   4.104183e+00   5.902533e-09   3.120459e-01
     21   8.248646e-01   1.933408e-02   4.047933e+00   6.083138e-09   3.120459e-01
     22   8.373646e-01   1.985966e-02   3.993226e+00   6.260350e-09   3.120459e-01
     23   8.498646e-01   2.039220e-02   3.939999e+00   6.434617e-09   3.120459e-01
     24   8.623646e-01   2.093167e-02   3.888191e+00   6.606342e-09   3.120459e-01
     25   8.748646e-01   2.147810e-02   3.837745e+00   6.775886e-09   3.120459e-01
     26   8.873646e-01   2.203147e-02   3.788609e+00   6.943573e-09   3.120459e-01
     27   8.998646e-01   2.259178e-02   3.740731e+00   7.109697e-09   3.120459e-01
     28   9.123646e-01   2.315905e-02   3.694063e+00   7.274521e-09   3.120459e-01
     29   9.248646e-01   2.373325e-02   3.648560e+00   7.438283e-09   3.120459e-01
     30   9.373646e-01   2.431441e-02   3.604177e+00   7.601198e-09   3.120459e-01
     31   9.498646e-01   2.490251e-02   3.560874e+00   7.763461e-09   3.120459e-01
     32   9.623646e-01   2.549755e-02   3.518611e+00   7.925249e-09   3.120459e-01
     33   9.748646e-01   2.609955e-02   3.477350e+00   8.086722e-09   3.120459e-01
     34   9.873646e-01   2.670849e-02   3.437057e+00   8.248026e-09   3.120459e-01
