# power spectrum of phi
# redshift z=29.767710
# k              Pk             sigma(k)       sigma(Pk)      count
  9.713012e-03   4.526077e-10   2.406229e-03   4.329332e-11   146
  2.072432e-02   2.833319e-10   3.528511e-03   8.915637e-12   1042
  3.284725e-02   1.378039e-10   3.519819e-03   2.961600e-12   2698
  4.516399e-02   7.256568e-11   3.571852e-03   1.028809e-12   5206
  5.773095e-02   4.628409e-11   3.674394e-03   5.192629e-13   8752
  7.053126e-02   3.267412e-11   3.718866e-03   2.892614e-13   13258
  8.325183e-02   2.251867e-11   3.633038e-03   1.714838e-13   18070
  9.586244e-02   1.512724e-11   3.646001e-03   9.852756e-14   24050
  1.086731e-01   1.088263e-11   3.743375e-03   6.119072e-14   31720
  1.214673e-01   8.716108e-12   3.655693e-03   4.433507e-14   38722
  1.341503e-01   6.971080e-12   3.664149e-03   3.245791e-14   47398
  1.468737e-01   5.396709e-12   3.676840e-03   2.268696e-14   56986
  1.596345e-01   4.145108e-12   3.691904e-03   1.612851e-14   67552
  1.723758e-01   3.392798e-12   3.670421e-03   1.214733e-14   78310
  1.850973e-01   2.858281e-12   3.676755e-03   9.577472e-15   90514
  1.978078e-01   2.462640e-12   3.661019e-03   7.777936e-15   102938
  2.105352e-01   2.011777e-12   3.688328e-03   5.890701e-15   117412
  2.233038e-01   1.682081e-12   3.687633e-03   4.640867e-15   132106
  2.360543e-01   1.428879e-12   3.674616e-03   3.735480e-15   147154
  2.487863e-01   1.246137e-12   3.675727e-03   3.088278e-15   163522
  2.615607e-01   1.096782e-12   3.698362e-03   2.577735e-15   181804
  2.742948e-01   9.475272e-13   3.657995e-03   2.147854e-15   197722
  2.870326e-01   8.168819e-13   3.695982e-03   1.748107e-15   218866
  2.998036e-01   7.233732e-13   3.677083e-03   1.485884e-15   237542
  3.125403e-01   6.419017e-13   3.676719e-03   1.265415e-15   258136
  3.252883e-01   5.745930e-13   3.682574e-03   1.089282e-15   280066
  3.380302e-01   5.089654e-13   3.674707e-03   9.299509e-16   301774
  3.507809e-01   4.528657e-13   3.685866e-03   7.930054e-16   326050
  3.635453e-01   4.069242e-13   3.682723e-03   6.907181e-16   349792
  3.763059e-01   3.679339e-13   3.686387e-03   6.032013e-16   375154
  3.890549e-01   3.331734e-13   3.673994e-03   5.301375e-16   399742
  4.017814e-01   3.034704e-13   3.673301e-03   4.658222e-16   426266
  4.145262e-01   2.739639e-13   3.683104e-03   4.070920e-16   454960
  4.272780e-01   2.495681e-13   3.679614e-03   3.598213e-16   482734
  4.400302e-01   2.285128e-13   3.684412e-03   3.196669e-16   512746
  4.527916e-01   2.097315e-13   3.682552e-03   2.848234e-16   542746
  4.655520e-01   1.912642e-13   3.684426e-03   2.527765e-16   573952
  4.783045e-01   1.757047e-13   3.678870e-03   2.273514e-16   604918
  4.910489e-01   1.624508e-13   3.679488e-03   2.039122e-16   637666
  5.038054e-01   1.494720e-13   3.685840e-03   1.820899e-16   672482
  5.165640e-01   1.388973e-13   3.679909e-03   1.654371e-16   705748
  5.293052e-01   1.283828e-13   3.678052e-03   1.488734e-16   740482
  5.420630e-01   1.189107e-13   3.688653e-03   1.345643e-16   779026
  5.548129e-01   1.102381e-13   3.672495e-03   1.223034e-16   812614
  5.675646e-01   1.027312e-13   3.688923e-03   1.112915e-16   854200
  5.803275e-01   9.582780e-14   3.679836e-03   1.016516e-16   890746
  5.930743e-01   8.950955e-14   3.680017e-03   9.269849e-17   930394
  6.058234e-01   8.376044e-14   3.680076e-03   8.517257e-17   970982
  6.185756e-01   7.835019e-14   3.681715e-03   7.789216e-17   1012600
  6.313355e-01   7.340520e-14   3.685773e-03   7.159205e-17   1055890
  6.440885e-01   6.887389e-14   3.677546e-03   6.605724e-17   1096630
  6.568331e-01   6.454281e-14   3.679931e-03   6.047349e-17   1141378
  6.695858e-01   6.067078e-14   3.681602e-03   5.578274e-17   1186552
  6.823378e-01   5.716146e-14   3.681238e-03   5.159587e-17   1231798
  6.950926e-01   5.376541e-14   3.683520e-03   4.768753e-17   1279234
  7.078494e-01   5.077873e-14   3.681308e-03   4.419675e-17   1325906
  7.206034e-01   4.795575e-14   3.681998e-03   4.098188e-17   1374352
  7.333523e-01   4.523964e-14   3.678754e-03   3.800414e-17   1421950
  7.460986e-01   4.293126e-14   3.681438e-03   3.543303e-17   1472962
  7.588478e-01   4.055322e-14   3.678790e-03   3.290103e-17   1522954
  7.715908e-01   3.837160e-14   3.677970e-03   3.061283e-17   1573804
  7.843534e-01   3.641453e-14   3.691683e-03   2.851229e-17   1632274
  7.971185e-01   3.453888e-14   3.678939e-03   2.665977e-17   1680226
  8.098559e-01   3.276704e-14   3.674931e-03   2.496867e-17   1732682
  8.226044e-01   3.113030e-14   3.684362e-03   2.325533e-17   1792204
  8.353683e-01   2.964851e-14   3.685360e-03   2.180434e-17   1848298
  8.481180e-01   2.820098e-14   3.676906e-03   2.050063e-17   1901050
  8.608642e-01   2.683353e-14   3.681435e-03   1.916563e-17   1961326
  8.736200e-01   2.554124e-14   3.682643e-03   1.802192e-17   2020312
  8.863805e-01   2.439510e-14   3.684838e-03   1.693181e-17   2080930
  8.991420e-01   2.325127e-14   3.683140e-03   1.589250e-17   2140390
  9.118910e-01   2.221561e-14   3.677128e-03   1.502633e-17   2198162
  9.246418e-01   2.120674e-14   3.683722e-03   1.410371e-17   2263864
  9.374012e-01   2.028725e-14   3.683606e-03   1.331116e-17   2326426
  9.501557e-01   1.939238e-14   3.680653e-03   1.255163e-17   2388550
  9.629062e-01   1.852343e-14   3.680356e-03   1.181657e-17   2453098
  9.756546e-01   1.773909e-14   3.679357e-03   1.119119e-17   2517592
  9.884059e-01   1.702142e-14   3.683066e-03   1.061214e-17   2586070
  1.001159e+00   1.629766e-14   3.680738e-03   1.001158e-17   2651842
  1.013911e+00   1.562057e-14   3.680987e-03   9.455168e-18   2720330
  1.026668e+00   1.498723e-14   3.684024e-03   8.988922e-18   2791156
  1.039424e+00   1.438741e-14   3.681208e-03   8.522293e-18   2858554
  1.052176e+00   1.381005e-14   3.681647e-03   8.068489e-18   2929594
  1.064923e+00   1.326634e-14   3.678395e-03   7.658714e-18   2998762
  1.077674e+00   1.274121e-14   3.682468e-03   7.276215e-18   3074188
  1.090422e+00   1.226826e-14   3.678360e-03   6.918901e-18   3143482
  1.103180e+00   1.178909e-14   3.687908e-03   6.563784e-18   3226186
  1.115936e+00   1.134617e-14   3.676634e-03   6.269492e-18   3291158
  1.128688e+00   1.092282e-14   3.685737e-03   5.946595e-18   3375112
  1.141448e+00   1.052282e-14   3.681431e-03   5.670202e-18   3447658
  1.154199e+00   1.013510e-14   3.680732e-03   5.404088e-18   3524626
  1.166950e+00   9.763283e-15   3.680340e-03   5.151349e-18   3602998
  1.179695e+00   9.415577e-15   3.677316e-03   4.912653e-18   3678592
  1.192442e+00   9.077722e-15   3.682841e-03   4.677656e-18   3764122
  1.205202e+00   8.752905e-15   3.684112e-03   4.466798e-18   3846598
  1.217954e+00   8.458487e-15   3.678173e-03   4.270120e-18   3922250
  1.230710e+00   8.154694e-15   3.685590e-03   4.076326e-18   4013032
  1.243470e+00   7.878636e-15   3.681062e-03   3.893744e-18   4091182
  1.256219e+00   7.609402e-15   3.679790e-03   3.731034e-18   4174282
  1.268971e+00   7.354257e-15   3.681900e-03   3.565738e-18   4261978
  1.281726e+00   7.104137e-15   3.682600e-03   3.407937e-18   4348624
  1.294477e+00   6.875069e-15   3.679148e-03   3.267868e-18   4431430
  1.307227e+00   6.643455e-15   3.682586e-03   3.127755e-18   4523290
  1.319983e+00   6.433490e-15   3.681902e-03   2.999653e-18   4611386
  1.332735e+00   6.231169e-15   3.680296e-03   2.878556e-18   4698814
  1.345489e+00   6.029982e-15   3.683391e-03   2.755856e-18   4792984
  1.358246e+00   5.841479e-15   3.682510e-03   2.644222e-18   4883194
  1.370998e+00   5.648294e-15   3.679847e-03   2.536434e-18   4971694
  1.383751e+00   5.472347e-15   3.683258e-03   2.435672e-18   5069434
  1.396503e+00   5.310932e-15   3.679348e-03   2.340690e-18   5157736
  1.409253e+00   5.146590e-15   3.682013e-03   2.250815e-18   5256202
  1.422008e+00   4.989216e-15   3.682033e-03   2.160773e-18   5351990
  1.434759e+00   4.837908e-15   3.679659e-03   2.075093e-18   5444914
  1.447515e+00   4.695384e-15   3.684860e-03   1.993981e-18   5550088
  1.460276e+00   4.558051e-15   3.682696e-03   1.919154e-18   5644774
  1.473027e+00   4.423532e-15   3.679557e-03   1.848207e-18   5739034
  1.485777e+00   4.295608e-15   3.680933e-03   1.779397e-18   5841154
  1.498530e+00   4.169134e-15   3.681993e-03   1.710744e-18   5943448
  1.511286e+00   4.051285e-15   3.682434e-03   1.650259e-18   6045670
  1.524036e+00   3.939363e-15   3.679211e-03   1.590894e-18   6142586
  1.536786e+00   3.824529e-15   3.681853e-03   1.531157e-18   6250738
