# power spectrum of pi_k * H (dimensionless)
# redshift z=2.976793
# k              Pk             sigma(k)       sigma(Pk)      count
  9.713012e-03   2.043705e-10   2.406229e-03   1.954206e-11   146
  2.072432e-02   1.279341e-10   3.528511e-03   4.027234e-12   1042
  3.284725e-02   6.212073e-11   3.519819e-03   1.335365e-12   2698
  4.516399e-02   3.264798e-11   3.571852e-03   4.622431e-13   5206
  5.773095e-02   2.075498e-11   3.674394e-03   2.323849e-13   8752
  7.053126e-02   1.459638e-11   3.718866e-03   1.295778e-13   13258
  8.325183e-02   1.004109e-11   3.633038e-03   7.655186e-14   18070
  9.586244e-02   6.725746e-12   3.646001e-03   4.386466e-14   24050
  1.086731e-01   4.825033e-12   3.743375e-03   2.715954e-14   31720
  1.214673e-01   3.839448e-12   3.655693e-03   1.953076e-14   38722
  1.341503e-01   3.050987e-12   3.664149e-03   1.418800e-14   47398
  1.468737e-01   2.352816e-12   3.676840e-03   9.886254e-15   56986
  1.596345e-01   1.803409e-12   3.691904e-03   7.014934e-15   67552
  1.723758e-01   1.465840e-12   3.670421e-03   5.242698e-15   78310
  1.850973e-01   1.225968e-12   3.676755e-03   4.110754e-15   90514
  1.978078e-01   1.046845e-12   3.661019e-03   3.306204e-15   102938
  2.105352e-01   8.491845e-13   3.688328e-03   2.488799e-15   117412
  2.233038e-01   7.056253e-13   3.687633e-03   1.947659e-15   132106
  2.360543e-01   5.950175e-13   3.674616e-03   1.552621e-15   147154
  2.487863e-01   5.140579e-13   3.675727e-03   1.275024e-15   163522
  2.615607e-01   4.484506e-13   3.698362e-03   1.056777e-15   181804
  2.742948e-01   3.833874e-13   3.657995e-03   8.697314e-16   197722
  2.870326e-01   3.278098e-13   3.695982e-03   7.030609e-16   218866
  2.998036e-01   2.870840e-13   3.677083e-03   5.908465e-16   237542
  3.125403e-01   2.514508e-13   3.676719e-03   4.961153e-16   258136
  3.252883e-01   2.221678e-13   3.682574e-03   4.213767e-16   280066
  3.380302e-01   1.947059e-13   3.674707e-03   3.555963e-16   301774
  3.507809e-01   1.713375e-13   3.685866e-03   3.006728e-16   326050
  3.635453e-01   1.523330e-13   3.682723e-03   2.584090e-16   349792
  3.763059e-01   1.357419e-13   3.686387e-03   2.225218e-16   375154
  3.890549e-01   1.213064e-13   3.673994e-03   1.927595e-16   399742
  4.017814e-01   1.088121e-13   3.673301e-03   1.675184e-16   426266
  4.145262e-01   9.669761e-14   3.683104e-03   1.438348e-16   454960
  4.272780e-01   8.708080e-14   3.679614e-03   1.255098e-16   482734
