# power spectrum of phi_prime/H (dimensionless)
# redshift z=1.983194
# k              Pk             sigma(k)       sigma(Pk)      count
  9.713012e-03   1.509935e-12   2.406229e-03   1.459837e-13   146
  2.072432e-02   1.016685e-12   3.528511e-03   3.112802e-14   1042
  3.284725e-02   6.987788e-13   3.519819e-03   1.424584e-14   2698
  4.516399e-02   5.906976e-13   3.571852e-03   8.442087e-15   5206
  5.773095e-02   5.855544e-13   3.674394e-03   6.249215e-15   8752
  7.053126e-02   6.088017e-13   3.718866e-03   5.329295e-15   13258
  8.325183e-02   6.156548e-13   3.633038e-03   4.611234e-15   18070
  9.586244e-02   6.020956e-13   3.646001e-03   3.895187e-15   24050
  1.086731e-01   5.859109e-13   3.743375e-03   3.306993e-15   31720
  1.214673e-01   5.922336e-13   3.655693e-03   2.980287e-15   38722
  1.341503e-01   5.763092e-13   3.664149e-03   2.662313e-15   47398
  1.468737e-01   5.629467e-13   3.676840e-03   2.356682e-15   56986
  1.596345e-01   5.396230e-13   3.691904e-03   2.080276e-15   67552
  1.723758e-01   5.306274e-13   3.670421e-03   1.898538e-15   78310
  1.850973e-01   5.145661e-13   3.676755e-03   1.713059e-15   90514
  1.978078e-01   5.087518e-13   3.661019e-03   1.591026e-15   102938
  2.105352e-01   4.903458e-13   3.688328e-03   1.436288e-15   117412
  2.233038e-01   4.732551e-13   3.687633e-03   1.297747e-15   132106
  2.360543e-01   4.547989e-13   3.674616e-03   1.186595e-15   147154
  2.487863e-01   4.470658e-13   3.675727e-03   1.099423e-15   163522
  2.615607e-01   4.338422e-13   3.698362e-03   1.024056e-15   181804
  2.742948e-01   4.212725e-13   3.657995e-03   9.478832e-16   197722
  2.870326e-01   4.081318e-13   3.695982e-03   8.736437e-16   218866
  2.998036e-01   3.995189e-13   3.677083e-03   8.199895e-16   237542
  3.125403e-01   3.895741e-13   3.676719e-03   7.657155e-16   258136
  3.252883e-01   3.811573e-13   3.682574e-03   7.203912e-16   280066
  3.380302e-01   3.703693e-13   3.674707e-03   6.738641e-16   301774
  3.507809e-01   3.602368e-13   3.685866e-03   6.308279e-16   326050
  3.635453e-01   3.528367e-13   3.682723e-03   5.950610e-16   349792
  3.763059e-01   3.447716e-13   3.686387e-03   5.636580e-16   375154
  3.890549e-01   3.381429e-13   3.673994e-03   5.337898e-16   399742
  4.017814e-01   3.315123e-13   3.673301e-03   5.069080e-16   426266
  4.145262e-01   3.244651e-13   3.683104e-03   4.799574e-16   454960
  4.272780e-01   3.166452e-13   3.679614e-03   4.560103e-16   482734
  4.400302e-01   3.101286e-13   3.684412e-03   4.327098e-16   512746
  4.527916e-01   3.065952e-13   3.682552e-03   4.164930e-16   542746
  4.655520e-01   3.006044e-13   3.684426e-03   3.969002e-16   573952
  4.783045e-01   2.944182e-13   3.678870e-03   3.780882e-16   604918
  4.910489e-01   2.904565e-13   3.679488e-03   3.641105e-16   637666
  5.038054e-01   2.849616e-13   3.685840e-03   3.477964e-16   672482
  5.165640e-01   2.811629e-13   3.679909e-03   3.346027e-16   705748
  5.293052e-01   2.760925e-13   3.678052e-03   3.213877e-16   740482
  5.420630e-01   2.732501e-13   3.688653e-03   3.096319e-16   779026
  5.548129e-01   2.683611e-13   3.672495e-03   2.984032e-16   812614
  5.675646e-01   2.636827e-13   3.688923e-03   2.861417e-16   854200
  5.803275e-01   2.595917e-13   3.679836e-03   2.746464e-16   890746
  5.930743e-01   2.569311e-13   3.680017e-03   2.662187e-16   930394
  6.058234e-01   2.534124e-13   3.680076e-03   2.575951e-16   970982
  6.185756e-01   2.497459e-13   3.681715e-03   2.481589e-16   1012600
  6.313355e-01   2.470801e-13   3.685773e-03   2.405318e-16   1055890
  6.440885e-01   2.444967e-13   3.677546e-03   2.336417e-16   1096630
  6.568331e-01   2.408518e-13   3.679931e-03   2.250768e-16   1141378
  6.695858e-01   2.375658e-13   3.681602e-03   2.185861e-16   1186552
  6.823378e-01   2.357004e-13   3.681238e-03   2.125972e-16   1231798
  6.950926e-01   2.327586e-13   3.683520e-03   2.060684e-16   1279234
  7.078494e-01   2.300111e-13   3.681308e-03   2.000776e-16   1325906
  7.206034e-01   2.271327e-13   3.681998e-03   1.940640e-16   1374352
  7.333523e-01   2.251044e-13   3.678754e-03   1.890724e-16   1421950
  7.460986e-01   2.231820e-13   3.681438e-03   1.836025e-16   1472962
  7.588478e-01   2.209605e-13   3.678790e-03   1.789623e-16   1522954
  7.715908e-01   2.191769e-13   3.677970e-03   1.749424e-16   1573804
  7.843534e-01   2.166799e-13   3.691683e-03   1.696778e-16   1632274
  7.971185e-01   2.146697e-13   3.678939e-03   1.654974e-16   1680226
  8.098559e-01   2.122640e-13   3.674931e-03   1.613626e-16   1732682
  8.226044e-01   2.106340e-13   3.684362e-03   1.574969e-16   1792204
  8.353683e-01   2.092033e-13   3.685360e-03   1.539631e-16   1848298
  8.481180e-01   2.073708e-13   3.676906e-03   1.502716e-16   1901050
  8.608642e-01   2.054470e-13   3.681435e-03   1.468730e-16   1961326
  8.736200e-01   2.034080e-13   3.682643e-03   1.431483e-16   2020312
  8.863805e-01   2.022157e-13   3.684838e-03   1.403785e-16   2080930
  8.991420e-01   2.005099e-13   3.683140e-03   1.370415e-16   2140390
  9.118910e-01   1.989693e-13   3.677128e-03   1.343898e-16   2198162
  9.246418e-01   1.974888e-13   3.683722e-03   1.313033e-16   2263864
  9.374012e-01   1.962053e-13   3.683606e-03   1.286221e-16   2326426
  9.501557e-01   1.949894e-13   3.680653e-03   1.263190e-16   2388550
  9.629062e-01   1.932041e-13   3.680356e-03   1.234490e-16   2453098
  9.756546e-01   1.914826e-13   3.679357e-03   1.205822e-16   2517592
  9.884059e-01   1.905125e-13   3.683066e-03   1.185506e-16   2586070
  1.001159e+00   1.890425e-13   3.680738e-03   1.163652e-16   2651842
  1.013911e+00   1.877552e-13   3.680987e-03   1.138636e-16   2720330
  1.026668e+00   1.868326e-13   3.684024e-03   1.119052e-16   2791156
  1.039424e+00   1.853055e-13   3.681208e-03   1.096829e-16   2858554
  1.052176e+00   1.841703e-13   3.681647e-03   1.076391e-16   2929594
  1.064923e+00   1.833035e-13   3.678395e-03   1.059883e-16   2998762
  1.077674e+00   1.820444e-13   3.682468e-03   1.038877e-16   3074188
  1.090422e+00   1.810962e-13   3.678360e-03   1.021803e-16   3143482
  1.103180e+00   1.798007e-13   3.687908e-03   1.001711e-16   3226186
  1.115936e+00   1.788096e-13   3.676634e-03   9.860588e-17   3291158
  1.128688e+00   1.781747e-13   3.685737e-03   9.692883e-17   3375112
  1.141448e+00   1.770243e-13   3.681431e-03   9.545229e-17   3447658
  1.154199e+00   1.759051e-13   3.680732e-03   9.382810e-17   3524626
  1.166950e+00   1.749417e-13   3.680340e-03   9.239054e-17   3602998
  1.179695e+00   1.742601e-13   3.677316e-03   9.087921e-17   3678592
  1.192442e+00   1.730349e-13   3.682841e-03   8.920191e-17   3764122
  1.205202e+00   1.720684e-13   3.684112e-03   8.776958e-17   3846598
  1.217954e+00   1.714200e-13   3.678173e-03   8.662352e-17   3922250
  1.230710e+00   1.705125e-13   3.685590e-03   8.525450e-17   4013032
  1.243470e+00   1.697608e-13   3.681062e-03   8.404186e-17   4091182
  1.256219e+00   1.688429e-13   3.679790e-03   8.262597e-17   4174282
  1.268971e+00   1.681599e-13   3.681900e-03   8.142160e-17   4261978
  1.281726e+00   1.673666e-13   3.682600e-03   8.037902e-17   4348624
  1.294477e+00   1.665795e-13   3.679148e-03   7.918208e-17   4431430
  1.307227e+00   1.659582e-13   3.682586e-03   7.808249e-17   4523290
  1.319983e+00   1.650437e-13   3.681902e-03   7.694655e-17   4611386
  1.332735e+00   1.642414e-13   3.680296e-03   7.579981e-17   4698814
  1.345489e+00   1.634276e-13   3.683391e-03   7.466251e-17   4792984
  1.358246e+00   1.629417e-13   3.682510e-03   7.377030e-17   4883194
  1.370998e+00   1.620874e-13   3.679847e-03   7.275367e-17   4971694
  1.383751e+00   1.615773e-13   3.683258e-03   7.183308e-17   5069434
  1.396503e+00   1.606438e-13   3.679348e-03   7.075104e-17   5157736
