# power spectrum of zeta (dimensionless)
# redshift z=0.994293
# k              Pk             sigma(k)       sigma(Pk)      count
  9.713012e-03   2.734219e-17   2.406229e-03   3.251120e-18   146
  2.072432e-02   2.746699e-16   3.528511e-03   9.742274e-18   1042
  3.284725e-02   7.908655e-16   3.519819e-03   1.599452e-17   2698
  4.516399e-02   1.521686e-15   3.571852e-03   2.158482e-17   5206
  5.773095e-02   2.596754e-15   3.674394e-03   2.921618e-17   8752
  7.053126e-02   4.029580e-15   3.718866e-03   3.558431e-17   13258
  8.325183e-02   5.378564e-15   3.633038e-03   4.045167e-17   18070
  9.586244e-02   6.331064e-15   3.646001e-03   4.095752e-17   24050
  1.086731e-01   7.525142e-15   3.743375e-03   4.242644e-17   31720
  1.214673e-01   9.316477e-15   3.655693e-03   4.720405e-17   38722
  1.341503e-01   1.096642e-14   3.664149e-03   5.072461e-17   47398
  1.468737e-01   1.210718e-14   3.676840e-03   5.053778e-17   56986
  1.596345e-01   1.296777e-14   3.691904e-03   5.024060e-17   67552
  1.723758e-01   1.430446e-14   3.670421e-03   5.109274e-17   78310
  1.850973e-01   1.582847e-14   3.676755e-03   5.304193e-17   90514
  1.978078e-01   1.752702e-14   3.661019e-03   5.513153e-17   102938
  2.105352e-01   1.818074e-14   3.688328e-03   5.315823e-17   117412
  2.233038e-01   1.906540e-14   3.687633e-03   5.247467e-17   132106
  2.360543e-01   2.002500e-14   3.674616e-03   5.209949e-17   147154
  2.487863e-01   2.122658e-14   3.675727e-03   5.254313e-17   163522
  2.615607e-01   2.250560e-14   3.698362e-03   5.300263e-17   181804
  2.742948e-01   2.316094e-14   3.657995e-03   5.244726e-17   197722
  2.870326e-01   2.367646e-14   3.695982e-03   5.076258e-17   218866
  2.998036e-01   2.452992e-14   3.677083e-03   5.040018e-17   237542
  3.125403e-01   2.520486e-14   3.676719e-03   4.966409e-17   258136
  3.252883e-01   2.592905e-14   3.682574e-03   4.918541e-17   280066
  3.380302e-01   2.642466e-14   3.674707e-03   4.809855e-17   301774
  3.507809e-01   2.680508e-14   3.685866e-03   4.706007e-17   326050
  3.635453e-01   2.733940e-14   3.682723e-03   4.625293e-17   349792
  3.763059e-01   2.779393e-14   3.686387e-03   4.557278e-17   375154
