# power spectrum of zeta (dimensionless)
# redshift z=-0.006086
# k              Pk             sigma(k)       sigma(Pk)      count
  9.713012e-03   4.448711e-17   2.406229e-03   5.276074e-18   146
  2.072432e-02   4.434726e-16   3.528511e-03   1.573789e-17   1042
  3.284725e-02   1.271343e-15   3.519819e-03   2.573916e-17   2698
  4.516399e-02   2.437493e-15   3.571852e-03   3.451932e-17   5206
  5.773095e-02   4.136074e-15   3.674394e-03   4.639690e-17   8752
  7.053126e-02   6.378427e-15   3.718866e-03   5.647936e-17   13258
  8.325183e-02   8.490931e-15   3.633038e-03   6.397197e-17   18070
  9.586244e-02   9.977672e-15   3.646001e-03   6.465021e-17   24050
  1.086731e-01   1.183766e-14   3.743375e-03   6.672124e-17   31720
  1.214673e-01   1.451851e-14   3.655693e-03   7.357655e-17   38722
  1.341503e-01   1.692737e-14   3.664149e-03   7.809802e-17   47398
  1.468737e-01   1.865772e-14   3.676840e-03   7.790760e-17   56986
  1.596345e-01   2.001283e-14   3.691904e-03   7.758320e-17   67552
  1.723758e-01   2.197403e-14   3.670421e-03   7.837529e-17   78310
  1.850973e-01   2.404539e-14   3.676755e-03   8.059514e-17   90514
  1.978078e-01   2.639292e-14   3.661019e-03   8.280750e-17   102938
  2.105352e-01   2.726274e-14   3.688328e-03   7.969543e-17   117412
  2.233038e-01   2.850293e-14   3.687633e-03   7.846869e-17   132106
  2.360543e-01   2.979633e-14   3.674616e-03   7.753580e-17   147154
  2.487863e-01   3.128410e-14   3.675727e-03   7.739363e-17   163522
  2.615607e-01   3.285909e-14   3.698362e-03   7.736832e-17   181804
  2.742948e-01   3.364823e-14   3.657995e-03   7.613863e-17   197722
  2.870326e-01   3.436481e-14   3.695982e-03   7.372847e-17   218866
  2.998036e-01   3.529418e-14   3.677083e-03   7.263141e-17   237542
  3.125403e-01   3.593886e-14   3.676719e-03   7.077671e-17   258136
  3.252883e-01   3.658910e-14   3.682574e-03   6.961444e-17   280066
  3.380302e-01   3.725032e-14   3.674707e-03   6.741660e-17   301774
  3.507809e-01   3.755301e-14   3.685866e-03   6.587427e-17   326050
  3.635453e-01   3.804594e-14   3.682723e-03   6.434678e-17   349792
  3.763059e-01   3.843933e-14   3.686387e-03   6.284003e-17   375154
  3.890549e-01   3.872264e-14   3.673994e-03   6.130291e-17   399742
  4.017814e-01   3.890399e-14   3.673301e-03   5.968642e-17   426266
  4.145262e-01   3.900987e-14   3.683104e-03   5.783232e-17   454960
  4.272780e-01   3.921700e-14   3.679614e-03   5.636765e-17   482734
  4.400302e-01   3.913835e-14   3.684412e-03   5.477347e-17   512746
  4.527916e-01   3.926300e-14   3.682552e-03   5.322488e-17   542746
  4.655520e-01   3.922577e-14   3.684426e-03   5.164223e-17   573952
  4.783045e-01   3.915195e-14   3.678870e-03   5.023391e-17   604918
  4.910489e-01   3.904917e-14   3.679488e-03   4.902469e-17   637666
  5.038054e-01   3.891821e-14   3.685840e-03   4.742909e-17   672482
  5.165640e-01   3.886849e-14   3.679909e-03   4.620742e-17   705748
  5.293052e-01   3.866041e-14   3.678052e-03   4.483604e-17   740482
  5.420630e-01   3.852096e-14   3.688653e-03   4.367131e-17   779026
  5.548129e-01   3.824791e-14   3.672495e-03   4.243106e-17   812614
  5.675646e-01   3.802903e-14   3.688923e-03   4.115725e-17   854200
  5.803275e-01   3.770493e-14   3.679836e-03   3.998636e-17   890746
  5.930743e-01   3.765514e-14   3.680017e-03   3.896550e-17   930394
  6.058234e-01   3.740124e-14   3.680076e-03   3.798756e-17   970982
  6.185756e-01   3.709358e-14   3.681715e-03   3.685498e-17   1012600
  6.313355e-01   3.688227e-14   3.685773e-03   3.593420e-17   1055890
  6.440885e-01   3.663116e-14   3.677546e-03   3.492819e-17   1096630
  6.568331e-01   3.641181e-14   3.679931e-03   3.405358e-17   1141378
  6.695858e-01   3.607015e-14   3.681602e-03   3.309942e-17   1186552
  6.823378e-01   3.589551e-14   3.681238e-03   3.228421e-17   1231798
  6.950926e-01   3.566817e-14   3.683520e-03   3.156188e-17   1279234
  7.078494e-01   3.531988e-14   3.681308e-03   3.069835e-17   1325906
  7.206034e-01   3.506495e-14   3.681998e-03   2.993706e-17   1374352
  7.333523e-01   3.467515e-14   3.678754e-03   2.914438e-17   1421950
  7.460986e-01   3.457572e-14   3.681438e-03   2.845043e-17   1472962
  7.588478e-01   3.431344e-14   3.678790e-03   2.781875e-17   1522954
  7.715908e-01   3.406849e-14   3.677970e-03   2.715703e-17   1573804
  7.843534e-01   3.381204e-14   3.691683e-03   2.648056e-17   1632274
  7.971185e-01   3.352689e-14   3.678939e-03   2.587115e-17   1680226
