# power spectrum of phi
# redshift z=9.995116
# k              Pk             sigma(k)       sigma(Pk)      count
  1.554082e-03   7.485381e-10   3.849967e-04   7.217765e-11   146
  3.315891e-03   7.818637e-10   5.645617e-04   2.340343e-11   1042
  5.255560e-03   6.904614e-10   5.631710e-04   1.386238e-11   2698
  7.226238e-03   6.078113e-10   5.714963e-04   8.436511e-12   5206
  9.236952e-03   5.382294e-10   5.879031e-04   5.977163e-12   8752
  1.128500e-02   4.808018e-10   5.950186e-04   4.205769e-12   13258
  1.332029e-02   4.310152e-10   5.812860e-04   3.236695e-12   18070
  1.533799e-02   3.812381e-10   5.833601e-04   2.459176e-12   24050
  1.738769e-02   3.351043e-10   5.989399e-04   1.877592e-12   31720
  1.943477e-02   2.975237e-10   5.849109e-04   1.508976e-12   38722
  2.146405e-02   2.604810e-10   5.862639e-04   1.209147e-12   47398
  2.349979e-02   2.305093e-10   5.882944e-04   9.643076e-13   56986
  2.554151e-02   2.044122e-10   5.907046e-04   7.927706e-13   67552
  2.758014e-02   1.830315e-10   5.872674e-04   6.547055e-13   78310
  2.961557e-02   1.598938e-10   5.882808e-04   5.354712e-13   90514
  3.164924e-02   1.432974e-10   5.857631e-04   4.518337e-13   102938
  3.368563e-02   1.258775e-10   5.901325e-04   3.679027e-13   117412
  3.572860e-02   1.140090e-10   5.900212e-04   3.139732e-13   132106
  3.776869e-02   1.021709e-10   5.879385e-04   2.669228e-13   147154
  3.980581e-02   9.152666e-11   5.881164e-04   2.266267e-13   163522
  4.184971e-02   8.304986e-11   5.917380e-04   1.949676e-13   181804
  4.388716e-02   7.555450e-11   5.852792e-04   1.710871e-13   197722
  4.592521e-02   6.918770e-11   5.913571e-04   1.478346e-13   218866
  4.796858e-02   6.439617e-11   5.883333e-04   1.321441e-13   237542
  5.000645e-02   5.937169e-11   5.882751e-04   1.169535e-13   258136
  5.204613e-02   5.528561e-11   5.892119e-04   1.047404e-13   280066
  5.408484e-02   5.149130e-11   5.879532e-04   9.400949e-14   301774
  5.612494e-02   4.838818e-11   5.897386e-04   8.466465e-14   326050
