# power spectrum of phi_prime/H (dimensionless)
# redshift z=4.833602
# k              Pk             sigma(k)       sigma(Pk)      count
  1.554082e-03   7.988561e-14   3.849967e-04   7.882045e-15   146
  3.315891e-03   9.024388e-14   5.645617e-04   2.690638e-15   1042
  5.255560e-03   8.047333e-14   5.631710e-04   1.621303e-15   2698
  7.226238e-03   7.332500e-14   5.714963e-04   1.032700e-15   5206
  9.236952e-03   6.829539e-14   5.879031e-04   7.634570e-16   8752
  1.128500e-02   6.557099e-14   5.950186e-04   5.690078e-16   13258
  1.332029e-02   6.446969e-14   5.812860e-04   4.814350e-16   18070
  1.533799e-02   6.411513e-14   5.833601e-04   4.099627e-16   24050
  1.738769e-02   6.514485e-14   5.989399e-04   3.631455e-16   31720
  1.943477e-02   6.909688e-14   5.849109e-04   3.518243e-16   38722
  2.146405e-02   7.177148e-14   5.862639e-04   3.322090e-16   47398
  2.349979e-02   7.563401e-14   5.882944e-04   3.167117e-16   56986
  2.554151e-02   8.062764e-14   5.907046e-04   3.091850e-16   67552
  2.758014e-02   8.712405e-14   5.872674e-04   3.119237e-16   78310
  2.961557e-02   9.152879e-14   5.882808e-04   3.039132e-16   90514
  3.164924e-02   9.770030e-14   5.857631e-04   3.073335e-16   102938
  3.368563e-02   1.039928e-13   5.901325e-04   3.026397e-16   117412
  3.572860e-02   1.091015e-13   5.900212e-04   3.026762e-16   132106
  3.776869e-02   1.150130e-13   5.879385e-04   2.996087e-16   147154
  3.980581e-02   1.211279e-13   5.881164e-04   2.998666e-16   163522
  4.184971e-02   1.258017e-13   5.917380e-04   2.977324e-16   181804
  4.388716e-02   1.316857e-13   5.852792e-04   2.974310e-16   197722
  4.592521e-02   1.360949e-13   5.913571e-04   2.913874e-16   218866
  4.796858e-02   1.418900e-13   5.883333e-04   2.934925e-16   237542
  5.000645e-02   1.460525e-13   5.882751e-04   2.888764e-16   258136
  5.204613e-02   1.502569e-13   5.892119e-04   2.846426e-16   280066
  5.408484e-02   1.551556e-13   5.879532e-04   2.843453e-16   301774
  5.612494e-02   1.591092e-13   5.897386e-04   2.797085e-16   326050
  5.816725e-02   1.633632e-13   5.892357e-04   2.761027e-16   349792
  6.020894e-02   1.683152e-13   5.898220e-04   2.765124e-16   375154
  6.224878e-02   1.721595e-13   5.878390e-04   2.738584e-16   399742
  6.428502e-02   1.759935e-13   5.877282e-04   2.709426e-16   426266
  6.632420e-02   1.791875e-13   5.892967e-04   2.673141e-16   454960
  6.836448e-02   1.828141e-13   5.887382e-04   2.639929e-16   482734
  7.040483e-02   1.863913e-13   5.895060e-04   2.621983e-16   512746
  7.244666e-02   1.900809e-13   5.892082e-04   2.606086e-16   542746
  7.448833e-02   1.924872e-13   5.895081e-04   2.557234e-16   573952
  7.652873e-02   1.952776e-13   5.886192e-04   2.526045e-16   604918
  7.856782e-02   1.983937e-13   5.887181e-04   2.498279e-16   637666
  8.060887e-02   2.009182e-13   5.897344e-04   2.471415e-16   672482
  8.265024e-02   2.031026e-13   5.887854e-04   2.428687e-16   705748
  8.468883e-02   2.046308e-13   5.884884e-04   2.387433e-16   740482
  8.673009e-02   2.071268e-13   5.901845e-04   2.361749e-16   779026
  8.877006e-02   2.084799e-13   5.875992e-04   2.318081e-16   812614
  9.081033e-02   2.095215e-13   5.902277e-04   2.281222e-16   854200
  9.285241e-02   2.107647e-13   5.887737e-04   2.242711e-16   890746
  9.489189e-02   2.120905e-13   5.888028e-04   2.214965e-16   930394
  9.693174e-02   2.127027e-13   5.888121e-04   2.174364e-16   970982
