# power spectrum of delta
# redshift z=2.924548
# k              Pk             sigma(k)       sigma(Pk)      count
  1.554082e-03   1.854649e-07   3.849967e-04   2.200606e-08   146
  3.315891e-03   2.699655e-06   5.645617e-04   1.031338e-07   1042
  5.255560e-03   1.309337e-05   5.631710e-04   2.794086e-07   2698
  7.226238e-03   4.034235e-05   5.714963e-04   5.975615e-07   5206
  9.236952e-03   9.373998e-05   5.879031e-04   1.079845e-06   8752
  1.128500e-02   1.840520e-04   5.950186e-04   1.644175e-06   13258
  1.332029e-02   3.198439e-04   5.812860e-04   2.432567e-06   18070
  1.533799e-02   4.956487e-04   5.833601e-04   3.235929e-06   24050
  1.738769e-02   7.182720e-04   5.989399e-04   4.076268e-06   31720
  1.943477e-02   9.927202e-04   5.849109e-04   5.044401e-06   38722
  2.146405e-02   1.293346e-03   5.862639e-04   6.024387e-06   47398
  2.349979e-02   1.641742e-03   5.882944e-04   6.887788e-06   56986
  2.554151e-02   2.032017e-03   5.907046e-04   7.901116e-06   67552
  2.758014e-02   2.471628e-03   5.872674e-04   8.858388e-06   78310
  2.961557e-02   2.868824e-03   5.882808e-04   9.613546e-06   90514
  3.164924e-02   3.350528e-03   5.857631e-04   1.055715e-05   102938
  3.368563e-02   3.778173e-03   5.901325e-04   1.106066e-05   117412
  3.572860e-02   4.327498e-03   5.900212e-04   1.190576e-05   132106
  3.776869e-02   4.841753e-03   5.879385e-04   1.263707e-05   147154
  3.980581e-02   5.350634e-03   5.881164e-04   1.324720e-05   163522
  4.184971e-02   5.933707e-03   5.917380e-04   1.394119e-05   181804
  4.388716e-02   6.525793e-03   5.852792e-04   1.479198e-05   197722
  4.592521e-02   7.162835e-03   5.913571e-04   1.531519e-05   218866
  4.796858e-02   7.930256e-03   5.883333e-04   1.627098e-05   237542
  5.000645e-02   8.635400e-03   5.882751e-04   1.702066e-05   258136
  5.204613e-02   9.433532e-03   5.892119e-04   1.787457e-05   280066
  5.408484e-02   1.023965e-02   5.879532e-04   1.870495e-05   301774
  5.612494e-02   1.115565e-02   5.897386e-04   1.950705e-05   326050
  5.816725e-02   1.216324e-02   5.892357e-04   2.064436e-05   349792
  6.020894e-02   1.317354e-02   5.898220e-04   2.158868e-05   375154
  6.224878e-02   1.419616e-02   5.878390e-04   2.257994e-05   399742
  6.428502e-02   1.533804e-02   5.877282e-04   2.352433e-05   426266
  6.632420e-02   1.637043e-02   5.892967e-04   2.431598e-05   454960
  6.836448e-02   1.748504e-02   5.887382e-04   2.518260e-05   482734
  7.040483e-02   1.860870e-02   5.895060e-04   2.602247e-05   512746
  7.244666e-02   1.968750e-02   5.892082e-04   2.672453e-05   542746
  7.448833e-02   2.058062e-02   5.895081e-04   2.718285e-05   573952
  7.652873e-02   2.157067e-02   5.886192e-04   2.789515e-05   604918
  7.856782e-02   2.258695e-02   5.887181e-04   2.832611e-05   637666
  8.060887e-02   2.339283e-02   5.897344e-04   2.848254e-05   672482
  8.265024e-02   2.431746e-02   5.887854e-04   2.895980e-05   705748
  8.468883e-02   2.502895e-02   5.884884e-04   2.901959e-05   740482
  8.673009e-02   2.571176e-02   5.901845e-04   2.908862e-05   779026
  8.877006e-02   2.635530e-02   5.875992e-04   2.924539e-05   812614
  9.081033e-02   2.706456e-02   5.902277e-04   2.930493e-05   854200
  9.285241e-02   2.775295e-02   5.887737e-04   2.943261e-05   890746
