# power spectrum of delta_kessence
# redshift z=1.972697
# k              Pk             sigma(k)       sigma(Pk)      count
  1.554082e-03   3.657115e-10   3.849967e-04   4.071027e-11   146
  3.315891e-03   3.692329e-09   5.645617e-04   1.373660e-10   1042
  5.255560e-03   1.647532e-08   5.631710e-04   3.494307e-10   2698
  7.226238e-03   4.923328e-08   5.714963e-04   7.275426e-10   5206
  9.236952e-03   1.128319e-07   5.879031e-04   1.298658e-09   8752
  1.128500e-02   2.199199e-07   5.950186e-04   1.963587e-09   13258
  1.332029e-02   3.805189e-07   5.812860e-04   2.893198e-09   18070
  1.533799e-02   5.880485e-07   5.833601e-04   3.838434e-09   24050
  1.738769e-02   8.505528e-07   5.989399e-04   4.825981e-09   31720
  1.943477e-02   1.174089e-06   5.849109e-04   5.965855e-09   38722
  2.146405e-02   1.528033e-06   5.862639e-04   7.118031e-09   47398
  2.349979e-02   1.938087e-06   5.882944e-04   8.130865e-09   56986
  2.554151e-02   2.396929e-06   5.907046e-04   9.319310e-09   67552
  2.758014e-02   2.914177e-06   5.872674e-04   1.044506e-08   78310
  2.961557e-02   3.380721e-06   5.882808e-04   1.132818e-08   90514
  3.164924e-02   3.946666e-06   5.857631e-04   1.243561e-08   102938
  3.368563e-02   4.448472e-06   5.901325e-04   1.302180e-08   117412
  3.572860e-02   5.093263e-06   5.900212e-04   1.401254e-08   132106
  3.776869e-02   5.695995e-06   5.879385e-04   1.486850e-08   147154
  3.980581e-02   6.292284e-06   5.881164e-04   1.557784e-08   163522
  4.184971e-02   6.973401e-06   5.917380e-04   1.637971e-08   181804
  4.388716e-02   7.667501e-06   5.852792e-04   1.737942e-08   197722
  4.592521e-02   8.412542e-06   5.913571e-04   1.798240e-08   218866
  4.796858e-02   9.311308e-06   5.883333e-04   1.910396e-08   237542
  5.000645e-02   1.013505e-05   5.882751e-04   1.997491e-08   258136
  5.204613e-02   1.106591e-05   5.892119e-04   2.096889e-08   280066
  5.408484e-02   1.200815e-05   5.879532e-04   2.193724e-08   301774
  5.612494e-02   1.307507e-05   5.897386e-04   2.286525e-08   326050
  5.816725e-02   1.424478e-05   5.892357e-04   2.417543e-08   349792
  6.020894e-02   1.542452e-05   5.898220e-04   2.528671e-08   375154
  6.224878e-02   1.661171e-05   5.878390e-04   2.642332e-08   399742
  6.428502e-02   1.794114e-05   5.877282e-04   2.751117e-08   426266
  6.632420e-02   1.914306e-05   5.892967e-04   2.843355e-08   454960
  6.836448e-02   2.043186e-05   5.887382e-04   2.942828e-08   482734
  7.040483e-02   2.172778e-05   5.895060e-04   3.037821e-08   512746
  7.244666e-02   2.297757e-05   5.892082e-04   3.119187e-08   542746
  7.448833e-02   2.400282e-05   5.895081e-04   3.169841e-08   573952
  7.652873e-02   2.513943e-05   5.886192e-04   3.251516e-08   604918
  7.856782e-02   2.630384e-05   5.887181e-04   3.298258e-08   637666
