# power spectrum of pi_k * H (dimensionless)
# redshift z=1.972697
# k              Pk             sigma(k)       sigma(Pk)      count
  1.554082e-03   3.504303e-10   3.849967e-04   3.378559e-11   146
  3.315891e-03   3.659455e-10   5.645617e-04   1.095425e-11   1042
  5.255560e-03   3.232002e-10   5.631710e-04   6.488582e-12   2698
  7.226238e-03   2.844856e-10   5.714963e-04   3.948238e-12   5206
  9.236952e-03   2.518811e-10   5.879031e-04   2.796848e-12   8752
  1.128500e-02   2.249733e-10   5.950186e-04   1.968127e-12   13258
  1.332029e-02   2.016443e-10   5.812860e-04   1.514341e-12   18070
  1.533799e-02   1.783253e-10   5.833601e-04   1.150379e-12   24050
  1.738769e-02   1.567111e-10   5.989399e-04   8.781685e-13   31720
  1.943477e-02   1.390818e-10   5.849109e-04   7.053853e-13   38722
  2.146405e-02   1.217339e-10   5.862639e-04   5.650505e-13   47398
  2.349979e-02   1.076947e-10   5.882944e-04   4.505246e-13   56986
  2.554151e-02   9.548287e-11   5.907046e-04   3.703250e-13   67552
  2.758014e-02   8.545480e-11   5.872674e-04   3.056406e-13   78310
  2.961557e-02   7.462597e-11   5.882808e-04   2.499354e-13   90514
  3.164924e-02   6.684989e-11   5.857631e-04   2.107850e-13   102938
  3.368563e-02   5.869842e-11   5.901325e-04   1.715842e-13   117412
  3.572860e-02   5.313859e-11   5.900212e-04   1.463350e-13   132106
  3.776869e-02   4.760013e-11   5.879385e-04   1.243338e-13   147154
  3.980581e-02   4.261881e-11   5.881164e-04   1.055373e-13   163522
  4.184971e-02   3.866220e-11   5.917380e-04   9.079032e-14   181804
  4.388716e-02   3.514564e-11   5.852792e-04   7.958971e-14   197722
  4.592521e-02   3.216459e-11   5.913571e-04   6.874912e-14   218866
  4.796858e-02   2.991413e-11   5.883333e-04   6.138764e-14   237542
  5.000645e-02   2.756151e-11   5.882751e-04   5.429704e-14   258136
  5.204613e-02   2.565021e-11   5.892119e-04   4.859126e-14   280066
  5.408484e-02   2.386882e-11   5.879532e-04   4.357512e-14   301774
  5.612494e-02   2.241665e-11   5.897386e-04   3.921756e-14   326050
  5.816725e-02   2.116869e-11   5.892357e-04   3.591023e-14   349792
  6.020894e-02   1.996739e-11   5.898220e-04   3.272211e-14   375154
  6.224878e-02   1.881989e-11   5.878390e-04   2.992836e-14   399742
  6.428502e-02   1.787261e-11   5.877282e-04   2.740102e-14   426266
  6.632420e-02   1.683140e-11   5.892967e-04   2.499669e-14   454960
  6.836448e-02   1.591551e-11   5.887382e-04   2.293003e-14   482734
  7.040483e-02   1.504790e-11   5.895060e-04   2.104176e-14   512746
  7.244666e-02   1.419304e-11   5.892082e-04   1.926751e-14   542746
  7.448833e-02   1.326732e-11   5.895081e-04   1.752562e-14   573952
  7.652873e-02   1.247278e-11   5.886192e-04   1.613284e-14   604918
  7.856782e-02   1.174987e-11   5.887181e-04   1.474172e-14   637666
  8.060887e-02   1.097392e-11   5.897344e-04   1.336485e-14   672482
  8.265024e-02   1.031246e-11   5.887854e-04   1.228312e-14   705748
  8.468883e-02   9.620399e-12   5.884884e-04   1.115715e-14   740482
  8.673009e-02   8.978177e-12   5.901845e-04   1.016069e-14   779026
  8.877006e-02   8.378055e-12   5.875992e-04   9.299612e-15   812614
  9.081033e-02   7.848401e-12   5.902277e-04   8.502759e-15   854200
  9.285241e-02   7.356913e-12   5.887737e-04   7.804086e-15   890746
  9.489189e-02   6.904660e-12   5.888028e-04   7.149717e-15   930394
  9.693174e-02   6.499836e-12   5.888121e-04   6.608747e-15   970982
  9.897209e-02   6.121965e-12   5.890745e-04   6.089220e-15   1012600
  1.010137e-01   5.790928e-12   5.897237e-04   5.647511e-15   1055890
  1.030542e-01   5.488923e-12   5.884073e-04   5.264924e-15   1096630
