# power spectrum of zeta (dimensionless)
# redshift z=0.931340
# k              Pk             sigma(k)       sigma(Pk)      count
  1.554082e-03   4.095117e-20   3.849967e-04   4.887553e-21   146
  3.315891e-03   6.150328e-19   5.645617e-04   2.354582e-20   1042
  5.255560e-03   3.003319e-18   5.631710e-04   6.412359e-20   2698
  7.226238e-03   9.276523e-18   5.714963e-04   1.374378e-19   5206
  9.236952e-03   2.157739e-17   5.879031e-04   2.485912e-19   8752
  1.128500e-02   4.238625e-17   5.950186e-04   3.786492e-19   13258
  1.332029e-02   7.367352e-17   5.812860e-04   5.603172e-19   18070
  1.533799e-02   1.141745e-16   5.833601e-04   7.454014e-19   24050
  1.738769e-02   1.654498e-16   5.989399e-04   9.389144e-19   31720
  1.943477e-02   2.286484e-16   5.849109e-04   1.161850e-18   38722
  2.146405e-02   2.978399e-16   5.862639e-04   1.387359e-18   47398
  2.349979e-02   3.779887e-16   5.882944e-04   1.585803e-18   56986
  2.554151e-02   4.677108e-16   5.907046e-04   1.818571e-18   67552
  2.758014e-02   5.687491e-16   5.872674e-04   2.038422e-18   78310
  2.961557e-02   6.599276e-16   5.882808e-04   2.211398e-18   90514
  3.164924e-02   7.704656e-16   5.857631e-04   2.427655e-18   102938
  3.368563e-02   8.684563e-16   5.901325e-04   2.542344e-18   117412
  3.572860e-02   9.943011e-16   5.900212e-04   2.735507e-18   132106
  3.776869e-02   1.111937e-15   5.879385e-04   2.902257e-18   147154
  3.980581e-02   1.228201e-15   5.881164e-04   3.040729e-18   163522
  4.184971e-02   1.361238e-15   5.917380e-04   3.197988e-18   181804
  4.388716e-02   1.496292e-15   5.852792e-04   3.391583e-18   197722
  4.592521e-02   1.641397e-15   5.913571e-04   3.509270e-18   218866
  4.796858e-02   1.816174e-15   5.883333e-04   3.726325e-18   237542
  5.000645e-02   1.976395e-15   5.882751e-04   3.895426e-18   258136
  5.204613e-02   2.157547e-15   5.892119e-04   4.088148e-18   280066
  5.408484e-02   2.340353e-15   5.879532e-04   4.275228e-18   301774
  5.612494e-02   2.547758e-15   5.897386e-04   4.455157e-18   326050
  5.816725e-02   2.775544e-15   5.892357e-04   4.710728e-18   349792
  6.020894e-02   3.003867e-15   5.898220e-04   4.923114e-18   375154
  6.224878e-02   3.234301e-15   5.878390e-04   5.144353e-18   399742
  6.428502e-02   3.491591e-15   5.877282e-04   5.354817e-18   426266
  6.632420e-02   3.723560e-15   5.892967e-04   5.530761e-18   454960
  6.836448e-02   3.973249e-15   5.887382e-04   5.722435e-18   482734
  7.040483e-02   4.224394e-15   5.895060e-04   5.907131e-18   512746
  7.244666e-02   4.465092e-15   5.892082e-04   6.061049e-18   542746
  7.448833e-02   4.662867e-15   5.895081e-04   6.158337e-18   573952
  7.652873e-02   4.882032e-15   5.886192e-04   6.313676e-18   604918
  7.856782e-02   5.106447e-15   5.887181e-04   6.403682e-18   637666
  8.060887e-02   5.282567e-15   5.897344e-04   6.431627e-18   672482
  8.265024e-02   5.484768e-15   5.887854e-04   6.531456e-18   705748
  8.468883e-02   5.638366e-15   5.884884e-04   6.537214e-18   740482
  8.673009e-02   5.785241e-15   5.901845e-04   6.545054e-18   779026
  8.877006e-02   5.922375e-15   5.875992e-04   6.571579e-18   812614
  9.081033e-02   6.073478e-15   5.902277e-04   6.576249e-18   854200
  9.285241e-02   6.219971e-15   5.887737e-04   6.596081e-18   890746
  9.489189e-02   6.365521e-15   5.888028e-04   6.589061e-18   930394
  9.693174e-02   6.521580e-15   5.888121e-04   6.627796e-18   970982
  9.897209e-02   6.672911e-15   5.890745e-04   6.635347e-18   1012600
  1.010137e-01   6.847848e-15   5.897237e-04   6.676983e-18   1055890
  1.030542e-01   7.027526e-15   5.884073e-04   6.737810e-18   1096630
  1.050933e-01   7.211008e-15   5.887890e-04   6.756396e-18   1141378
  1.071337e-01   7.425430e-15   5.890564e-04   6.828584e-18   1186552
  1.091740e-01   7.663755e-15   5.889981e-04   6.916006e-18   1231798
  1.112148e-01   7.901943e-15   5.893633e-04   7.005801e-18   1279234
  1.132559e-01   8.177020e-15   5.890093e-04   7.114781e-18   1325906
  1.152965e-01   8.459672e-15   5.891197e-04   7.225668e-18   1374352
  1.173364e-01   8.741014e-15   5.886007e-04   7.344252e-18   1421950
  1.193758e-01   9.071156e-15   5.890300e-04   7.482055e-18   1472962
  1.214157e-01   9.353526e-15   5.886064e-04   7.589398e-18   1522954
  1.234545e-01   9.642851e-15   5.884752e-04   7.694193e-18   1573804
  1.254965e-01   9.951369e-15   5.906693e-04   7.791306e-18   1632274
  1.275390e-01   1.024056e-14   5.886302e-04   7.904407e-18   1680226
  1.295769e-01   1.050283e-14   5.879889e-04   8.003496e-18   1732682
  1.316167e-01   1.075637e-14   5.894980e-04   8.037529e-18   1792204
  1.336589e-01   1.101812e-14   5.896575e-04   8.104312e-18   1848298
  1.356989e-01   1.122883e-14   5.883050e-04   8.162442e-18   1901050
  1.377383e-01   1.141431e-14   5.890297e-04   8.153391e-18   1961326
  1.397792e-01   1.157273e-14   5.892228e-04   8.159477e-18   2020312
  1.418209e-01   1.174751e-14   5.895741e-04   8.152483e-18   2080930
  1.438627e-01   1.186984e-14   5.893024e-04   8.114509e-18   2140390
  1.459026e-01   1.199020e-14   5.883405e-04   8.108706e-18   2198162
  1.479427e-01   1.208355e-14   5.893956e-04   8.035595e-18   2263864
  1.499842e-01   1.218724e-14   5.893769e-04   7.995263e-18   2326426
  1.520249e-01   1.227260e-14   5.889045e-04   7.946823e-18   2388550
  1.540650e-01   1.233606e-14   5.888570e-04   7.874788e-18   2453098
  1.561047e-01   1.243026e-14   5.886971e-04   7.838974e-18   2517592
  1.581449e-01   1.255041e-14   5.892905e-04   7.824840e-18   2586070
  1.601854e-01   1.264233e-14   5.889181e-04   7.769154e-18   2651842
  1.622257e-01   1.275471e-14   5.889579e-04   7.722930e-18   2720330
