# power spectrum of delta
# redshift z=-0.034717
# k              Pk             sigma(k)       sigma(Pk)      count
  1.554082e-03   1.516214e-06   3.849967e-04   1.837871e-07   146
  3.315891e-03   2.458220e-05   5.645617e-04   9.458746e-07   1042
  5.255560e-03   1.217897e-04   5.631710e-04   2.602530e-06   2698
  7.226238e-03   3.778796e-04   5.714963e-04   5.597521e-06   5206
  9.236952e-03   8.805135e-04   5.879031e-04   1.014051e-05   8752
  1.128500e-02   1.730632e-03   5.950186e-04   1.546393e-05   13258
  1.332029e-02   3.008636e-03   5.812860e-04   2.288884e-05   18070
  1.533799e-02   4.662382e-03   5.833601e-04   3.044808e-05   24050
  1.738769e-02   6.754041e-03   5.989399e-04   3.834644e-05   31720
  1.943477e-02   9.323827e-03   5.849109e-04   4.737222e-05   38722
  2.146405e-02   1.214144e-02   5.862639e-04   5.652526e-05   47398
  2.349979e-02   1.539930e-02   5.882944e-04   6.460314e-05   56986
  2.554151e-02   1.905667e-02   5.907046e-04   7.411685e-05   67552
  2.758014e-02   2.314940e-02   5.872674e-04   8.293377e-05   78310
  2.961557e-02   2.685275e-02   5.882808e-04   9.001628e-05   90514
  3.164924e-02   3.133805e-02   5.857631e-04   9.873318e-05   102938
  3.368563e-02   3.531872e-02   5.901325e-04   1.034284e-04   117412
  3.572860e-02   4.041766e-02   5.900212e-04   1.112253e-04   132106
  3.776869e-02   4.521056e-02   5.879385e-04   1.179099e-04   147154
  3.980581e-02   4.993606e-02   5.881164e-04   1.236276e-04   163522
  4.184971e-02   5.542159e-02   5.917380e-04   1.303777e-04   181804
  4.388716e-02   6.087196e-02   5.852792e-04   1.379702e-04   197722
  4.592521e-02   6.678566e-02   5.913571e-04   1.429630e-04   218866
  4.796858e-02   7.383711e-02   5.883333e-04   1.515803e-04   237542
  5.000645e-02   8.035779e-02   5.882751e-04   1.584155e-04   258136
  5.204613e-02   8.776477e-02   5.892119e-04   1.662534e-04   280066
  5.408484e-02   9.517108e-02   5.879532e-04   1.737370e-04   301774
  5.612494e-02   1.036350e-01   5.897386e-04   1.812524e-04   326050
  5.816725e-02   1.130854e-01   5.892357e-04   1.919480e-04   349792
  6.020894e-02   1.222493e-01   5.898220e-04   2.000122e-04   375154
  6.224878e-02   1.317287e-01   5.878390e-04   2.093117e-04   399742
  6.428502e-02   1.421034e-01   5.877282e-04   2.181353e-04   426266
  6.632420e-02   1.514337e-01   5.892967e-04   2.249570e-04   454960
  6.836448e-02   1.617660e-01   5.887382e-04   2.328590e-04   482734
  7.040483e-02   1.722847e-01   5.895060e-04   2.410294e-04   512746
  7.244666e-02   1.820853e-01   5.892082e-04   2.471436e-04   542746
  7.448833e-02   1.905371e-01   5.895081e-04   2.517381e-04   573952
  7.652873e-02   1.998915e-01   5.886192e-04   2.581201e-04   604918
  7.856782e-02   2.095136e-01   5.887181e-04   2.628155e-04   637666
  8.060887e-02   2.174783e-01   5.897344e-04   2.648975e-04   672482
  8.265024e-02   2.265613e-01   5.887854e-04   2.701157e-04   705748
  8.468883e-02   2.338254e-01   5.884884e-04   2.712598e-04   740482
  8.673009e-02   2.405922e-01   5.901845e-04   2.722604e-04   779026
  8.877006e-02   2.477002e-01   5.875992e-04   2.747797e-04   812614
  9.081033e-02   2.551758e-01   5.902277e-04   2.762276e-04   854200
  9.285241e-02   2.622739e-01   5.887737e-04   2.782461e-04   890746
  9.489189e-02   2.700726e-01   5.888028e-04   2.797588e-04   930394
  9.693174e-02   2.782249e-01   5.888121e-04   2.825351e-04   970982
  9.897209e-02   2.856818e-01   5.890745e-04   2.843442e-04   1012600
  1.010137e-01   2.953125e-01   5.897237e-04   2.877527e-04   1055890
  1.030542e-01   3.043655e-01   5.884073e-04   2.912444e-04   1096630
  1.050933e-01   3.133146e-01   5.887890e-04   2.929247e-04   1141378
  1.071337e-01   3.238857e-01   5.890564e-04   2.980733e-04   1186552
  1.091740e-01   3.356413e-01   5.889981e-04   3.027383e-04   1231798
  1.112148e-01   3.465807e-01   5.893633e-04   3.071076e-04   1279234
  1.132559e-01   3.592727e-01   5.890093e-04   3.124892e-04   1325906
  1.152965e-01   3.720986e-01   5.891197e-04   3.172374e-04   1374352
  1.173364e-01   3.856227e-01   5.886007e-04   3.233848e-04   1421950
  1.193758e-01   4.002243e-01   5.890300e-04   3.297543e-04   1472962
  1.214157e-01   4.130829e-01   5.886064e-04   3.348614e-04   1522954
  1.234545e-01   4.264976e-01   5.884752e-04   3.398524e-04   1573804
  1.254965e-01   4.403974e-01   5.906693e-04   3.446836e-04   1632274
  1.275390e-01   4.542165e-01   5.886302e-04   3.506333e-04   1680226
  1.295769e-01   4.667558e-01   5.879889e-04   3.556684e-04   1732682
  1.316167e-01   4.786127e-01   5.894980e-04   3.574896e-04   1792204
  1.336589e-01   4.929109e-01   5.896575e-04   3.629810e-04   1848298
  1.356989e-01   5.043536e-01   5.883050e-04   3.660634e-04   1901050
  1.377383e-01   5.158820e-01   5.890297e-04   3.690010e-04   1961326
  1.397792e-01   5.263590e-01   5.892228e-04   3.707046e-04   2020312
  1.418209e-01   5.375763e-01   5.895741e-04   3.733335e-04   2080930
  1.438627e-01   5.476845e-01   5.893024e-04   3.742813e-04   2140390
  1.459026e-01   5.574218e-01   5.883405e-04   3.768001e-04   2198162
  1.479427e-01   5.675072e-01   5.893956e-04   3.771750e-04   2263864
  1.499842e-01   5.777142e-01   5.893769e-04   3.792602e-04   2326426
  1.520249e-01   5.880875e-01   5.889045e-04   3.813900e-04   2388550
  1.540650e-01   5.968850e-01   5.888570e-04   3.809051e-04   2453098
  1.561047e-01   6.071086e-01   5.886971e-04   3.823316e-04   2517592
  1.581449e-01   6.177288e-01   5.892905e-04   3.846839e-04   2586070
  1.601854e-01   6.290233e-01   5.889181e-04   3.866990e-04   2651842
  1.622257e-01   6.405566e-01   5.889579e-04   3.884362e-04   2720330
  1.642669e-01   6.525410e-01   5.894439e-04   3.908662e-04   2791156
  1.663078e-01   6.656898e-01   5.889934e-04   3.936314e-04   2858554
  1.683481e-01   6.775397e-01   5.890635e-04   3.964614e-04   2929594
  1.703877e-01   6.916609e-01   5.885431e-04   3.993264e-04   2998762
  1.724278e-01   7.054270e-01   5.891948e-04   4.032077e-04   3074188
  1.744675e-01   7.203132e-01   5.885376e-04   4.065574e-04   3143482
  1.765088e-01   7.328795e-01   5.900653e-04   4.082915e-04   3226186
  1.785498e-01   7.495350e-01   5.882615e-04   4.135937e-04   3291158
  1.805901e-01   7.635309e-01   5.897179e-04   4.154884e-04   3375112
  1.826317e-01   7.786422e-01   5.890290e-04   4.196965e-04   3447658
  1.846719e-01   7.933014e-01   5.889171e-04   4.225949e-04   3524626
  1.867120e-01   8.088221e-01   5.888543e-04   4.263599e-04   3602998
  1.887512e-01   8.240212e-01   5.883706e-04   4.301976e-04   3678592
  1.907908e-01   8.397865e-01   5.892546e-04   4.328992e-04   3764122
  1.928324e-01   8.527623e-01   5.894579e-04   4.353356e-04   3846598
  1.948727e-01   8.682668e-01   5.885077e-04   4.387469e-04   3922250
  1.969136e-01   8.811115e-01   5.896943e-04   4.403462e-04   4013032
  1.989552e-01   8.968993e-01   5.889700e-04   4.443088e-04   4091182
  2.009950e-01   9.108127e-01   5.887664e-04   4.464177e-04   4174282
  2.030353e-01   9.240480e-01   5.891040e-04   4.481207e-04   4261978
  2.050762e-01   9.373595e-01   5.892160e-04   4.498981e-04   4348624
  2.071163e-01   9.512802e-01   5.886637e-04   4.522059e-04   4431430
  2.091564e-01   9.637537e-01   5.892138e-04   4.539250e-04   4523290
  2.111972e-01   9.782584e-01   5.891043e-04   4.557584e-04   4611386
  2.132376e-01   9.919740e-01   5.888473e-04   4.580373e-04   4698814
  2.152782e-01   1.004777e+00   5.893426e-04   4.601797e-04   4792984
  2.173194e-01   1.019459e+00   5.892017e-04   4.621473e-04   4883194
  2.193596e-01   1.032641e+00   5.887755e-04   4.636395e-04   4971694
  2.214001e-01   1.047264e+00   5.893212e-04   4.664309e-04   5069434
  2.234405e-01   1.062094e+00   5.886957e-04   4.680880e-04   5157736
  2.254804e-01   1.076335e+00   5.891220e-04   4.705618e-04   5256202
  2.275212e-01   1.091468e+00   5.891252e-04   4.724433e-04   5351990
  2.295614e-01   1.105511e+00   5.887454e-04   4.745084e-04   5444914
  2.316024e-01   1.119338e+00   5.895775e-04   4.757528e-04   5550088
  2.336441e-01   1.136205e+00   5.892314e-04   4.790279e-04   5644774
  2.356844e-01   1.152776e+00   5.887291e-04   4.817477e-04   5739034
  2.377243e-01   1.167245e+00   5.889493e-04   4.833549e-04   5841154
  2.397648e-01   1.184478e+00   5.891188e-04   4.866445e-04   5943448
  2.418057e-01   1.201059e+00   5.891894e-04   4.895416e-04   6045670
  2.438457e-01   1.215727e+00   5.886738e-04   4.911228e-04   6142586
  2.458857e-01   1.231635e+00   5.890965e-04   4.933930e-04   6250738
  2.479269e-01   1.248332e+00   5.893339e-04   4.954250e-04   6357172
  2.499678e-01   1.266078e+00   5.890271e-04   4.988587e-04   6458506
  2.520084e-01   1.282292e+00   5.891472e-04   5.008039e-04   6566290
  2.540484e-01   1.297497e+00   5.886483e-04   5.026348e-04   6667414
  2.560881e-01   1.312579e+00   5.889729e-04   5.050061e-04   6778336
  2.581289e-01   1.330928e+00   5.893065e-04   5.073815e-04   6890218
  2.601690e-01   1.348507e+00   5.886464e-04   5.109672e-04   6992306
  2.622097e-01   1.363857e+00   5.895050e-04   5.122171e-04   7113454
  2.642508e-01   1.381094e+00   5.888931e-04   5.152638e-04   7216216
  2.662907e-01   1.395822e+00   5.889220e-04   5.160624e-04   7328218
  2.683311e-01   1.412744e+00   5.891504e-04   5.190245e-04   7444414
  2.703714e-01   1.429847e+00   5.887477e-04   5.216219e-04   7553290
  2.724122e-01   1.445146e+00   5.894442e-04   5.223986e-04   7676368
  2.744529e-01   1.461784e+00   5.888427e-04   5.247792e-04   7783150
  2.764932e-01   1.479188e+00   5.891771e-04   5.272845e-04   7904570
  2.785337e-01   1.495227e+00   5.888377e-04   5.292571e-04   8017570
  2.805747e-01   1.512544e+00   5.894749e-04   5.310320e-04   8143840
  2.826158e-01   1.528712e+00   5.889589e-04   5.326972e-04   8255134
  2.846555e-01   1.544941e+00   5.886996e-04   5.347273e-04   8371450
  2.866957e-01   1.563457e+00   5.891278e-04   5.370936e-04   8498578
  2.887371e-01   1.579872e+00   5.893995e-04   5.392914e-04   8623180
  2.907783e-01   1.597114e+00   5.891794e-04   5.413079e-04   8742034
  2.928185e-01   1.614113e+00   5.887409e-04   5.431927e-04   8859194
  2.948582e-01   1.631787e+00   5.888043e-04   5.453529e-04   8984386
  2.968984e-01   1.650104e+00   5.889953e-04   5.476136e-04   9111652
  2.989394e-01   1.667053e+00   5.894313e-04   5.491576e-04   9243322
  3.009801e-01   1.684109e+00   5.888434e-04   5.512522e-04   9361378
  3.030204e-01   1.702964e+00   5.890316e-04   5.538823e-04   9491998
  3.050606e-01   1.719696e+00   5.889315e-04   5.555805e-04   9618016
  3.071010e-01   1.738905e+00   5.891205e-04   5.585862e-04   9750178
  3.091413e-01   1.756179e+00   5.888404e-04   5.600265e-04   9875558
  3.111820e-01   1.772810e+00   5.893640e-04   5.611713e-04   10015834
  3.132223e-01   1.791115e+00   5.885801e-04   5.639390e-04   10133344
  3.152627e-01   1.810628e+00   5.895529e-04   5.661706e-04   10282522
  3.173040e-01   1.828044e+00   5.889812e-04   5.679073e-04   10406974
  3.193437e-01   1.846098e+00   5.886096e-04   5.693784e-04   10534378
  3.213841e-01   1.866346e+00   5.894405e-04   5.719405e-04   10684456
  3.234254e-01   1.882615e+00   5.890917e-04   5.738167e-04   10813894
  3.254654e-01   1.903177e+00   5.887488e-04   5.767284e-04   10944626
  3.275058e-01   1.921576e+00   5.892300e-04   5.781914e-04   11091802
  3.295466e-01   1.939578e+00   5.889694e-04   5.800214e-04   11224756
  3.315871e-01   1.957358e+00   5.891399e-04   5.817842e-04   11367730
  3.336279e-01   1.975236e+00   5.891097e-04   5.836350e-04   11507890
  3.356680e-01   1.994060e+00   5.886912e-04   5.855548e-04   11640658
  3.377084e-01   2.011666e+00   5.893412e-04   5.865048e-04   11795380
  3.397495e-01   2.032131e+00   5.891216e-04   5.895919e-04   11933434
  3.417900e-01   2.051721e+00   5.889963e-04   5.915413e-04   12074954
  3.438308e-01   2.068943e+00   5.892532e-04   5.927442e-04   12225142
  3.458709e-01   2.086697e+00   5.885745e-04   5.943238e-04   12356104
  3.479106e-01   2.107476e+00   5.891058e-04   5.968155e-04   12513442
  3.499516e-01   2.125875e+00   5.892873e-04   5.987373e-04   12664810
  3.519928e-01   2.144979e+00   5.891937e-04   6.005595e-04   12811246
  3.540334e-01   2.164099e+00   5.889181e-04   6.026074e-04   12953536
  3.560735e-01   2.183639e+00   5.890044e-04   6.042399e-04   13105042
  3.581140e-01   2.202156e+00   5.891192e-04   6.060825e-04   13258670
  3.601546e-01   2.222772e+00   5.890325e-04   6.086901e-04   13408738
  3.621953e-01   2.241254e+00   5.890899e-04   6.099770e-04   13562320
  3.642355e-01   2.262148e+00   5.888450e-04   6.121911e-04   13709062
  3.662757e-01   2.280492e+00   5.891202e-04   6.136013e-04   13870258
  3.683171e-01   2.298814e+00   5.894186e-04   6.152656e-04   14032714
  3.703575e-01   2.318917e+00   5.886241e-04   6.170669e-04   14169232
  3.723976e-01   2.338571e+00   5.891956e-04   6.189602e-04   14339422
  3.744381e-01   2.357550e+00   5.888919e-04   6.210458e-04   14489330
  3.764785e-01   2.376159e+00   5.891282e-04   6.220015e-04   14654458
  3.785190e-01   2.396281e+00   5.889293e-04   6.239899e-04   14808292
  3.805593e-01   2.418067e+00   5.890179e-04   6.261919e-04   14970130
  3.825997e-01   2.437834e+00   5.890254e-04   6.281221e-04   15131626
  3.846399e-01   2.457678e+00   5.888648e-04   6.297326e-04   15289198
  3.866807e-01   2.475682e+00   5.894136e-04   6.310731e-04   15466552
  3.887217e-01   2.496675e+00   5.889267e-04   6.331771e-04   15616714
  3.907617e-01   2.518320e+00   5.889009e-04   6.352613e-04   15780506
  3.928022e-01   2.537310e+00   5.891699e-04   6.370101e-04   15953542
  3.948433e-01   2.556909e+00   5.892495e-04   6.384014e-04   16121296
  3.968834e-01   2.576235e+00   5.886227e-04   6.396985e-04   16270762
  3.989235e-01   2.598398e+00   5.892919e-04   6.423679e-04   16457182
  4.009646e-01   2.617764e+00   5.891739e-04   6.434542e-04   16623562
  4.030052e-01   2.637110e+00   5.889160e-04   6.454614e-04   16785784
  4.050455e-01   2.657367e+00   5.890644e-04   6.469080e-04   16959370
  4.070861e-01   2.679144e+00   5.891235e-04   6.489365e-04   17132774
  4.091266e-01   2.697795e+00   5.889569e-04   6.499176e-04   17300602
  4.111672e-01   2.718574e+00   5.891834e-04   6.516807e-04   17480656
  4.132078e-01   2.740470e+00   5.889644e-04   6.539736e-04   17647558
  4.152481e-01   2.759171e+00   5.890172e-04   6.553012e-04   17823778
  4.172887e-01   2.781599e+00   5.890581e-04   6.573580e-04   18001594
  4.193290e-01   2.800526e+00   5.888841e-04   6.583444e-04   18172300
  4.213694e-01   2.820765e+00   5.891306e-04   6.597591e-04   18356770
  4.234105e-01   2.840641e+00   5.893313e-04   6.615730e-04   18541082
  4.254516e-01   2.862362e+00   5.891095e-04   6.630091e-04   18713914
  4.274917e-01   2.882256e+00   5.886533e-04   6.649109e-04   18879742
  4.295318e-01   2.903941e+00   5.892187e-04   6.663813e-04   19077592
  4.315727e-01   2.923794e+00   5.891074e-04   6.680265e-04   19255474
  4.336133e-01   2.942431e+00   5.890497e-04   6.690971e-04   19436278
  4.356531e-01   2.965310e+00   5.886327e-04   6.712184e-04   19605994
  4.376936e-01   2.986780e+00   5.894559e-04   6.727529e-04   19817344
  4.397347e-01   3.005259e+00   5.889775e-04   6.742828e-04   19985702
