# power spectrum of pi_k * H (dimensionless)
# redshift z=-0.034717
# k              Pk             sigma(k)       sigma(Pk)      count
  1.554082e-03   5.531385e-10   3.849967e-04   5.333153e-11   146
  3.315891e-03   5.782553e-10   5.645617e-04   1.731063e-11   1042
  5.255560e-03   5.107957e-10   5.631710e-04   1.025370e-11   2698
  7.226238e-03   4.494728e-10   5.714963e-04   6.236453e-12   5206
  9.236952e-03   3.978031e-10   5.879031e-04   4.415967e-12   8752
  1.128500e-02   3.551627e-10   5.950186e-04   3.107645e-12   13258
  1.332029e-02   3.181961e-10   5.812860e-04   2.389994e-12   18070
  1.533799e-02   2.812717e-10   5.833601e-04   1.814873e-12   24050
  1.738769e-02   2.470440e-10   5.989399e-04   1.384818e-12   31720
  1.943477e-02   2.190411e-10   5.849109e-04   1.110880e-12   38722
  2.146405e-02   1.916071e-10   5.862639e-04   8.892582e-13   47398
  2.349979e-02   1.693789e-10   5.882944e-04   7.085532e-13   56986
  2.554151e-02   1.501064e-10   5.907046e-04   5.822507e-13   67552
  2.758014e-02   1.341984e-10   5.872674e-04   4.798555e-13   78310
  2.961557e-02   1.171070e-10   5.882808e-04   3.922984e-13   90514
  3.164924e-02   1.048113e-10   5.857631e-04   3.304857e-13   102938
  3.368563e-02   9.195606e-11   5.901325e-04   2.688852e-13   117412
  3.572860e-02   8.316330e-11   5.900212e-04   2.290238e-13   132106
  3.776869e-02   7.444112e-11   5.879385e-04   1.943564e-13   147154
  3.980581e-02   6.658962e-11   5.881164e-04   1.649118e-13   163522
  4.184971e-02   6.039219e-11   5.917380e-04   1.419191e-13   181804
  4.388716e-02   5.481936e-11   5.852792e-04   1.241534e-13   197722
  4.592521e-02   5.011891e-11   5.913571e-04   1.071967e-13   218866
  4.796858e-02   4.654153e-11   5.883333e-04   9.553767e-14   237542
  5.000645e-02   4.283307e-11   5.882751e-04   8.439739e-14   258136
  5.204613e-02   3.982531e-11   5.892119e-04   7.542903e-14   280066
  5.408484e-02   3.700394e-11   5.879532e-04   6.754042e-14   301774
  5.612494e-02   3.471376e-11   5.897386e-04   6.072609e-14   326050
  5.816725e-02   3.276736e-11   5.892357e-04   5.559250e-14   349792
  6.020894e-02   3.084503e-11   5.898220e-04   5.050074e-14   375154
  6.224878e-02   2.904222e-11   5.878390e-04   4.617024e-14   399742
  6.428502e-02   2.752970e-11   5.877282e-04   4.222885e-14   426266
  6.632420e-02   2.587474e-11   5.892967e-04   3.842993e-14   454960
  6.836448e-02   2.444058e-11   5.887382e-04   3.520614e-14   482734
  7.040483e-02   2.308889e-11   5.895060e-04   3.229866e-14   512746
  7.244666e-02   2.173718e-11   5.892082e-04   2.950658e-14   542746
  7.448833e-02   2.029940e-11   5.895081e-04   2.682018e-14   573952
  7.652873e-02   1.906371e-11   5.886192e-04   2.464424e-14   604918
  7.856782e-02   1.793980e-11   5.887181e-04   2.251423e-14   637666
  8.060887e-02   1.674445e-11   5.897344e-04   2.039857e-14   672482
  8.265024e-02   1.572631e-11   5.887854e-04   1.874187e-14   705748
  8.468883e-02   1.466431e-11   5.884884e-04   1.701004e-14   740482
  8.673009e-02   1.366746e-11   5.901845e-04   1.546904e-14   779026
  8.877006e-02   1.275471e-11   5.875992e-04   1.415783e-14   812614
  9.081033e-02   1.194477e-11   5.902277e-04   1.293810e-14   854200
