# Matter power spectrum P(k) at redshift z=10
# for k=1.05469e-05 to 239.653 h/Mpc,
# number of wavenumbers equal to 199
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.054685259621e-05       6.663181927991e-01 
       1.183376324775e-05       7.529651814229e-01 
       1.327770074781e-05       8.533285598581e-01 
       1.489782526975e-05       9.629361808637e-01 
       1.671563488162e-05       1.074505072713e+00 
       1.875525081255e-05       1.210668340149e+00 
       2.104373752675e-05       1.359639520162e+00 
       2.361146185250e-05       1.522718601321e+00 
       2.649249593155e-05       1.688598498488e+00 
       2.972506933572e-05       1.890158065276e+00 
       3.335207635008e-05       2.109090442383e+00 
       3.742164515408e-05       2.355976763029e+00 
       4.198777645321e-05       2.634806054650e+00 
       4.711106003561e-05       2.946366278727e+00 
       5.285947876168e-05       3.290688454291e+00 
       5.930931065539e-05       3.674639948854e+00 
       6.654614106728e-05       4.102312069498e+00 
       7.466599834007e-05       4.588262269798e+00 
       8.377662804643e-05       5.133894664605e+00 
       9.399892270729e-05       5.733906912774e+00 
       1.054685259621e-04       6.403555630725e+00 
       1.183376324775e-04       7.152247978900e+00 
       1.327770074781e-04       7.990216379473e+00 
       1.489782526975e-04       8.923896428361e+00 
       1.671563488162e-04       9.966243560163e+00 
       1.875525081255e-04       1.113162200244e+01 
       2.104373752675e-04       1.243373280812e+01 
       2.361146185250e-04       1.388877704204e+01 
       2.649249593155e-04       1.551321202723e+01 
       2.972506933572e-04       1.732462506197e+01 
       3.335207635008e-04       1.934747780638e+01 
       3.742164515408e-04       2.160524751611e+01 
       4.198777645321e-04       2.412338933533e+01 
       4.711106003561e-04       2.693093576951e+01 
       5.285947876168e-04       3.006157719280e+01 
       5.930931065539e-04       3.354828332213e+01 
       6.654614106728e-04       3.743115871090e+01 
       7.466599834007e-04       4.175063992944e+01 
       8.377662804643e-04       4.655073492133e+01 
       9.399892270729e-04       5.187905332135e+01 
       1.054685259621e-03       5.778415387057e+01 
       1.183376324775e-03       6.431714428942e+01 
       1.327770074781e-03       7.152975262159e+01 
       1.489782526975e-03       7.947175393791e+01 
       1.671563488162e-03       8.819283795708e+01 
       1.875525081255e-03       9.773859785506e+01 
       2.104373752675e-03       1.081493229132e+02 
       2.361146185250e-03       1.194583847197e+02 
       2.649249593155e-03       1.316894792318e+02 
       2.972506933572e-03       1.448538449899e+02 
       3.335207635008e-03       1.589451779243e+02 
       3.742164515408e-03       1.739333083137e+02 
       4.198777645321e-03       1.897575646385e+02 
       4.711106003561e-03       2.063210386475e+02 
       5.285947876168e-03       2.234863560655e+02 
       5.930931065539e-03       2.410667420345e+02 
       6.654614106728e-03       2.588200489863e+02 
       7.466599834007e-03       2.764397356854e+02 
       8.377662804643e-03       2.935489757474e+02 
       9.399892270729e-03       3.096964438487e+02 
       1.054685259621e-02       3.243490550097e+02 
       1.183376324775e-02       3.368968598410e+02 
       1.327770074781e-02       3.466622038725e+02 
       1.489782526974e-02       3.529277688305e+02 
       1.671563488086e-02       3.549488407182e+02 
       1.875525076973e-02       3.520723489610e+02 
       2.104373607140e-02       3.438155728958e+02 
       2.361143066644e-02       3.300080556369e+02 
       2.649205439088e-02       3.109588342915e+02 
