# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.05469e-05 to 239.653 h/Mpc,
# number of wavenumbers equal to 199
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_fld                 14:t_ur                  15:t_tot              
       1.054685259621e-05      -2.078598683304e+00      -1.558949532506e+00      -1.558949532515e+00      -1.558145024411e-01      -2.078598663044e+00      -5.938335404099e-01       4.806760457844e-01       4.805342512278e-01       1.168478261353e-07       1.169938663922e-07       1.169938671281e-07       1.169938670985e-07       1.168447166837e-07       1.169938197646e-07 
       1.183376324775e-05      -2.078920155083e+00      -1.559190921256e+00      -1.559190921300e+00      -1.558209054168e-01      -2.078920123056e+00      -5.939132986647e-01       4.806799661489e-01       4.805381968273e-01       1.470612866173e-07       1.472876745845e-07       1.472876778058e-07       1.472876777593e-07       1.470563840215e-07       1.472876041088e-07 
       1.327770074781e-05      -2.079347866673e+00      -1.559512184505e+00      -1.559512184584e+00      -1.558270325904e-01      -2.079347815401e+00      -5.940178014684e-01       4.806791078462e-01       4.805373744669e-01       1.850636720952e-07       1.854238964177e-07       1.854239017395e-07       1.854239016650e-07       1.850558529517e-07       1.854237844469e-07 
       1.489782526975e-05      -2.079906850130e+00      -1.559932208404e+00      -1.559932208556e+00      -1.558331124072e-01      -2.079906768342e+00      -5.941531016132e-01       4.806728306608e-01       4.805311450991e-01       2.328521846518e-07       2.334320970995e-07       2.334321065554e-07       2.334321064354e-07       2.328397155634e-07       2.334319176328e-07 
       1.671563488162e-05      -2.080571018864e+00      -1.560431520363e+00      -1.560431520557e+00      -1.558437942942e-01      -2.080570889472e+00      -5.943163185099e-01       4.806747572920e-01       4.805331261687e-01       2.929629698924e-07       2.938748060516e-07       2.938748182394e-07       2.938748180488e-07       2.929432596335e-07       2.938745215100e-07 
       1.875525081255e-05      -2.081504643336e+00      -1.561133636122e+00      -1.561133636501e+00      -1.558539988801e-01      -2.081504438216e+00      -5.945425159562e-01       4.806526720157e-01       4.805111113424e-01       3.685061397813e-07       3.699590011222e-07       3.699590374401e-07       3.699590371334e-07       3.684749091839e-07       3.699585625259e-07 
       2.104373752675e-05      -2.082475569633e+00      -1.561864808438e+00      -1.561864808964e+00      -1.558728760651e-01      -2.082475244986e+00      -5.947837493484e-01       4.806757883845e-01       4.805343144134e-01       4.634845326095e-07       4.657614073104e-07       4.657614412762e-07       4.657614407952e-07       4.634351358053e-07       4.657606998630e-07 
       2.361146185250e-05      -2.083825858482e+00      -1.562882302662e+00      -1.562882303483e+00      -1.558921469324e-01      -2.083825343327e+00      -5.951146339794e-01       4.806725460358e-01       4.805311843160e-01       5.827415746935e-07       5.863555699937e-07       5.863556230458e-07       5.863556222793e-07       5.826632559823e-07       5.863544463495e-07 
       2.649249593155e-05      -2.085482563245e+00      -1.564132258236e+00      -1.564132259573e+00      -1.559192708806e-01      -2.085481749063e+00      -5.955234872432e-01       4.806788127565e-01       4.805375873820e-01       7.324955702308e-07       7.381868741733e-07       7.381869600539e-07       7.381869588466e-07       7.323718268391e-07       7.381851066477e-07 
       2.972506933572e-05      -2.087630208659e+00      -1.565755052821e+00      -1.565755054935e+00      -1.559486986698e-01      -2.087628916221e+00      -5.960503132481e-01       4.806702661340e-01       4.805292207836e-01       9.202443826647e-07       9.293072907874e-07       9.293074272372e-07       9.293074253088e-07       9.200480966697e-07       9.293044759868e-07 
       3.335207635008e-05      -2.090315117098e+00      -1.567787627033e+00      -1.567787630302e+00      -1.559885416665e-01      -2.090313072167e+00      -5.967122229450e-01       4.806629906691e-01       4.805221665890e-01       1.155560038236e-06       1.169917785161e-06       1.169917996552e-06       1.169917993475e-06       1.155249625979e-06       1.169913321762e-06 
       3.742164515408e-05      -2.093638726228e+00      -1.570310176888e+00      -1.570310182078e+00      -1.560388997666e-01      -2.093635491740e+00      -5.975343192954e-01       4.806659418290e-01       4.805253947140e-01       1.450144330241e-06       1.472844065129e-06       1.472844400203e-06       1.472844395331e-06       1.449653681183e-06       1.472837009220e-06 
       4.198777645321e-05      -2.097860410788e+00      -1.573523737207e+00      -1.573523745583e+00      -1.561015522767e-01      -2.097855293546e+00      -5.985805822426e-01       4.806570243529e-01       4.805168263828e-01       1.818253082118e-06       1.854185745086e-06       1.854186303209e-06       1.854186295491e-06       1.817477596694e-06       1.854174600249e-06 
       4.711106003561e-05      -2.103104471852e+00      -1.577531777911e+00      -1.577531791192e+00      -1.561801088817e-01      -2.103096374808e+00      -5.998857936341e-01       4.806583034612e-01       4.805185455751e-01       2.277404672375e-06       2.334271439634e-06       2.334272299962e-06       2.334272287753e-06       2.276179424778e-06       2.334253782127e-06 
       5.285947876168e-05      -2.109690440465e+00      -1.582589760324e+00      -1.582589781243e+00      -1.562802491628e-01      -2.109677635968e+00      -6.015336054777e-01       4.806558629112e-01       4.805166561177e-01       2.848735578279e-06       2.938661862959e-06       2.938663213702e-06       2.938663194328e-06       2.846801609559e-06       2.938633932210e-06 
       5.930931065539e-05      -2.117935243105e+00      -1.588960679287e+00      -1.588960712523e+00      -1.564061555309e-01      -2.117915007250e+00      -6.036089907322e-01       4.806516771110e-01       4.805131612921e-01       3.557395783599e-06       3.699534137004e-06       3.699536288022e-06       3.699536257313e-06       3.554346496541e-06       3.699490004355e-06 
       6.654614106728e-05      -2.128243552845e+00      -1.596988300942e+00      -1.596988353690e+00      -1.565639057614e-01      -2.128211591138e+00      -6.062234386455e-01       4.806439594109e-01       4.805063116615e-01       4.432749362410e-06       4.657378709116e-06       4.657382116220e-06       4.657382067529e-06       4.427947190210e-06       4.657308972694e-06 
