# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=10
# for k=1.05469e-05 to 8.92137 h/Mpc,
# number of wavenumbers equal to 2527
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_fld                 13:t_ur                  14:t_tot              
       1.054685259621e-05      -1.542309807905e-04      -1.156794694354e-04      -1.156794702252e-04      -3.143704516469e-06      -1.542308575287e-04      -1.154230940829e-04       6.013538884500e-01       5.993761303133e-01      -5.319294527707e-12      -1.223380040864e-15      -1.524368567706e-18      -5.432348531289e-12      -2.320008684236e-14 
       1.059553465589e-05      -1.556579837529e-04      -1.167498375514e-04      -1.167498383558e-04      -3.172792826349e-06      -1.556578581995e-04      -1.164910897443e-04       6.013538817886e-01       5.993761249629e-01      -5.418186296580e-12      -1.246110780988e-15      -1.552708680028e-18      -5.533341404445e-12      -2.363139974105e-14 
       1.064444142175e-05      -1.570981886771e-04      -1.178301092936e-04      -1.178301101130e-04      -3.202150319608e-06      -1.570980607897e-04      -1.175689670762e-04       6.013538733264e-01       5.993761179321e-01      -5.518915977072e-12      -1.269275822271e-15      -1.581575737623e-18      -5.636211881974e-12      -2.407073153058e-14 
       1.069357393098e-05      -1.585517186149e-04      -1.189203769903e-04      -1.189203778249e-04      -3.231779422091e-06      -1.585515883497e-04      -1.186568182020e-04       6.013538664912e-01       5.993761126028e-01      -5.621518083627e-12      -1.292873979150e-15      -1.610979413499e-18      -5.740994749387e-12      -2.451823056122e-14 
       1.074293322557e-05      -1.600186964089e-04      -1.200207328147e-04      -1.200207336649e-04      -3.261682679990e-06      -1.600185637220e-04      -1.197547350906e-04       6.013538597420e-01       5.993761073711e-01      -5.726027654270e-12      -1.316912891775e-15      -1.640929745549e-18      -5.847725616616e-12      -2.497404935418e-14 
       1.079252035232e-05      -1.614992464181e-04      -1.211312700776e-04      -1.211312709435e-04      -3.291862627975e-06      -1.614991112644e-04      -1.208628108456e-04       6.013538528564e-01       5.993761020049e-01      -5.832480213760e-12      -1.341396862047e-15      -1.671436894079e-18      -5.956440696380e-12      -2.543834206660e-14 
       1.084233636284e-05      -1.629934942069e-04      -1.222520829945e-04      -1.222520838765e-04      -3.322321826846e-06      -1.629933565406e-04      -1.219811394737e-04       6.013538458879e-01       5.993760965670e-01      -5.940911825577e-12      -1.366335804684e-15      -1.702511212190e-18      -6.067176876760e-12      -2.591126635718e-14 
       1.089238231362e-05      -1.645015664681e-04      -1.233832666283e-04      -1.233832675267e-04      -3.353062859626e-06      -1.645014262426e-04      -1.231098158271e-04       6.013538387884e-01       5.993760910739e-01      -6.051358950652e-12      -1.391745252031e-15      -1.734163242545e-18      -6.179971728280e-12      -2.639298296099e-14 
       1.094265926601e-05      -1.660235911298e-04      -1.245249169688e-04      -1.245249178839e-04      -3.384088336148e-06      -1.660234482975e-04      -1.242489356824e-04       6.013538316520e-01       5.993760854672e-01      -6.163859872867e-12      -1.417617400087e-15      -1.766403729852e-18      -6.294863529242e-12      -2.688365481034e-14 
       1.099316828627e-05      -1.675596972648e-04      -1.256771308650e-04      -1.256771317971e-04      -3.415400889250e-06      -1.675595517768e-04      -1.253985956741e-04       6.013538244513e-01       5.993760798708e-01      -6.278451895792e-12      -1.443974038018e-15      -1.799243614319e-18      -6.411891222260e-12      -2.738344814606e-14 
       1.104391044557e-05      -1.691100151119e-04      -1.268400060428e-04      -1.268400069923e-04      -3.447003171600e-06      -1.691098669199e-04      -1.265588933111e-04       6.013538172194e-01       5.993760737801e-01      -6.395177064532e-12      -1.470777151475e-15      -1.832694036139e-18      -6.531094587877e-12      -2.789253351652e-14 
       1.109488682004e-05      -1.706746761317e-04      -1.280136411424e-04      -1.280136421096e-04      -3.478897865156e-06      -1.706745251842e-04      -1.277299270150e-04       6.013538098783e-01       5.993760684314e-01      -6.514067236606e-12      -1.498161128257e-15      -1.866766347025e-18      -6.652514080341e-12      -2.841108326804e-14 
       1.114609849077e-05      -1.722538130285e-04      -1.291981357406e-04      -1.291981367257e-04      -3.511087676661e-06      -1.722536592750e-04      -1.289117961416e-04       6.013538025186e-01       5.993760625423e-01      -6.635171123774e-12      -1.526000114345e-15      -1.901472109201e-18      -6.776190813094e-12      -2.893927349966e-14 
       1.119754654382e-05      -1.738475597108e-04      -1.303935903160e-04      -1.303935913195e-04      -3.543575336483e-06      -1.738474030986e-04      -1.301046009466e-04       6.013537950540e-01       5.993760567487e-01      -6.758525128033e-12      -1.554374440156e-15      -1.936823098956e-18      -6.902166792246e-12      -2.947728269855e-14 
       1.124923207030e-05      -1.754560517282e-04      -1.316001065810e-04      -1.316001076030e-04      -3.576363573064e-06      -1.754558922049e-04      -1.313084429168e-04       6.013537889523e-01       5.993760522332e-01      -6.884173042178e-12      -1.583268215283e-15      -1.972831281332e-18      -7.030484760360e-12      -3.002529439711e-14 
       1.130115616633e-05      -1.770794243623e-04      -1.328177860453e-04      -1.328177870863e-04      -3.609455244859e-06      -1.770792618729e-04      -1.325234233370e-04       6.013537802835e-01       5.993760452722e-01      -7.012156105490e-12      -1.612707556847e-15      -2.009508965731e-18      -7.161188269931e-12      -3.058349343185e-14 
       1.135331993310e-05      -1.787178162929e-04      -1.340467327707e-04      -1.340467338312e-04      -3.642853086506e-06      -1.787176507827e-04      -1.337496460381e-04       6.013537726192e-01       5.993760392846e-01      -7.142518812463e-12      -1.642690466593e-15      -2.046868509021e-18      -7.294321642323e-12      -3.115207010401e-14 
       1.140572447687e-05      -1.803713661534e-04      -1.352870507840e-04      -1.352870518641e-04      -3.676559950708e-06      -1.803711975662e-04      -1.349872148158e-04       6.013537649292e-01       5.993760333675e-01      -7.275304541262e-12      -1.673240556687e-15      -2.084922612191e-18      -7.429930060988e-12      -3.173121725067e-14 
       1.145837090903e-05      -1.820402141618e-04      -1.365388453014e-04      -1.365388464017e-04      -3.710578706816e-06      -1.820400424408e-04      -1.362362346533e-04       6.013537571017e-01       5.993760267461e-01      -7.410562803447e-12      -1.704288778604e-15      -2.123684202876e-18      -7.568059543414e-12      -3.232113038914e-14 
       1.151126034608e-05      -1.837245018038e-04      -1.378022224906e-04      -1.378022236113e-04      -3.744912228344e-06      -1.837243268903e-04      -1.374968114827e-04       6.013537492490e-01       5.993760210554e-01      -7.548329171256e-12      -1.736028659452e-15      -2.163166419726e-18      -7.708756932564e-12      -3.292201174709e-14 
       1.156439390968e-05      -1.854243719524e-04      -1.390772895612e-04      -1.390772907028e-04      -3.779563436156e-06      -1.854241937868e-04      -1.387690522757e-04       6.013537413028e-01       5.993760149038e-01      -7.688659242022e-12      -1.768310115673e-15      -2.203382667385e-18      -7.852070010156e-12      -3.353406293205e-14 
       1.161777272666e-05      -1.871399687202e-04      -1.403641546540e-04      -1.403641558168e-04      -3.814535265583e-06      -1.871397872424e-04      -1.400530649333e-04       6.013537333315e-01       5.993760088915e-01      -7.831597153818e-12      -1.801213373143e-15      -2.244346589425e-18      -7.998047381149e-12      -3.415749339878e-14 
