# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.05469e-05 to 8.92137 h/Mpc,
# number of wavenumbers equal to 2527
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from qthe transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_fld                 13:t_ur                  14:t_tot              
       1.054685259621e-05      -1.309363103934e-03      -9.825354282440e-04      -9.825354617036e-04      -1.950266641418e-05      -1.309342597924e-03      -3.201315076565e-04       4.806783696508e-01       4.805365735200e-01      -1.437522958617e-10      -2.164848458461e-15      -3.076362100054e-17      -1.468756840537e-10      -4.681229094506e-14 
       1.059553465589e-05      -1.321472060301e-03      -9.916266836345e-04      -9.916267177161e-04      -1.968323128914e-05      -1.321451173151e-03      -3.230937121417e-04       4.806784637629e-01       4.805366686375e-01      -1.464243610830e-10      -2.205089647657e-15      -3.133566949533e-17      -1.496057925889e-10      -4.768243531903e-14 
       1.064444142175e-05      -1.333692974764e-03      -1.000802084839e-03      -1.000802119555e-03      -1.986532789108e-05      -1.333671699303e-03      -3.260832378810e-04       4.806784278112e-01       4.805366336981e-01      -1.491460771411e-10      -2.246078721647e-15      -3.191820751529e-17      -1.523866451192e-10      -4.856875014652e-14 
       1.069357393098e-05      -1.346026832590e-03      -1.010062374253e-03      -1.010062409613e-03      -2.004917775918e-05      -1.346005161845e-03      -3.291004690141e-04       4.806784558872e-01       4.805366627771e-01      -1.519184146175e-10      -2.287795971075e-15      -3.251165803133e-17      -1.552191742802e-10      -4.947153943710e-14 
       1.074293322557e-05      -1.358474563740e-03      -1.019408252469e-03      -1.019408288487e-03      -2.023463700384e-05      -1.358452490050e-03      -3.321455252686e-04       4.806783492633e-01       4.805365572117e-01      -1.547422282120e-10      -2.330396248045e-15      -3.311597501224e-17      -1.581043537907e-10      -5.039111264903e-14 
       1.079252035232e-05      -1.371037496991e-03      -1.028840719528e-03      -1.028840756216e-03      -2.042188552873e-05      -1.371015012960e-03      -3.352188425730e-04       4.806783659973e-01       4.805365749818e-01      -1.576185216940e-10      -2.373709482098e-15      -3.373168069256e-17      -1.610431355835e-10      -5.132776358153e-14 
       1.084233636284e-05      -1.383716633662e-03      -1.038360530192e-03      -1.038360567562e-03      -2.061085199895e-05      -1.383693731701e-03      -3.383206074717e-04       4.806783975953e-01       4.805366076172e-01      -1.605483148330e-10      -2.417817607849e-15      -3.435886528701e-17      -1.640365741622e-10      -5.228183438172e-14 
       1.089238231362e-05      -1.396512911212e-03      -1.047968391055e-03      -1.047968429119e-03      -2.080155222961e-05      -1.396489583737e-03      -3.414510514187e-04       4.806783990526e-01       4.805366101095e-01      -1.635325917358e-10      -2.462742652216e-15      -3.499761337783e-17      -1.670856473540e-10      -5.325364278096e-14 
       1.094265926601e-05      -1.409427238824e-03      -1.057664987120e-03      -1.057665025892e-03      -2.099401374033e-05      -1.409403477544e-03      -3.446104071800e-04       4.806783253693e-01       4.805365375295e-01      -1.665722453065e-10      -2.508568438236e-15      -3.564823549186e-17      -1.701913636500e-10      -5.424350110847e-14 
       1.099316828627e-05      -1.422461090086e-03      -1.067451427970e-03      -1.067451467463e-03      -2.118814559993e-05      -1.422436887318e-03      -3.477989585835e-04       4.806782006082e-01       4.805364138300e-01      -1.696684805653e-10      -2.555186927130e-15      -3.631085129912e-17      -1.733548301867e-10      -5.525176948131e-14 
       1.104391044557e-05      -1.435615424487e-03      -1.077328436496e-03      -1.077328476723e-03      -2.138425253934e-05      -1.435590771968e-03      -3.510171409054e-04       4.806782515452e-01       4.805364658461e-01      -1.728222324905e-10      -2.602676752762e-15      -3.698597955949e-17      -1.765770732931e-10      -5.627876992845e-14 
       1.109488682004e-05      -1.448891315621e-03      -1.087296821714e-03      -1.087296862689e-03      -2.158219251822e-05      -1.448866204964e-03      -3.542651089901e-04       4.806783131817e-01       4.805365285743e-01      -1.760345851861e-10      -2.651025133797e-15      -3.767370187293e-17      -1.798591901579e-10      -5.732485039414e-14 
       1.114609849077e-05      -1.462289906609e-03      -1.097357444807e-03      -1.097357486544e-03      -2.178188601338e-05      -1.462264328923e-03      -3.575430769708e-04       4.806783028151e-01       4.805365193356e-01      -1.793065993028e-10      -2.700354224862e-15      -3.837408217663e-17      -1.832023286312e-10      -5.839037811737e-14 
       1.119754654382e-05      -1.475812430677e-03      -1.107511235013e-03      -1.107511277525e-03      -2.198344283933e-05      -1.475786377642e-03      -3.608514104622e-04       4.806783389321e-01       4.805365565499e-01      -1.826394872134e-10      -2.750552765733e-15      -3.908757906630e-17      -1.866075962344e-10      -5.947571431310e-14 
       1.124923207030e-05      -1.489459710658e-03      -1.117758813318e-03      -1.117758856621e-03      -2.218678199345e-05      -1.489433173316e-03      -3.641902475979e-04       4.806782322481e-01       4.805364510112e-01      -1.860342928326e-10      -2.801689985244e-15      -3.981411968063e-17      -1.900761573947e-10      -6.058121848956e-14 
       1.130115616633e-05      -1.503233297965e-03      -1.128101347283e-03      -1.128101391391e-03      -2.239215103116e-05      -1.503206267422e-03      -3.675601231368e-04       4.806783153651e-01       4.805365352524e-01      -1.894922060226e-10      -2.853755734743e-15      -4.055444775417e-17      -1.936091675308e-10      -6.170726674097e-14 
       1.135331993310e-05      -1.517134064394e-03      -1.138539495077e-03      -1.138539540005e-03      -2.259935285703e-05      -1.517106531443e-03      -3.709611069635e-04       4.806783034670e-01       4.805365245068e-01      -1.930143806165e-10      -2.906813311562e-15      -4.130841292203e-17      -1.972078474011e-10      -6.285424604666e-14 
       1.140572447687e-05      -1.531163328627e-03      -1.149074249933e-03      -1.149074295696e-03      -2.280840913609e-05      -1.531135283844e-03      -3.743935240359e-04       4.806782459004e-01       4.805364681049e-01      -1.966020133121e-10      -2.960863317299e-15      -4.207632248855e-17      -2.008734227700e-10      -6.402254430977e-14 
       1.145837090903e-05      -1.545322233990e-03      -1.159706473788e-03      -1.159706520402e-03      -2.301941146126e-05      -1.545293668216e-03      -3.778577064264e-04       4.806781958886e-01       4.805364192468e-01      -2.002563615069e-10      -3.015871537660e-15      -4.285855097263e-17      -2.046071040267e-10      -6.521255452831e-14 
       1.151126034608e-05      -1.559612017201e-03      -1.170437098258e-03      -1.170437145739e-03      -2.323244819418e-05      -1.559582920223e-03      -3.813540057362e-04       4.806782259462e-01       4.805364504998e-01      -2.039785617265e-10      -3.071970275863e-15      -4.365537789014e-17      -2.084101939665e-10      -6.642467998423e-14 
       1.156439390968e-05      -1.574033772829e-03      -1.181266949149e-03      -1.181266997512e-03      -2.344745529017e-05      -1.574004135153e-03      -3.848826357011e-04       4.806782304653e-01       4.805364562140e-01      -2.077699727054e-10      -3.129051283503e-15      -4.446703513801e-17      -2.122839435823e-10      -6.765932881389e-14 
       1.161777272666e-05      -1.588588934885e-03      -1.192197106493e-03      -1.192197155755e-03      -2.366434474096e-05      -1.588558746388e-03      -3.884438729349e-04       4.806781821321e-01       4.805364090690e-01      -2.116318730894e-10      -3.187232940971e-15      -4.529366324820e-17      -2.162297118814e-10      -6.891693683801e-14 
       1.167139792907e-05      -1.603279055370e-03      -1.203228738545e-03      -1.203228788723e-03      -2.388337223840e-05      -1.603248305815e-03      -3.920382580100e-04       4.806783744131e-01       4.805366025064e-01      -2.155654876160e-10      -3.246504104090e-15      -4.613581923209e-17      -2.202487634472e-10      -7.019790092707e-14 
       1.172527065417e-05      -1.618103910434e-03      -1.214361682911e-03      -1.214361734022e-03      -2.410438722901e-05      -1.618072589229e-03      -3.956656366719e-04       4.806782434469e-01       4.805364728258e-01      -2.195722514457e-10      -3.306843653421e-15      -4.699358609826e-17      -2.243425681194e-10      -7.150268343778e-14 
       1.177939204446e-05      -1.633066218758e-03      -1.225597983150e-03      -1.225598035211e-03      -2.432733149016e-05      -1.633034315508e-03      -3.993266068048e-04       4.806781470520e-01       4.805363776636e-01      -2.236535062476e-10      -3.368305634787e-15      -4.786711841521e-17      -2.285124502483e-10      -7.283171944646e-14 
       1.183376324775e-05      -1.648166755369e-03      -1.236938225284e-03      -1.236938278313e-03      -2.455242333993e-05      -1.648134259272e-03      -4.030215015186e-04       4.806781111078e-01       4.805363429640e-01      -2.278105962413e-10      -3.430880735748e-15      -4.875699939571e-17      -2.327598079691e-10      -7.418544624190e-14 
       1.188838541710e-05      -1.663407008117e-03      -1.248383530215e-03      -1.248383584230e-03      -2.477962423725e-05      -1.663373908035e-03      -4.067506442121e-04       4.806781457797e-01       4.805363788866e-01      -2.320449217711e-10      -3.494662345873e-15      -4.966352762171e-17      -2.370861026307e-10      -7.556433301365e-14 
       1.194325971094e-05      -1.678788020247e-03      -1.259934685449e-03      -1.259934740468e-03      -2.500896149347e-05      -1.678754304727e-03      -4.105142995054e-04       4.806781885789e-01       4.805364229664e-01      -2.363578964257e-10      -3.559655651268e-15      -5.058694982169e-17      -2.414927907599e-10      -7.696883964376e-14 
       1.199838729300e-05      -1.694311101499e-03      -1.271592678991e-03      -1.271592735033e-03      -2.524035469881e-05      -1.694276759238e-03      -4.143127205110e-04       4.806781626590e-01       4.805363983378e-01      -2.407510753009e-10      -3.625852378318e-15      -5.152737864613e-17      -2.459814053911e-10      -7.839946115905e-14 
       1.205376933243e-05      -1.709977697508e-03      -1.283358600178e-03      -1.283358657262e-03      -2.547389516680e-05      -1.709942717234e-03      -4.181463100960e-04       4.806781624800e-01       4.805363994328e-01      -2.452259444643e-10      -3.693243982609e-15      -5.248533750912e-17      -2.505534184785e-10      -7.985667152134e-14 
       1.210940700373e-05      -1.725788906860e-03      -1.295233277966e-03      -1.295233336111e-03      -2.570958908732e-05      -1.725753276256e-03      -4.220153312912e-04       4.806781165010e-01       4.805363547754e-01      -2.497838973279e-10      -3.761896714634e-15      -5.346110044076e-17      -2.552103919335e-10      -8.134094835527e-14 
       1.216530148686e-05      -1.741746325257e-03      -1.307217915049e-03      -1.307217974275e-03      -2.594753007373e-05      -1.741710032425e-03      -4.259202239323e-04       4.806781519301e-01       4.805363915221e-01      -2.544265798751e-10      -3.831810664144e-15      -5.445512954257e-17      -2.599539071953e-10      -8.285281139811e-14 
       1.222145396719e-05      -1.757851236284e-03      -1.319313479689e-03      -1.319313540016e-03      -2.618761748173e-05      -1.757814268723e-03      -4.298612210499e-04       4.806781568413e-01       4.805363977652e-01      -2.591555553501e-10      -3.903085709327e-15      -5.546749996709e-17      -2.647856142931e-10      -8.439278626968e-14 
       1.227786563560e-05      -1.774104746179e-03      -1.331520807894e-03      -1.331520869342e-03      -2.642984738260e-05      -1.774067092111e-03      -4.338385809157e-04       4.806780478429e-01       4.805362900957e-01      -2.639725241576e-10      -3.975588141818e-15      -5.649852721489e-17      -2.697071172940e-10      -8.596138901541e-14 
       1.233453768844e-05      -1.790508670757e-03      -1.343841265661e-03      -1.343841328252e-03      -2.667449287284e-05      -1.790470316603e-03      -4.378529178037e-04       4.806781315975e-01       4.805363752113e-01      -2.688788250235e-10      -4.049497206929e-15      -5.754917392688e-17      -2.747200151574e-10      -8.755910619240e-14 
       1.239147132759e-05      -1.807064023767e-03      -1.356275620832e-03      -1.356275684586e-03      -2.692121588636e-05      -1.807024956488e-03      -4.419042388657e-04       4.806780407545e-01       4.805362857521e-01      -2.738763915428e-10      -4.124833590664e-15      -5.861884145793e-17      -2.798261666092e-10      -8.918655088141e-14 
       1.244866776048e-05      -1.823772480710e-03      -1.368825135248e-03      -1.368825200188e-03      -2.717040176617e-05      -1.823732687228e-03      -4.459932030712e-04       4.806781194369e-01       4.805363658057e-01      -2.789668175173e-10      -4.201516576580e-15      -5.970882642913e-17      -2.850271482620e-10      -9.084422220082e-14 
       1.250612820011e-05      -1.840635223955e-03      -1.381490702535e-03      -1.381490768681e-03      -2.742182228968e-05      -1.840594691104e-03      -4.501199323945e-04       4.806781231204e-01       4.805363708737e-01      -2.841518902812e-10      -4.279593770962e-15      -6.081892899443e-17      -2.903248004627e-10      -9.253270656488e-14 
       1.256385386508e-05      -1.857653748823e-03      -1.394273449914e-03      -1.394273517290e-03      -2.767554728499e-05      -1.857612462636e-03      -4.542848267509e-04       4.806781065166e-01       4.805363556760e-01      -2.894332975667e-10      -4.359150903623e-15      -6.194962287730e-17      -2.957209076295e-10      -9.425256911318e-14 
       1.262184597961e-05      -1.874829408330e-03      -1.407174398789e-03      -1.407174467418e-03      -2.793159042380e-05      -1.874787354887e-03      -4.584882143934e-04       4.806780439564e-01       4.805362945430e-01      -2.948128643707e-10      -4.440225207554e-15      -6.310124871334e-17      -3.012172969201e-10      -9.600440045537e-14 
       1.268010577357e-05      -1.892163905416e-03      -1.420194832899e-03      -1.420194902803e-03      -2.818999578954e-05      -1.892121070636e-03      -4.627305263870e-04       4.806780139645e-01       4.805362659647e-01      -3.002924477265e-10      -4.522669629354e-15      -6.427433812752e-17      -3.068158354891e-10      -9.778877920573e-14 
       1.273863448253e-05      -1.909658508220e-03      -1.433335709641e-03      -1.433335780844e-03      -2.845083669576e-05      -1.909614877296e-03      -4.670121120301e-04       4.806780048096e-01       4.805362582556e-01      -3.058738063051e-10      -4.606746952339e-15      -6.546928986661e-17      -3.125184086474e-10      -9.960631961728e-14 
       1.279743334774e-05      -1.927314734231e-03      -1.446598174147e-03      -1.446598246674e-03      -2.871408809323e-05      -1.927270292406e-03      -4.713333115652e-04       4.806779925169e-01       4.805362474212e-01      -3.115588937756e-10      -4.692384116545e-15      -6.668645231742e-17      -3.183269572091e-10      -1.014576376388e-13 
       1.285650361617e-05      -1.945134025932e-03      -1.459983314930e-03      -1.459983388807e-03      -2.897981532741e-05      -1.945088757890e-03      -4.756945097401e-04       4.806779955305e-01       4.805362519244e-01      -3.173495797358e-10      -4.779714381934e-15      -6.792629113476e-17      -3.242434422221e-10      -1.033433620958e-13 
       1.291584654058e-05      -1.963118005286e-03      -1.473492355885e-03      -1.473492431135e-03      -2.924794750367e-05      -1.963071895772e-03      -4.800960398486e-04       4.806779767239e-01       4.805362346072e-01      -3.232479237716e-10      -4.868541976208e-15      -6.918911095096e-17      -3.302699033445e-10      -1.052641264340e-13 
       1.297546337948e-05      -1.981268088689e-03      -1.487126366562e-03      -1.487126443210e-03      -2.951851220649e-05      -1.981221122693e-03      -4.845382547441e-04       4.806779163826e-01       4.805361757468e-01      -3.292559649939e-10      -4.958986202639e-15      -7.047530114282e-17      -3.364083367539e-10      -1.072205944539e-13 
       1.303535539720e-05      -1.999585858290e-03      -1.500886539841e-03      -1.500886617914e-03      -2.979171995684e-05      -1.999538018998e-03      -4.890216716149e-04       4.806779534319e-01       4.805362143256e-01      -3.353755160811e-10      -5.051226790283e-15      -7.178568206563e-17      -3.426608408948e-10      -1.092134081648e-13 
