# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.05469e-05 to 1.07987 h/Mpc,
# number of wavenumbers equal to 112
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_fld                 14:t_ur                  15:t_tot              
       1.054685259621e-05      -2.078594740690e+00      -1.558946565154e+00      -1.558946565188e+00      -1.557818248546e-01      -2.078594720427e+00      -5.938101488613e-01       4.806770363651e-01       4.805352369584e-01       1.168512113088e-07       1.169946102640e-07       1.169946124121e-07       1.169732025998e-07       1.168481143212e-07       1.169906999075e-07 
       1.327770074781e-05      -2.079366556322e+00      -1.559526202785e+00      -1.559526202868e+00      -1.557730252802e-01      -2.079366505146e+00      -5.939850403822e-01       4.806744349238e-01       4.805326990083e-01       1.850624807196e-07       1.854235137012e-07       1.854235190971e-07       1.853697297069e-07       1.850546748720e-07       1.854136891868e-07 
       1.671563488162e-05      -2.080589610401e+00      -1.560445441301e+00      -1.560445441509e+00      -1.557588764450e-01      -2.080589481726e+00      -5.942622648575e-01       4.806701194784e-01       4.805284838970e-01       2.929674419688e-07       2.938752266907e-07       2.938752402732e-07       2.937403070997e-07       2.929478277299e-07       2.938505807991e-07 
       2.104373752675e-05      -2.082520733447e+00      -1.561898686760e+00      -1.561898687291e+00      -1.557369931228e-01      -2.082520409286e+00      -5.947008688018e-01       4.806644943354e-01       4.805230180138e-01       4.634773852826e-07       4.657584826629e-07       4.657585169351e-07       4.654193601035e-07       4.634280636020e-07       4.656965351110e-07 
       2.649249593155e-05      -2.085576578423e+00      -1.564202842986e+00      -1.564202844306e+00      -1.557028363920e-01      -2.085575766166e+00      -5.953966569181e-01       4.806552709881e-01       4.805140455743e-01       7.324494416364e-07       7.381723072171e-07       7.381723931093e-07       7.373221935761e-07       7.323258842629e-07       7.380170153923e-07 
       3.335207635008e-05      -2.090408920009e+00      -1.567857918645e+00      -1.567857921965e+00      -1.556473429088e-01      -2.090406882479e+00      -5.964994805470e-01       4.806395632848e-01       4.804987354938e-01       1.155551686836e-06       1.169910436501e-06       1.169910652201e-06       1.167780500292e-06       1.155242173215e-06       1.169521350980e-06 
       4.198777645321e-05      -2.098024497703e+00      -1.573646894941e+00      -1.573646903287e+00      -1.555603300735e-01      -2.098019391051e+00      -5.982467544052e-01       4.806159510428e-01       4.804757518268e-01       1.818154080070e-06       1.854148497853e-06       1.854149039431e-06       1.848803600274e-06       1.817380022351e-06       1.853172132772e-06 
       5.285947876168e-05      -2.109999558929e+00      -1.582821820143e+00      -1.582821841133e+00      -1.554224408125e-01      -2.109986779847e+00      -6.010160058515e-01       4.805784559331e-01       4.804392486875e-01       2.848424780221e-06       2.938540805374e-06       2.938542164451e-06       2.925131237950e-06       2.846494239058e-06       2.936091310264e-06 
       6.654614106728e-05      -2.128740459410e+00      -1.597361675339e+00      -1.597361727941e+00      -1.552044993009e-01      -2.128708564579e+00      -6.054049225599e-01       4.805193404314e-01       4.803816943479e-01       4.431900088826e-06       4.657056619209e-06       4.657060025160e-06       4.623438848885e-06       4.427106569272e-06       4.650915988164e-06 
       8.377662804643e-05      -2.157852912616e+00      -1.620404355126e+00      -1.620404487536e+00      -1.548598010338e-01      -2.157773551086e+00      -6.123608835902e-01       4.804256805886e-01       4.802904837690e-01       6.819521124253e-06       7.380387950949e-06       7.380396487243e-06       7.296179856662e-06       6.807695521185e-06       7.365007506033e-06 
       1.054685259621e-04      -2.202535081277e+00      -1.656917350360e+00      -1.656917681890e+00      -1.543161771347e-01      -2.202338875087e+00      -6.233848264901e-01       4.802785988043e-01       4.801472162561e-01       1.030569747343e-05       1.169576388642e-05       1.169578522171e-05       1.148519675854e-05       1.027685070459e-05       1.165730827995e-05 
       1.327770074781e-04      -2.269795491699e+00      -1.714770697340e+00      -1.714771526527e+00      -1.534610041315e-01      -2.269314934932e+00      -6.408557818806e-01       4.800481762592e-01       4.799226754228e-01       1.511495750600e-05       1.853315507145e-05       1.853320824131e-05       1.800799938439e-05       1.504582860450e-05       1.843726250315e-05 
       1.671563488162e-04      -2.367868750488e+00      -1.806425851422e+00      -1.806427907862e+00      -1.521218973122e-01      -2.366709318825e+00      -6.685445811917e-01       4.796885471250e-01       4.795719706375e-01       2.106279065389e-05       2.936466968156e-05       2.936480155572e-05       2.806042954070e-05       2.090188116544e-05       2.912657896139e-05 
       2.104373752675e-04      -2.503411705267e+00      -1.951604821795e+00      -1.951609952751e+00      -1.500364582547e-01      -2.500679830668e+00      -7.124257924608e-01       4.791303611684e-01       4.790269769292e-01       2.674674249146e-05       4.651898125658e-05       4.651930620619e-05       4.330042639757e-05       2.639003477718e-05       4.593166422788e-05 
