# power spectrum of delta
# redshift z=9.995300
# k              Pk             sigma(k)       sigma(Pk)      count
  1.570796e-02   3.996909e-05   0.000000e+00   1.611476e-05   6
  2.221441e-02   7.196572e-05   0.000000e+00   1.436823e-05   12
  2.720699e-02   9.875169e-05   2.980232e-10   2.023073e-05   8
  3.141593e-02   4.953267e-04   0.000000e+00   5.332110e-05   6
  3.512407e-02   4.656912e-04   5.619580e-10   1.484309e-04   24
  3.847649e-02   8.500154e-04   5.619580e-10   1.441501e-04   24
  4.442883e-02   5.596499e-04   0.000000e+00   2.510966e-04   12
  4.712389e-02   7.708006e-04   6.357829e-10   1.403036e-04   30
  4.967294e-02   1.140302e-03   0.000000e+00   2.502304e-04   24
  5.209742e-02   1.196604e-03   9.733398e-10   2.975957e-04   24
  5.441398e-02   1.596256e-03   5.960464e-10   3.209683e-04   8
  5.663587e-02   1.542608e-03   7.947286e-10   1.940016e-04   24
  5.877382e-02   1.639053e-03   0.000000e+00   2.316391e-04   48
  6.283185e-02   2.426870e-03   0.000000e+00   1.068005e-03   6
  6.476559e-02   2.142259e-03   7.947286e-10   3.025503e-04   48
  6.664324e-02   2.193165e-03   7.492773e-10   2.298821e-04   36
  6.846942e-02   3.434632e-03   7.947286e-10   7.232370e-04   24
  7.024815e-02   2.192247e-03   1.123916e-09   3.692570e-04   24
  7.198293e-02   2.113875e-03   0.000000e+00   2.844396e-04   48
  7.367688e-02   3.440910e-03   1.123916e-09   4.891927e-04   24
  7.695299e-02   3.218960e-03   1.123916e-09   4.999447e-04   24
  7.853982e-02   2.268480e-03   0.000000e+00   3.744454e-04   30
  8.009521e-02   2.608240e-03   0.000000e+00   2.865197e-04   72
  8.162097e-02   2.681255e-03   1.192093e-09   5.501661e-04   32
  8.458997e-02   3.896340e-03   0.000000e+00   4.531649e-04   72
  8.603606e-02   2.485377e-03   0.000000e+00   3.648062e-04   48
  8.885766e-02   1.418131e-03   0.000000e+00   4.192915e-04   12
  9.091388e-02   2.805673e-03   6.784996e-04   2.542348e-04   96
  9.292956e-02   3.631216e-03   1.123916e-09   4.637601e-04   48
  9.424778e-02   4.592725e-03   1.271566e-09   8.066366e-04   30
  9.650974e-02   4.514119e-03   5.553727e-04   4.232325e-04   96
  9.934588e-02   2.797862e-03   0.000000e+00   5.409392e-04   24
  1.009864e-01   4.159830e-03   5.747348e-04   3.364850e-04   144
  1.030040e-01   3.065259e-03   1.946680e-09   7.403492e-04   24
  1.050779e-01   4.820742e-03   5.098206e-04   5.463118e-04   96
  1.065366e-01   4.445156e-03   0.000000e+00   6.800690e-04   48
