# power spectrum of phi
# redshift z=48.519783
# k              Pk             sigma(k)       sigma(Pk)      count
  1.570796e-02   6.561687e-10   1.404895e-10   1.470011e-10   6
  2.221441e-02   2.362813e-10   0.000000e+00   4.441371e-11   12
  2.720699e-02   1.230177e-10   2.980232e-10   2.023871e-11   8
  3.141593e-02   1.282804e-10   2.809790e-10   3.526853e-11   6
  3.512407e-02   1.268586e-10   5.619580e-10   2.791681e-11   24
  3.847649e-02   6.929904e-11   3.973643e-10   1.242238e-11   24
  4.635387e-02   6.173189e-11   1.217504e-03   7.469318e-12   42
  4.967294e-02   2.910946e-11   0.000000e+00   8.183712e-12   24
  5.209742e-02   4.049156e-11   9.733398e-10   9.880230e-12   24
  5.608040e-02   2.686269e-11   9.621049e-04   5.439063e-12   32
  5.877382e-02   5.374661e-11   0.000000e+00   7.064602e-12   48
  6.283185e-02   2.952776e-11   5.619580e-10   1.390792e-12   6
  6.557030e-02   3.828677e-11   9.291969e-04   3.524633e-12   84
  6.935879e-02   3.549087e-11   8.893614e-04   7.712180e-12   48
  7.254758e-02   3.063815e-11   7.985346e-04   3.226256e-12   72
  7.695299e-02   4.310381e-11   7.947286e-10   9.997951e-12   24
  7.963774e-02   2.411386e-11   7.087081e-04   2.244940e-12   102
  8.367643e-02   1.951593e-11   1.370308e-03   1.871588e-12   104
  8.603606e-02   1.938813e-11   0.000000e+00   2.839605e-12   48
  9.068541e-02   1.527580e-11   9.092824e-04   1.006929e-12   108
  9.343657e-02   1.470179e-11   6.413175e-04   1.566645e-12   78
  9.650974e-02   1.124458e-11   5.553727e-04   1.024124e-12   96
  1.007521e-01   1.351721e-11   7.827476e-04   1.022999e-12   168
  1.046631e-01   1.451634e-11   9.466177e-04   1.074762e-12   120
  1.065366e-01   8.154956e-12   0.000000e+00   9.378781e-13   48
  1.109423e-01   9.292966e-12   9.164765e-04   7.190069e-13   194
  1.147571e-01   1.107142e-11   7.498405e-04   9.491452e-13   192
  1.180701e-01   6.909959e-12   5.224442e-04   6.572756e-13   96
  1.203984e-01   9.663047e-12   4.446482e-04   9.209106e-13   96
  1.233385e-01   7.493665e-12   6.559487e-04   5.407617e-13   174
  1.272878e-01   8.029277e-12   6.453399e-04   5.480983e-13   216
  1.304784e-01   7.342590e-12   6.685951e-04   5.684771e-13   192
  1.345850e-01   7.890761e-12   7.087816e-04   5.466951e-13   204
  1.374813e-01   6.388510e-12   9.706973e-04   4.373856e-13   224
  1.414909e-01   6.389991e-12   5.479655e-04   4.391998e-13   174
  1.446033e-01   5.930567e-12   1.053365e-03   3.832082e-13   288
  1.484650e-01   5.121395e-12   5.185518e-04   2.666755e-13   288
  1.514788e-01   4.379952e-12   1.000184e-03   3.245076e-13   192
  1.554236e-01   4.796103e-12   7.319331e-04   2.873951e-13   252
  1.579196e-01   3.975373e-12   4.361590e-04   2.301706e-13   246
  1.613100e-01   3.851127e-12   8.276231e-04   2.272784e-13   312
  1.643345e-01   3.382036e-12   5.346625e-04   1.917922e-13   248
  1.684860e-01   3.441909e-12   1.131025e-03   1.548281e-13   432
  1.718304e-01   3.094733e-12   9.472090e-04   2.445899e-13   198
  1.751353e-01   3.149485e-12   1.145604e-03   1.354867e-13   456
  1.789950e-01   2.895830e-12   6.685341e-04   1.815803e-13   324
  1.817267e-01   3.007779e-12   7.914724e-04   1.882609e-13   312
  1.851131e-01   2.760988e-12   9.927979e-04   1.270331e-13   408
  1.893262e-01   2.560514e-12   9.168549e-04   1.147677e-13   414
  1.922237e-01   3.070277e-12   7.933788e-04   1.482791e-13   392
  1.951891e-01   2.675144e-12   8.939032e-04   1.273565e-13   408
  1.990919e-01   2.143368e-12   9.488231e-04   9.701027e-14   444
  2.020561e-01   2.285482e-12   7.670392e-04   1.297702e-13   360
  2.058410e-01   2.087277e-12   1.052783e-03   7.972088e-14   678
  2.098438e-01   1.918411e-12   6.748154e-04   1.026404e-13   360
  2.129201e-01   1.753430e-12   1.111301e-03   7.306402e-14   648
  2.158529e-01   1.737285e-12   5.136230e-04   1.061616e-13   288
  2.195886e-01   1.673110e-12   9.568926e-04   6.377558e-14   686
  2.231016e-01   1.747932e-12   7.114303e-04   8.304032e-14   444
  2.262783e-01   1.588365e-12   9.881180e-04   6.159892e-14   696
  2.294381e-01   1.341856e-12   9.387623e-04   5.784592e-14   408
  2.328670e-01   1.457370e-12   9.712657e-04   5.760799e-14   648
  2.364370e-01   1.582830e-12   8.503906e-04   6.615508e-14   582
  2.396199e-01   1.422999e-12   1.064401e-03   5.011291e-14   744
  2.431321e-01   1.321405e-12   1.062590e-03   5.913220e-14   516
  2.463676e-01   1.354377e-12   1.028291e-03   5.145348e-14   728
  2.493547e-01   1.378265e-12   8.519968e-04   6.021525e-14   558
  2.529620e-01   1.165965e-12   8.588943e-04   4.158239e-14   768
  2.568725e-01   1.176022e-12   9.956413e-04   3.933334e-14   960
  2.602888e-01   1.003047e-12   6.965241e-04   4.475638e-14   576
  2.635727e-01   1.122128e-12   1.130592e-03   4.254691e-14   816
  2.671089e-01   1.100554e-12   8.722599e-04   4.524743e-14   666
  2.702138e-01   9.506200e-13   1.022915e-03   3.039413e-14   960
  2.739239e-01   9.031652e-13   1.008817e-03   3.041263e-14   824
  2.775241e-01   9.440640e-13   1.110885e-03   3.251939e-14   936
  2.808394e-01   8.759632e-13   8.261366e-04   3.572032e-14   624
  2.838930e-01   8.069558e-13   9.725641e-04   2.333736e-14   1062
  2.874377e-01   7.676469e-13   1.059457e-03   2.602932e-14   732
  2.905463e-01   7.746791e-13   9.192852e-04   2.235224e-14   1080
  2.942546e-01   7.489479e-13   1.002209e-03   2.467910e-14   936
  2.976082e-01   6.961539e-13   1.082494e-03   2.388725e-14   878
  3.011413e-01   7.104953e-13   1.097016e-03   2.089729e-14   1152
  3.044218e-01   6.880352e-13   8.479143e-04   2.117059e-14   1056
  3.079105e-01   6.345857e-13   1.001477e-03   2.147365e-14   864
  3.110264e-01   6.635918e-13   9.782607e-04   2.029706e-14   1092
  3.147509e-01   6.343224e-13   1.033457e-03   1.832368e-14   1206
  3.182989e-01   6.112638e-13   1.048759e-03   1.683168e-14   1248
  3.215758e-01   6.045690e-13   7.107183e-04   1.985716e-14   864
  3.244931e-01   5.675266e-13   7.379012e-04   1.703419e-14   1152
  3.282964e-01   5.842102e-13   1.098528e-03   1.544252e-14   1382
  3.320084e-01   5.640667e-13   9.790321e-04   1.572098e-14   1188
  3.352589e-01   5.378526e-13   1.037410e-03   1.406478e-14   1248
  3.383281e-01   4.677736e-13   9.840824e-04   1.339368e-14   1152
  3.416961e-01   5.071707e-13   1.080699e-03   1.435495e-14   1320
  3.454323e-01   4.806975e-13   7.162673e-04   1.374251e-14   1206
  3.485323e-01   4.628857e-13   1.040639e-03   1.193954e-14   1560
  3.522149e-01   4.672826e-13   9.687237e-04   1.363079e-14   1280
  3.553656e-01   4.451660e-13   9.753251e-04   1.291188e-14   1308
  3.588126e-01   4.067094e-13   9.788304e-04   1.092453e-14   1512
  3.622462e-01   4.072625e-13   7.986109e-04   1.091247e-14   1350
  3.657845e-01   3.913978e-13   1.055155e-03   9.497063e-15   1608
  3.688093e-01   3.658966e-13   9.074168e-04   9.697024e-15   1320
  3.723318e-01   3.840119e-13   1.093091e-03   9.756258e-15   1656
  3.755028e-01   3.399794e-13   8.593531e-04   8.734281e-15   1254
  3.791706e-01   3.705220e-13   9.807940e-04   8.814809e-15   1932
  3.826277e-01   3.399310e-13   8.807497e-04   8.760535e-15   1640
  3.860340e-01   3.076161e-13   9.142769e-04   8.299550e-15   1488
  3.892465e-01   3.434075e-13   8.838091e-04   8.571084e-15   1560
  3.929003e-01   3.035621e-13   1.061554e-03   6.801739e-15   2046
  3.962918e-01   3.176895e-13   9.522112e-04   8.383241e-15   1512
  3.995770e-01   3.062966e-13   9.476029e-04   6.897303e-15   1764
  4.028533e-01   2.882643e-13   9.447944e-04   6.647198e-15   1776
  4.062341e-01   2.824870e-13   1.135757e-03   6.437474e-15   1704
  4.098613e-01   2.650832e-13   1.112243e-03   5.669398e-15   2126
  4.131278e-01   2.757814e-13   7.726530e-04   6.843999e-15   1632
