# power spectrum of phi_prime
# redshift z=48.519783
# k              Pk             sigma(k)       sigma(Pk)      count
  1.570796e-02   6.686307e-14   1.404895e-10   1.432903e-14   6
  2.221441e-02   2.726559e-14   0.000000e+00   4.622506e-15   12
  2.720699e-02   1.794112e-14   2.980232e-10   3.970622e-15   8
  3.141593e-02   2.397599e-14   2.809790e-10   4.567852e-15   6
  3.512407e-02   2.508160e-14   5.619580e-10   5.451704e-15   24
  3.847649e-02   1.259203e-14   3.973643e-10   1.974071e-15   24
  4.635387e-02   1.102782e-14   1.217504e-03   1.155183e-15   42
  4.967294e-02   5.745231e-15   0.000000e+00   1.392507e-15   24
  5.209742e-02   1.087575e-14   9.733398e-10   1.951707e-15   24
  5.608040e-02   8.921875e-15   9.621049e-04   1.488338e-15   32
  5.877382e-02   1.075541e-14   0.000000e+00   1.499126e-15   48
  6.283185e-02   6.446697e-15   5.619580e-10   1.717557e-15   6
  6.557030e-02   6.370306e-15   9.291969e-04   6.341322e-16   84
  6.935879e-02   6.802095e-15   8.893614e-04   1.106743e-15   48
  7.254758e-02   8.166111e-15   7.985346e-04   7.577152e-16   72
  7.695299e-02   1.303815e-14   7.947286e-10   3.851456e-15   24
  7.963774e-02   7.898739e-15   7.087081e-04   6.902964e-16   102
  8.367643e-02   8.076776e-15   1.370308e-03   1.029436e-15   104
  8.603606e-02   5.905372e-15   0.000000e+00   8.307798e-16   48
  9.068541e-02   7.366649e-15   9.092824e-04   6.632096e-16   108
  9.343657e-02   5.061773e-15   6.413175e-04   5.743818e-16   78
  9.650974e-02   7.239343e-15   5.553727e-04   7.322708e-16   96
  1.007521e-01   5.676339e-15   7.827476e-04   4.428589e-16   168
  1.046631e-01   6.625509e-15   9.466177e-04   5.896738e-16   120
  1.065366e-01   4.577497e-15   0.000000e+00   7.318646e-16   48
  1.109423e-01   5.680259e-15   9.164765e-04   3.742388e-16   194
  1.147571e-01   5.992344e-15   7.498405e-04   3.765797e-16   192
  1.180701e-01   4.449613e-15   5.224442e-04   3.784731e-16   96
  1.203984e-01   5.363368e-15   4.446482e-04   4.975430e-16   96
  1.233385e-01   4.941037e-15   6.559487e-04   4.068639e-16   174
  1.272878e-01   6.338652e-15   6.453399e-04   5.123357e-16   216
  1.304784e-01   4.999697e-15   6.685951e-04   3.137758e-16   192
  1.345850e-01   4.506128e-15   7.087816e-04   3.189662e-16   204
  1.374813e-01   4.525429e-15   9.706973e-04   2.885173e-16   224
  1.414909e-01   5.879865e-15   5.479655e-04   5.182590e-16   174
  1.446033e-01   5.007853e-15   1.053365e-03   3.286739e-16   288
  1.484650e-01   4.272809e-15   5.185518e-04   2.754811e-16   288
  1.514788e-01   4.129502e-15   1.000184e-03   3.144700e-16   192
  1.554236e-01   4.374808e-15   7.319331e-04   2.648836e-16   252
  1.579196e-01   3.978153e-15   4.361590e-04   2.481438e-16   246
  1.613100e-01   5.421636e-15   8.276231e-04   3.497762e-16   312
  1.643345e-01   4.764857e-15   5.346625e-04   2.543390e-16   248
  1.684860e-01   4.165168e-15   1.131025e-03   2.081744e-16   432
  1.718304e-01   3.924181e-15   9.472090e-04   2.546525e-16   198
  1.751353e-01   4.188519e-15   1.145604e-03   2.020080e-16   456
  1.789950e-01   5.114609e-15   6.685341e-04   2.948383e-16   324
  1.817267e-01   3.846152e-15   7.914724e-04   2.209484e-16   312
  1.851131e-01   4.152943e-15   9.927979e-04   2.352227e-16   408
  1.893262e-01   4.031112e-15   9.168549e-04   1.940439e-16   414
  1.922237e-01   3.806768e-15   7.933788e-04   1.860277e-16   392
  1.951891e-01   4.712589e-15   8.939032e-04   2.243795e-16   408
  1.990919e-01   4.400314e-15   9.488231e-04   2.568415e-16   444
  2.020561e-01   3.654852e-15   7.670392e-04   1.932043e-16   360
  2.058410e-01   4.207504e-15   1.052783e-03   1.674114e-16   678
  2.098438e-01   3.760042e-15   6.748154e-04   1.863542e-16   360
  2.129201e-01   4.318638e-15   1.111301e-03   1.784794e-16   648
  2.158529e-01   4.069936e-15   5.136230e-04   2.619820e-16   288
  2.195886e-01   3.917904e-15   9.568926e-04   1.507081e-16   686
  2.231016e-01   4.207889e-15   7.114303e-04   1.980290e-16   444
  2.262783e-01   3.761875e-15   9.881180e-04   1.402616e-16   696
  2.294381e-01   4.014340e-15   9.387623e-04   1.990491e-16   408
  2.328670e-01   3.714730e-15   9.712657e-04   1.352643e-16   648
  2.364370e-01   3.553394e-15   8.503906e-04   1.762380e-16   582
  2.396199e-01   3.640109e-15   1.064401e-03   1.284416e-16   744
  2.431321e-01   3.942311e-15   1.062590e-03   1.887917e-16   516
  2.463676e-01   3.377733e-15   1.028291e-03   1.280910e-16   728
  2.493547e-01   3.427657e-15   8.519968e-04   1.380755e-16   558
  2.529620e-01   3.700054e-15   8.588943e-04   1.591674e-16   768
  2.568725e-01   3.656328e-15   9.956413e-04   1.223717e-16   960
  2.602888e-01   3.565856e-15   6.965241e-04   1.452354e-16   576
  2.635727e-01   3.490313e-15   1.130592e-03   1.209083e-16   816
  2.671089e-01   3.264847e-15   8.722599e-04   1.266944e-16   666
  2.702138e-01   3.431668e-15   1.022915e-03   1.106778e-16   960
  2.739239e-01   3.260137e-15   1.008817e-03   1.182559e-16   824
  2.775241e-01   3.411644e-15   1.110885e-03   1.173457e-16   936
  2.808394e-01   3.313432e-15   8.261366e-04   1.447570e-16   624
  2.838930e-01   3.465534e-15   9.725641e-04   1.077544e-16   1062
