# power spectrum of phi_prime
# redshift z=-0.029939
# k              Pk             sigma(k)       sigma(Pk)      count
  5.235988e-03   5.217778e-11   0.000000e+00   2.103975e-11   6
  7.404805e-03   3.073074e-11   0.000000e+00   6.136112e-12   12
  9.068997e-03   2.291573e-11   9.934107e-11   4.657592e-12   8
  1.047198e-02   7.659157e-11   0.000000e+00   8.219567e-12   6
  1.170802e-02   5.271789e-11   1.873193e-10   1.679812e-11   24
  1.282550e-02   7.466521e-11   1.873193e-10   1.254768e-11   24
  1.480961e-02   3.281218e-11   0.000000e+00   1.477946e-11   12
  1.570796e-02   3.786342e-11   2.119276e-10   6.999038e-12   30
  1.655765e-02   4.723371e-11   0.000000e+00   1.040914e-11   24
  1.736581e-02   4.273310e-11   3.244466e-10   1.063298e-11   24
  1.813799e-02   4.886240e-11   1.986821e-10   9.960038e-12   8
  1.887862e-02   4.124042e-11   2.649095e-10   5.120310e-12   24
  1.959127e-02   3.850314e-11   0.000000e+00   5.379714e-12   48
  2.094395e-02   4.592021e-11   0.000000e+00   2.025151e-11   6
  2.158853e-02   3.602621e-11   2.649095e-10   5.032326e-12   48
  2.221441e-02   3.300719e-11   2.497591e-10   3.401161e-12   36
  2.282314e-02   4.669405e-11   2.649095e-10   9.707006e-12   24
  2.341605e-02   2.736180e-11   3.746387e-10   4.734392e-12   24
  2.399431e-02   2.425601e-11   0.000000e+00   3.319660e-12   48
  2.455896e-02   3.703670e-11   3.746387e-10   5.253306e-12   24
  2.565100e-02   2.916067e-11   3.746387e-10   4.622934e-12   24
  2.617994e-02   1.998621e-11   0.000000e+00   3.240818e-12   30
  2.669840e-02   2.105750e-11   0.000000e+00   2.316115e-12   72
  2.720699e-02   2.063747e-11   3.973643e-10   4.204469e-12   32
  2.819666e-02   2.651795e-11   0.000000e+00   3.055560e-12   72
  2.867869e-02   1.666143e-11   0.000000e+00   2.425095e-12   48
  2.961922e-02   8.631205e-12   0.000000e+00   2.575857e-12   12
  3.030463e-02   1.553270e-11   2.261665e-04   1.463668e-12   96
  3.097652e-02   1.955721e-11   3.746387e-10   2.453324e-12   48
  3.141593e-02   2.325731e-11   4.238553e-10   4.039980e-12   30
  3.216991e-02   2.099719e-11   1.851242e-04   1.994235e-12   96
  3.311529e-02   1.290456e-11   0.000000e+00   2.394141e-12   24
  3.366215e-02   1.699111e-11   1.915783e-04   1.371685e-12   144
  3.433467e-02   1.174098e-11   6.488932e-10   2.912159e-12   24
  3.502596e-02   1.739876e-11   1.699402e-04   1.991536e-12   96
  3.551220e-02   1.518113e-11   0.000000e+00   2.321535e-12   48
  3.660341e-02   1.832327e-11   1.260241e-04   2.085555e-12   62
  3.715799e-02   1.311019e-11   1.772208e-04   1.584078e-12   132
  3.775724e-02   8.511939e-12   5.298191e-10   1.563529e-12   24
  3.832310e-02   1.353981e-11   1.771288e-04   1.143264e-12   168
  3.935669e-02   1.522189e-11   1.741481e-04   1.271071e-12   96
  4.013281e-02   1.025398e-11   1.482161e-04   9.782427e-13   96
  4.108514e-02   1.049736e-11   1.652065e-04   8.596902e-13   168
  4.188790e-02   1.573899e-11   0.000000e+00   7.087465e-12   6
  4.221388e-02   1.156146e-11   0.000000e+00   1.137259e-12   96
  4.260157e-02   1.115032e-11   1.284165e-04   1.073601e-12   120
  4.338794e-02   8.879910e-12   1.491145e-04   6.954828e-13   144
  4.380742e-02   9.892744e-12   0.000000e+00   1.294053e-12   48
  4.460453e-02   8.767083e-12   1.521580e-04   9.391093e-13   84
  4.504167e-02   9.893248e-12   1.038229e-09   8.821664e-13   120
  4.543537e-02   7.337145e-12   1.380725e-04   8.179678e-13   80
  4.604473e-02   7.063301e-12   1.401889e-04   5.192849e-13   144
  4.683210e-02   9.032928e-12   7.492773e-10   1.667915e-12   24
  4.721669e-02   9.635387e-12   1.352762e-04   8.031249e-13   150
  4.781672e-02   8.670034e-12   1.403566e-04   6.466846e-13   120
  4.847566e-02   7.863417e-12   1.279055e-04   6.793628e-13   168
  4.911792e-02   1.128732e-11   7.492773e-10   1.927360e-12   24
  4.952200e-02   6.735491e-12   1.377929e-04   4.297750e-13   264
  4.994814e-02   5.406557e-12   7.492773e-10   7.612743e-13   48
  5.067454e-02   6.801534e-12   1.276316e-04   5.519983e-13   144
  5.147966e-02   8.287432e-12   1.256320e-04   9.932046e-13   72
  5.193915e-02   6.467043e-12   1.292283e-04   4.197879e-13   180
  5.258146e-02   6.827050e-12   9.363474e-05   5.045556e-13   198
  5.288088e-02   7.568405e-12   0.000000e+00   9.038880e-13   48
  5.354315e-02   5.904108e-12   1.267373e-04   4.412196e-13   168
  5.403464e-02   6.975780e-12   1.268426e-04   6.481407e-13   144
  5.477816e-02   6.503611e-12   1.782208e-04   3.426700e-13   248
  5.578218e-02   4.490512e-12   1.228688e-04   3.136747e-13   192
  5.646587e-02   5.850484e-12   1.897889e-04   3.890491e-13   240
  5.687739e-02   6.238532e-12   0.000000e+00   6.518487e-13   72
  5.750501e-02   6.554587e-12   1.158173e-04   5.755948e-13   126
  5.790096e-02   6.994875e-12   1.068571e-04   5.587916e-13   168
  5.865697e-02   6.615455e-12   1.168470e-04   3.714091e-13   288
  5.945162e-02   5.872128e-12   6.154109e-05   5.077894e-13   156
  5.986314e-02   5.110455e-12   1.035300e-04   4.343574e-13   168
  6.048719e-02   5.216755e-12   1.774839e-04   3.253666e-13   264
  6.106159e-02   4.950403e-12   0.000000e+00   5.795054e-13   48
  6.148841e-02   4.956909e-12   1.766395e-04   3.223901e-13   264
  6.210029e-02   5.063707e-12   1.041178e-04   4.225448e-13   144
  6.256240e-02   5.443833e-12   2.130198e-04   6.070580e-13   78
  6.323557e-02   4.556397e-12   1.384716e-04   2.525543e-13   336
  6.387038e-02   4.261077e-12   1.053544e-04   3.022850e-13   200
  6.428728e-02   4.151125e-12   2.062852e-04   3.079533e-13   192
  6.485011e-02   4.900827e-12   1.035191e-04   3.413740e-13   240
  6.536719e-02   5.308807e-12   2.074585e-04   3.751870e-13   168
  6.589839e-02   4.412077e-12   1.660972e-04   3.764679e-13   120
  6.653638e-02   4.652064e-12   1.298194e-04   2.415112e-13   324
  6.715542e-02   4.283064e-12   1.020601e-04   2.951354e-13   192
  6.757675e-02   4.299078e-12   1.830393e-04   3.067288e-13   168
  6.829342e-02   3.681914e-12   1.507563e-04   1.941453e-13   342
  6.893961e-02   4.883057e-12   1.213892e-04   2.553745e-13   336
  6.959460e-02   5.324836e-12   9.289460e-05   5.938410e-13   72
  7.003628e-02   4.320252e-12   1.485725e-04   2.866147e-13   288
  7.054901e-02   4.069592e-12   9.676063e-05   2.919731e-13   264
  7.126512e-02   3.623426e-12   1.272641e-04   2.007796e-13   384
  7.190656e-02   3.810140e-12   1.527500e-04   2.945973e-13   240
  7.217311e-02   3.728001e-12   0.000000e+00   4.839373e-13   48
  7.294411e-02   3.826860e-12   1.250359e-04   1.888421e-13   392
  7.353232e-02   3.555114e-12   1.372206e-04   2.016097e-13   294
  7.416482e-02   3.516986e-12   8.918623e-05   2.733317e-13   228
  7.458080e-02   4.092619e-12   1.354424e-04   2.646922e-13   216
  7.509838e-02   3.348303e-12   8.250210e-05   1.769728e-13   336
  7.573194e-02   3.554957e-12   9.802603e-05   1.970749e-13   360
  7.625496e-02   3.827982e-12   1.493497e-04   2.369249e-13   240
  7.679995e-02   3.595848e-12   1.767149e-04   2.613911e-13   168
  7.730831e-02   3.007127e-12   1.390961e-04   1.682707e-13   312
  7.791394e-02   3.121634e-12   8.705117e-05   1.591531e-13   336
  7.856822e-02   3.276930e-12   1.187540e-04   1.977345e-13   294
  7.906152e-02   3.833629e-12   1.582748e-04   2.422255e-13   288
  7.943900e-02   2.577814e-12   9.903780e-05   1.697732e-13   264
  8.011214e-02   3.004790e-12   1.701215e-04   1.472934e-13   480
  8.067496e-02   3.277370e-12   8.322287e-05   1.876261e-13   240
  8.136496e-02   3.280837e-12   8.415296e-05   1.888882e-13   276
  8.190934e-02   2.903759e-12   1.847323e-04   1.246519e-13   488
  8.255606e-02   3.079723e-12   8.136006e-05   2.588342e-13   240
  8.293146e-02   2.938784e-12   1.579803e-04   1.500932e-13   360
  8.345785e-02   2.483081e-12   5.620700e-05   1.752454e-13   198
  8.413479e-02   2.377474e-12   1.899257e-04   1.062803e-13   480
  8.463044e-02   2.431979e-12   7.010252e-05   1.441839e-13   288
  8.531595e-02   2.718671e-12   1.481807e-04   1.289203e-13   480
  8.593239e-02   2.666214e-12   9.129808e-05   1.178105e-13   480
  8.656544e-02   2.347380e-12   1.180789e-04   1.513490e-13   288
  8.696040e-02   2.676088e-12   1.259684e-04   1.528149e-13   288
  8.758162e-02   2.433352e-12   2.189963e-04   1.174895e-13   456
  8.820712e-02   2.655155e-12   2.062435e-04   1.350153e-13   360
  8.861040e-02   2.312440e-12   1.236284e-04   1.551522e-13   180
  8.919402e-02   1.962236e-12   1.346464e-04   8.511559e-14   486
  8.978558e-02   2.234333e-12   1.791231e-04   1.038473e-13   504
  9.038706e-02   2.351896e-12   1.391696e-04   1.078756e-13   456
  9.088577e-02   2.168856e-12   1.156254e-04   1.247542e-13   296
  9.154468e-02   2.106686e-12   1.140954e-04   9.415639e-14   528
  9.204020e-02   2.179835e-12   1.125825e-04   1.098252e-13   336
  9.277004e-02   2.058710e-12   1.248751e-04   8.771083e-14   600
  9.330425e-02   1.700559e-12   7.315851e-05   9.805007e-14   264
  9.383962e-02   1.926304e-12   7.911223e-05   9.609654e-14   360
  9.438606e-02   1.937370e-12   1.583905e-04   8.652422e-14   630
  9.498822e-02   2.352877e-12   8.175969e-05   1.140592e-13   432
  9.552236e-02   2.167835e-12   1.575302e-04   1.144212e-13   408
  9.617798e-02   1.967064e-12   1.045589e-04   1.044641e-13   324
  9.666574e-02   1.778556e-12   1.490093e-04   6.698925e-14   744
  9.725408e-02   1.573573e-12   1.191230e-04   8.794551e-14   336
  9.781619e-02   1.932163e-12   1.637637e-04   7.913816e-14   528
  9.843260e-02   1.650947e-12   8.355720e-05   9.380744e-14   408
  9.884128e-02   1.513581e-12   1.422144e-04   7.497328e-14   408
  9.951653e-02   1.636259e-12   1.174026e-04   7.686365e-14   470
  1.000084e-01   1.796671e-12   1.410385e-04   8.313467e-14   528
  1.006952e-01   1.488194e-12   1.175233e-04   5.805780e-14   624
  1.012011e-01   1.644238e-12   8.942418e-05   7.690266e-14   504
  1.017230e-01   1.380165e-12   1.245612e-04   5.970207e-14   552
  1.022407e-01   1.477679e-12   6.055129e-05   7.530227e-14   336
