# power spectrum of delta
# redshift z=5.974173
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   1.731578e-06   7.667927e-04   3.348450e-07   18
  1.037418e-02   4.640727e-05   1.725047e-03   5.350564e-06   128
  1.616528e-02   2.045611e-04   1.646572e-03   1.154548e-05   314
  2.269071e-02   4.891583e-04   1.954354e-03   1.896547e-05   728
  2.897169e-02   9.339720e-04   1.717946e-03   3.136588e-05   1016
  3.518826e-02   1.296164e-03   1.880676e-03   3.201862e-05   1682
  4.169479e-02   1.940914e-03   1.831736e-03   4.077267e-05   2300
  4.790974e-02   2.467550e-03   1.770731e-03   4.634341e-05   2906
  5.429022e-02   3.310563e-03   1.892687e-03   5.446630e-05   4040
  6.068098e-02   4.272846e-03   1.775551e-03   6.440704e-05   4712
  6.698900e-02   5.431631e-03   1.857705e-03   7.008907e-05   6002
  7.346135e-02   6.417819e-03   1.857594e-03   7.639467e-05   7256
  7.977379e-02   7.611798e-03   1.772571e-03   8.613340e-05   8120
  8.609019e-02   8.320663e-03   1.864951e-03   8.346702e-05   9950
  9.253636e-02   9.156353e-03   1.853578e-03   8.470857e-05   11384
  9.885187e-02   9.738470e-03   1.809244e-03   8.765432e-05   12666
  1.052712e-01   1.073490e-02   1.889168e-03   8.620451e-05   15104
  1.117654e-01   1.182605e-02   1.850532e-03   9.291199e-05   16616
  1.180754e-01   1.343580e-02   1.799489e-03   1.007727e-04   18026
  1.244216e-01   1.472577e-02   1.853405e-03   1.009631e-04   20696
  1.308065e-01   1.597742e-02   1.827918e-03   1.074939e-04   22436
  1.371558e-01   1.751119e-02   1.845873e-03   1.114143e-04   24962
  1.435394e-01   1.836918e-02   1.831283e-03   1.100752e-04   27176
  1.499133e-01   1.892778e-02   1.847268e-03   1.100857e-04   29810
  1.562775e-01   1.971187e-02   1.828450e-03   1.111444e-04   32120
  1.626776e-01   2.046533e-02   1.865216e-03   1.091142e-04   35432
  1.690383e-01   2.174568e-02   1.814577e-03   1.123503e-04   37238
  1.754019e-01   2.299340e-02   1.856016e-03   1.136757e-04   41072
  1.817869e-01   2.420913e-02   1.834293e-03   1.173133e-04   43472
  1.881565e-01   2.591586e-02   1.848176e-03   1.199227e-04   47042
  1.945298e-01   2.755054e-02   1.829223e-03   1.252873e-04   49712
  2.008693e-01   2.869348e-02   1.840592e-03   1.250823e-04   53226
  2.072637e-01   2.899437e-02   1.853753e-03   1.209202e-04   57320
  2.136558e-01   3.004132e-02   1.831629e-03   1.230451e-04   60092
  2.200056e-01   3.095985e-02   1.839426e-03   1.228791e-04   63914
  2.263950e-01   3.164961e-02   1.849752e-03   1.207262e-04   68192
  2.327751e-01   3.272210e-02   1.833934e-03   1.223237e-04   71336
  2.391397e-01   3.382348e-02   1.845607e-03   1.228251e-04   75818
  2.455297e-01   3.513781e-02   1.844019e-03   1.249464e-04   79880
  2.518964e-01   3.650319e-02   1.834462e-03   1.259354e-04   83642
  2.582661e-01   3.809425e-02   1.840779e-03   1.283828e-04   88316
  2.646730e-01   3.902305e-02   1.859422e-03   1.282122e-04   93488
  2.710484e-01   3.986746e-02   1.827184e-03   1.288294e-04   96458
  2.773871e-01   4.070034e-02   1.829038e-03   1.292094e-04   101264
