# power spectrum of zeta (dimensionless)
# redshift z=99.597220
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   5.631112e-22   7.667927e-04   1.109653e-22   18
  1.037418e-02   1.637794e-20   1.725047e-03   1.894096e-21   128
  1.616528e-02   7.286908e-20   1.646572e-03   4.115852e-21   314
  2.269071e-02   1.754158e-19   1.954354e-03   6.799829e-21   728
  2.897169e-02   3.375137e-19   1.717946e-03   1.133491e-20   1016
  3.518826e-02   4.705039e-19   1.880676e-03   1.160418e-20   1682
  4.169479e-02   7.058648e-19   1.831736e-03   1.487329e-20   2300
  4.790974e-02   8.928794e-19   1.770731e-03   1.677620e-20   2906
  5.429022e-02   1.194644e-18   1.892687e-03   1.969786e-20   4040
  6.068098e-02   1.525128e-18   1.775551e-03   2.303328e-20   4712
  6.698900e-02   1.937717e-18   1.857705e-03   2.491463e-20   6002
  7.346135e-02   2.287298e-18   1.857594e-03   2.717355e-20   7256
  7.977379e-02   2.716532e-18   1.772571e-03   3.066009e-20   8120
  8.609019e-02   2.989843e-18   1.864951e-03   2.999512e-20   9950
  9.253636e-02   3.305583e-18   1.853578e-03   3.056094e-20   11384
  9.885187e-02   3.525939e-18   1.809244e-03   3.168180e-20   12666
  1.052712e-01   3.876131e-18   1.889168e-03   3.107425e-20   15104
  1.117654e-01   4.261778e-18   1.850532e-03   3.344670e-20   16616
  1.180754e-01   4.818948e-18   1.799489e-03   3.617845e-20   18026
  1.244216e-01   5.264474e-18   1.853405e-03   3.607478e-20   20696
  1.308065e-01   5.699236e-18   1.827918e-03   3.834449e-20   22436
  1.371558e-01   6.257223e-18   1.845873e-03   3.997705e-20   24962
  1.435394e-01   6.566560e-18   1.831283e-03   3.940268e-20   27176
  1.499133e-01   6.790829e-18   1.847268e-03   3.952079e-20   29810
  1.562775e-01   7.082589e-18   1.828450e-03   4.001449e-20   32120
  1.626776e-01   7.337715e-18   1.865216e-03   3.908678e-20   35432
  1.690383e-01   7.812028e-18   1.814577e-03   4.055094e-20   37238
  1.754019e-01   8.242970e-18   1.856016e-03   4.068148e-20   41072
  1.817869e-01   8.645577e-18   1.834293e-03   4.189685e-20   43472
  1.881565e-01   9.232061e-18   1.848176e-03   4.268941e-20   47042
  1.945298e-01   9.839133e-18   1.829223e-03   4.456666e-20   49712
  2.008693e-01   1.019483e-17   1.840592e-03   4.461970e-20   53226
  2.072637e-01   1.033967e-17   1.853753e-03   4.305618e-20   57320
  2.136558e-01   1.072893e-17   1.831629e-03   4.397011e-20   60092
  2.200056e-01   1.105894e-17   1.839426e-03   4.385817e-20   63914
  2.263950e-01   1.130692e-17   1.849752e-03   4.313568e-20   68192
  2.327751e-01   1.168770e-17   1.833934e-03   4.382650e-20   71336
  2.391397e-01   1.204178e-17   1.845607e-03   4.374376e-20   75818
  2.455297e-01   1.247076e-17   1.844019e-03   4.425771e-20   79880
  2.518964e-01   1.298469e-17   1.834462e-03   4.480252e-20   83642
  2.582661e-01   1.348728e-17   1.840779e-03   4.527305e-20   88316
  2.646730e-01   1.382459e-17   1.859422e-03   4.535276e-20   93488
  2.710484e-01   1.413370e-17   1.827184e-03   4.547426e-20   96458
  2.773871e-01   1.444848e-17   1.829038e-03   4.602457e-20   101264
  2.837816e-01   1.470007e-17   1.862873e-03   4.468728e-20   107696
  2.901819e-01   1.489781e-17   1.837217e-03   4.469620e-20   111170
  2.965233e-01   1.544613e-17   1.822285e-03   4.541846e-20   115232
  3.028941e-01   1.574481e-17   1.855375e-03   4.504153e-20   122310
  3.093019e-01   1.608741e-17   1.843350e-03   4.517083e-20   126944
  3.156739e-01   1.656860e-17   1.828600e-03   4.576894e-20   131192
  3.220432e-01   1.695053e-17   1.844535e-03   4.596245e-20   137618
  3.284234e-01   1.730256e-17   1.836674e-03   4.579641e-20   142448
  3.347979e-01   1.751978e-17   1.844704e-03   4.535505e-20   148520
  3.411627e-01   1.788103e-17   1.831436e-03   4.602243e-20   153254
  3.475446e-01   1.823741e-17   1.852010e-03   4.565423e-20   160760
  3.539284e-01   1.829879e-17   1.835751e-03   4.471138e-20   165290
  3.603019e-01   1.876538e-17   1.840148e-03   4.533905e-20   171992
  3.666828e-01   1.908663e-17   1.840217e-03   4.544493e-20   177800
  3.730569e-01   1.947721e-17   1.843032e-03   4.553841e-20   184322
