# power spectrum of phi
# redshift z=9.836500
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   3.188910e-10   7.667927e-04   7.027432e-11   18
  1.037418e-02   4.670770e-10   1.725047e-03   4.772760e-11   128
  1.616528e-02   3.817927e-10   1.646572e-03   2.028540e-11   314
  2.269071e-02   2.374482e-10   1.954354e-03   8.659304e-12   728
  2.897169e-02   1.759150e-10   1.717946e-03   6.058366e-12   1016
  3.518826e-02   1.128199e-10   1.880676e-03   2.808351e-12   1682
  4.169479e-02   8.461682e-11   1.831736e-03   1.743154e-12   2300
  4.790974e-02   6.183146e-11   1.770731e-03   1.160673e-12   2906
  5.429022e-02   5.048127e-11   1.892687e-03   8.291603e-13   4040
  6.068098e-02   4.183804e-11   1.775551e-03   6.302696e-13   4712
  6.698900e-02   3.588620e-11   1.857705e-03   4.640688e-13   6002
  7.346135e-02   2.938664e-11   1.857594e-03   3.524217e-13   7256
  7.977379e-02   2.494361e-11   1.772571e-03   2.817367e-13   8120
  8.609019e-02   2.012579e-11   1.864951e-03   2.029985e-13   9950
  9.253636e-02   1.656692e-11   1.853578e-03   1.531366e-13   11384
  9.885187e-02   1.354235e-11   1.809244e-03   1.226722e-13   12666
  1.052712e-01   1.157755e-11   1.889168e-03   9.270107e-14   15104
  1.117654e-01   1.004751e-11   1.850532e-03   7.889709e-14   16616
  1.180754e-01   9.171128e-12   1.799489e-03   6.890401e-14   18026
  1.244216e-01   8.142785e-12   1.853405e-03   5.572592e-14   20696
  1.308065e-01   7.244108e-12   1.827918e-03   4.888430e-14   22436
  1.371558e-01   6.570594e-12   1.845873e-03   4.201133e-14   24962
  1.435394e-01   5.738911e-12   1.831283e-03   3.450683e-14   27176
  1.499133e-01   4.967977e-12   1.847268e-03   2.894445e-14   29810
  1.562775e-01   4.373161e-12   1.828450e-03   2.465152e-14   32120
  1.626776e-01   3.860532e-12   1.865216e-03   2.057895e-14   35432
  1.690383e-01   3.517734e-12   1.814577e-03   1.819194e-14   37238
  1.754019e-01   3.210889e-12   1.856016e-03   1.585166e-14   41072
  1.817869e-01   2.928670e-12   1.834293e-03   1.419053e-14   43472
  1.881565e-01   2.733733e-12   1.848176e-03   1.265064e-14   47042
  1.945298e-01   2.546083e-12   1.829223e-03   1.158106e-14   49712
  2.008693e-01   2.327897e-12   1.840592e-03   1.017206e-14   53226
  2.072637e-01   2.075722e-12   1.853753e-03   8.659058e-15   57320
  2.136558e-01   1.903566e-12   1.831629e-03   7.806506e-15   60092
  2.200056e-01   1.742943e-12   1.839426e-03   6.921970e-15   63914
  2.263950e-01   1.587876e-12   1.849752e-03   6.060636e-15   68192
  2.327751e-01   1.468130e-12   1.833934e-03   5.500233e-15   71336
  2.391397e-01   1.360422e-12   1.845607e-03   4.942383e-15   75818
  2.455297e-01   1.271230e-12   1.844019e-03   4.519147e-15   79880
  2.518964e-01   1.193681e-12   1.834462e-03   4.121075e-15   83642
  2.582661e-01   1.125424e-12   1.840779e-03   3.788403e-15   88316
  2.646730e-01   1.045015e-12   1.859422e-03   3.430493e-15   93488
  2.710484e-01   9.704434e-13   1.827184e-03   3.132903e-15   96458
  2.773871e-01   9.027024e-13   1.829038e-03   2.870151e-15   101264
  2.837816e-01   8.369330e-13   1.862873e-03   2.547475e-15   107696
  2.901819e-01   7.780553e-13   1.837217e-03   2.340771e-15   111170
  2.965233e-01   7.379732e-13   1.822285e-03   2.178579e-15   115232
  3.028941e-01   6.921761e-13   1.855375e-03   1.979699e-15   122310
  3.093019e-01   6.501123e-13   1.843350e-03   1.827844e-15   126944
  3.156739e-01   6.168195e-13   1.828600e-03   1.705226e-15   131192
  3.220432e-01   5.821830e-13   1.844535e-03   1.578766e-15   137618
  3.284234e-01   5.509921e-13   1.836674e-03   1.457581e-15   142448
  3.347979e-01   5.161406e-13   1.844704e-03   1.337553e-15   148520
  3.411627e-01   4.871062e-13   1.831436e-03   1.253690e-15   153254
  3.475446e-01   4.615251e-13   1.852010e-03   1.153590e-15   160760
  3.539284e-01   4.314054e-13   1.835751e-03   1.056511e-15   165290
  3.603019e-01   4.126459e-13   1.840148e-03   9.961009e-16   171992
  3.666828e-01   3.904795e-13   1.840217e-03   9.311674e-16   177800
  3.730569e-01   3.717170e-13   1.843032e-03   8.669646e-16   184322
  3.794439e-01   3.534186e-13   1.841595e-03   8.125632e-16   190832
  3.858239e-01   3.352018e-13   1.839260e-03   7.615223e-16   196772
