# power spectrum of pi_k * H (dimensionless)
# redshift z=0.993603
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   1.627028e-10   7.667927e-04   3.584520e-11   18
  1.037418e-02   2.382097e-10   1.725047e-03   2.432858e-11   128
  1.616528e-02   1.945921e-10   1.646572e-03   1.034394e-11   314
  2.269071e-02   1.210874e-10   1.954354e-03   4.421475e-12   728
  2.897169e-02   8.943556e-11   1.717946e-03   3.076136e-12   1016
  3.518826e-02   5.726899e-11   1.880676e-03   1.429074e-12   1682
  4.169479e-02   4.281039e-11   1.831736e-03   8.787409e-13   2300
  4.790974e-02   3.126559e-11   1.770731e-03   5.868007e-13   2906
  5.429022e-02   2.533025e-11   1.892687e-03   4.146605e-13   4040
  6.068098e-02   2.103085e-11   1.775551e-03   3.158142e-13   4712
  6.698900e-02   1.790553e-11   1.857705e-03   2.327615e-13   6002
  7.346135e-02   1.461640e-11   1.857594e-03   1.758953e-13   7256
  7.977379e-02   1.239773e-11   1.772571e-03   1.404806e-13   8120
  8.609019e-02   9.951262e-12   1.864951e-03   1.003468e-13   9950
  9.253636e-02   8.180325e-12   1.853578e-03   7.566692e-14   11384
  9.885187e-02   6.666892e-12   1.809244e-03   6.061217e-14   12666
  1.052712e-01   5.698340e-12   1.889168e-03   4.575238e-14   15104
  1.117654e-01   4.906331e-12   1.850532e-03   3.849666e-14   16616
  1.180754e-01   4.451589e-12   1.799489e-03   3.338129e-14   18026
  1.244216e-01   3.924516e-12   1.853405e-03   2.691270e-14   20696
  1.308065e-01   3.470284e-12   1.827918e-03   2.342402e-14   22436
  1.371558e-01   3.120331e-12   1.845873e-03   1.985308e-14   24962
  1.435394e-01   2.723822e-12   1.831283e-03   1.638892e-14   27176
  1.499133e-01   2.345242e-12   1.847268e-03   1.364620e-14   29810
  1.562775e-01   2.062194e-12   1.828450e-03   1.160328e-14   32120
  1.626776e-01   1.820659e-12   1.865216e-03   9.727727e-15   35432
  1.690383e-01   1.645365e-12   1.814577e-03   8.463842e-15   37238
  1.754019e-01   1.490026e-12   1.856016e-03   7.372785e-15   41072
  1.817869e-01   1.349516e-12   1.834293e-03   6.528043e-15   43472
  1.881565e-01   1.244864e-12   1.848176e-03   5.787583e-15   47042
  1.945298e-01   1.147390e-12   1.829223e-03   5.223541e-15   49712
  2.008693e-01   1.046318e-12   1.840592e-03   4.552061e-15   53226
  2.072637e-01   9.244949e-13   1.853753e-03   3.862011e-15   57320
  2.136558e-01   8.436117e-13   1.831629e-03   3.459226e-15   60092
  2.200056e-01   7.683010e-13   1.839426e-03   3.050161e-15   63914
  2.263950e-01   6.944199e-13   1.849752e-03   2.657920e-15   68192
  2.327751e-01   6.380518e-13   1.833934e-03   2.377185e-15   71336
  2.391397e-01   5.876536e-13   1.845607e-03   2.134245e-15   75818
  2.455297e-01   5.443907e-13   1.844019e-03   1.932330e-15   79880
  2.518964e-01   5.033508e-13   1.834462e-03   1.737982e-15   83642
  2.582661e-01   4.717367e-13   1.840779e-03   1.592129e-15   88316
  2.646730e-01   4.336439e-13   1.859422e-03   1.426079e-15   93488
  2.710484e-01   3.993378e-13   1.827184e-03   1.294536e-15   96458
  2.773871e-01   3.684613e-13   1.829038e-03   1.166176e-15   101264
  2.837816e-01   3.392518e-13   1.862873e-03   1.035630e-15   107696
  2.901819e-01   3.140205e-13   1.837217e-03   9.482163e-16   111170
  2.965233e-01   2.935401e-13   1.822285e-03   8.699233e-16   115232
  3.028941e-01   2.727261e-13   1.855375e-03   7.786202e-16   122310
  3.093019e-01   2.524440e-13   1.843350e-03   7.087621e-16   126944
  3.156739e-01   2.372829e-13   1.828600e-03   6.559970e-16   131192
  3.220432e-01   2.202528e-13   1.844535e-03   5.989367e-16   137618
  3.284234e-01   2.067482e-13   1.836674e-03   5.490811e-16   142448
  3.347979e-01   1.930571e-13   1.844704e-03   4.991761e-16   148520
  3.411627e-01   1.797756e-13   1.831436e-03   4.592999e-16   153254
  3.475446e-01   1.682305e-13   1.852010e-03   4.219381e-16   160760
  3.539284e-01   1.565484e-13   1.835751e-03   3.854637e-16   165290
  3.603019e-01   1.481295e-13   1.840148e-03   3.565586e-16   171992
  3.666828e-01   1.379853e-13   1.840217e-03   3.276152e-16   177800
  3.730569e-01   1.296821e-13   1.843032e-03   3.029479e-16   184322
  3.794439e-01   1.226781e-13   1.841595e-03   2.822993e-16   190832
  3.858239e-01   1.144409e-13   1.839260e-03   2.585101e-16   196772
  3.921872e-01   1.087154e-13   1.836453e-03   2.413991e-16   202970
  3.985536e-01   1.021540e-13   1.839266e-03   2.237548e-16   210056
  4.049173e-01   9.548666e-14   1.832832e-03   2.058360e-16   216210
  4.112896e-01   9.006565e-14   1.841640e-03   1.903285e-16   224168
  4.176700e-01   8.454439e-14   1.840761e-03   1.762630e-16   230792
  4.240565e-01   8.028961e-14   1.846256e-03   1.648302e-16   238778
  4.304312e-01   7.563930e-14   1.831772e-03   1.524559e-16   243956
  4.367939e-01   7.137326e-14   1.845141e-03   1.417765e-16   252680
  4.431746e-01   6.744076e-14   1.842020e-03   1.324547e-16   260066
  4.495713e-01   6.361999e-14   1.849294e-03   1.230519e-16   268712
  4.559494e-01   6.024301e-14   1.834336e-03   1.155106e-16   274034
  4.623270e-01   5.685071e-14   1.847366e-03   1.067603e-16   283904
  4.687088e-01   5.398969e-14   1.837425e-03   1.003739e-16   290048
  4.750707e-01   5.099878e-14   1.836659e-03   9.346402e-17   297950
  4.814434e-01   4.836830e-14   1.842026e-03   8.752168e-17   306968
  4.878269e-01   4.613972e-14   1.843240e-03   8.251953e-17   315320
  4.942006e-01   4.327413e-14   1.835899e-03   7.632810e-17   322346
  5.005701e-01   4.123388e-14   1.842589e-03   7.134986e-17   331664
  5.069538e-01   3.921886e-14   1.844896e-03   6.724250e-17   340818
  5.133346e-01   3.729343e-14   1.837322e-03   6.329238e-17   348164
  5.197083e-01   3.539508e-14   1.843548e-03   5.918676e-17   357584
  5.260929e-01   3.371398e-14   1.846059e-03   5.560139e-17   367106
  5.324635e-01   3.197228e-14   1.832285e-03   5.237849e-17   373376
  5.388350e-01   3.035442e-14   1.848023e-03   4.877674e-17   385376
  5.452233e-01   2.889518e-14   1.842356e-03   4.612850e-17   393650
  5.516038e-01   2.755136e-14   1.840588e-03   4.342453e-17   402704
  5.579656e-01   2.623813e-14   1.830970e-03   4.119047e-17   409910
  5.643320e-01   2.493844e-14   1.843407e-03   3.834335e-17   422024
  5.707212e-01   2.367662e-14   1.846526e-03   3.608060e-17   432176
  5.771022e-01   2.265122e-14   1.837404e-03   3.418458e-17   440066
  5.834769e-01   2.158515e-14   1.841263e-03   3.213076e-17   450680
  5.898365e-01   2.067939e-14   1.831084e-03   3.055515e-17   457856
  5.962115e-01   1.969608e-14   1.848347e-03   2.862312e-17   472538
  6.026013e-01   1.882461e-14   1.839689e-03   2.721955e-17   480140
  6.089752e-01   1.800019e-14   1.841279e-03   2.572033e-17   490842
  6.153517e-01   1.722123e-14   1.838382e-03   2.440183e-17   500744
  6.217295e-01   1.641369e-14   1.842392e-03   2.297127e-17   511856
  6.281145e-01   1.570528e-14   1.844734e-03   2.179159e-17   523202
  6.344991e-01   1.507294e-14   1.840396e-03   2.070606e-17   532688
  6.408638e-01   1.441300e-14   1.834541e-03   1.959556e-17   541520
  6.472341e-01   1.380032e-14   1.842653e-03   1.855553e-17   555110
  6.536136e-01   1.323515e-14   1.839126e-03   1.762400e-17   564944
  6.599884e-01   1.266114e-14   1.839832e-03   1.665755e-17   576434
  6.663740e-01   1.211195e-14   1.844405e-03   1.577480e-17   588848
  6.727501e-01   1.162221e-14   1.838623e-03   1.503385e-17   597704
  6.791236e-01   1.116496e-14   1.842386e-03   1.427088e-17   610946
  6.855006e-01   1.073817e-14   1.837794e-03   1.363137e-17   620852
  6.918722e-01   1.031529e-14   1.841901e-03   1.298984e-17   633530
  6.982524e-01   9.869368e-15   1.841844e-03   1.232356e-17   645704
  7.046316e-01   9.505983e-15   1.840565e-03   1.176943e-17   656744
  7.110074e-01   9.075395e-15   1.841941e-03   1.113439e-17   669162
  7.173906e-01   8.758771e-15   1.843286e-03   1.062305e-17   681992
  7.237681e-01   8.425207e-15   1.838959e-03   1.017339e-17   692360
  7.301485e-01   8.091840e-15   1.844364e-03   9.665935e-18   707006
  7.365206e-01   7.775396e-15   1.834135e-03   9.228080e-18   714944
  7.428835e-01   7.508305e-15   1.841775e-03   8.779698e-18   730346
  7.492606e-01   7.219858e-15   1.838962e-03   8.360070e-18   742616
  7.556415e-01   6.970582e-15   1.843530e-03   8.033711e-18   756536
  7.620128e-01   6.723009e-15   1.836595e-03   7.715305e-18   766418
  7.683917e-01   6.465548e-15   1.845753e-03   7.298745e-18   783392
  7.747614e-01   6.236610e-15   1.833632e-03   7.020117e-18   790412
  7.811334e-01   6.020405e-15   1.848120e-03   6.706640e-18   810314
  7.875277e-01   5.804260e-15   1.843702e-03   6.425172e-18   821960
  7.938987e-01   5.585264e-15   1.834976e-03   6.148072e-18   831266
  8.002712e-01   5.389279e-15   1.843706e-03   5.869855e-18   848960
  8.066557e-01   5.197004e-15   1.842629e-03   5.611622e-18   861488
  8.130204e-01   5.022574e-15   1.833334e-03   5.386669e-18   871194
  8.193985e-01   4.858197e-15   1.847247e-03   5.142565e-18   891788
  8.257796e-01   4.691616e-15   1.838008e-03   4.954866e-18   900416
  8.321422e-01   4.541375e-15   1.836250e-03   4.749147e-18   914306
  8.385264e-01   4.389063e-15   1.847988e-03   4.555405e-18   933992
  8.449011e-01   4.235713e-15   1.834294e-03   4.385960e-18   940826
  8.512701e-01   4.112493e-15   1.842364e-03   4.208122e-18   960224
  8.576621e-01   3.957889e-15   1.846556e-03   4.007328e-18   976316
  8.640381e-01   3.843957e-15   1.835724e-03   3.882152e-18   985010
  8.704114e-01   3.713815e-15   1.843336e-03   3.722335e-18   1004024
  8.767898e-01   3.596324e-15   1.839706e-03   3.572651e-18   1016288
  8.831639e-01   3.487202e-15   1.840690e-03   3.435713e-18   1032290
  8.895470e-01   3.378659e-15   1.843156e-03   3.309479e-18   1048640
  8.959130e-01   3.274785e-15   1.831919e-03   3.194080e-18   1057250
  9.022937e-01   3.175249e-15   1.849588e-03   3.056918e-18   1083140
  9.086870e-01   3.074621e-15   1.840763e-03   2.951943e-18   1092248
  9.150555e-01   2.980655e-15   1.837510e-03   2.841600e-18   1105914
  9.214310e-01   2.887851e-15   1.841822e-03   2.736522e-18   1124744
  9.278120e-01   2.801303e-15   1.841202e-03   2.628360e-18   1139120
  9.341841e-01   2.716879e-15   1.838536e-03   2.532035e-18   1153490
  9.405650e-01   2.636673e-15   1.844187e-03   2.437881e-18   1172936
  9.469357e-01   2.561480e-15   1.834491e-03   2.362346e-18   1182158
  9.533110e-01   2.475444e-15   1.846126e-03   2.263579e-18   1206392
  9.596894e-01   2.417652e-15   1.835525e-03   2.196129e-18   1215224
  9.660641e-01   2.341528e-15   1.844936e-03   2.115107e-18   1237874
  9.724505e-01   2.271482e-15   1.841050e-03   2.038516e-18   1251800
  9.788233e-01   2.209177e-15   1.838619e-03   1.969916e-18   1265792
  9.851993e-01   2.150897e-15   1.843109e-03   1.901788e-18   1286306
  9.915793e-01   2.089683e-15   1.838809e-03   1.839527e-18   1299764
  9.979438e-01   2.030307e-15   1.836769e-03   1.774969e-18   1314554
  1.004319e+00   1.973243e-15   1.843595e-03   1.712126e-18   1337288
  1.010703e+00   1.914979e-15   1.840912e-03   1.652474e-18   1351304
  1.017077e+00   1.867327e-15   1.841769e-03   1.598820e-18   1369026
  1.023461e+00   1.816492e-15   1.843478e-03   1.545113e-18   1388456
  1.029842e+00   1.768927e-15   1.840406e-03   1.499975e-18   1402700
