# power spectrum of phi_prime/H (dimensionless)
# redshift z=-0.013098
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   4.180039e-11   7.667927e-04   9.204280e-12   18
  1.037418e-02   6.139494e-11   1.725047e-03   6.272293e-12   128
  1.616528e-02   5.036740e-11   1.646572e-03   2.675223e-12   314
  2.269071e-02   3.146750e-11   1.954354e-03   1.146031e-12   728
  2.897169e-02   2.351728e-11   1.717946e-03   8.105980e-13   1016
  3.518826e-02   1.523666e-11   1.880676e-03   3.785592e-13   1682
  4.169479e-02   1.158489e-11   1.831736e-03   2.394711e-13   2300
  4.790974e-02   8.566266e-12   1.770731e-03   1.605776e-13   2906
  5.429022e-02   7.147921e-12   1.892687e-03   1.174255e-13   4040
  6.068098e-02   6.028412e-12   1.775551e-03   9.100037e-14   4712
  6.698900e-02   5.278669e-12   1.857705e-03   6.791600e-14   6002
  7.346135e-02   4.426931e-12   1.857594e-03   5.281118e-14   7256
  7.977379e-02   3.845686e-12   1.772571e-03   4.331910e-14   8120
  8.609019e-02   3.200250e-12   1.864951e-03   3.227476e-14   9950
  9.253636e-02   2.696407e-12   1.853578e-03   2.494153e-14   11384
  9.885187e-02   2.280085e-12   1.809244e-03   2.066557e-14   12666
  1.052712e-01   2.002979e-12   1.889168e-03   1.596260e-14   15104
  1.117654e-01   1.802553e-12   1.850532e-03   1.414743e-14   16616
  1.180754e-01   1.709712e-12   1.799489e-03   1.285585e-14   18026
  1.244216e-01   1.570144e-12   1.853405e-03   1.073636e-14   20696
  1.308065e-01   1.446876e-12   1.827918e-03   9.677881e-15   22436
  1.371558e-01   1.371890e-12   1.845873e-03   8.723872e-15   24962
  1.435394e-01   1.241623e-12   1.831283e-03   7.496906e-15   27176
  1.499133e-01   1.128516e-12   1.847268e-03   6.587043e-15   29810
  1.562775e-01   1.041252e-12   1.828450e-03   5.853143e-15   32120
  1.626776e-01   9.661411e-13   1.865216e-03   5.141305e-15   35432
  1.690383e-01   9.194214e-13   1.814577e-03   4.745349e-15   37238
  1.754019e-01   8.724811e-13   1.856016e-03   4.314316e-15   41072
  1.817869e-01   8.353006e-13   1.834293e-03   4.036903e-15   43472
  1.881565e-01   8.149451e-13   1.848176e-03   3.780706e-15   47042
  1.945298e-01   7.817630e-13   1.829223e-03   3.550548e-15   49712
  2.008693e-01   7.580068e-13   1.840592e-03   3.283649e-15   53226
  2.072637e-01   7.127462e-13   1.853753e-03   2.954983e-15   57320
  2.136558e-01   6.830808e-13   1.831629e-03   2.798770e-15   60092
  2.200056e-01   6.640643e-13   1.839426e-03   2.638149e-15   63914
  2.263950e-01   6.376747e-13   1.849752e-03   2.445176e-15   68192
  2.327751e-01   6.207736e-13   1.833934e-03   2.316587e-15   71336
  2.391397e-01   6.050138e-13   1.845607e-03   2.198489e-15   75818
  2.455297e-01   5.903006e-13   1.844019e-03   2.077766e-15   79880
  2.518964e-01   5.841921e-13   1.834462e-03   2.028549e-15   83642
  2.582661e-01   5.721962e-13   1.840779e-03   1.942216e-15   88316
  2.646730e-01   5.604908e-13   1.859422e-03   1.837785e-15   93488
  2.710484e-01   5.483167e-13   1.827184e-03   1.782872e-15   96458
  2.773871e-01   5.359557e-13   1.829038e-03   1.681469e-15   101264
  2.837816e-01   5.258030e-13   1.862873e-03   1.613608e-15   107696
  2.901819e-01   5.171282e-13   1.837217e-03   1.549693e-15   111170
  2.965233e-01   5.149415e-13   1.822285e-03   1.513235e-15   115232
  3.028941e-01   5.026415e-13   1.855375e-03   1.429763e-15   122310
  3.093019e-01   4.966900e-13   1.843350e-03   1.388778e-15   126944
  3.156739e-01   4.908136e-13   1.828600e-03   1.356671e-15   131192
  3.220432e-01   4.849312e-13   1.844535e-03   1.311388e-15   137618
  3.284234e-01   4.823353e-13   1.836674e-03   1.276379e-15   142448
  3.347979e-01   4.829350e-13   1.844704e-03   1.248104e-15   148520
  3.411627e-01   4.731654e-13   1.831436e-03   1.211268e-15   153254
  3.475446e-01   4.656973e-13   1.852010e-03   1.162962e-15   160760
  3.539284e-01   4.626517e-13   1.835751e-03   1.146196e-15   165290
  3.603019e-01   4.610178e-13   1.840148e-03   1.110024e-15   171992
  3.666828e-01   4.569930e-13   1.840217e-03   1.086190e-15   177800
  3.730569e-01   4.530512e-13   1.843032e-03   1.057101e-15   184322
  3.794439e-01   4.540410e-13   1.841595e-03   1.039944e-15   190832
  3.858239e-01   4.492147e-13   1.839260e-03   1.011920e-15   196772
  3.921872e-01   4.476040e-13   1.836453e-03   9.948519e-16   202970
  3.985536e-01   4.445131e-13   1.839266e-03   9.721768e-16   210056
  4.049173e-01   4.418974e-13   1.832832e-03   9.546433e-16   216210
  4.112896e-01   4.415944e-13   1.841640e-03   9.315065e-16   224168
  4.176700e-01   4.389123e-13   1.840761e-03   9.140636e-16   230792
  4.240565e-01   4.371415e-13   1.846256e-03   8.944911e-16   238778
  4.304312e-01   4.342938e-13   1.831772e-03   8.775769e-16   243956
  4.367939e-01   4.330155e-13   1.845141e-03   8.613146e-16   252680
  4.431746e-01   4.313837e-13   1.842020e-03   8.489471e-16   260066
  4.495713e-01   4.322582e-13   1.849294e-03   8.321706e-16   268712
  4.559494e-01   4.298244e-13   1.834336e-03   8.187464e-16   274034
  4.623270e-01   4.287375e-13   1.847366e-03   8.063628e-16   283904
  4.687088e-01   4.288139e-13   1.837425e-03   7.974031e-16   290048
  4.750707e-01   4.270118e-13   1.836659e-03   7.812593e-16   297950
  4.814434e-01   4.278707e-13   1.842026e-03   7.726959e-16   306968
  4.878269e-01   4.270812e-13   1.843240e-03   7.585921e-16   315320
  4.942006e-01   4.239610e-13   1.835899e-03   7.488536e-16   322346
  5.005701e-01   4.231647e-13   1.842589e-03   7.355098e-16   331664
  5.069538e-01   4.232429e-13   1.844896e-03   7.253403e-16   340818
  5.133346e-01   4.234892e-13   1.837322e-03   7.155507e-16   348164
  5.197083e-01   4.218707e-13   1.843548e-03   7.052397e-16   357584
  5.260929e-01   4.224088e-13   1.846059e-03   6.972151e-16   367106
  5.324635e-01   4.215989e-13   1.832285e-03   6.929543e-16   373376
  5.388350e-01   4.228071e-13   1.848023e-03   6.824173e-16   385376
  5.452233e-01   4.204964e-13   1.842356e-03   6.720929e-16   393650
  5.516038e-01   4.196586e-13   1.840588e-03   6.626662e-16   402704
  5.579656e-01   4.209513e-13   1.830970e-03   6.582752e-16   409910
  5.643320e-01   4.189036e-13   1.843407e-03   6.442854e-16   422024
  5.707212e-01   4.198944e-13   1.846526e-03   6.413081e-16   432176
  5.771022e-01   4.185253e-13   1.837404e-03   6.318770e-16   440066
  5.834769e-01   4.171266e-13   1.841263e-03   6.215122e-16   450680
  5.898365e-01   4.185671e-13   1.831084e-03   6.187830e-16   457856
  5.962115e-01   4.175217e-13   1.848347e-03   6.063665e-16   472538
  6.026013e-01   4.183672e-13   1.839689e-03   6.055384e-16   480140
  6.089752e-01   4.178299e-13   1.841279e-03   5.984257e-16   490842
  6.153517e-01   4.170853e-13   1.838382e-03   5.909659e-16   500744
  6.217295e-01   4.158507e-13   1.842392e-03   5.789666e-16   511856
  6.281145e-01   4.173631e-13   1.844734e-03   5.783918e-16   523202
  6.344991e-01   4.171166e-13   1.840396e-03   5.712263e-16   532688
  6.408638e-01   4.163046e-13   1.834541e-03   5.659652e-16   541520
  6.472341e-01   4.168138e-13   1.842653e-03   5.605312e-16   555110
  6.536136e-01   4.177003e-13   1.839126e-03   5.565046e-16   564944
  6.599884e-01   4.165189e-13   1.839832e-03   5.477691e-16   576434
  6.663740e-01   4.161812e-13   1.844405e-03   5.421213e-16   588848
  6.727501e-01   4.154586e-13   1.838623e-03   5.388189e-16   597704
  6.791236e-01   4.164615e-13   1.842386e-03   5.345996e-16   610946
  6.855006e-01   4.173972e-13   1.837794e-03   5.301032e-16   620852
  6.918722e-01   4.156484e-13   1.841901e-03   5.219201e-16   633530
  6.982524e-01   4.161468e-13   1.841844e-03   5.185445e-16   645704
  7.046316e-01   4.137652e-13   1.840565e-03   5.109042e-16   656744
  7.110074e-01   4.151911e-13   1.841941e-03   5.070758e-16   669162
  7.173906e-01   4.145776e-13   1.843286e-03   5.011326e-16   681992
  7.237681e-01   4.143030e-13   1.838959e-03   4.987121e-16   692360
  7.301485e-01   4.139693e-13   1.844364e-03   4.928968e-16   707006
  7.365206e-01   4.143189e-13   1.834135e-03   4.890352e-16   714944
  7.428835e-01   4.138891e-13   1.841775e-03   4.856053e-16   730346
  7.492606e-01   4.130817e-13   1.838962e-03   4.797719e-16   742616
  7.556415e-01   4.144218e-13   1.843530e-03   4.753565e-16   756536
  7.620128e-01   4.134867e-13   1.836595e-03   4.717572e-16   766418
  7.683917e-01   4.140275e-13   1.845753e-03   4.677770e-16   783392
  7.747614e-01   4.153189e-13   1.833632e-03   4.672830e-16   790412
  7.811334e-01   4.129069e-13   1.848120e-03   4.590248e-16   810314
  7.875277e-01   4.138192e-13   1.843702e-03   4.569810e-16   821960
  7.938987e-01   4.137229e-13   1.834976e-03   4.541222e-16   831266
  8.002712e-01   4.124186e-13   1.843706e-03   4.483902e-16   848960
  8.066557e-01   4.124200e-13   1.842629e-03   4.447682e-16   861488
  8.130204e-01   4.114511e-13   1.833334e-03   4.410152e-16   871194
  8.193985e-01   4.119131e-13   1.847247e-03   4.362100e-16   891788
  8.257796e-01   4.123819e-13   1.838008e-03   4.347760e-16   900416
