# power spectrum of zeta (dimensionless)
# redshift z=-0.013098
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   1.886049e-18   7.667927e-04   3.672246e-19   18
  1.037418e-02   5.283639e-17   1.725047e-03   6.092754e-18   128
  1.616528e-02   2.344049e-16   1.646572e-03   1.323669e-17   314
  2.269071e-02   5.621117e-16   1.954354e-03   2.183937e-17   728
  2.897169e-02   1.069930e-15   1.717946e-03   3.592555e-17   1016
  3.518826e-02   1.482242e-15   1.880676e-03   3.672350e-17   1682
  4.169479e-02   2.208112e-15   1.831736e-03   4.610183e-17   2300
  4.790974e-02   2.805535e-15   1.770731e-03   5.262825e-17   2906
  5.429022e-02   3.719855e-15   1.892687e-03   6.087557e-17   4040
  6.068098e-02   4.809107e-15   1.775551e-03   7.211284e-17   4712
  6.698900e-02   6.048413e-15   1.857705e-03   7.845944e-17   6002
  7.346135e-02   7.111029e-15   1.857594e-03   8.504672e-17   7256
  7.977379e-02   8.421317e-15   1.772571e-03   9.577179e-17   8120
  8.609019e-02   9.137565e-15   1.864951e-03   9.179951e-17   9950
  9.253636e-02   1.003871e-14   1.853578e-03   9.286975e-17   11384
  9.885187e-02   1.062938e-14   1.809244e-03   9.613514e-17   12666
  1.052712e-01   1.171969e-14   1.889168e-03   9.444278e-17   15104
  1.117654e-01   1.276116e-14   1.850532e-03   1.000436e-16   16616
  1.180754e-01   1.435642e-14   1.799489e-03   1.073343e-16   18026
  1.244216e-01   1.556977e-14   1.853405e-03   1.070986e-16   20696
  1.308065e-01   1.673287e-14   1.827918e-03   1.125542e-16   22436
  1.371558e-01   1.809072e-14   1.845873e-03   1.143339e-16   24962
  1.435394e-01   1.898543e-14   1.831283e-03   1.141339e-16   27176
  1.499133e-01   1.941231e-14   1.847268e-03   1.126462e-16   29810
  1.562775e-01   2.017916e-14   1.828450e-03   1.134767e-16   32120
  1.626776e-01   2.095695e-14   1.865216e-03   1.121096e-16   35432
  1.690383e-01   2.204172e-14   1.814577e-03   1.132359e-16   37238
  1.754019e-01   2.303546e-14   1.856016e-03   1.139430e-16   41072
  1.817869e-01   2.399790e-14   1.834293e-03   1.157892e-16   43472
  1.881565e-01   2.517874e-14   1.848176e-03   1.171579e-16   47042
  1.945298e-01   2.647380e-14   1.829223e-03   1.200706e-16   49712
  2.008693e-01   2.737456e-14   1.840592e-03   1.187529e-16   53226
  2.072637e-01   2.734176e-14   1.853753e-03   1.141494e-16   57320
  2.136558e-01   2.819470e-14   1.831629e-03   1.153462e-16   60092
  2.200056e-01   2.883727e-14   1.839426e-03   1.141753e-16   63914
  2.263950e-01   2.913775e-14   1.849752e-03   1.115972e-16   68192
  2.327751e-01   2.987375e-14   1.833934e-03   1.112341e-16   71336
  2.391397e-01   3.058383e-14   1.845607e-03   1.112860e-16   75818
  2.455297e-01   3.137848e-14   1.844019e-03   1.112941e-16   79880
