# power spectrum of phi
# redshift z=96.079122
# k              Pk             sigma(k)       sigma(Pk)      count
  3.926991e-03   4.595029e-10   3.512237e-11   1.852175e-10   6
  6.468504e-03   3.547480e-10   9.292307e-04   5.078634e-11   26
  1.075752e-02   4.901427e-10   1.401573e-03   5.451936e-11   114
  1.536034e-02   4.251039e-10   1.321130e-03   2.718692e-11   218
  1.986055e-02   2.838435e-10   1.282852e-03   1.408121e-11   374
  2.412735e-02   2.268586e-10   1.070437e-03   1.015131e-11   474
  2.806277e-02   1.979044e-10   1.114764e-03   8.582434e-12   650
  3.226384e-02   1.402808e-10   1.228263e-03   4.664381e-12   938
  3.651078e-02   1.087665e-10   1.191974e-03   3.216688e-12   1158
  4.085013e-02   8.584236e-11   1.255331e-03   2.127964e-12   1538
  4.514216e-02   7.596601e-11   1.197883e-03   1.874229e-12   1752
  4.940297e-02   5.967400e-11   1.270218e-03   1.279646e-12   2210
  5.382476e-02   5.389714e-11   1.313135e-03   1.098858e-12   2690
  5.822499e-02   4.663439e-11   1.260291e-03   8.708885e-13   3054
  6.261788e-02   4.186713e-11   1.278262e-03   7.079306e-13   3602
  6.689321e-02   3.728473e-11   1.192161e-03   6.026569e-13   3842
  7.113570e-02   3.314138e-11   1.241459e-03   4.919806e-13   4554
  7.543827e-02   2.850901e-11   1.223626e-03   4.057714e-13   5030
  7.964244e-02   2.559931e-11   1.192059e-03   3.571543e-13   5474
  8.383361e-02   2.269508e-11   1.204502e-03   2.938058e-13   6162
  8.813706e-02   1.952718e-11   1.244010e-03   2.282880e-13   7016
  9.251506e-02   1.713057e-11   1.282007e-03   1.927903e-13   7818
  9.690760e-02   1.499874e-11   1.275623e-03   1.661852e-13   8582
  1.012249e-01   1.313657e-11   1.222801e-03   1.354946e-13   8954
  1.055230e-01   1.196798e-11   1.275661e-03   1.165372e-13   10170
  1.098886e-01   1.080443e-11   1.242528e-03   1.051038e-13   10826
  1.141614e-01   1.016764e-11   1.215228e-03   9.558169e-14   11438
  1.184437e-01   9.364785e-12   1.241708e-03   8.438835e-14   12594
  1.227045e-01   8.666394e-12   1.208460e-03   7.499287e-14   13130
  1.269880e-01   8.131131e-12   1.247270e-03   6.745618e-14   14586
  1.313025e-01   7.474735e-12   1.229078e-03   5.986566e-14   15242
  1.356256e-01   7.042470e-12   1.268369e-03   5.561117e-14   16772
  1.399394e-01   6.403072e-12   1.224094e-03   4.860388e-14   17178
  1.442192e-01   5.904308e-12   1.256219e-03   4.282982e-14   18722
  1.485429e-01   5.312945e-12   1.247601e-03   3.810178e-14   19706
  1.528259e-01   4.833642e-12   1.235493e-03   3.357478e-14   20694
  1.571269e-01   4.471426e-12   1.247928e-03   3.047802e-14   22154
  1.614322e-01   4.095608e-12   1.238069e-03   2.710114e-14   23210
  1.657530e-01   3.800158e-12   1.247771e-03   2.412452e-14   24762
  1.700419e-01   3.623881e-12   1.219659e-03   2.271848e-14   25418
  1.743047e-01   3.392652e-12   1.232581e-03   2.045754e-14   27030
  1.785948e-01   3.170085e-12   1.236925e-03   1.898196e-14   28400
  1.829249e-01   3.005013e-12   1.260632e-03   1.744995e-14   30314
  1.872537e-01   2.883492e-12   1.245689e-03   1.641777e-14   31242
  1.915471e-01   2.744994e-12   1.243795e-03   1.536981e-14   32726
  1.958851e-01   2.596339e-12   1.262333e-03   1.399967e-14   34802
  2.001902e-01   2.443543e-12   1.225777e-03   1.311362e-14   35298
  2.044527e-01   2.268296e-12   1.231750e-03   1.178517e-14   37106
  2.087345e-01   2.114740e-12   1.233995e-03   1.073632e-14   38750
  2.130597e-01   2.015918e-12   1.253313e-03   9.979179e-15   41082
  2.173474e-01   1.869820e-12   1.213580e-03   9.259907e-15   41330
  2.216268e-01   1.773904e-12   1.248206e-03   8.434495e-15   44226
  2.259811e-01   1.660484e-12   1.262369e-03   7.737924e-15   46256
