# power spectrum of phi_prime/H (dimensionless)
# redshift z=9.945467
# k              Pk             sigma(k)       sigma(Pk)      count
  3.926991e-03   7.563963e-15   3.512237e-11   2.993606e-15   6
  6.468504e-03   6.272636e-15   9.292307e-04   9.639195e-16   26
  1.075752e-02   9.646926e-15   1.401573e-03   1.069827e-15   114
  1.536034e-02   1.059860e-14   1.321130e-03   6.303506e-16   218
  1.986055e-02   1.063642e-14   1.282852e-03   5.197990e-16   374
  2.412735e-02   1.468291e-14   1.070437e-03   7.374711e-16   474
  2.806277e-02   1.951399e-14   1.114764e-03   7.642002e-16   650
  3.226384e-02   2.310141e-14   1.228263e-03   8.976512e-16   938
  3.651078e-02   2.824745e-14   1.191974e-03   8.214225e-16   1158
  4.085013e-02   2.987946e-14   1.255331e-03   7.498272e-16   1538
  4.514216e-02   3.500564e-14   1.197883e-03   8.651501e-16   1752
  4.940297e-02   3.579702e-14   1.270218e-03   7.641271e-16   2210
  5.382476e-02   3.975502e-14   1.313135e-03   7.648543e-16   2690
  5.822499e-02   4.144631e-14   1.260291e-03   7.457027e-16   3054
  6.261788e-02   4.296179e-14   1.278262e-03   7.261360e-16   3602
  6.689321e-02   4.724006e-14   1.192161e-03   7.284970e-16   3842
  7.113570e-02   4.603279e-14   1.241459e-03   6.708348e-16   4554
  7.543827e-02   5.053734e-14   1.223626e-03   7.278091e-16   5030
  7.964244e-02   5.031261e-14   1.192059e-03   6.909350e-16   5474
  8.383361e-02   5.370037e-14   1.204502e-03   7.032136e-16   6162
  8.813706e-02   5.440350e-14   1.244010e-03   6.517448e-16   7016
  9.251506e-02   5.404895e-14   1.282007e-03   6.087093e-16   7818
  9.690760e-02   5.537179e-14   1.275623e-03   5.872149e-16   8582
  1.012249e-01   5.498638e-14   1.222801e-03   5.931900e-16   8954
  1.055230e-01   5.568060e-14   1.275661e-03   5.676091e-16   10170
  1.098886e-01   5.672043e-14   1.242528e-03   5.434146e-16   10826
  1.141614e-01   5.579037e-14   1.215228e-03   5.242421e-16   11438
  1.184437e-01   5.738181e-14   1.241708e-03   5.060431e-16   12594
  1.227045e-01   5.630937e-14   1.208460e-03   4.795666e-16   13130
  1.269880e-01   5.549094e-14   1.247270e-03   4.592855e-16   14586
  1.313025e-01   5.506398e-14   1.229078e-03   4.441693e-16   15242
  1.356256e-01   5.591618e-14   1.268369e-03   4.314372e-16   16772
  1.399394e-01   5.617776e-14   1.224094e-03   4.349964e-16   17178
  1.442192e-01   5.529642e-14   1.256219e-03   4.062726e-16   18722
  1.485429e-01   5.549213e-14   1.247601e-03   3.942231e-16   19706
  1.528259e-01   5.477449e-14   1.235493e-03   3.848933e-16   20694
  1.571269e-01   5.478609e-14   1.247928e-03   3.643658e-16   22154
  1.614322e-01   5.460022e-14   1.238069e-03   3.587409e-16   23210
  1.657530e-01   5.366720e-14   1.247771e-03   3.368442e-16   24762
  1.700419e-01   5.458602e-14   1.219659e-03   3.511913e-16   25418
  1.743047e-01   5.347604e-14   1.232581e-03   3.220718e-16   27030
  1.785948e-01   5.323453e-14   1.236925e-03   3.165793e-16   28400
  1.829249e-01   5.195817e-14   1.260632e-03   2.983374e-16   30314
  1.872537e-01   5.155955e-14   1.245689e-03   2.908008e-16   31242
  1.915471e-01   5.125396e-14   1.243795e-03   2.832659e-16   32726
  1.958851e-01   5.138259e-14   1.262333e-03   2.779641e-16   34802
  2.001902e-01   5.094432e-14   1.225777e-03   2.716579e-16   35298
  2.044527e-01   5.043652e-14   1.231750e-03   2.646155e-16   37106
  2.087345e-01   5.000864e-14   1.233995e-03   2.531398e-16   38750
  2.130597e-01   4.944726e-14   1.253313e-03   2.431905e-16   41082
  2.173474e-01   4.898707e-14   1.213580e-03   2.408574e-16   41330
  2.216268e-01   4.847300e-14   1.248206e-03   2.286337e-16   44226
  2.259811e-01   4.807308e-14   1.262369e-03   2.269726e-16   46256
  2.302954e-01   4.702869e-14   1.236821e-03   2.133265e-16   47006
  2.346000e-01   4.697923e-14   1.253826e-03   2.131250e-16   49506
  2.389041e-01   4.629158e-14   1.236946e-03   2.060845e-16   50618
