# power spectrum of delta
# redshift z=9.921501
# k              Pk             sigma(k)       sigma(Pk)      count
  3.926991e-03   4.460418e-07   3.512237e-11   1.798044e-07   6
  6.468504e-03   2.916409e-06   9.292307e-04   6.808376e-07   26
  1.075752e-02   2.116966e-05   1.401573e-03   2.444470e-06   114
  1.536034e-02   7.550786e-05   1.321130e-03   5.369789e-06   218
  1.986055e-02   1.348854e-04   1.282852e-03   7.139323e-06   374
  2.412735e-02   2.345909e-04   1.070437e-03   1.078771e-05   474
  2.806277e-02   3.689550e-04   1.114764e-03   1.573342e-05   650
  3.226384e-02   4.544602e-04   1.228263e-03   1.505958e-05   938
  3.651078e-02   5.790893e-04   1.191974e-03   1.729940e-05   1158
  4.085013e-02   7.139466e-04   1.255331e-03   1.767098e-05   1538
  4.514216e-02   9.347089e-04   1.197883e-03   2.265472e-05   1752
  4.940297e-02   1.062076e-03   1.270218e-03   2.265208e-05   2210
  5.382476e-02   1.343648e-03   1.313135e-03   2.720203e-05   2690
  5.822499e-02   1.598197e-03   1.260291e-03   3.000987e-05   3054
  6.261788e-02   1.919289e-03   1.278262e-03   3.240735e-05   3602
  6.689321e-02   2.223459e-03   1.192161e-03   3.600597e-05   3842
  7.113570e-02   2.527038e-03   1.241459e-03   3.757587e-05   4554
  7.543827e-02   2.748095e-03   1.223626e-03   3.901717e-05   5030
  7.964244e-02   3.074146e-03   1.192059e-03   4.293248e-05   5474
  8.383361e-02   3.333742e-03   1.204502e-03   4.316914e-05   6162
  8.813706e-02   3.502025e-03   1.244010e-03   4.083845e-05   7016
  9.251506e-02   3.735051e-03   1.282007e-03   4.206517e-05   7818
  9.690760e-02   3.932637e-03   1.275623e-03   4.360709e-05   8582
  1.012249e-01   4.099758e-03   1.222801e-03   4.226398e-05   8954
  1.055230e-01   4.416474e-03   1.275661e-03   4.313164e-05   10170
  1.098886e-01   4.677437e-03   1.242528e-03   4.540130e-05   10826
  1.141614e-01   5.145970e-03   1.215228e-03   4.862861e-05   11438
  1.184437e-01   5.465621e-03   1.241708e-03   4.922390e-05   12594
  1.227045e-01   5.830627e-03   1.208460e-03   5.054066e-05   13130
  1.269880e-01   6.273084e-03   1.247270e-03   5.222744e-05   14586
  1.313025e-01   6.576474e-03   1.229078e-03   5.262072e-05   15242
  1.356256e-01   7.055215e-03   1.268369e-03   5.550540e-05   16772
  1.399394e-01   7.267866e-03   1.224094e-03   5.514848e-05   17178
  1.442192e-01   7.558187e-03   1.256219e-03   5.448535e-05   18722
  1.485429e-01   7.654420e-03   1.247601e-03   5.490581e-05   19706
  1.528259e-01   7.813774e-03   1.235493e-03   5.428108e-05   20694
  1.571269e-01   8.062382e-03   1.247928e-03   5.489138e-05   22154
  1.614322e-01   8.243970e-03   1.238069e-03   5.448098e-05   23210
  1.657530e-01   8.498499e-03   1.247771e-03   5.405089e-05   24762
  1.700419e-01   8.955667e-03   1.219659e-03   5.597609e-05   25418
  1.743047e-01   9.263122e-03   1.232581e-03   5.593075e-05   27030
  1.785948e-01   9.521594e-03   1.236925e-03   5.699202e-05   28400
  1.829249e-01   9.932594e-03   1.260632e-03   5.767322e-05   30314
  1.872537e-01   1.047440e-02   1.245689e-03   5.950893e-05   31242
  1.915471e-01   1.086599e-02   1.243795e-03   6.114171e-05   32726
  1.958851e-01   1.124721e-02   1.262333e-03   6.082107e-05   34802
  2.001902e-01   1.157637e-02   1.225777e-03   6.186424e-05   35298
  2.044527e-01   1.165925e-02   1.231750e-03   6.061845e-05   37106
  2.087345e-01   1.179285e-02   1.233995e-03   5.979688e-05   38750
  2.130597e-01   1.221649e-02   1.253313e-03   6.056168e-05   41082
  2.173474e-01   1.226543e-02   1.213580e-03   6.047787e-05   41330
  2.216268e-01   1.256030e-02   1.248206e-03   5.985513e-05   44226
  2.259811e-01   1.271603e-02   1.262369e-03   5.919585e-05   46256
  2.302954e-01   1.298561e-02   1.236821e-03   5.973092e-05   47006
  2.346000e-01   1.320685e-02   1.253826e-03   5.914556e-05   49506
  2.389041e-01   1.357706e-02   1.236946e-03   6.071095e-05   50618
  2.432051e-01   1.395101e-02   1.252069e-03   6.005706e-05   53114
  2.475055e-01   1.425421e-02   1.235789e-03   6.155119e-05   54366
  2.518059e-01   1.467425e-02   1.244531e-03   6.166165e-05   56834
  2.560686e-01   1.491151e-02   1.213941e-03   6.233641e-05   57258
  2.603901e-01   1.549331e-02   1.274431e-03   6.195922e-05   62378
  2.647358e-01   1.552334e-02   1.225553e-03   6.254055e-05   61850
  2.690012e-01   1.588139e-02   1.236600e-03   6.310255e-05   64284
  2.733015e-01   1.594611e-02   1.248977e-03   6.165631e-05   66938
  2.776367e-01   1.627103e-02   1.258384e-03   6.268413e-05   69602
  2.819415e-01   1.638072e-02   1.232881e-03   6.151963e-05   70242
  2.862215e-01   1.660157e-02   1.244813e-03   6.168138e-05   73166
  2.905544e-01   1.674926e-02   1.257712e-03   6.070449e-05   76370
  2.948557e-01   1.715986e-02   1.224268e-03   6.206878e-05   76578
  2.991694e-01   1.743015e-02   1.260194e-03   6.162923e-05   81362
  3.034794e-01   1.776278e-02   1.220452e-03   6.178259e-05   80994
  3.077617e-01   1.789999e-02   1.245850e-03   6.151373e-05   85046
  3.120682e-01   1.804788e-02   1.236732e-03   6.154079e-05   86552
  3.163691e-01   1.862473e-02   1.248599e-03   6.229257e-05   89754
  3.206760e-01   1.889231e-02   1.241846e-03   6.268131e-05   91538
  3.249908e-01   1.907882e-02   1.257274e-03   6.189335e-05   95198
  3.292984e-01   1.938958e-02   1.234300e-03   6.266422e-05   96066
  3.335953e-01   1.959052e-02   1.250578e-03   6.160077e-05   99890
  3.379016e-01   1.965544e-02   1.237173e-03   6.230261e-05   101562
  3.421850e-01   1.989453e-02   1.235122e-03   6.194538e-05   103994
  3.465039e-01   2.016374e-02   1.254469e-03   6.125985e-05   108566
  3.508098e-01   2.029786e-02   1.225687e-03   6.185637e-05   108570
  3.550962e-01   2.048584e-02   1.245765e-03   6.037286e-05   113162
  3.594096e-01   2.071972e-02   1.239769e-03   6.114170e-05   115136
  3.637064e-01   2.109593e-02   1.244989e-03   6.161696e-05   118110
  3.680190e-01   2.128043e-02   1.250013e-03   6.139897e-05   121466
  3.723377e-01   2.153171e-02   1.247712e-03   6.104537e-05   124154
  3.766409e-01   2.181201e-02   1.239592e-03   6.192582e-05   126282
  3.809305e-01   2.198931e-02   1.239411e-03   6.133446e-05   129206
  3.852310e-01   2.218164e-02   1.240944e-03   6.135026e-05   132714
  3.895315e-01   2.241855e-02   1.236189e-03   6.120871e-05   135002
  3.938308e-01   2.292736e-02   1.243110e-03   6.156214e-05   138866
  3.981506e-01   2.293915e-02   1.245584e-03   6.120741e-05   142146
  4.024599e-01   2.336445e-02   1.240083e-03   6.155397e-05   144476
  4.067698e-01   2.332195e-02   1.249157e-03   6.081516e-05   148274
  4.110722e-01   2.356909e-02   1.241511e-03   6.059618e-05   150498
  4.153656e-01   2.365443e-02   1.240169e-03   6.068397e-05   153578
  4.196566e-01   2.377388e-02   1.243070e-03   6.034050e-05   156974
  4.239772e-01   2.424082e-02   1.254355e-03   6.048280e-05   162090
  4.282871e-01   2.431828e-02   1.232977e-03   6.037513e-05   162674
  4.325900e-01   2.442487e-02   1.248247e-03   5.947577e-05   168186
  4.368889e-01   2.482261e-02   1.230518e-03   6.046986e-05   168986
  4.411796e-01   2.501265e-02   1.243170e-03   6.006693e-05   174302
  4.454808e-01   2.518613e-02   1.235964e-03   6.005256e-05   176394
  4.497749e-01   2.543226e-02   1.243559e-03   5.991044e-05   180848
  4.540988e-01   2.562121e-02   1.252525e-03   5.940001e-05   185522
  4.584177e-01   2.579379e-02   1.245424e-03   5.983817e-05   187758
  4.627131e-01   2.584881e-02   1.237877e-03   5.929261e-05   190322
  4.670077e-01   2.608352e-02   1.244159e-03   5.926324e-05   194898
  4.713189e-01   2.622339e-02   1.244577e-03   5.891412e-05   198914
  4.756220e-01   2.635503e-02   1.237959e-03   5.916147e-05   201386
  4.799286e-01   2.664236e-02   1.245790e-03   5.900193e-05   206694
  4.842396e-01   2.687331e-02   1.237579e-03   5.917465e-05   208970
  4.885355e-01   2.716956e-02   1.239312e-03   5.910128e-05   212858
  4.928323e-01   2.712613e-02   1.239690e-03   5.843394e-05   216432
  4.971331e-01   2.730227e-02   1.245356e-03   5.804482e-05   220910
  5.014504e-01   2.751502e-02   1.251792e-03   5.792697e-05   225818
  5.057482e-01   2.765211e-02   1.234295e-03   5.807138e-05   226578
  5.100535e-01   2.793551e-02   1.253105e-03   5.785762e-05   234314
  5.143672e-01   2.817660e-02   1.238530e-03   5.814261e-05   235338
  5.186759e-01   2.826313e-02   1.249367e-03   5.763209e-05   241886
  5.229717e-01   2.861854e-02   1.226886e-03   5.823061e-05   241514
  5.272665e-01   2.860537e-02   1.249867e-03   5.720552e-05   250122
  5.315791e-01   2.866165e-02   1.236342e-03   5.696601e-05   251450
