# power spectrum of zeta (dimensionless)
# redshift z=9.921501
# k              Pk             sigma(k)       sigma(Pk)      count
  3.926991e-03   2.763437e-17   3.512237e-11   6.423141e-18   6
  6.468504e-03   3.547084e-16   9.292307e-04   7.017314e-17   26
  1.075752e-02   1.489592e-15   1.401573e-03   1.443322e-16   114
  1.536034e-02   3.347168e-15   1.321130e-03   2.015031e-16   218
  1.986055e-02   4.685136e-15   1.282852e-03   2.174874e-16   374
  2.412735e-02   5.901959e-15   1.070437e-03   2.622355e-16   474
  2.806277e-02   7.114535e-15   1.114764e-03   2.622916e-16   650
  3.226384e-02   8.086024e-15   1.228263e-03   2.659824e-16   938
  3.651078e-02   9.846666e-15   1.191974e-03   2.784745e-16   1158
  4.085013e-02   1.116004e-14   1.255331e-03   2.693773e-16   1538
  4.514216e-02   1.210389e-14   1.197883e-03   2.904063e-16   1752
  4.940297e-02   1.322440e-14   1.270218e-03   2.793257e-16   2210
  5.382476e-02   1.463624e-14   1.313135e-03   2.855090e-16   2690
  5.822499e-02   1.539785e-14   1.260291e-03   2.728313e-16   3054
  6.261788e-02   1.594396e-14   1.278262e-03   2.581228e-16   3602
  6.689321e-02   1.664779e-14   1.192161e-03   2.800638e-16   3842
  7.113570e-02   1.634715e-14   1.241459e-03   2.336989e-16   4554
  7.543827e-02   1.757083e-14   1.223626e-03   2.481563e-16   5030
  7.964244e-02   1.712174e-14   1.192059e-03   2.284376e-16   5474
  8.383361e-02   1.825619e-14   1.204502e-03   2.345450e-16   6162
  8.813706e-02   1.869042e-14   1.244010e-03   2.235258e-16   7016
  9.251506e-02   1.890605e-14   1.282007e-03   2.195032e-16   7818
  9.690760e-02   1.869487e-14   1.275623e-03   1.985066e-16   8582
  1.012249e-01   1.894316e-14   1.222801e-03   2.011711e-16   8954
  1.055230e-01   1.920754e-14   1.275661e-03   1.912460e-16   10170
  1.098886e-01   1.978337e-14   1.242528e-03   1.928558e-16   10826
  1.141614e-01   1.913994e-14   1.215228e-03   1.812849e-16   11438
  1.184437e-01   1.961081e-14   1.241708e-03   1.737804e-16   12594
  1.227045e-01   1.966023e-14   1.208460e-03   1.692353e-16   13130
  1.269880e-01   1.960451e-14   1.247270e-03   1.645007e-16   14586
  1.313025e-01   1.931358e-14   1.229078e-03   1.535521e-16   15242
  1.356256e-01   1.974919e-14   1.268369e-03   1.537914e-16   16772
  1.399394e-01   1.946952e-14   1.224094e-03   1.525930e-16   17178
  1.442192e-01   1.907155e-14   1.256219e-03   1.398700e-16   18722
  1.485429e-01   1.896727e-14   1.247601e-03   1.350217e-16   19706
  1.528259e-01   1.894581e-14   1.235493e-03   1.308365e-16   20694
  1.571269e-01   1.869381e-14   1.247928e-03   1.258163e-16   22154
  1.614322e-01   1.850919e-14   1.238069e-03   1.220726e-16   23210
  1.657530e-01   1.856464e-14   1.247771e-03   1.182176e-16   24762
  1.700419e-01   1.864999e-14   1.219659e-03   1.193670e-16   25418
  1.743047e-01   1.850055e-14   1.232581e-03   1.111531e-16   27030
  1.785948e-01   1.822685e-14   1.236925e-03   1.086397e-16   28400
  1.829249e-01   1.797387e-14   1.260632e-03   1.034055e-16   30314
  1.872537e-01   1.800575e-14   1.245689e-03   1.030220e-16   31242
  1.915471e-01   1.797735e-14   1.243795e-03   9.918115e-17   32726
  1.958851e-01   1.790295e-14   1.262333e-03   9.604195e-17   34802
  2.001902e-01   1.780526e-14   1.225777e-03   9.628449e-17   35298
  2.044527e-01   1.760622e-14   1.231750e-03   9.175713e-17   37106
  2.087345e-01   1.749307e-14   1.233995e-03   8.899906e-17   38750
  2.130597e-01   1.735873e-14   1.253313e-03   8.609747e-17   41082
  2.173474e-01   1.702902e-14   1.213580e-03   8.315941e-17   41330
  2.216268e-01   1.687967e-14   1.248206e-03   7.988541e-17   44226
  2.259811e-01   1.671208e-14   1.262369e-03   7.920840e-17   46256
  2.302954e-01   1.641396e-14   1.236821e-03   7.572985e-17   47006
  2.346000e-01   1.640106e-14   1.253826e-03   7.408457e-17   49506
  2.389041e-01   1.611483e-14   1.236946e-03   7.161903e-17   50618
  2.432051e-01   1.602023e-14   1.252069e-03   6.968963e-17   53114
  2.475055e-01   1.600769e-14   1.235789e-03   6.867657e-17   54366
  2.518059e-01   1.604217e-14   1.244531e-03   6.724184e-17   56834
  2.560686e-01   1.569974e-14   1.213941e-03   6.673626e-17   57258
  2.603901e-01   1.561391e-14   1.274431e-03   6.224715e-17   62378
  2.647358e-01   1.531856e-14   1.225553e-03   6.179529e-17   61850
  2.690012e-01   1.531940e-14   1.236600e-03   6.005717e-17   64284
  2.733015e-01   1.506493e-14   1.248977e-03   5.876577e-17   66938
  2.776367e-01   1.507572e-14   1.258384e-03   5.710487e-17   69602
  2.819415e-01   1.485674e-14   1.232881e-03   5.574940e-17   70242
  2.862215e-01   1.471803e-14   1.244813e-03   5.462153e-17   73166
  2.905544e-01   1.450511e-14   1.257712e-03   5.215718e-17   76370
  2.948557e-01   1.445232e-14   1.224268e-03   5.214991e-17   76578
  2.991694e-01   1.418392e-14   1.260194e-03   4.990951e-17   81362
  3.034794e-01   1.404844e-14   1.220452e-03   4.949875e-17   80994
  3.077617e-01   1.402210e-14   1.245850e-03   4.789524e-17   85046
  3.120682e-01   1.395929e-14   1.236732e-03   4.756619e-17   86552
  3.163691e-01   1.386061e-14   1.248599e-03   4.614306e-17   89754
  3.206760e-01   1.384654e-14   1.241846e-03   4.568314e-17   91538
  3.249908e-01   1.358442e-14   1.257274e-03   4.393766e-17   95198
  3.292984e-01   1.345586e-14   1.234300e-03   4.318136e-17   96066
  3.335953e-01   1.333434e-14   1.250578e-03   4.214007e-17   99890
  3.379016e-01   1.332178e-14   1.237173e-03   4.177978e-17   101562
  3.421850e-01   1.312835e-14   1.235122e-03   4.062039e-17   103994
  3.465039e-01   1.305840e-14   1.254469e-03   3.976405e-17   108566
  3.508098e-01   1.279922e-14   1.225687e-03   3.852177e-17   108570
  3.550962e-01   1.264403e-14   1.245765e-03   3.772533e-17   113162
  3.594096e-01   1.263611e-14   1.239769e-03   3.712779e-17   115136
  3.637064e-01   1.255103e-14   1.244989e-03   3.667184e-17   118110
  3.680190e-01   1.242868e-14   1.250013e-03   3.577243e-17   121466
  3.723377e-01   1.236974e-14   1.247712e-03   3.541685e-17   124154
  3.766409e-01   1.219050e-14   1.239592e-03   3.436843e-17   126282
  3.809305e-01   1.213004e-14   1.239411e-03   3.407931e-17   129206
  3.852310e-01   1.209041e-14   1.240944e-03   3.338326e-17   132714
  3.895315e-01   1.193153e-14   1.236189e-03   3.255848e-17   135002
  3.938308e-01   1.191489e-14   1.243110e-03   3.193249e-17   138866
  3.981506e-01   1.175904e-14   1.245584e-03   3.122671e-17   142146
  4.024599e-01   1.170037e-14   1.240083e-03   3.088372e-17   144476
  4.067698e-01   1.152514e-14   1.249157e-03   3.003970e-17   148274
  4.110722e-01   1.151984e-14   1.241511e-03   2.976603e-17   150498
  4.153656e-01   1.143665e-14   1.240169e-03   2.920198e-17   153578
  4.196566e-01   1.125621e-14   1.243070e-03   2.848567e-17   156974
  4.239772e-01   1.115409e-14   1.254355e-03   2.753195e-17   162090
  4.282871e-01   1.107025e-14   1.232977e-03   2.744521e-17   162674
  4.325900e-01   1.104741e-14   1.248247e-03   2.705569e-17   168186
  4.368889e-01   1.089575e-14   1.230518e-03   2.656233e-17   168986
  4.411796e-01   1.084096e-14   1.243170e-03   2.612668e-17   174302
  4.454808e-01   1.076381e-14   1.235964e-03   2.561282e-17   176394
  4.497749e-01   1.070531e-14   1.243559e-03   2.528546e-17   180848
  4.540988e-01   1.060278e-14   1.252525e-03   2.469163e-17   185522
  4.584177e-01   1.055487e-14   1.245424e-03   2.435661e-17   187758
  4.627131e-01   1.039126e-14   1.237877e-03   2.390716e-17   190322
  4.670077e-01   1.038263e-14   1.244159e-03   2.345559e-17   194898
  4.713189e-01   1.022990e-14   1.244577e-03   2.283331e-17   198914
  4.756220e-01   1.015468e-14   1.237959e-03   2.273440e-17   201386
  4.799286e-01   1.011893e-14   1.245790e-03   2.239699e-17   206694
  4.842396e-01   1.001910e-14   1.237579e-03   2.195252e-17   208970
  4.885355e-01   9.989338e-15   1.239312e-03   2.163951e-17   212858
  4.928323e-01   9.834063e-15   1.239690e-03   2.130810e-17   216432
  4.971331e-01   9.825525e-15   1.245356e-03   2.085708e-17   220910
  5.014504e-01   9.720501e-15   1.251792e-03   2.050128e-17   225818
  5.057482e-01   9.634066e-15   1.234295e-03   2.019865e-17   226578
  5.100535e-01   9.591065e-15   1.253105e-03   1.988876e-17   234314
  5.143672e-01   9.572151e-15   1.238530e-03   1.981117e-17   235338
  5.186759e-01   9.446095e-15   1.249367e-03   1.910797e-17   241886
  5.229717e-01   9.376559e-15   1.226886e-03   1.896997e-17   241514
  5.272665e-01   9.302224e-15   1.249867e-03   1.868567e-17   250122
