# power spectrum of delta
# redshift z=48.519767
# k              Pk             sigma(k)       sigma(Pk)      count
  5.562276e-03   8.118371e-08   1.043960e-03   1.169559e-08   26
  1.223212e-02   1.977544e-06   2.109551e-03   1.521854e-07   224
  1.972885e-02   6.782675e-06   2.153060e-03   2.808561e-07   596
  2.702247e-02   1.685441e-05   2.075657e-03   5.492311e-07   1088
  3.462668e-02   2.611758e-05   2.244189e-03   6.009867e-07   1952
  4.230772e-02   4.057484e-05   2.142904e-03   7.814895e-07   2780
  5.004312e-02   5.587467e-05   2.281079e-03   9.118766e-07   4112
  5.765572e-02   7.855930e-05   2.118182e-03   1.136212e-06   5060
  6.520378e-02   1.042291e-04   2.228225e-03   1.284547e-06   6808
  7.290095e-02   1.289784e-04   2.208442e-03   1.417405e-06   8456
  8.055190e-02   1.559174e-04   2.200045e-03   1.570338e-06   10244
  8.816864e-02   1.740962e-04   2.214152e-03   1.547205e-06   12296
  9.576395e-02   1.931140e-04   2.193113e-03   1.634384e-06   14408
  1.033733e-01   2.118465e-04   2.205152e-03   1.599864e-06   16916
  1.110951e-01   2.380744e-04   2.257402e-03   1.699160e-06   19976
  1.187549e-01   2.744763e-04   2.180988e-03   1.857771e-06   22028
  1.263330e-01   3.096956e-04   2.206596e-03   1.945525e-06   25240
  1.340087e-01   3.418559e-04   2.232177e-03   2.037341e-06   28784
  1.416697e-01   3.691932e-04   2.193755e-03   2.071203e-06   31628
  1.492984e-01   3.825848e-04   2.213206e-03   2.027593e-06   35426
  1.569573e-01   3.996087e-04   2.209355e-03   2.032977e-06   39152
  1.645984e-01   4.198370e-04   2.194191e-03   2.037214e-06   42836
  1.722273e-01   4.543198e-04   2.199276e-03   2.090924e-06   46976
  1.798694e-01   4.825000e-04   2.207348e-03   2.146818e-06   51364
  1.875354e-01   5.210099e-04   2.214571e-03   2.213506e-06   56048
  1.952019e-01   5.627705e-04   2.204526e-03   2.311107e-06   60488
  2.028259e-01   5.813247e-04   2.190146e-03   2.292635e-06   64844
  2.104373e-01   6.000511e-04   2.200161e-03   2.266523e-06   70064
  2.180931e-01   6.204190e-04   2.217730e-03   2.265102e-06   75848
  2.257751e-01   6.346831e-04   2.215327e-03   2.221273e-06   81212
  2.333962e-01   6.607621e-04   2.183836e-03   2.267853e-06   85496
  2.410250e-01   6.907671e-04   2.222691e-03   2.262048e-06   92708
  2.487230e-01   7.208556e-04   2.226629e-03   2.297828e-06   98920
  2.564066e-01   7.559048e-04   2.212160e-03   2.329244e-06   104504
  2.640689e-01   7.855095e-04   2.213777e-03   2.368451e-06   110852
  2.716904e-01   8.018644e-04   2.192788e-03   2.353809e-06   116192
  2.793027e-01   8.236917e-04   2.205898e-03   2.357641e-06   123608
  2.869594e-01   8.388300e-04   2.216650e-03   2.321619e-06   131156
  2.946343e-01   8.647915e-04   2.215916e-03   2.327742e-06   138218
  3.022953e-01   8.900530e-04   2.208863e-03   2.333955e-06   145036
  3.099375e-01   9.131791e-04   2.203423e-03   2.344092e-06   152240
  3.175711e-01   9.473904e-04   2.198398e-03   2.368723e-06   159608
  3.252355e-01   9.706241e-04   2.220715e-03   2.369520e-06   168980
  3.329134e-01   9.951286e-04   2.210565e-03   2.365460e-06   176144
  3.405436e-01   1.011066e-03   2.193657e-03   2.382164e-06   182924
  3.481936e-01   1.033534e-03   2.220287e-03   2.354745e-06   193640
  3.558650e-01   1.042608e-03   2.204921e-03   2.316010e-06   200912
  3.635019e-01   1.076567e-03   2.201155e-03   2.362167e-06   209092
  3.711489e-01   1.098472e-03   2.214636e-03   2.348735e-06   219224
  3.788142e-01   1.120880e-03   2.210801e-03   2.361295e-06   228128
  3.864746e-01   1.141268e-03   2.210310e-03   2.360234e-06   237284
  3.941242e-01   1.172569e-03   2.209189e-03   2.363427e-06   246416
  4.017588e-01   1.197369e-03   2.203276e-03   2.369902e-06   255380
  4.094034e-01   1.209349e-03   2.213254e-03   2.340877e-06   266552
  4.170502e-01   1.225896e-03   2.202551e-03   2.347184e-06   275336
  4.246906e-01   1.250821e-03   2.210141e-03   2.344482e-06   286308
  4.323388e-01   1.266121e-03   2.210517e-03   2.324477e-06   296616
  4.399877e-01   1.294088e-03   2.209537e-03   2.332696e-06   307424
  4.476267e-01   1.314686e-03   2.198654e-03   2.337838e-06   316886
  4.552855e-01   1.335949e-03   2.220819e-03   2.320805e-06   330992
  4.629479e-01   1.347678e-03   2.202345e-03   2.314198e-06   339356
  4.706029e-01   1.368166e-03   2.215300e-03   2.302560e-06   352880
  4.782739e-01   1.386341e-03   2.210057e-03   2.318882e-06   363728
  4.859229e-01   1.414484e-03   2.202307e-03   2.321747e-06   374060
  4.935638e-01   1.424033e-03   2.207118e-03   2.289165e-06   386512
  5.012245e-01   1.446534e-03   2.215497e-03   2.279262e-06   400232
  5.088771e-01   1.463805e-03   2.199539e-03   2.284600e-06   409772
  5.165343e-01   1.488363e-03   2.218458e-03   2.282330e-06   425600
  5.241851e-01   1.507394e-03   2.198923e-03   2.285962e-06   434180
  5.318173e-01   1.523116e-03   2.209123e-03   2.266235e-06   448928
  5.394783e-01   1.538271e-03   2.215217e-03   2.257593e-06   463376
  5.471305e-01   1.557344e-03   2.203051e-03   2.260010e-06   473988
  5.547721e-01   1.574822e-03   2.210463e-03   2.247511e-06   488688
  5.624395e-01   1.591968e-03   2.219624e-03   2.252006e-06   504392
  5.701025e-01   1.607573e-03   2.206335e-03   2.235173e-06   515396
  5.777517e-01   1.629296e-03   2.210437e-03   2.243434e-06   530168
  5.853975e-01   1.649024e-03   2.206581e-03   2.234446e-06   543236
  5.930412e-01   1.665076e-03   2.207646e-03   2.226581e-06   558122
  6.006862e-01   1.687982e-03   2.204899e-03   2.230064e-06   572168
  6.083393e-01   1.698709e-03   2.211087e-03   2.220003e-06   588508
  6.159982e-01   1.719207e-03   2.208664e-03   2.214579e-06   602672
  6.236571e-01   1.733784e-03   2.211488e-03   2.208652e-06   618536
  6.313083e-01   1.755829e-03   2.203967e-03   2.209443e-06   631724
  6.389557e-01   1.766676e-03   2.208934e-03   2.207014e-06   648560
  6.466077e-01   1.785963e-03   2.207165e-03   2.199896e-06   663548
  6.542470e-01   1.802562e-03   2.202131e-03   2.186211e-06   677768
  6.618945e-01   1.810944e-03   2.211575e-03   2.178185e-06   696656
  6.695527e-01   1.831158e-03   2.209426e-03   2.170960e-06   711908
  6.772148e-01   1.848251e-03   2.215427e-03   2.168423e-06   730072
  6.848691e-01   1.865602e-03   2.205615e-03   2.165283e-06   743324
  6.925093e-01   1.878424e-03   2.207153e-03   2.156894e-06   760616
  7.001593e-01   1.895431e-03   2.210626e-03   2.159915e-06   778808
  7.078084e-01   1.912107e-03   2.207053e-03   2.145258e-06   794396
  7.154662e-01   1.929055e-03   2.217111e-03   2.136879e-06   815192
  7.231298e-01   1.941859e-03   2.210110e-03   2.135234e-06   830480
  7.307755e-01   1.955226e-03   2.204622e-03   2.131880e-06   846196
  7.384148e-01   1.973896e-03   2.207076e-03   2.124174e-06   864776
  7.460668e-01   1.995195e-03   2.211589e-03   2.123174e-06   884870
  7.537283e-01   2.004038e-03   2.210636e-03   2.110912e-06   903152
  7.613786e-01   2.018331e-03   2.204038e-03   2.108933e-06   918872
  7.690306e-01   2.031146e-03   2.212180e-03   2.096288e-06   940652
  7.766914e-01   2.047454e-03   2.209988e-03   2.094906e-06   958448
  7.843504e-01   2.062923e-03   2.210696e-03   2.088814e-06   978128
  7.920018e-01   2.081903e-03   2.204061e-03   2.084920e-06   994316
  7.996451e-01   2.085619e-03   2.207597e-03   2.071699e-06   1014760
  8.072960e-01   2.103366e-03   2.209566e-03   2.071787e-06   1035164
