# power spectrum of delta
# redshift z=96.079122
# k              Pk             sigma(k)       sigma(Pk)      count
  5.562276e-03   3.471870e-08   1.043960e-03   4.914367e-09   26
  1.223212e-02   5.969555e-07   2.109551e-03   4.509184e-08   224
  1.972885e-02   1.904271e-06   2.153060e-03   7.851268e-08   596
  2.702247e-02   4.609932e-06   2.075657e-03   1.500319e-07   1088
  3.462668e-02   7.059910e-06   2.244189e-03   1.623684e-07   1952
  4.230772e-02   1.089978e-05   2.142904e-03   2.098880e-07   2780
  5.004312e-02   1.495376e-05   2.281079e-03   2.440177e-07   4112
  5.765572e-02   2.097534e-05   2.118182e-03   3.033840e-07   5060
  6.520378e-02   2.778775e-05   2.228225e-03   3.424023e-07   6808
  7.290095e-02   3.434806e-05   2.208442e-03   3.774358e-07   8456
  8.055190e-02   4.149474e-05   2.200045e-03   4.178098e-07   10244
  8.816864e-02   4.630978e-05   2.214152e-03   4.115546e-07   12296
  9.576395e-02   5.135017e-05   2.193113e-03   4.345152e-07   14408
  1.033733e-01   5.631121e-05   2.205152e-03   4.251988e-07   16916
  1.110951e-01   6.326925e-05   2.257402e-03   4.515217e-07   19976
  1.187549e-01   7.292803e-05   2.180988e-03   4.936322e-07   22028
  1.263330e-01   8.226914e-05   2.206596e-03   5.168089e-07   25240
  1.340087e-01   9.079851e-05   2.232177e-03   5.412095e-07   28784
  1.416697e-01   9.806174e-05   2.193755e-03   5.502495e-07   31628
  1.492984e-01   1.016151e-04   2.213206e-03   5.385546e-07   35426
  1.569573e-01   1.061286e-04   2.209355e-03   5.399156e-07   39152
  1.645984e-01   1.115075e-04   2.194191e-03   5.411071e-07   42836
  1.722273e-01   1.206729e-04   2.199276e-03   5.554134e-07   46976
  1.798694e-01   1.281450e-04   2.207348e-03   5.701572e-07   51364
  1.875354e-01   1.383676e-04   2.214571e-03   5.878213e-07   56048
  1.952019e-01   1.494576e-04   2.204526e-03   6.136761e-07   60488
  2.028259e-01   1.544000e-04   2.190146e-03   6.089510e-07   64844
  2.104373e-01   1.594133e-04   2.200161e-03   6.020580e-07   70064
  2.180931e-01   1.648404e-04   2.217730e-03   6.018878e-07   75848
  2.257751e-01   1.686364e-04   2.215327e-03   5.902243e-07   81212
  2.333962e-01   1.755866e-04   2.183836e-03   6.026768e-07   85496
  2.410250e-01   1.835441e-04   2.222691e-03   6.009461e-07   92708
  2.487230e-01   1.915625e-04   2.226629e-03   6.106080e-07   98920
  2.564066e-01   2.008466e-04   2.212160e-03   6.188205e-07   104504
  2.640689e-01   2.087925e-04   2.213777e-03   6.294668e-07   110852
  2.716904e-01   2.131615e-04   2.192788e-03   6.254961e-07   116192
  2.793027e-01   2.190198e-04   2.205898e-03   6.269542e-07   123608
  2.869594e-01   2.230157e-04   2.216650e-03   6.171904e-07   131156
  2.946343e-01   2.299829e-04   2.215916e-03   6.188762e-07   138218
  3.022953e-01   2.367224e-04   2.208863e-03   6.207007e-07   145036
  3.099375e-01   2.428742e-04   2.203423e-03   6.233197e-07   152240
  3.175711e-01   2.520043e-04   2.198398e-03   6.299638e-07   159608
  3.252355e-01   2.582461e-04   2.220715e-03   6.305765e-07   168980
  3.329134e-01   2.648390e-04   2.210565e-03   6.294573e-07   176144
  3.405436e-01   2.691465e-04   2.193657e-03   6.340741e-07   182924
  3.481936e-01   2.751493e-04   2.220287e-03   6.267595e-07   193640
  3.558650e-01   2.775837e-04   2.204921e-03   6.167145e-07   200912
  3.635019e-01   2.865940e-04   2.201155e-03   6.288726e-07   209092
  3.711489e-01   2.925573e-04   2.214636e-03   6.257226e-07   219224
  3.788142e-01   2.985768e-04   2.210801e-03   6.290071e-07   228128
  3.864746e-01   3.040078e-04   2.210310e-03   6.287013e-07   237284
  3.941242e-01   3.123601e-04   2.209189e-03   6.294752e-07   246416
  4.017588e-01   3.190974e-04   2.203276e-03   6.315936e-07   255380
  4.094034e-01   3.223064e-04   2.213254e-03   6.238908e-07   266552
  4.170502e-01   3.268214e-04   2.202551e-03   6.257132e-07   275336
  4.246906e-01   3.335296e-04   2.210141e-03   6.251458e-07   286308
  4.323388e-01   3.377529e-04   2.210517e-03   6.198206e-07   296616
  4.399877e-01   3.451321e-04   2.209537e-03   6.220634e-07   307424
  4.476267e-01   3.507303e-04   2.198654e-03   6.236516e-07   316886
  4.552855e-01   3.564580e-04   2.220819e-03   6.193419e-07   330992
  4.629479e-01   3.597566e-04   2.202345e-03   6.176749e-07   339356
  4.706029e-01   3.652773e-04   2.215300e-03   6.146736e-07   352880
  4.782739e-01   3.701376e-04   2.210057e-03   6.191177e-07   363728
  4.859229e-01   3.777396e-04   2.202307e-03   6.200264e-07   374060
  4.935638e-01   3.803894e-04   2.207118e-03   6.115007e-07   386512
  5.012245e-01   3.864771e-04   2.215497e-03   6.090139e-07   400232
  5.088771e-01   3.911974e-04   2.199539e-03   6.106358e-07   409772
  5.165343e-01   3.978596e-04   2.218458e-03   6.102116e-07   425600
  5.241851e-01   4.029097e-04   2.198923e-03   6.110680e-07   434180
  5.318173e-01   4.074381e-04   2.209123e-03   6.062315e-07   448928
  5.394783e-01   4.114997e-04   2.215217e-03   6.039953e-07   463376
  5.471305e-01   4.167167e-04   2.203051e-03   6.048044e-07   473988
  5.547721e-01   4.214764e-04   2.210463e-03   6.015013e-07   488688
  5.624395e-01   4.261612e-04   2.219624e-03   6.028561e-07   504392
  5.701025e-01   4.304656e-04   2.206335e-03   5.984341e-07   515396
  5.777517e-01   4.365082e-04   2.210437e-03   6.009319e-07   530168
  5.853975e-01   4.419364e-04   2.206581e-03   5.987528e-07   543236
  5.930412e-01   4.462211e-04   2.207646e-03   5.964905e-07   558122
  6.006862e-01   4.525190e-04   2.204899e-03   5.979696e-07   572168
  6.083393e-01   4.555442e-04   2.211087e-03   5.952997e-07   588508
  6.159982e-01   4.611737e-04   2.208664e-03   5.940499e-07   602672
  6.236571e-01   4.651576e-04   2.211488e-03   5.925140e-07   618536
  6.313083e-01   4.711187e-04   2.203967e-03   5.928118e-07   631724
  6.389557e-01   4.742278e-04   2.208934e-03   5.925238e-07   648560
  6.466077e-01   4.794603e-04   2.207165e-03   5.906279e-07   663548
  6.542470e-01   4.842475e-04   2.202131e-03   5.874332e-07   677768
  6.618945e-01   4.866636e-04   2.211575e-03   5.853547e-07   696656
  6.695527e-01   4.921441e-04   2.209426e-03   5.836627e-07   711908
  6.772148e-01   4.968562e-04   2.215427e-03   5.828389e-07   730072
  6.848691e-01   5.016521e-04   2.205615e-03   5.822656e-07   743324
  6.925093e-01   5.053053e-04   2.207153e-03   5.802373e-07   760616
  7.001593e-01   5.100538e-04   2.210626e-03   5.812205e-07   778808
  7.078084e-01   5.146474e-04   2.207053e-03   5.775617e-07   794396
  7.154662e-01   5.194526e-04   2.217111e-03   5.754772e-07   815192
  7.231298e-01   5.229937e-04   2.210110e-03   5.752164e-07   830480
  7.307755e-01   5.267938e-04   2.204622e-03   5.744914e-07   846196
  7.384148e-01   5.320696e-04   2.207076e-03   5.725372e-07   864776
  7.460668e-01   5.377907e-04   2.211589e-03   5.722012e-07   884870
  7.537283e-01   5.405407e-04   2.210636e-03   5.692416e-07   903152
  7.613786e-01   5.445204e-04   2.204038e-03   5.688343e-07   918872
  7.690306e-01   5.481092e-04   2.212180e-03   5.656337e-07   940652
  7.766914e-01   5.527367e-04   2.209988e-03   5.655925e-07   958448
  7.843504e-01   5.572346e-04   2.210696e-03   5.641528e-07   978128
  7.920018e-01   5.623949e-04   2.204061e-03   5.631928e-07   994316
  7.996451e-01   5.637807e-04   2.207597e-03   5.601740e-07   1014760
  8.072960e-01   5.686821e-04   2.209566e-03   5.600213e-07   1035164
  8.149584e-01   5.727597e-04   2.213751e-03   5.585711e-07   1057016
  8.226162e-01   5.769374e-04   2.206993e-03   5.563653e-07   1073624
  8.302634e-01   5.818563e-04   2.208117e-03   5.564655e-07   1094012
  8.379088e-01   5.852382e-04   2.207149e-03   5.547342e-07   1113368
  8.455580e-01   5.883353e-04   2.211152e-03   5.526668e-07   1136144
  8.532114e-01   5.939606e-04   2.207317e-03   5.541612e-07   1155132
  8.608573e-01   5.955614e-04   2.207522e-03   5.488607e-07   1175568
  8.684990e-01   6.013817e-04   2.206507e-03   5.510156e-07   1195748
  8.761487e-01   6.023460e-04   2.211794e-03   5.467647e-07   1220096
  8.838106e-01   6.090405e-04   2.212460e-03   5.470798e-07   1242224
  8.914641e-01   6.117022e-04   2.206267e-03   5.456406e-07   1260398
  8.991116e-01   6.155512e-04   2.208948e-03   5.432629e-07   1283432
  9.067628e-01   6.206964e-04   2.209081e-03   5.445943e-07   1305752
  9.144179e-01   6.235042e-04   2.208820e-03   5.414065e-07   1328316
  9.220826e-01   6.271025e-04   2.214394e-03   5.386806e-07   1353720
  9.297322e-01   6.310580e-04   2.201843e-03   5.398214e-07   1368092
  9.373668e-01   6.349607e-04   2.205696e-03   5.382312e-07   1393376
  9.450220e-01   6.389561e-04   2.212594e-03   5.364271e-07   1420832
  9.526841e-01   6.413315e-04   2.210067e-03   5.329457e-07   1442180
  9.603378e-01   6.448944e-04   2.208198e-03   5.322565e-07   1463768
  9.679846e-01   6.495963e-04   2.207671e-03   5.327362e-07   1486664
  9.756309e-01   6.516484e-04   2.206966e-03   5.301833e-07   1510196
  9.832828e-01   6.576716e-04   2.210434e-03   5.312916e-07   1536208
  9.909391e-01   6.600328e-04   2.210766e-03   5.298669e-07   1559924
  9.985927e-01   6.638605e-04   2.209863e-03   5.275606e-07   1583384
  1.006249e+00   6.663908e-04   2.211859e-03   5.253740e-07   1609496
  1.013910e+00   6.704419e-04   2.212038e-03   5.228515e-07   1634444
  1.021555e+00   6.734745e-04   2.202147e-03   5.233438e-07   1651568
  1.029200e+00   6.781964e-04   2.213049e-03   5.238348e-07   1684436
  1.036849e+00   6.808903e-04   2.204630e-03   5.223625e-07   1703480
  1.044498e+00   6.854897e-04   2.211173e-03   5.207502e-07   1734394
  1.052156e+00   6.874312e-04   2.209035e-03   5.181872e-07   1758140
  1.059809e+00   6.911157e-04   2.208877e-03   5.171538e-07   1783544
  1.067457e+00   6.943915e-04   2.205876e-03   5.167326e-07   1807352
  1.075107e+00   6.983330e-04   2.208895e-03   5.164472e-07   1836092
