# power spectrum of phi_prime/H (dimensionless)
# redshift z=48.519767
# k              Pk             sigma(k)       sigma(Pk)      count
  5.562276e-03   1.805216e-14   1.043960e-03   5.214743e-15   26
  1.223212e-02   3.128939e-14   2.109551e-03   2.159983e-15   224
  1.972885e-02   2.603223e-14   2.153060e-03   1.057582e-15   596
  2.702247e-02   2.107393e-14   2.075657e-03   6.721261e-16   1088
  3.462668e-02   1.382560e-14   2.244189e-03   3.129130e-16   1952
  4.230772e-02   1.087265e-14   2.142904e-03   2.127110e-16   2780
  5.004312e-02   8.506624e-15   2.281079e-03   1.353014e-16   4112
  5.765572e-02   7.700582e-15   2.118182e-03   1.136375e-16   5060
  6.520378e-02   7.142033e-15   2.228225e-03   8.370391e-17   6808
  7.290095e-02   6.492748e-15   2.208442e-03   7.287034e-17   8456
  8.055190e-02   6.182227e-15   2.200045e-03   6.133085e-17   10244
  8.816864e-02   5.833676e-15   2.214152e-03   5.396862e-17   12296
  9.576395e-02   5.493160e-15   2.193113e-03   4.642907e-17   14408
  1.033733e-01   5.253962e-15   2.205152e-03   4.121700e-17   16916
  1.110951e-01   5.111027e-15   2.257402e-03   3.735926e-17   19976
  1.187549e-01   5.120292e-15   2.180988e-03   3.534984e-17   22028
  1.263330e-01   4.971807e-15   2.206596e-03   3.256840e-17   25240
  1.340087e-01   4.928020e-15   2.232177e-03   3.056856e-17   28784
  1.416697e-01   4.842459e-15   2.193755e-03   2.876970e-17   31628
  1.492984e-01   4.679501e-15   2.213206e-03   2.583625e-17   35426
  1.569573e-01   4.682810e-15   2.209355e-03   2.485169e-17   39152
  1.645984e-01   4.575335e-15   2.194191e-03   2.308864e-17   42836
  1.722273e-01   4.592821e-15   2.199276e-03   2.269303e-17   46976
  1.798694e-01   4.503290e-15   2.207348e-03   2.083612e-17   51364
  1.875354e-01   4.420437e-15   2.214571e-03   1.950535e-17   56048
  1.952019e-01   4.436640e-15   2.204526e-03   1.908130e-17   60488
  2.028259e-01   4.359954e-15   2.190146e-03   1.846415e-17   64844
  2.104373e-01   4.353866e-15   2.200161e-03   1.766125e-17   70064
  2.180931e-01   4.266840e-15   2.217730e-03   1.663266e-17   75848
  2.257751e-01   4.215012e-15   2.215327e-03   1.614025e-17   81212
  2.333962e-01   4.155738e-15   2.183836e-03   1.521504e-17   85496
  2.410250e-01   4.108799e-15   2.222691e-03   1.453373e-17   92708
  2.487230e-01   4.073933e-15   2.226629e-03   1.392788e-17   98920
  2.564066e-01   4.058103e-15   2.212160e-03   1.376614e-17   104504
  2.640689e-01   4.012131e-15   2.213777e-03   1.315484e-17   110852
  2.716904e-01   3.961232e-15   2.192788e-03   1.276401e-17   116192
  2.793027e-01   3.908802e-15   2.205898e-03   1.214172e-17   123608
  2.869594e-01   3.863343e-15   2.216650e-03   1.171251e-17   131156
  2.946343e-01   3.821482e-15   2.215916e-03   1.134697e-17   138218
  3.022953e-01   3.762289e-15   2.208863e-03   1.080668e-17   145036
  3.099375e-01   3.744217e-15   2.203423e-03   1.070053e-17   152240
  3.175711e-01   3.679858e-15   2.198398e-03   1.021696e-17   159608
  3.252355e-01   3.666269e-15   2.220715e-03   9.946512e-18   168980
  3.329134e-01   3.614656e-15   2.210565e-03   9.534596e-18   176144
  3.405436e-01   3.611055e-15   2.193657e-03   9.456155e-18   182924
  3.481936e-01   3.537940e-15   2.220287e-03   8.991934e-18   193640
  3.558650e-01   3.491208e-15   2.204921e-03   8.739401e-18   200912
  3.635019e-01   3.475247e-15   2.201155e-03   8.540876e-18   209092
  3.711489e-01   3.438470e-15   2.214636e-03   8.246878e-18   219224
  3.788142e-01   3.430886e-15   2.210801e-03   8.113447e-18   228128
  3.864746e-01   3.380698e-15   2.210310e-03   7.826361e-18   237284
  3.941242e-01   3.341654e-15   2.209189e-03   7.606012e-18   246416
  4.017588e-01   3.327854e-15   2.203276e-03   7.478346e-18   255380
  4.094034e-01   3.263626e-15   2.213254e-03   7.215127e-18   266552
  4.170502e-01   3.242982e-15   2.202551e-03   7.020427e-18   275336
  4.246906e-01   3.230143e-15   2.210141e-03   6.904366e-18   286308
  4.323388e-01   3.200177e-15   2.210517e-03   6.729143e-18   296616
  4.399877e-01   3.163488e-15   2.209537e-03   6.568242e-18   307424
  4.476267e-01   3.138672e-15   2.198654e-03   6.378879e-18   316886
  4.552855e-01   3.099621e-15   2.220819e-03   6.177286e-18   330992
  4.629479e-01   3.087828e-15   2.202345e-03   6.079716e-18   339356
  4.706029e-01   3.057568e-15   2.215300e-03   5.911441e-18   352880
  4.782739e-01   3.033251e-15   2.210057e-03   5.795915e-18   363728
  4.859229e-01   3.017019e-15   2.202307e-03   5.701707e-18   374060
  4.935638e-01   2.985054e-15   2.207118e-03   5.584131e-18   386512
  5.012245e-01   2.962194e-15   2.215497e-03   5.432410e-18   400232
  5.088771e-01   2.924615e-15   2.199539e-03   5.312458e-18   409772
  5.165343e-01   2.902950e-15   2.218458e-03   5.192788e-18   425600
  5.241851e-01   2.886258e-15   2.198923e-03   5.113782e-18   434180
  5.318173e-01   2.859938e-15   2.209123e-03   5.002983e-18   448928
  5.394783e-01   2.842522e-15   2.215217e-03   4.910089e-18   463376
  5.471305e-01   2.825726e-15   2.203051e-03   4.811166e-18   473988
  5.547721e-01   2.788016e-15   2.210463e-03   4.672532e-18   488688
  5.624395e-01   2.759435e-15   2.219624e-03   4.568710e-18   504392
  5.701025e-01   2.739662e-15   2.206335e-03   4.502836e-18   515396
  5.777517e-01   2.728505e-15   2.210437e-03   4.396874e-18   530168
  5.853975e-01   2.706594e-15   2.206581e-03   4.312040e-18   543236
  5.930412e-01   2.683822e-15   2.207646e-03   4.264004e-18   558122
  6.006862e-01   2.664710e-15   2.204899e-03   4.150833e-18   572168
  6.083393e-01   2.647819e-15   2.211087e-03   4.083567e-18   588508
  6.159982e-01   2.618520e-15   2.208664e-03   3.978748e-18   602672
  6.236571e-01   2.601374e-15   2.211488e-03   3.916649e-18   618536
  6.313083e-01   2.580205e-15   2.203967e-03   3.862509e-18   631724
  6.389557e-01   2.563394e-15   2.208934e-03   3.793725e-18   648560
  6.466077e-01   2.539840e-15   2.207165e-03   3.727680e-18   663548
  6.542470e-01   2.526842e-15   2.202131e-03   3.660523e-18   677768
  6.618945e-01   2.516094e-15   2.211575e-03   3.586120e-18   696656
  6.695527e-01   2.501283e-15   2.209426e-03   3.550725e-18   711908
  6.772148e-01   2.485070e-15   2.215427e-03   3.471492e-18   730072
  6.848691e-01   2.456956e-15   2.205615e-03   3.411997e-18   743324
  6.925093e-01   2.441801e-15   2.207153e-03   3.358602e-18   760616
  7.001593e-01   2.429796e-15   2.210626e-03   3.297628e-18   778808
  7.078084e-01   2.403884e-15   2.207053e-03   3.230892e-18   794396
  7.154662e-01   2.391852e-15   2.217111e-03   3.172232e-18   815192
  7.231298e-01   2.375830e-15   2.210110e-03   3.145773e-18   830480
  7.307755e-01   2.364006e-15   2.204622e-03   3.104688e-18   846196
  7.384148e-01   2.347886e-15   2.207076e-03   3.030558e-18   864776
  7.460668e-01   2.340634e-15   2.211589e-03   3.003456e-18   884870
  7.537283e-01   2.327802e-15   2.210636e-03   2.973751e-18   903152
  7.613786e-01   2.306379e-15   2.204038e-03   2.904982e-18   918872
  7.690306e-01   2.296531e-15   2.212180e-03   2.868794e-18   940652
  7.766914e-01   2.283482e-15   2.209988e-03   2.834174e-18   958448
  7.843504e-01   2.259324e-15   2.210696e-03   2.769386e-18   978128
  7.920018e-01   2.256658e-15   2.204061e-03   2.751095e-18   994316
  7.996451e-01   2.243273e-15   2.207597e-03   2.705321e-18   1014760
  8.072960e-01   2.226960e-15   2.209566e-03   2.656862e-18   1035164
  8.149584e-01   2.220452e-15   2.213751e-03   2.632849e-18   1057016
  8.226162e-01   2.199451e-15   2.206993e-03   2.586841e-18   1073624
  8.302634e-01   2.184409e-15   2.208117e-03   2.539097e-18   1094012
  8.379088e-01   2.174909e-15   2.207149e-03   2.515483e-18   1113368
  8.455580e-01   2.160404e-15   2.211152e-03   2.478719e-18   1136144
  8.532114e-01   2.149194e-15   2.207317e-03   2.433361e-18   1155132
  8.608573e-01   2.142579e-15   2.207522e-03   2.429206e-18   1175568
  8.684990e-01   2.129966e-15   2.206507e-03   2.390506e-18   1195748
  8.761487e-01   2.114406e-15   2.211794e-03   2.343958e-18   1220096
  8.838106e-01   2.096950e-15   2.212460e-03   2.300863e-18   1242224
  8.914641e-01   2.088849e-15   2.206267e-03   2.286914e-18   1260398
  8.991116e-01   2.084067e-15   2.208948e-03   2.267213e-18   1283432
  9.067628e-01   2.070719e-15   2.209081e-03   2.234192e-18   1305752
