# power spectrum of phi
# redshift z=19.797355
# k              Pk             sigma(k)       sigma(Pk)      count
  5.562276e-03   2.842927e-10   1.043960e-03   5.163053e-11   26
  1.223212e-02   4.560835e-10   2.109551e-03   3.260438e-11   224
  1.972885e-02   2.844529e-10   2.153060e-03   1.179210e-11   596
  2.702247e-02   2.021277e-10   2.075657e-03   6.480542e-12   1088
  3.462668e-02   1.185986e-10   2.244189e-03   2.775298e-12   1952
  4.230772e-02   8.211736e-11   2.142904e-03   1.557715e-12   2780
  5.004312e-02   5.793599e-11   2.281079e-03   9.306729e-13   4112
  5.765572e-02   4.630771e-11   2.118182e-03   6.656055e-13   5060
  6.520378e-02   3.768249e-11   2.228225e-03   4.662511e-13   6808
  7.290095e-02   3.001677e-11   2.208442e-03   3.317786e-13   8456
  8.055190e-02   2.432602e-11   2.200045e-03   2.457283e-13   10244
  8.816864e-02   1.896011e-11   2.214152e-03   1.702103e-13   12296
  9.576395e-02   1.511905e-11   2.193113e-03   1.286253e-13   14408
  1.033733e-01   1.218201e-11   2.205152e-03   9.196534e-14   16916
  1.110951e-01   1.026231e-11   2.257402e-03   7.322951e-14   19976
  1.187549e-01   9.069243e-12   2.180988e-03   6.154340e-14   22028
  1.263330e-01   7.976869e-12   2.206596e-03   5.001952e-14   25240
  1.340087e-01   6.951445e-12   2.232177e-03   4.138571e-14   28784
  1.416697e-01   6.018126e-12   2.193755e-03   3.377886e-14   31628
  1.492984e-01   5.059217e-12   2.213206e-03   2.682770e-14   35426
  1.569573e-01   4.327598e-12   2.209355e-03   2.202985e-14   39152
  1.645984e-01   3.759084e-12   2.194191e-03   1.827778e-14   42836
  1.722273e-01   3.392015e-12   2.199276e-03   1.561833e-14   46976
  1.798694e-01   3.028396e-12   2.207348e-03   1.348380e-14   51364
  1.875354e-01   2.765800e-12   2.214571e-03   1.176238e-14   56048
  1.952019e-01   2.543918e-12   2.204526e-03   1.047100e-14   60488
  2.028259e-01   2.256951e-12   2.190146e-03   8.916605e-15   64844
  2.104373e-01   2.008773e-12   2.200161e-03   7.590424e-15   70064
  2.180931e-01   1.799562e-12   2.217730e-03   6.572193e-15   75848
  2.257751e-01   1.604547e-12   2.215327e-03   5.619275e-15   81212
  2.333962e-01   1.462387e-12   2.183836e-03   5.021136e-15   85496
  2.410250e-01   1.343989e-12   2.222691e-03   4.404593e-15   92708
  2.487230e-01   1.236720e-12   2.226629e-03   3.945453e-15   98920
  2.564066e-01   1.148278e-12   2.212160e-03   3.543612e-15   104504
  2.640689e-01   1.060639e-12   2.213777e-03   3.200007e-15   110852
  2.716904e-01   9.662246e-13   2.192788e-03   2.840922e-15   116192
  2.793027e-01   8.882923e-13   2.205898e-03   2.546036e-15   123608
  2.869594e-01   8.121541e-13   2.216650e-03   2.250274e-15   131156
  2.946343e-01   7.528001e-13   2.215916e-03   2.028885e-15   138218
  3.022953e-01   6.996343e-13   2.208863e-03   1.835563e-15   145036
  3.099375e-01   6.491457e-13   2.203423e-03   1.667572e-15   152240
  3.175711e-01   6.107450e-13   2.198398e-03   1.527620e-15   159608
  3.252355e-01   5.688780e-13   2.220715e-03   1.389952e-15   168980
  3.329134e-01   5.314014e-13   2.210565e-03   1.264789e-15   176144
