# power spectrum of pi_k * H (dimensionless)
# redshift z=19.797355
# k              Pk             sigma(k)       sigma(Pk)      count
  5.562276e-03   1.268310e-10   1.043960e-03   2.301111e-11   26
  1.223212e-02   2.037532e-10   2.109551e-03   1.456389e-11   224
  1.972885e-02   1.271337e-10   2.153060e-03   5.269257e-12   596
  2.702247e-02   9.038330e-11   2.075657e-03   2.898236e-12   1088
  3.462668e-02   5.304863e-11   2.244189e-03   1.241282e-12   1952
  4.230772e-02   3.673203e-11   2.142904e-03   6.969681e-13   2780
  5.004312e-02   2.590185e-11   2.281079e-03   4.161849e-13   4112
  5.765572e-02   2.068965e-11   2.118182e-03   2.973950e-13   5060
  6.520378e-02   1.682198e-11   2.228225e-03   2.081287e-13   6808
  7.290095e-02   1.339458e-11   2.208442e-03   1.480382e-13   8456
  8.055190e-02   1.085427e-11   2.200045e-03   1.096243e-13   10244
  8.816864e-02   8.458633e-12   2.214152e-03   7.593282e-14   12296
  9.576395e-02   6.742644e-12   2.193113e-03   5.733311e-14   14408
  1.033733e-01   5.429395e-12   2.205152e-03   4.096925e-14   16916
  1.110951e-01   4.570758e-12   2.257402e-03   3.262080e-14   19976
  1.187549e-01   4.036203e-12   2.180988e-03   2.739288e-14   22028
  1.263330e-01   3.546416e-12   2.206596e-03   2.223678e-14   25240
  1.340087e-01   3.088112e-12   2.232177e-03   1.839174e-14   28784
  1.416697e-01   2.671727e-12   2.193755e-03   1.500099e-14   31628
  1.492984e-01   2.245244e-12   2.213206e-03   1.190477e-14   35426
  1.569573e-01   1.919138e-12   2.209355e-03   9.772170e-15   39152
  1.645984e-01   1.665629e-12   2.194191e-03   8.098517e-15   42836
  1.722273e-01   1.501600e-12   2.199276e-03   6.916632e-15   46976
  1.798694e-01   1.339060e-12   2.207348e-03   5.962717e-15   51364
  1.875354e-01   1.221595e-12   2.214571e-03   5.194386e-15   56048
  1.952019e-01   1.122304e-12   2.204526e-03   4.618542e-15   60488
  2.028259e-01   9.947093e-13   2.190146e-03   3.929632e-15   64844
  2.104373e-01   8.843812e-13   2.200161e-03   3.342340e-15   70064
  2.180931e-01   7.915450e-13   2.217730e-03   2.890565e-15   75848
  2.257751e-01   7.048749e-13   2.215327e-03   2.468792e-15   81212
  2.333962e-01   6.417269e-13   2.183836e-03   2.203540e-15   85496
  2.410250e-01   5.889107e-13   2.222691e-03   1.929757e-15   92708
  2.487230e-01   5.412054e-13   2.226629e-03   1.726547e-15   98920
  2.564066e-01   5.018192e-13   2.212160e-03   1.548625e-15   104504
  2.640689e-01   4.627846e-13   2.213777e-03   1.396208e-15   110852
  2.716904e-01   4.211772e-13   2.192788e-03   1.238192e-15   116192
  2.793027e-01   3.866513e-13   2.205898e-03   1.108396e-15   123608
  2.869594e-01   3.529963e-13   2.216650e-03   9.780193e-16   131156
  2.946343e-01   3.267825e-13   2.215916e-03   8.802090e-16   138218
  3.022953e-01   3.032815e-13   2.208863e-03   7.956970e-16   145036
  3.099375e-01   2.808761e-13   2.203423e-03   7.215630e-16   152240
  3.175711e-01   2.638447e-13   2.198398e-03   6.598770e-16   159608
  3.252355e-01   2.453340e-13   2.220715e-03   5.994961e-16   168980
  3.329134e-01   2.287376e-13   2.210565e-03   5.443314e-16   176144
  3.405436e-01   2.117304e-13   2.193657e-03   4.990143e-16   182924
  3.481936e-01   1.977921e-13   2.220287e-03   4.506246e-16   193640
  3.558650e-01   1.826179e-13   2.204921e-03   4.058297e-16   200912
  3.635019e-01   1.728521e-13   2.201155e-03   3.791314e-16   209092
  3.711489e-01   1.618563e-13   2.214636e-03   3.462235e-16   219224
  3.788142e-01   1.519453e-13   2.210801e-03   3.200963e-16   228128
  3.864746e-01   1.424536e-13   2.210310e-03   2.947709e-16   237284
  3.941242e-01   1.351879e-13   2.209189e-03   2.728163e-16   246416
  4.017588e-01   1.274471e-13   2.203276e-03   2.523415e-16   255380
  4.094034e-01   1.191179e-13   2.213254e-03   2.307073e-16   266552
