# power spectrum of phi
# redshift z=48.519767
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   3.231525e-10   7.667927e-04   7.121327e-11   18
  1.037418e-02   4.742619e-10   1.725047e-03   4.847041e-11   128
  1.616528e-02   3.879735e-10   1.646572e-03   2.061069e-11   314
  2.269071e-02   2.412157e-10   1.954354e-03   8.792005e-12   728
  2.897169e-02   1.788716e-10   1.717946e-03   6.162930e-12   1016
  3.518826e-02   1.147231e-10   1.880676e-03   2.852865e-12   1682
  4.169479e-02   8.609750e-11   1.831736e-03   1.776645e-12   2300
  4.790974e-02   6.287962e-11   1.770731e-03   1.180359e-12   2906
  5.429022e-02   5.145043e-11   1.892687e-03   8.461703e-13   4040
  6.068098e-02   4.254553e-11   1.775551e-03   6.417112e-13   4712
  6.698900e-02   3.656566e-11   1.857705e-03   4.717119e-13   6002
  7.346135e-02   2.993815e-11   1.857594e-03   3.585932e-13   7256
  7.977379e-02   2.538490e-11   1.772571e-03   2.863749e-13   8120
  8.609019e-02   2.050235e-11   1.864951e-03   2.068752e-13   9950
  9.253636e-02   1.686828e-11   1.853578e-03   1.558622e-13   11384
  9.885187e-02   1.378914e-11   1.809244e-03   1.247711e-13   12666
  1.052712e-01   1.177536e-11   1.889168e-03   9.421997e-14   15104
  1.117654e-01   1.023155e-11   1.850532e-03   8.032043e-14   16616
  1.180754e-01   9.340301e-12   1.799489e-03   7.020851e-14   18026
  1.244216e-01   8.300947e-12   1.853405e-03   5.679773e-14   20696
  1.308065e-01   7.385685e-12   1.827918e-03   4.983192e-14   22436
  1.371558e-01   6.704422e-12   1.845873e-03   4.296933e-14   24962
  1.435394e-01   5.849380e-12   1.831283e-03   3.520568e-14   27176
  1.499133e-01   5.063105e-12   1.847268e-03   2.950125e-14   29810
  1.562775e-01   4.453139e-12   1.828450e-03   2.512998e-14   32120
  1.626776e-01   3.923154e-12   1.865216e-03   2.090398e-14   35432
  1.690383e-01   3.580666e-12   1.814577e-03   1.856288e-14   37238
  1.754019e-01   3.269489e-12   1.856016e-03   1.612594e-14   41072
  1.817869e-01   2.981309e-12   1.834293e-03   1.444441e-14   43472
  1.881565e-01   2.783513e-12   1.848176e-03   1.287905e-14   47042
  1.945298e-01   2.599695e-12   1.829223e-03   1.179676e-14   49712
  2.008693e-01   2.369447e-12   1.840592e-03   1.037748e-14   53226
  2.072637e-01   2.116176e-12   1.853753e-03   8.820513e-15   57320
  2.136558e-01   1.940425e-12   1.831629e-03   7.957226e-15   60092
  2.200056e-01   1.775145e-12   1.839426e-03   7.047900e-15   63914
  2.263950e-01   1.616779e-12   1.849752e-03   6.175629e-15   68192
  2.327751e-01   1.495439e-12   1.833934e-03   5.612778e-15   71336
  2.391397e-01   1.384789e-12   1.845607e-03   5.032378e-15   75818
  2.455297e-01   1.293019e-12   1.844019e-03   4.589072e-15   79880
  2.518964e-01   1.216958e-12   1.834462e-03   4.201431e-15   83642
  2.582661e-01   1.145069e-12   1.840779e-03   3.844419e-15   88316
  2.646730e-01   1.064028e-12   1.859422e-03   3.491511e-15   93488
  2.710484e-01   9.883236e-13   1.827184e-03   3.183295e-15   96458
  2.773871e-01   9.200330e-13   1.829038e-03   2.930417e-15   101264
  2.837816e-01   8.534961e-13   1.862873e-03   2.595009e-15   107696
  2.901819e-01   7.910270e-13   1.837217e-03   2.374492e-15   111170
  2.965233e-01   7.518741e-13   1.822285e-03   2.212335e-15   115232
  3.028941e-01   7.045253e-13   1.855375e-03   2.016990e-15   122310
  3.093019e-01   6.625387e-13   1.843350e-03   1.861434e-15   126944
  3.156739e-01   6.291607e-13   1.828600e-03   1.737878e-15   131192
  3.220432e-01   5.946105e-13   1.844535e-03   1.612293e-15   137618
  3.284234e-01   5.613827e-13   1.836674e-03   1.485641e-15   142448
  3.347979e-01   5.262302e-13   1.844704e-03   1.362692e-15   148520
  3.411627e-01   4.978199e-13   1.831436e-03   1.282339e-15   153254
  3.475446e-01   4.712310e-13   1.852010e-03   1.180017e-15   160760
  3.539284e-01   4.395053e-13   1.835751e-03   1.074084e-15   165290
  3.603019e-01   4.197108e-13   1.840148e-03   1.013797e-15   171992
  3.666828e-01   3.980558e-13   1.840217e-03   9.481865e-16   177800
  3.730569e-01   3.792789e-13   1.843032e-03   8.862820e-16   184322
  3.794439e-01   3.602483e-13   1.841595e-03   8.285906e-16   190832
  3.858239e-01   3.421157e-13   1.839260e-03   7.773969e-16   196772
  3.921872e-01   3.271756e-13   1.836453e-03   7.283951e-16   202970
  3.985536e-01   3.121421e-13   1.839266e-03   6.818309e-16   210056
  4.049173e-01   2.973586e-13   1.832832e-03   6.398844e-16   216210
  4.112896e-01   2.828168e-13   1.841640e-03   5.960886e-16   224168
  4.176700e-01   2.676675e-13   1.840761e-03   5.601174e-16   230792
  4.240565e-01   2.572327e-13   1.846256e-03   5.277131e-16   238778
  4.304312e-01   2.436771e-13   1.831772e-03   4.930628e-16   243956
  4.367939e-01   2.345381e-13   1.845141e-03   4.667081e-16   252680
  4.431746e-01   2.240331e-13   1.842020e-03   4.401046e-16   260066
  4.495713e-01   2.145829e-13   1.849294e-03   4.140949e-16   268712
  4.559494e-01   2.061519e-13   1.834336e-03   3.938201e-16   274034
  4.623270e-01   1.955957e-13   1.847366e-03   3.678439e-16   283904
  4.687088e-01   1.878962e-13   1.837425e-03   3.485736e-16   290048
  4.750707e-01   1.795947e-13   1.836659e-03   3.306103e-16   297950
  4.814434e-01   1.727683e-13   1.842026e-03   3.141973e-16   306968
  4.878269e-01   1.669014e-13   1.843240e-03   2.980782e-16   315320
  4.942006e-01   1.586173e-13   1.835899e-03   2.793198e-16   322346
  5.005701e-01   1.528959e-13   1.842589e-03   2.649911e-16   331664
  5.069538e-01   1.465743e-13   1.844896e-03   2.506184e-16   340818
  5.133346e-01   1.419644e-13   1.837322e-03   2.406718e-16   348164
  5.197083e-01   1.361696e-13   1.843548e-03   2.277107e-16   357584
  5.260929e-01   1.309373e-13   1.846059e-03   2.156883e-16   367106
  5.324635e-01   1.260236e-13   1.832285e-03   2.057606e-16   373376
  5.388350e-01   1.210790e-13   1.848023e-03   1.945997e-16   385376
  5.452233e-01   1.169232e-13   1.842356e-03   1.863221e-16   393650
  5.516038e-01   1.122819e-13   1.840588e-03   1.768635e-16   402704
  5.579656e-01   1.082650e-13   1.830970e-03   1.692721e-16   409910
  5.643320e-01   1.047712e-13   1.843407e-03   1.619162e-16   422024
  5.707212e-01   1.006923e-13   1.846526e-03   1.528803e-16   432176
  5.771022e-01   9.743855e-14   1.837404e-03   1.473073e-16   440066
  5.834769e-01   9.425143e-14   1.841263e-03   1.402396e-16   450680
  5.898365e-01   9.083774e-14   1.831084e-03   1.343838e-16   457856
  5.962115e-01   8.811099e-14   1.848347e-03   1.277719e-16   472538
  6.026013e-01   8.528290e-14   1.839689e-03   1.233660e-16   480140
  6.089752e-01   8.209865e-14   1.841279e-03   1.174653e-16   490842
  6.153517e-01   7.960191e-14   1.838382e-03   1.126089e-16   500744
  6.217295e-01   7.689672e-14   1.842392e-03   1.075552e-16   511856
  6.281145e-01   7.445004e-14   1.844734e-03   1.030964e-16   523202
  6.344991e-01   7.207314e-14   1.840396e-03   9.905863e-17   532688
  6.408638e-01   6.982778e-14   1.834541e-03   9.552633e-17   541520
  6.472341e-01   6.760385e-14   1.842653e-03   9.102484e-17   555110
