# power spectrum of delta
# redshift z=9.863284
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   6.823401e-07   7.667927e-04   1.327869e-07   18
  1.037418e-02   1.900195e-05   1.725047e-03   2.195282e-06   128
  1.616528e-02   8.430434e-05   1.646572e-03   4.760152e-06   314
  2.269071e-02   2.020230e-04   1.954354e-03   7.831150e-06   728
  2.897169e-02   3.862648e-04   1.717946e-03   1.297184e-05   1016
  3.518826e-02   5.363293e-04   1.880676e-03   1.324053e-05   1682
  4.169479e-02   8.037219e-04   1.831736e-03   1.690351e-05   2300
  4.790974e-02   1.021517e-03   1.770731e-03   1.919013e-05   2906
  5.429022e-02   1.372729e-03   1.892687e-03   2.260584e-05   4040
  6.068098e-02   1.769369e-03   1.775551e-03   2.669134e-05   4712
  6.698900e-02   2.252210e-03   1.857705e-03   2.902646e-05   6002
  7.346135e-02   2.660659e-03   1.857594e-03   3.164721e-05   7256
  7.977379e-02   3.153342e-03   1.772571e-03   3.564644e-05   8120
  8.609019e-02   3.448442e-03   1.864951e-03   3.459175e-05   9950
  9.253636e-02   3.792942e-03   1.853578e-03   3.508136e-05   11384
  9.885187e-02   4.033127e-03   1.809244e-03   3.627490e-05   12666
  1.052712e-01   4.441153e-03   1.889168e-03   3.564025e-05   15104
  1.117654e-01   4.895435e-03   1.850532e-03   3.845439e-05   16616
  1.180754e-01   5.562330e-03   1.799489e-03   4.173783e-05   18026
  1.244216e-01   6.098850e-03   1.853405e-03   4.180299e-05   20696
  1.308065e-01   6.617154e-03   1.827918e-03   4.452023e-05   22436
  1.371558e-01   7.255384e-03   1.845873e-03   4.622726e-05   24962
  1.435394e-01   7.601925e-03   1.831283e-03   4.556460e-05   27176
  1.499133e-01   7.830694e-03   1.847268e-03   4.555920e-05   29810
  1.562775e-01   8.145088e-03   1.828450e-03   4.595922e-05   32120
  1.626776e-01   8.441862e-03   1.865216e-03   4.499205e-05   35432
  1.690383e-01   8.974530e-03   1.814577e-03   4.644670e-05   37238
  1.754019e-01   9.489246e-03   1.856016e-03   4.688308e-05   41072
  1.817869e-01   9.987676e-03   1.834293e-03   4.840650e-05   43472
  1.881565e-01   1.069420e-02   1.848176e-03   4.945446e-05   47042
  1.945298e-01   1.138033e-02   1.829223e-03   5.169863e-05   49712
  2.008693e-01   1.182854e-02   1.840592e-03   5.163579e-05   53226
  2.072637e-01   1.195536e-02   1.853753e-03   4.983109e-05   57320
  2.136558e-01   1.237850e-02   1.831629e-03   5.071099e-05   60092
  2.200056e-01   1.274533e-02   1.839426e-03   5.057320e-05   63914
  2.263950e-01   1.302068e-02   1.849752e-03   4.964244e-05   68192
  2.327751e-01   1.345352e-02   1.833934e-03   5.036297e-05   71336
  2.391397e-01   1.389180e-02   1.845607e-03   5.045638e-05   75818
  2.455297e-01   1.442090e-02   1.844019e-03   5.126424e-05   79880
  2.518964e-01   1.500028e-02   1.834462e-03   5.176136e-05   83642
  2.582661e-01   1.563146e-02   1.840779e-03   5.261352e-05   88316
  2.646730e-01   1.600834e-02   1.859422e-03   5.255759e-05   93488
  2.710484e-01   1.634640e-02   1.827184e-03   5.274052e-05   96458
  2.773871e-01   1.668188e-02   1.829038e-03   5.303222e-05   101264
  2.837816e-01   1.694212e-02   1.862873e-03   5.156621e-05   107696
  2.901819e-01   1.721716e-02   1.837217e-03   5.176293e-05   111170
  2.965233e-01   1.780560e-02   1.822285e-03   5.254976e-05   115232
  3.028941e-01   1.818048e-02   1.855375e-03   5.195455e-05   122310
  3.093019e-01   1.856499e-02   1.843350e-03   5.216778e-05   126944
  3.156739e-01   1.911932e-02   1.828600e-03   5.287101e-05   131192
  3.220432e-01   1.953891e-02   1.844535e-03   5.298528e-05   137618
  3.284234e-01   2.000394e-02   1.836674e-03   5.291986e-05   142448
  3.347979e-01   2.023108e-02   1.844704e-03   5.241244e-05   148520
  3.411627e-01   2.058705e-02   1.831436e-03   5.295261e-05   153254
  3.475446e-01   2.100911e-02   1.852010e-03   5.251035e-05   160760
  3.539284e-01   2.111995e-02   1.835751e-03   5.170351e-05   165290
  3.603019e-01   2.169541e-02   1.840148e-03   5.237363e-05   171992
  3.666828e-01   2.202087e-02   1.840217e-03   5.250546e-05   177800
  3.730569e-01   2.245805e-02   1.843032e-03   5.238173e-05   184322
  3.794439e-01   2.284918e-02   1.841595e-03   5.251492e-05   190832
  3.858239e-01   2.316597e-02   1.839260e-03   5.260464e-05   196772
  3.921872e-01   2.370520e-02   1.836453e-03   5.276025e-05   202970
  3.985536e-01   2.407302e-02   1.839266e-03   5.272050e-05   210056
  4.049173e-01   2.442890e-02   1.832832e-03   5.268258e-05   216210
  4.112896e-01   2.468313e-02   1.841640e-03   5.206157e-05   224168
  4.176700e-01   2.484043e-02   1.840761e-03   5.197170e-05   230792
  4.240565e-01   2.542295e-02   1.846256e-03   5.222168e-05   238778
  4.304312e-01   2.555294e-02   1.831772e-03   5.162369e-05   243956
  4.367939e-01   2.605041e-02   1.845141e-03   5.183524e-05   252680
  4.431746e-01   2.642600e-02   1.842020e-03   5.196558e-05   260066
  4.495713e-01   2.676207e-02   1.849294e-03   5.165828e-05   268712
  4.559494e-01   2.712524e-02   1.834336e-03   5.181042e-05   274034
  4.623270e-01   2.727752e-02   1.847366e-03   5.127509e-05   283904
  4.687088e-01   2.765068e-02   1.837425e-03   5.143237e-05   290048
  4.750707e-01   2.788680e-02   1.836659e-03   5.133200e-05   297950
  4.814434e-01   2.828843e-02   1.842026e-03   5.136770e-05   306968
  4.878269e-01   2.882871e-02   1.843240e-03   5.149459e-05   315320
  4.942006e-01   2.883505e-02   1.835899e-03   5.085394e-05   322346
  5.005701e-01   2.925139e-02   1.842589e-03   5.072278e-05   331664
  5.069538e-01   2.950410e-02   1.844896e-03   5.048804e-05   340818
  5.133346e-01   2.999952e-02   1.837322e-03   5.089755e-05   348164
