# power spectrum of delta
# redshift z=-0.011770
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   4.413832e-05   7.667927e-04   8.656580e-06   18
  1.037418e-02   1.296127e-03   1.725047e-03   1.494019e-04   128
  1.616528e-02   5.792596e-03   1.646572e-03   3.273477e-04   314
  2.269071e-02   1.396258e-02   1.954354e-03   5.442722e-04   728
  2.897169e-02   2.653986e-02   1.717946e-03   8.902954e-04   1016
  3.518826e-02   3.685558e-02   1.880676e-03   9.168396e-04   1682
  4.169479e-02   5.484744e-02   1.831736e-03   1.137018e-03   2300
  4.790974e-02   7.016575e-02   1.770731e-03   1.314618e-03   2906
  5.429022e-02   9.237942e-02   1.892687e-03   1.500699e-03   4040
  6.068098e-02   1.204929e-01   1.775551e-03   1.791441e-03   4712
  6.698900e-02   1.512776e-01   1.857705e-03   1.970200e-03   6002
  7.346135e-02   1.785929e-01   1.857594e-03   2.148254e-03   7256
  7.977379e-02   2.141004e-01   1.772571e-03   2.447555e-03   8120
  8.609019e-02   2.342588e-01   1.864951e-03   2.368418e-03   9950
  9.253636e-02   2.620230e-01   1.853578e-03   2.419714e-03   11384
  9.885187e-02   2.815011e-01   1.809244e-03   2.562338e-03   12666
  1.052712e-01   3.172149e-01   1.889168e-03   2.559020e-03   15104
  1.117654e-01   3.475718e-01   1.850532e-03   2.712861e-03   16616
  1.180754e-01   3.934259e-01   1.799489e-03   2.935011e-03   18026
  1.244216e-01   4.308188e-01   1.853405e-03   2.973632e-03   20696
  1.308065e-01   4.675653e-01   1.827918e-03   3.134865e-03   22436
  1.371558e-01   5.086574e-01   1.845873e-03   3.181111e-03   24962
  1.435394e-01   5.504667e-01   1.831283e-03   3.338426e-03   27176
  1.499133e-01   5.759445e-01   1.847268e-03   3.356669e-03   29810
  1.562775e-01   6.131400e-01   1.828450e-03   3.457913e-03   32120
  1.626776e-01   6.568626e-01   1.865216e-03   3.531867e-03   35432
  1.690383e-01   7.055379e-01   1.814577e-03   3.642827e-03   37238
  1.754019e-01   7.472767e-01   1.856016e-03   3.681470e-03   41072
  1.817869e-01   7.947019e-01   1.834293e-03   3.813535e-03   43472
  1.881565e-01   8.388170e-01   1.848176e-03   3.893926e-03   47042
  1.945298e-01   9.025594e-01   1.829223e-03   4.051547e-03   49712
  2.008693e-01   9.539499e-01   1.840592e-03   4.120556e-03   53226
  2.072637e-01   9.792721e-01   1.853753e-03   4.087548e-03   57320
  2.136558e-01   1.045193e+00   1.831629e-03   4.274369e-03   60092
  2.200056e-01   1.095571e+00   1.839426e-03   4.315868e-03   63914
  2.263950e-01   1.139074e+00   1.849752e-03   4.354029e-03   68192
  2.327751e-01   1.192829e+00   1.833934e-03   4.469666e-03   71336
  2.391397e-01   1.251244e+00   1.845607e-03   4.566537e-03   75818
  2.455297e-01   1.317007e+00   1.844019e-03   4.676607e-03   79880
  2.518964e-01   1.371432e+00   1.834462e-03   4.731789e-03   83642
  2.582661e-01   1.446574e+00   1.840779e-03   4.880582e-03   88316
  2.646730e-01   1.490875e+00   1.859422e-03   4.931015e-03   93488
  2.710484e-01   1.550484e+00   1.827184e-03   5.005952e-03   96458
  2.773871e-01   1.629275e+00   1.829038e-03   5.104287e-03   101264
  2.837816e-01   1.686881e+00   1.862873e-03   5.145241e-03   107696
  2.901819e-01   1.754866e+00   1.837217e-03   5.252404e-03   111170
  2.965233e-01   1.821465e+00   1.822285e-03   5.402069e-03   115232
  3.028941e-01   1.898098e+00   1.855375e-03   5.466966e-03   122310
  3.093019e-01   1.956310e+00   1.843350e-03   5.492519e-03   126944
  3.156739e-01   2.044940e+00   1.828600e-03   5.658220e-03   131192
  3.220432e-01   2.105529e+00   1.844535e-03   5.720985e-03   137618
  3.284234e-01   2.180759e+00   1.836674e-03   5.794061e-03   142448
  3.347979e-01   2.270611e+00   1.844704e-03   5.859453e-03   148520
  3.411627e-01   2.327602e+00   1.831436e-03   5.930424e-03   153254
  3.475446e-01   2.417800e+00   1.852010e-03   6.037018e-03   160760
  3.539284e-01   2.489744e+00   1.835751e-03   6.125354e-03   165290
  3.603019e-01   2.584480e+00   1.840148e-03   6.240944e-03   171992
  3.666828e-01   2.659094e+00   1.840217e-03   6.305758e-03   177800
  3.730569e-01   2.739791e+00   1.843032e-03   6.353047e-03   184322
  3.794439e-01   2.841832e+00   1.841595e-03   6.491400e-03   190832
  3.858239e-01   2.919247e+00   1.839260e-03   6.595571e-03   196772
  3.921872e-01   3.004970e+00   1.836453e-03   6.677012e-03   202970
  3.985536e-01   3.113686e+00   1.839266e-03   6.805083e-03   210056
  4.049173e-01   3.196914e+00   1.832832e-03   6.914264e-03   216210
  4.112896e-01   3.301956e+00   1.841640e-03   6.975743e-03   224168
  4.176700e-01   3.389122e+00   1.840761e-03   7.050229e-03   230792
  4.240565e-01   3.500633e+00   1.846256e-03   7.160035e-03   238778
  4.304312e-01   3.576733e+00   1.831772e-03   7.217641e-03   243956
  4.367939e-01   3.678342e+00   1.845141e-03   7.343108e-03   252680
  4.431746e-01   3.777940e+00   1.842020e-03   7.380520e-03   260066
  4.495713e-01   3.913369e+00   1.849294e-03   7.546398e-03   268712
  4.559494e-01   4.006174e+00   1.834336e-03   7.634888e-03   274034
  4.623270e-01   4.119505e+00   1.847366e-03   7.731470e-03   283904
  4.687088e-01   4.210347e+00   1.837425e-03   7.793478e-03   290048
  4.750707e-01   4.321264e+00   1.836659e-03   7.887895e-03   297950
  4.814434e-01   4.442777e+00   1.842026e-03   7.977369e-03   306968
  4.878269e-01   4.542361e+00   1.843240e-03   8.097469e-03   315320
  4.942006e-01   4.651278e+00   1.835899e-03   8.178170e-03   322346
  5.005701e-01   4.784003e+00   1.842589e-03   8.332468e-03   331664
  5.069538e-01   4.886052e+00   1.844896e-03   8.358444e-03   340818
  5.133346e-01   5.002472e+00   1.837322e-03   8.483411e-03   348164
  5.197083e-01   5.145469e+00   1.843548e-03   8.579620e-03   357584
  5.260929e-01   5.246965e+00   1.846059e-03   8.655741e-03   367106
  5.324635e-01   5.389725e+00   1.832285e-03   8.835475e-03   373376
  5.388350e-01   5.520360e+00   1.848023e-03   8.912385e-03   385376
  5.452233e-01   5.629977e+00   1.842356e-03   8.945957e-03   393650
  5.516038e-01   5.738925e+00   1.840588e-03   8.999366e-03   402704
  5.579656e-01   5.874957e+00   1.830970e-03   9.165624e-03   409910
  5.643320e-01   6.018669e+00   1.843407e-03   9.273440e-03   422024
  5.707212e-01   6.157347e+00   1.846526e-03   9.392130e-03   432176
  5.771022e-01   6.253042e+00   1.837404e-03   9.420377e-03   440066
  5.834769e-01   6.394571e+00   1.841263e-03   9.561662e-03   450680
  5.898365e-01   6.539230e+00   1.831084e-03   9.658315e-03   457856
  5.962115e-01   6.691210e+00   1.848347e-03   9.746421e-03   472538
  6.026013e-01   6.839690e+00   1.839689e-03   9.872208e-03   480140
  6.089752e-01   6.948696e+00   1.841279e-03   9.915695e-03   490842
  6.153517e-01   7.081705e+00   1.838382e-03   9.985967e-03   500744
  6.217295e-01   7.241743e+00   1.842392e-03   1.015674e-02   511856
  6.281145e-01   7.396817e+00   1.844734e-03   1.022844e-02   523202
  6.344991e-01   7.531461e+00   1.840396e-03   1.031569e-02   532688
  6.408638e-01   7.661014e+00   1.834541e-03   1.045874e-02   541520
  6.472341e-01   7.810818e+00   1.842653e-03   1.049608e-02   555110
  6.536136e-01   7.940584e+00   1.839126e-03   1.055247e-02   564944
  6.599884e-01   8.119128e+00   1.839832e-03   1.070931e-02   576434
  6.663740e-01   8.287331e+00   1.844405e-03   1.082411e-02   588848
  6.727501e-01   8.444060e+00   1.838623e-03   1.093232e-02   597704
  6.791236e-01   8.560622e+00   1.842386e-03   1.093453e-02   610946
  6.855006e-01   8.722746e+00   1.837794e-03   1.106459e-02   620852
  6.918722e-01   8.857308e+00   1.841901e-03   1.112462e-02   633530
  6.982524e-01   9.052758e+00   1.841844e-03   1.123843e-02   645704
  7.046316e-01   9.191326e+00   1.840565e-03   1.135015e-02   656744
  7.110074e-01   9.340906e+00   1.841941e-03   1.141301e-02   669162
  7.173906e-01   9.516951e+00   1.843286e-03   1.152073e-02   681992
  7.237681e-01   9.662651e+00   1.838959e-03   1.160099e-02   692360
  7.301485e-01   9.833694e+00   1.844364e-03   1.171116e-02   707006
  7.365206e-01   9.980663e+00   1.834135e-03   1.180517e-02   714944
  7.428835e-01   1.014406e+01   1.841775e-03   1.186191e-02   730346
  7.492606e-01   1.032872e+01   1.838962e-03   1.202580e-02   742616
  7.556415e-01   1.048850e+01   1.843530e-03   1.205777e-02   756536
  7.620128e-01   1.064924e+01   1.836595e-03   1.213649e-02   766418
  7.683917e-01   1.080463e+01   1.845753e-03   1.222735e-02   783392
  7.747614e-01   1.097555e+01   1.833632e-03   1.234610e-02   790412
  7.811334e-01   1.114026e+01   1.848120e-03   1.235135e-02   810314
  7.875277e-01   1.133003e+01   1.843702e-03   1.250987e-02   821960
  7.938987e-01   1.151879e+01   1.834976e-03   1.266114e-02   831266
  8.002712e-01   1.166773e+01   1.843706e-03   1.266947e-02   848960
  8.066557e-01   1.180940e+01   1.842629e-03   1.274297e-02   861488
  8.130204e-01   1.200287e+01   1.833334e-03   1.284753e-02   871194
  8.193985e-01   1.216762e+01   1.847247e-03   1.288799e-02   891788
  8.257796e-01   1.235503e+01   1.838008e-03   1.298293e-02   900416
  8.321422e-01   1.254745e+01   1.836250e-03   1.312241e-02   914306
  8.385264e-01   1.272923e+01   1.847988e-03   1.317356e-02   933992
  8.449011e-01   1.285578e+01   1.834294e-03   1.326153e-02   940826
  8.512701e-01   1.306407e+01   1.842364e-03   1.335157e-02   960224
  8.576621e-01   1.323424e+01   1.846556e-03   1.338322e-02   976316
  8.640381e-01   1.343539e+01   1.835724e-03   1.355089e-02   985010
  8.704114e-01   1.357233e+01   1.843336e-03   1.353545e-02   1004024
  8.767898e-01   1.377851e+01   1.839706e-03   1.369672e-02   1016288
  8.831639e-01   1.395814e+01   1.840690e-03   1.373717e-02   1032290
  8.895470e-01   1.412972e+01   1.843156e-03   1.380830e-02   1048640
  8.959130e-01   1.431502e+01   1.831919e-03   1.391150e-02   1057250
  9.022937e-01   1.450630e+01   1.849588e-03   1.391239e-02   1083140
  9.086870e-01   1.470375e+01   1.840763e-03   1.406549e-02   1092248
  9.150555e-01   1.490281e+01   1.837510e-03   1.415952e-02   1105914
  9.214310e-01   1.505143e+01   1.841822e-03   1.420345e-02   1124744
  9.278120e-01   1.521483e+01   1.841202e-03   1.422217e-02   1139120
  9.341841e-01   1.543997e+01   1.838536e-03   1.431778e-02   1153490
  9.405650e-01   1.560749e+01   1.844187e-03   1.437565e-02   1172936
  9.469357e-01   1.579517e+01   1.834491e-03   1.453967e-02   1182158
  9.533110e-01   1.595912e+01   1.846126e-03   1.450862e-02   1206392
  9.596894e-01   1.613667e+01   1.835525e-03   1.461657e-02   1215224
  9.660641e-01   1.635264e+01   1.844936e-03   1.471379e-02   1237874
  9.724505e-01   1.652803e+01   1.841050e-03   1.476089e-02   1251800
  9.788233e-01   1.668003e+01   1.838619e-03   1.482349e-02   1265792
  9.851993e-01   1.692640e+01   1.843109e-03   1.493545e-02   1286306
  9.915793e-01   1.710594e+01   1.838809e-03   1.502520e-02   1299764
  9.979438e-01   1.727240e+01   1.836769e-03   1.507541e-02   1314554
  1.004319e+00   1.745200e+01   1.843595e-03   1.508563e-02   1337288
  1.010703e+00   1.761397e+01   1.840912e-03   1.514885e-02   1351304
  1.017077e+00   1.782988e+01   1.841769e-03   1.524366e-02   1369026
  1.023461e+00   1.799021e+01   1.843478e-03   1.526020e-02   1388456
  1.029842e+00   1.820341e+01   1.840406e-03   1.540338e-02   1402700
  1.036211e+00   1.836407e+01   1.837802e-03   1.541379e-02   1418282
  1.042587e+00   1.853276e+01   1.843596e-03   1.544872e-02   1440272
  1.048964e+00   1.869247e+01   1.838705e-03   1.552151e-02   1454114
  1.055341e+00   1.897915e+01   1.842603e-03   1.563228e-02   1475480
  1.061720e+00   1.912203e+01   1.840520e-03   1.564171e-02   1490936
  1.068091e+00   1.930448e+01   1.838519e-03   1.572398e-02   1507826
  1.074472e+00   1.950128e+01   1.844275e-03   1.575383e-02   1530764
  1.080850e+00   1.966591e+01   1.839052e-03   1.580724e-02   1543424
  1.087222e+00   1.983330e+01   1.841688e-03   1.587498e-02   1564946
  1.093594e+00   2.004704e+01   1.835875e-03   1.597215e-02   1578536
  1.099970e+00   2.021675e+01   1.845670e-03   1.596859e-02   1604882
  1.106358e+00   2.040568e+01   1.842454e-03   1.602738e-02   1621304
  1.112736e+00   2.062324e+01   1.839545e-03   1.612703e-02   1637024
  1.119103e+00   2.073813e+01   1.837794e-03   1.613594e-02   1654134
  1.125480e+00   2.093635e+01   1.844256e-03   1.615006e-02   1679168
  1.131864e+00   2.116027e+01   1.841903e-03   1.624349e-02   1695944
  1.138235e+00   2.133836e+01   1.836568e-03   1.630114e-02   1710602
  1.144612e+00   2.150486e+01   1.844777e-03   1.631936e-02   1737056
  1.150994e+00   2.172801e+01   1.840390e-03   1.640026e-02   1752602
  1.157370e+00   2.189240e+01   1.839227e-03   1.646300e-02   1772024
  1.163752e+00   2.206957e+01   1.844090e-03   1.648102e-02   1795364
  1.170126e+00   2.224570e+01   1.836467e-03   1.652681e-02   1807634
  1.176490e+00   2.240825e+01   1.836183e-03   1.657950e-02   1827608
  1.182859e+00   2.261396e+01   1.840789e-03   1.660217e-02   1850984
  1.189240e+00   2.276188e+01   1.844107e-03   1.662542e-02   1874618
  1.195619e+00   2.296113e+01   1.838445e-03   1.671885e-02   1889504
  1.202001e+00   2.313008e+01   1.845373e-03   1.671732e-02   1916870
  1.208383e+00   2.334661e+01   1.838254e-03   1.681666e-02   1929728
  1.214760e+00   2.349484e+01   1.843674e-03   1.679397e-02   1955408
  1.221131e+00   2.365943e+01   1.834427e-03   1.686600e-02   1966842
  1.227503e+00   2.384696e+01   1.843005e-03   1.690629e-02   1996640
  1.233886e+00   2.406851e+01   1.842690e-03   1.696480e-02   2016392
  1.240265e+00   2.421547e+01   1.839730e-03   1.697585e-02   2034722
  1.246641e+00   2.435838e+01   1.840813e-03   1.697997e-02   2056460
  1.253014e+00   2.458020e+01   1.838931e-03   1.705399e-02   2075186
  1.259388e+00   2.471349e+01   1.840566e-03   1.705995e-02   2099096
  1.265761e+00   2.490555e+01   1.837910e-03   1.711665e-02   2116832
  1.272138e+00   2.508913e+01   1.844119e-03   1.714752e-02   2145146
  1.278526e+00   2.522240e+01   1.844128e-03   1.712766e-02   2166776
  1.284904e+00   2.538151e+01   1.838822e-03   1.717979e-02   2181848
  1.291273e+00   2.557290e+01   1.838785e-03   1.723340e-02   2203766
  1.297646e+00   2.574047e+01   1.840619e-03   1.726805e-02   2227664
  1.304025e+00   2.593618e+01   1.842381e-03   1.730132e-02   2252138
  1.310403e+00   2.612320e+01   1.839825e-03   1.732965e-02   2271152
  1.316777e+00   2.627083e+01   1.840536e-03   1.735215e-02   2293256
  1.323154e+00   2.641559e+01   1.842085e-03   1.732789e-02   2318130
  1.329536e+00   2.655952e+01   1.841956e-03   1.735206e-02   2340824
  1.335910e+00   2.677299e+01   1.838342e-03   1.744040e-02   2357990
  1.342292e+00   2.692129e+01   1.846396e-03   1.738217e-02   2391176
  1.348671e+00   2.708326e+01   1.837209e-03   1.749563e-02   2401808
  1.355040e+00   2.719526e+01   1.840258e-03   1.743248e-02   2428442
  1.361418e+00   2.740853e+01   1.842645e-03   1.750433e-02   2454752
  1.367798e+00   2.752093e+01   1.841270e-03   1.748101e-02   2475872
  1.374172e+00   2.773932e+01   1.838763e-03   1.756958e-02   2495822
  1.380543e+00   2.787086e+01   1.839940e-03   1.753959e-02   2520248
  1.386922e+00   2.801701e+01   1.844043e-03   1.757243e-02   2549186
  1.393299e+00   2.816846e+01   1.837661e-03   1.758311e-02   2564768
  1.399672e+00   2.831292e+01   1.841284e-03   1.753513e-02   2592968
  1.406054e+00   2.846906e+01   1.843378e-03   1.759529e-02   2619818
  1.412431e+00   2.865458e+01   1.838027e-03   1.762299e-02   2636384
  1.418803e+00   2.884086e+01   1.840293e-03   1.767553e-02   2662220
  1.425180e+00   2.891619e+01   1.842524e-03   1.762641e-02   2689770
  1.431560e+00   2.913823e+01   1.840994e-03   1.769368e-02   2712296
  1.437933e+00   2.924151e+01   1.838431e-03   1.770917e-02   2732618
  1.444312e+00   2.936394e+01   1.843932e-03   1.766737e-02   2765264
  1.450695e+00   2.955778e+01   1.840894e-03   1.771864e-02   2784824
  1.457066e+00   2.970484e+01   1.837138e-03   1.773720e-02   2804162
  1.463445e+00   2.978600e+01   1.844971e-03   1.767241e-02   2840612
  1.469825e+00   2.995471e+01   1.839130e-03   1.773626e-02   2855576
  1.476198e+00   3.007332e+01   1.840533e-03   1.769809e-02   2883458
  1.482571e+00   3.024233e+01   1.838217e-03   1.773528e-02   2904128
  1.488946e+00   3.040496e+01   1.843378e-03   1.774179e-02   2937026
  1.495325e+00   3.050487e+01   1.839218e-03   1.774947e-02   2956976
  1.501703e+00   3.067167e+01   1.841967e-03   1.773871e-02   2986472
  1.508082e+00   3.082944e+01   1.840166e-03   1.778481e-02   3008918
  1.514460e+00   3.089035e+01   1.841773e-03   1.773541e-02   3036752
  1.520836e+00   3.112105e+01   1.839884e-03   1.778083e-02   3058376
  1.527209e+00   3.121016e+01   1.839616e-03   1.779453e-02   3084210
  1.533583e+00   3.136051e+01   1.840948e-03   1.779313e-02   3111848
  1.539960e+00   3.146558e+01   1.841348e-03   1.777352e-02   3138890
  1.546339e+00   3.166660e+01   1.840626e-03   1.780915e-02   3164516
  1.552719e+00   3.172332e+01   1.842638e-03   1.776609e-02   3192656
  1.559097e+00   3.186590e+01   1.840555e-03   1.777941e-02   3215618
  1.565473e+00   3.201430e+01   1.840732e-03   1.777006e-02   3242888
  1.571846e+00   3.213238e+01   1.839114e-03   1.779052e-02   3265448
  1.578224e+00   3.223745e+01   1.843575e-03   1.774022e-02   3300842
  1.584604e+00   3.236476e+01   1.839884e-03   1.777440e-02   3321008
  1.590977e+00   3.250064e+01   1.839336e-03   1.776035e-02   3346406
  1.597352e+00   3.258647e+01   1.841596e-03   1.770586e-02   3377984
  1.603728e+00   3.271190e+01   1.839551e-03   1.775334e-02   3400352
  1.610103e+00   3.283259e+01   1.841321e-03   1.772637e-02   3431450
  1.616483e+00   3.294625e+01   1.841519e-03   1.770086e-02   3458768
  1.622859e+00   3.307757e+01   1.841183e-03   1.773199e-02   3484088
  1.629231e+00   3.314702e+01   1.838425e-03   1.770305e-02   3508218
  1.635610e+00   3.333791e+01   1.843946e-03   1.770976e-02   3545924
  1.641992e+00   3.337917e+01   1.841053e-03   1.767194e-02   3567530
  1.648369e+00   3.353305e+01   1.840183e-03   1.769836e-02   3595040
  1.654744e+00   3.357341e+01   1.840167e-03   1.762737e-02   3621176
  1.661115e+00   3.371441e+01   1.839521e-03   1.764436e-02   3647738
  1.667490e+00   3.381767e+01   1.841438e-03   1.761574e-02   3680480
  1.673870e+00   3.392676e+01   1.842082e-03   1.760974e-02   3709712
  1.680248e+00   3.404658e+01   1.840008e-03   1.761941e-02   3734702
  1.686623e+00   3.416608e+01   1.840362e-03   1.763132e-02   3762776
  1.692996e+00   3.424616e+01   1.839854e-03   1.759581e-02   3790514
  1.699371e+00   3.436996e+01   1.839908e-03   1.758747e-02   3820352
  1.705752e+00   3.441132e+01   1.844068e-03   1.752638e-02   3856016
  1.712131e+00   3.459604e+01   1.839690e-03   1.755068e-02   3876818
  1.718506e+00   3.464574e+01   1.839874e-03   1.752943e-02   3906332
  1.724882e+00   3.474030e+01   1.841963e-03   1.752784e-02   3938216
  1.731260e+00   3.482117e+01   1.840685e-03   1.748794e-02   3966354
  1.737636e+00   3.496126e+01   1.839695e-03   1.750177e-02   3993536
  1.744011e+00   3.505077e+01   1.840344e-03   1.749653e-02   4024034
  1.750392e+00   3.508289e+01   1.843071e-03   1.742005e-02   4060208
  1.756773e+00   3.523720e+01   1.840812e-03   1.743874e-02   4083632
  1.763145e+00   3.530644e+01   1.837811e-03   1.741487e-02   4107062
  1.769521e+00   3.536474e+01   1.842771e-03   1.735185e-02   4148072
