# power spectrum of phi
# redshift z=96.079122
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-02   2.659022e-10   0.000000e+00   1.071806e-10   6
  1.777153e-02   1.306060e-10   0.000000e+00   2.607195e-11   12
  2.176559e-02   8.502473e-11   2.384186e-10   1.730981e-11   8
  2.513274e-02   2.497151e-10   0.000000e+00   2.687089e-11   6
  2.809926e-02   1.554999e-10   4.495664e-10   4.957305e-11   24
  3.078120e-02   2.014377e-10   4.495664e-10   3.394641e-11   24
  3.554306e-02   7.610195e-11   0.000000e+00   3.425209e-11   12
  3.769911e-02   8.252377e-11   5.086263e-10   1.518683e-11   30
  3.973835e-02   9.732492e-11   0.000000e+00   2.144490e-11   24
  4.167794e-02   8.420981e-11   7.786718e-10   2.087766e-11   24
  4.353118e-02   9.379539e-11   4.768372e-10   1.900312e-11   8
  4.530869e-02   7.641038e-11   6.357829e-10   9.498613e-12   24
  4.701905e-02   6.943530e-11   0.000000e+00   9.760727e-12   48
  5.026548e-02   7.793636e-11   0.000000e+00   3.426736e-11   6
  5.181247e-02   6.091072e-11   6.357829e-10   8.553351e-12   48
  5.331460e-02   5.545726e-11   5.994218e-10   5.771459e-12   36
  5.477554e-02   7.834557e-11   6.357829e-10   1.638773e-11   24
  5.619852e-02   4.537524e-11   8.991328e-10   7.805033e-12   24
  5.758634e-02   4.008962e-11   0.000000e+00   5.447938e-12   48
  5.894150e-02   6.132530e-11   8.991328e-10   8.729969e-12   24
  6.156239e-02   4.794830e-11   8.991328e-10   7.537253e-12   24
  6.283185e-02   3.241996e-11   0.000000e+00   5.307852e-12   30
  6.407617e-02   3.435153e-11   0.000000e+00   3.790921e-12   72
  6.529678e-02   3.324377e-11   9.536743e-10   6.775609e-12   32
  6.767198e-02   4.347206e-11   0.000000e+00   5.039951e-12   72
  6.882885e-02   2.627899e-11   0.000000e+00   3.842648e-12   48
  7.108613e-02   1.366964e-11   0.000000e+00   4.066363e-12   12
  7.273110e-02   2.509551e-11   5.427997e-04   2.325802e-12   96
  7.434365e-02   3.071508e-11   8.991328e-10   3.878569e-12   48
  7.539822e-02   3.652097e-11   1.017253e-09   6.400618e-12   30
  7.720780e-02   3.250466e-11   4.442982e-04   3.056180e-12   96
  7.947671e-02   1.880093e-11   0.000000e+00   3.570170e-12   24
  8.078915e-02   2.605858e-11   4.597878e-04   2.114614e-12   144
  8.240320e-02   1.771877e-11   1.557344e-09   4.347928e-12   24
  8.406230e-02   2.559171e-11   4.078565e-04   2.912715e-12   96
  8.522927e-02   2.208296e-11   0.000000e+00   3.397683e-12   48
  8.784818e-02   2.590028e-11   3.024579e-04   2.922714e-12   62
  8.917918e-02   1.845239e-11   4.253298e-04   2.230468e-12   132
  9.061739e-02   1.188463e-11   1.271566e-09   2.116896e-12   24
