# power spectrum of pi_k * H (dimensionless)
# redshift z=0.996995
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-02   1.314041e-10   0.000000e+00   5.299536e-11   6
  1.777153e-02   6.461763e-11   0.000000e+00   1.292877e-11   12
  2.176559e-02   4.209810e-11   2.384186e-10   8.953547e-12   8
  2.513274e-02   1.210766e-10   0.000000e+00   1.325785e-11   6
  2.809926e-02   7.544419e-11   4.495664e-10   2.402677e-11   24
  3.078120e-02   9.676116e-11   4.495664e-10   1.644311e-11   24
  3.554306e-02   3.497497e-11   0.000000e+00   1.588521e-11   12
  3.769911e-02   3.862780e-11   5.086263e-10   6.802201e-12   30
  3.973835e-02   4.653620e-11   0.000000e+00   9.972043e-12   24
  4.167794e-02   4.078327e-11   7.786718e-10   9.967349e-12   24
  4.353118e-02   4.292552e-11   4.768372e-10   8.497397e-12   8
  4.530869e-02   3.617502e-11   6.357829e-10   4.470974e-12   24
  4.701905e-02   3.205124e-11   0.000000e+00   4.577901e-12   48
  5.026548e-02   3.577604e-11   0.000000e+00   1.566295e-11   6
  5.181247e-02   2.765657e-11   6.357829e-10   3.960594e-12   48
  5.331460e-02   2.554562e-11   5.994218e-10   2.828133e-12   36
  5.477554e-02   3.628344e-11   6.357829e-10   7.581313e-12   24
  5.619852e-02   2.196314e-11   8.991328e-10   3.657823e-12   24
  5.758634e-02   1.902698e-11   0.000000e+00   2.490199e-12   48
  5.894150e-02   2.690150e-11   8.991328e-10   4.005776e-12   24
  6.156239e-02   2.236746e-11   8.991328e-10   3.294179e-12   24
  6.283185e-02   1.419677e-11   0.000000e+00   2.384974e-12   30
  6.407617e-02   1.647503e-11   0.000000e+00   1.828674e-12   72
  6.529678e-02   1.517404e-11   9.536743e-10   3.243711e-12   32
  6.767198e-02   1.994152e-11   0.000000e+00   2.335399e-12   72
  6.882885e-02   1.108207e-11   0.000000e+00   1.660762e-12   48
  7.108613e-02   6.215677e-12   0.000000e+00   2.027694e-12   12
  7.273110e-02   1.173181e-11   5.427997e-04   9.956869e-13   96
  7.434365e-02   1.314583e-11   8.991328e-10   1.764843e-12   48
  7.539822e-02   1.614896e-11   1.017253e-09   2.935659e-12   30
  7.720780e-02   1.538721e-11   4.442982e-04   1.473379e-12   96
  7.947671e-02   6.911055e-12   0.000000e+00   1.567708e-12   24
  8.078915e-02   1.140880e-11   4.597878e-04   9.455336e-13   144
  8.240320e-02   7.270281e-12   1.557344e-09   1.609364e-12   24
  8.406230e-02   1.061745e-11   4.078565e-04   1.184487e-12   96
  8.522927e-02   9.299247e-12   0.000000e+00   1.319037e-12   48
  8.784818e-02   1.120566e-11   3.024579e-04   1.399755e-12   62
  8.917918e-02   8.086276e-12   4.253298e-04   9.090682e-13   132
  9.061739e-02   5.652832e-12   1.271566e-09   9.124151e-13   24
  9.197543e-02   7.587638e-12   4.251090e-04   6.454868e-13   168
  9.445606e-02   8.575501e-12   4.179554e-04   6.815474e-13   96
  9.631875e-02   6.002173e-12   3.557186e-04   5.379768e-13   96
  9.860433e-02   5.622961e-12   3.964957e-04   4.742320e-13   168
  1.005310e-01   7.364980e-12   0.000000e+00   3.286464e-12   6
  1.013133e-01   6.049581e-12   0.000000e+00   6.175236e-13   96
  1.022438e-01   5.656479e-12   3.081996e-04   5.890672e-13   120
  1.041311e-01   4.493740e-12   3.578749e-04   3.657993e-13   144
  1.051378e-01   4.749068e-12   0.000000e+00   7.632873e-13   48
  1.070509e-01   4.173246e-12   3.651792e-04   4.397764e-13   84
  1.081000e-01   4.766250e-12   2.491750e-09   4.275018e-13   120
  1.090449e-01   3.987071e-12   3.313740e-04   5.304652e-13   80
  1.105074e-01   3.566074e-12   3.364535e-04   2.799768e-13   144
  1.123970e-01   4.576638e-12   1.798266e-09   8.021384e-13   24
  1.133201e-01   4.957751e-12   3.246628e-04   4.427219e-13   150
  1.147601e-01   4.305902e-12   3.368559e-04   2.930418e-13   120
  1.163416e-01   4.055322e-12   3.069733e-04   3.299660e-13   168
  1.178830e-01   5.328900e-12   1.798266e-09   6.330010e-13   24
  1.188528e-01   3.296486e-12   3.307029e-04   2.253202e-13   264
  1.198755e-01   2.730934e-12   1.798266e-09   4.352737e-13   48
  1.216189e-01   3.360691e-12   3.063158e-04   2.762643e-13   144
  1.235512e-01   3.528433e-12   3.015167e-04   4.157822e-13   72
  1.246540e-01   3.202135e-12   3.101478e-04   2.050023e-13   180
  1.261955e-01   3.181850e-12   2.247234e-04   2.312481e-13   198
  1.269141e-01   3.801710e-12   0.000000e+00   3.578522e-13   48
  1.285036e-01   2.788099e-12   3.041694e-04   2.140418e-13   168
  1.296831e-01   3.053202e-12   3.044222e-04   2.383417e-13   144
  1.314676e-01   2.989522e-12   4.277300e-04   1.594835e-13   248
  1.338772e-01   2.000316e-12   2.948852e-04   1.525805e-13   192
  1.355181e-01   2.590607e-12   4.554933e-04   1.682349e-13   240
  1.365057e-01   3.177682e-12   0.000000e+00   3.614473e-13   72
  1.380120e-01   2.902861e-12   2.779615e-04   2.604804e-13   126
  1.389623e-01   2.610081e-12   2.564571e-04   2.071065e-13   168
  1.407767e-01   2.725043e-12   2.804328e-04   1.383282e-13   288
  1.426839e-01   2.400392e-12   1.476986e-04   2.151553e-13   156
  1.436715e-01   2.019870e-12   2.484720e-04   1.843805e-13   168
  1.451693e-01   2.190416e-12   4.259613e-04   1.495376e-13   264
  1.465478e-01   1.432610e-12   0.000000e+00   1.864314e-13   48
  1.475722e-01   1.896468e-12   4.239347e-04   1.186236e-13   264
  1.490407e-01   1.745077e-12   2.498827e-04   1.281549e-13   144
  1.501498e-01   1.972571e-12   5.112474e-04   2.270312e-13   78
  1.517654e-01   1.710315e-12   3.323319e-04   9.747526e-14   336
  1.532889e-01   1.405172e-12   2.528505e-04   8.972777e-14   200
  1.542895e-01   1.412456e-12   4.950846e-04   1.145954e-13   192
  1.556403e-01   1.863924e-12   2.484459e-04   1.232269e-13   240
  1.568812e-01   1.933593e-12   4.979003e-04   1.305606e-13   168
  1.581561e-01   1.451750e-12   3.986332e-04   1.348610e-13   120
  1.596873e-01   1.624653e-12   3.115666e-04   9.072801e-14   324
  1.611730e-01   1.248266e-12   2.449443e-04   7.870123e-14   192
  1.621842e-01   1.648647e-12   4.392943e-04   1.053354e-13   168
  1.639042e-01   1.262369e-12   3.618152e-04   6.345172e-14   342
  1.654551e-01   1.444899e-12   2.913340e-04   7.971723e-14   336
  1.670270e-01   1.520179e-12   2.229470e-04   1.570854e-13   72
  1.680871e-01   1.233488e-12   3.565739e-04   7.216560e-14   288
  1.693176e-01   1.256459e-12   2.322255e-04   8.556228e-14   264
  1.710363e-01   1.155954e-12   3.054338e-04   6.495959e-14   384
  1.725757e-01   1.167082e-12   3.666000e-04   7.177770e-14   240
  1.732155e-01   9.382488e-13   0.000000e+00   1.211084e-13   48
  1.750659e-01   1.059188e-12   3.000861e-04   5.440639e-14   392
  1.764776e-01   9.458254e-13   3.293295e-04   5.404324e-14   294
  1.779956e-01   9.872842e-13   2.140470e-04   6.710074e-14   228
  1.789939e-01   1.129892e-12   3.250617e-04   6.815926e-14   216
  1.802361e-01   9.455475e-13   1.980050e-04   5.022467e-14   336
  1.817567e-01   1.066087e-12   2.352625e-04   5.954232e-14   360
  1.830119e-01   1.046807e-12   3.584392e-04   6.657958e-14   240
  1.843199e-01   1.052579e-12   4.241157e-04   7.914799e-14   168
  1.855399e-01   9.212228e-13   3.338306e-04   4.960251e-14   312
  1.869935e-01   8.820332e-13   2.089228e-04   4.541928e-14   336
  1.885637e-01   8.755272e-13   2.850095e-04   4.978614e-14   294
  1.897477e-01   9.523157e-13   3.798594e-04   5.689427e-14   288
  1.906536e-01   7.795587e-13   2.376907e-04   4.955280e-14   264
  1.922691e-01   7.965951e-13   4.082916e-04   3.629869e-14   480
  1.936199e-01   9.544246e-13   1.997349e-04   5.512331e-14   240
  1.952759e-01   8.635799e-13   2.019671e-04   5.077872e-14   276
  1.965824e-01   8.250605e-13   4.433576e-04   3.570839e-14   488
  1.981346e-01   7.608847e-13   1.952641e-04   5.859448e-14   240
  1.990355e-01   7.428822e-13   3.791527e-04   4.258213e-14   360
  2.002988e-01   7.607427e-13   1.348968e-04   5.219308e-14   198
  2.019235e-01   6.709467e-13   4.558217e-04   2.747444e-14   480
  2.031131e-01   6.262003e-13   1.682460e-04   3.507596e-14   288
  2.047583e-01   7.028482e-13   3.556337e-04   3.655418e-14   480
