# power spectrum of phi
# redshift z=0.996995
# k              Pk             sigma(k)       sigma(Pk)      count
  1.256637e-02   2.264922e-10   0.000000e+00   9.143104e-11   6
  1.777153e-02   1.113223e-10   0.000000e+00   2.227467e-11   12
  2.176559e-02   7.204314e-11   2.384186e-10   1.527079e-11   8
  2.513274e-02   2.115870e-10   0.000000e+00   2.311439e-11   6
  2.809926e-02   1.321244e-10   4.495664e-10   4.191052e-11   24
  3.078120e-02   1.690122e-10   4.495664e-10   2.919645e-11   24
  3.554306e-02   6.191344e-11   0.000000e+00   2.751190e-11   12
  3.769911e-02   6.754914e-11   5.086263e-10   1.167612e-11   30
  3.973835e-02   8.240486e-11   0.000000e+00   1.755382e-11   24
  4.167794e-02   7.094298e-11   7.786718e-10   1.753224e-11   24
  4.353118e-02   7.637570e-11   4.768372e-10   1.493678e-11   8
  4.530869e-02   6.357348e-11   6.357829e-10   8.122650e-12   24
  4.701905e-02   5.736852e-11   0.000000e+00   8.276993e-12   48
  5.026548e-02   6.063970e-11   0.000000e+00   2.663744e-11   6
  5.181247e-02   4.928063e-11   6.357829e-10   7.180401e-12   48
  5.331460e-02   4.569014e-11   5.994218e-10   5.169068e-12   36
  5.477554e-02   6.590476e-11   6.357829e-10   1.415419e-11   24
  5.619852e-02   3.950522e-11   8.991328e-10   6.264038e-12   24
  5.758634e-02   3.430939e-11   0.000000e+00   4.385922e-12   48
  5.894150e-02   4.750140e-11   8.991328e-10   7.008508e-12   24
  6.156239e-02   4.196636e-11   8.991328e-10   6.103363e-12   24
  6.283185e-02   2.530293e-11   0.000000e+00   4.393031e-12   30
  6.407617e-02   3.001593e-11   0.000000e+00   3.270778e-12   72
  6.529678e-02   2.801229e-11   9.536743e-10   5.974235e-12   32
  6.767198e-02   3.662141e-11   0.000000e+00   4.321221e-12   72
  6.882885e-02   2.022111e-11   0.000000e+00   3.068370e-12   48
  7.108613e-02   1.161756e-11   0.000000e+00   3.724220e-12   12
  7.273110e-02   2.153256e-11   5.427997e-04   1.830021e-12   96
  7.434365e-02   2.359342e-11   8.991328e-10   3.180331e-12   48
  7.539822e-02   2.928279e-11   1.017253e-09   5.312216e-12   30
  7.720780e-02   2.909430e-11   4.442982e-04   2.741270e-12   96
  7.947671e-02   1.222495e-11   0.000000e+00   2.955938e-12   24
  8.078915e-02   2.102715e-11   4.597878e-04   1.750177e-12   144
  8.240320e-02   1.375110e-11   1.557344e-09   2.952616e-12   24
  8.406230e-02   1.982228e-11   4.078565e-04   2.170728e-12   96
