# Matter power spectrum P(k) at redshift z=100
# for k=1.05469e-05 to 226.999 h/Mpc,
# number of wavenumbers equal to 388
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.054685259621e-05       4.431294152657e-03 
       1.104391044557e-05       5.037817857846e-03 
       1.156439390968e-05       5.603381332580e-03 
       1.210940700373e-05       6.384281470231e-03 
       1.268010577357e-05       9.099103201811e-03 
       1.327770074781e-05       9.510593909357e-03 
       1.390345950551e-05       9.929810810879e-03 
       1.455870936489e-05       1.036856135904e-02 
       1.524484019875e-05       1.120569507980e-02 
       1.596330738259e-05       1.190506781106e-02 
       1.671563488162e-05       1.182018991871e-02 
       1.750341848334e-05       1.229990561783e-02 
       1.832832918239e-05       1.287727838573e-02 
       1.919211672495e-05       1.413942136871e-02 
       2.009661332022e-05       1.419445899768e-02 
       2.104373752675e-05       1.476663365899e-02 
       2.203549832195e-05       1.604974584962e-02 
       2.307399936344e-05       1.779148072721e-02 
       2.416144345116e-05       1.832701676034e-02 
       2.530013719983e-05       1.882921961949e-02 
       2.649249593155e-05       1.928861283656e-02 
       2.774104879905e-05       1.929387774664e-02 
       2.904844415035e-05       2.105532923840e-02 
       3.041745514630e-05       2.185607438443e-02 
       3.185098564275e-05       2.272942848403e-02 
       3.335207635008e-05       2.360699247512e-02 
       3.492391128294e-05       2.429306381168e-02 
       3.656982451396e-05       2.520787047788e-02 
       3.829330724578e-05       2.619547999347e-02 
       4.009801521634e-05       2.710835837089e-02 
       4.198777645321e-05       2.828841813423e-02 
       4.396659939334e-05       2.987703166086e-02 
       4.603868138548e-05       3.087213414663e-02 
       4.820841759336e-05       3.230510418254e-02 
       5.048041031836e-05       3.375160303780e-02 
       5.285947876168e-05       3.534121368475e-02 
       5.535066924645e-05       3.695665676177e-02 
       5.795926592168e-05       3.868217432697e-02 
       6.069080197066e-05       4.043767225250e-02 
       6.355107134759e-05       4.227384960905e-02 
       6.654614106728e-05       4.413683507291e-02 
       6.968236407417e-05       4.614925937792e-02 
       7.296639271774e-05       4.826214014502e-02 
       7.640519286304e-05       5.048299337866e-02 
       8.000605866622e-05       5.278638601199e-02 
       8.377662804643e-05       5.517438524617e-02 
       8.772489888686e-05       5.764679034881e-02 
       9.185924599931e-05       6.029585082775e-02 
       9.618843888831e-05       6.318241605992e-02 
       1.007216603524e-04       6.606635415089e-02 
       1.054685259621e-04       6.899835774904e-02 
       1.104391044557e-04       7.210998003849e-02 
       1.156439390968e-04       7.533786559011e-02 
       1.210940700373e-04       7.879808914565e-02 
       1.268010577357e-04       8.231995285724e-02 
       1.327770074781e-04       8.603702458784e-02 
       1.390345950551e-04       8.991813002779e-02 
       1.455870936489e-04       9.398714281426e-02 
       1.524484019875e-04       9.813172309429e-02 
       1.596330738259e-04       1.025778433692e-01 
       1.671563488162e-04       1.072155377148e-01 
       1.750341848334e-04       1.120308082076e-01 
       1.832832918239e-04       1.171667778083e-01 
       1.919211672495e-04       1.224615167426e-01 
       2.009661332022e-04       1.280185969723e-01 
       2.104373752675e-04       1.338159653083e-01 
       2.203549832195e-04       1.398750226941e-01 
       2.307399936344e-04       1.462099091526e-01 
       2.416144345116e-04       1.528305710537e-01 
       2.530013719983e-04       1.597591958636e-01 
       2.649249593155e-04       1.669877264060e-01 
       2.774104879905e-04       1.745465174980e-01 
       2.904844415035e-04       1.824459639547e-01 
       3.041745514630e-04       1.907415677260e-01 
       3.185098564275e-04       1.993867750528e-01 
       3.335207635008e-04       2.084084194169e-01 
       3.492391128294e-04       2.178351346580e-01 
       3.656982451396e-04       2.276539498475e-01 
       3.829330724578e-04       2.379375608707e-01 
       4.009801521634e-04       2.486416137576e-01 
       4.198777645321e-04       2.599470953400e-01 
       4.396659939334e-04       2.717137016429e-01 
       4.603868138548e-04       2.839663685561e-01 
       4.820841759336e-04       2.968511036513e-01 
       5.048041031836e-04       3.103269206874e-01 
       5.285947876168e-04       3.242957776489e-01 
       5.535066924645e-04       3.389411587039e-01 
       5.795926592168e-04       3.542647601831e-01 
       6.069080197066e-04       3.701845980876e-01 
       6.355107134759e-04       3.869149284324e-01 
       6.654614106728e-04       4.043524422378e-01 
       6.968236407417e-04       4.225935629342e-01 
       7.296639271774e-04       4.416588752070e-01 
       7.640519286304e-04       4.615168576782e-01 
       8.000605866622e-04       4.823034248429e-01 
       8.377662804643e-04       5.039724582133e-01 
       8.772489888686e-04       5.266587767121e-01 
       9.185924599931e-04       5.503437171276e-01 
       9.618843888831e-04       5.749979963364e-01 
       1.007216603524e-03       6.007861241911e-01 
       1.054685259621e-03       6.277263749228e-01 
       1.104391044557e-03       6.558142221819e-01 
       1.156439390968e-03       6.851173194605e-01 
       1.210940700373e-03       7.157171855109e-01 
       1.268010577357e-03       7.476403832655e-01 
       1.327770074781e-03       7.809331682908e-01 
       1.390345950551e-03       8.156245480020e-01 
       1.455870936489e-03       8.518430969779e-01 
       1.524484019875e-03       8.895529349919e-01 
       1.596330738259e-03       9.288496173831e-01 
       1.671563488162e-03       9.697998446328e-01 
       1.750341848334e-03       1.012440567915e+00 
       1.832832918239e-03       1.056825507715e+00 
       1.919211672495e-03       1.103017720677e+00 
       2.009661332022e-03       1.151065540548e+00 
       2.104373752675e-03       1.201016359404e+00 
       2.203549832195e-03       1.252914468024e+00 
       2.307399936344e-03       1.306820444271e+00 
       2.416144345116e-03       1.362789235582e+00 
       2.530013719983e-03       1.420822965598e+00 
       2.649249593155e-03       1.480989982396e+00 
       2.774104879905e-03       1.543301480037e+00 
       2.904844415035e-03       1.607783245394e+00 
       3.041745514630e-03       1.674457901758e+00 
       3.185098564275e-03       1.743318752000e+00 
       3.335207635008e-03       1.814367037214e+00 
       3.492391128294e-03       1.887586282849e+00 
       3.656982451396e-03       1.962942563230e+00 
       3.829330724578e-03       2.040396048699e+00 
       4.009801521634e-03       2.119881798069e+00 
       4.198777645321e-03       2.201327452912e+00 
       4.396659939334e-03       2.284635056874e+00 
       4.603868138548e-03       2.369685419528e+00 
       4.820841759336e-03       2.456343488407e+00 
       5.048041031836e-03       2.544451045348e+00 
       5.285947876168e-03       2.633824389850e+00 
       5.535066924645e-03       2.724259103640e+00 
       5.795926592168e-03       2.815527526341e+00 
       6.069080197066e-03       2.907377594298e+00 
       6.355107134759e-03       2.999541615729e+00 
       6.654614106728e-03       3.091716558767e+00 
       6.968236407417e-03       3.183599108236e+00 
       7.296639271774e-03       3.274857325557e+00 
       7.640519286304e-03       3.365139409983e+00 
       8.000605866622e-03       3.454097781295e+00 
       8.377662804643e-03       3.541335913271e+00 
       8.772489888686e-03       3.626481241450e+00 
       9.185924599931e-03       3.709133791139e+00 
       9.618843888831e-03       3.788873122541e+00 
       1.007216603524e-02       3.865268066541e+00 
       1.054685259621e-02       3.937874120794e+00 
       1.104391044557e-02       4.006220111832e+00 
       1.156439390968e-02       4.069812687601e+00 
       1.210940700373e-02       4.128130800503e+00 
       1.268010577357e-02       4.180627318611e+00 
       1.327770074781e-02       4.226728029809e+00 
       1.390345950551e-02       4.265854741548e+00 
       1.455870936489e-02       4.297399935122e+00 
       1.524484019873e-02       4.320776628331e+00 
       1.596330738246e-02       4.335412487840e+00 
       1.671563488095e-02       4.340754500490e+00 
       1.750341848014e-02       4.336311883231e+00 
       1.832832916819e-02       4.321648444653e+00 
       1.919211666680e-02       4.296418243371e+00 
       2.009661309914e-02       4.260334563204e+00 
       2.104373674442e-02       4.213221815316e+00 
       2.203549573758e-02       4.155030789814e+00 
       2.307399137048e-02       4.085856794830e+00 
       2.416142024169e-02       4.005974497877e+00 
       2.530007375203e-02       3.915838423267e+00 
       2.649233220566e-02       3.816131008315e+00 
       2.774064895998e-02       3.707744890675e+00 
       2.904751776455e-02       3.591804521351e+00 
       3.041541409894e-02       3.469653512194e+00 
       3.184669999539e-02       3.342851962354e+00 
       3.334348326400e-02       3.213153620441e+00 
       3.490742856905e-02       3.082470498538e+00 
       3.653953159820e-02       2.952806635457e+00 
       3.823988874050e-02       2.826188863987e+00 
       4.000751843778e-02       2.704542531824e+00 
       4.184030493153e-02       2.589588331021e+00 
       4.373512469828e-02       2.482700691638e+00 
       4.568817155142e-02       2.384816010804e+00 
       4.769542975907e-02       2.296354682309e+00 
       4.975318848539e-02       2.217179403665e+00 
       5.185847850796e-02       2.146671307460e+00 
       5.400934962364e-02       2.083640442756e+00 
       5.620496903447e-02       2.026673129179e+00 
       5.844557307831e-02       1.974057270147e+00 
       6.073232845066e-02       1.923932140443e+00 
       6.306715689829e-02       1.874411869848e+00 
       6.545256183550e-02       1.823696478706e+00 
       6.789147792875e-02       1.770194738083e+00 
       7.038715133709e-02       1.712655124230e+00 
       7.294305022270e-02       1.650267530547e+00 
       7.556280131172e-02       1.582758054354e+00 
       7.825014712733e-02       1.510450574030e+00 
       8.100891875496e-02       1.434253924501e+00 
       8.384301980983e-02       1.355620457635e+00 
       8.675641821117e-02       1.276414958680e+00 
       8.975314321885e-02       1.198746510133e+00 
       9.283728588738e-02       1.124756256307e+00 
       9.601300163183e-02       1.056390746060e+00 
       9.928451400326e-02       9.951933665515e-01 
       1.026561190646e-01       9.421300686076e-01 
       1.061321899693e-01       8.974628630085e-01 
       1.097171814958e-01       8.606866007594e-01 
       1.134156343985e-01       8.305337983038e-01 
       1.172321795148e-01       8.050505575341e-01 
       1.211715416219e-01       7.817825504775e-01 
       1.252385430809e-01       7.580836752258e-01 
       1.294381073385e-01       7.315417838614e-01 
       1.337752623785e-01       7.004751788850e-01 
       1.382551442404e-01       6.643537173186e-01 
       1.428830007366e-01       6.240072011596e-01 
       1.476641955169e-01       5.814719674325e-01 
       1.526042126413e-01       5.395236873603e-01 
       1.577086618378e-01       5.009862462979e-01 
       1.629832846295e-01       4.680246166143e-01 
       1.684339615320e-01       4.415972365003e-01 
       1.740667205296e-01       4.212207066507e-01 
       1.798877470530e-01       4.050641321585e-01 
       1.859033956929e-01       3.905418470152e-01 
       1.921202038960e-01       3.748678094894e-01 
       1.985449079074e-01       3.560462991376e-01 
       2.051844612376e-01       3.338906713238e-01 
       2.120460559563e-01       3.100371327932e-01 
       2.191371471358e-01       2.870028863036e-01 
       2.264654808017e-01       2.669443593589e-01 
       2.340391257830e-01       2.508877762256e-01 
       2.418665099030e-01       2.383633670001e-01 
       2.499564610106e-01       2.275585268880e-01 
       2.583182534219e-01       2.163369858660e-01 
       2.669616604385e-01       2.035332853701e-01 
       2.758970137129e-01       1.894937630805e-01 
       2.851352703729e-01       1.757460182868e-01 
       2.946880889836e-01       1.638616548111e-01 
       3.045679156250e-01       1.541894053507e-01 
       3.147880816096e-01       1.458338806766e-01 
       3.253629146581e-01       1.375202115870e-01 
       3.363078656952e-01       1.285956803216e-01 
       3.476396538434e-01       1.195742369387e-01 
       3.593764326706e-01       1.113538774802e-01 
       3.715379812984e-01       1.043092579804e-01 
       3.841459246100e-01       9.793951730729e-02 
       3.972239874811e-01       9.161003498398e-02 
       4.107982886903e-01       8.526605123382e-02 
       4.248976808818e-01       7.932197836781e-02 
       4.395541435688e-01       7.398181363617e-02 
       4.548032365123e-01       6.905055096540e-02 
       4.706846206280e-01       6.424653812755e-02 
       4.872426524213e-01       5.962878812377e-02 
       5.045270551718e-01       5.538345179255e-02 
       5.225936646679e-01       5.143709014517e-02 
       5.415052377839e-01       4.765252690265e-02 
       5.613322966284e-01       4.408144030214e-02 
       5.821539569356e-01       4.075759590430e-02 
       6.040586543055e-01       3.761846629198e-02 
       6.271446343222e-01       3.465089883935e-02 
       6.515200143347e-01       3.187497470805e-02 
       6.773021651321e-01       2.926197058298e-02 
       7.046161226016e-01       2.680822919077e-02 
       7.335917640361e-01       2.451147876364e-02 
       7.643596285933e-01       2.236083853487e-02 
       7.970455781729e-01       2.035508511707e-02 
       8.317649774049e-01       1.848934586132e-02 
       8.686175874770e-01       1.676026886529e-02 
       9.076846400990e-01       1.516356567227e-02 
       9.490292789411e-01       1.369600167721e-02 
