# Matter power spectrum P(k) at redshift z=48.3223
# for k=1.05469e-05 to 226.999 h/Mpc,
# number of wavenumbers equal to 388
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.054685259621e-05       2.344658827397e-02 
       1.104391044557e-05       2.580671295938e-02 
       1.156439390968e-05       2.806685238537e-02 
       1.210940700373e-05       3.084141427700e-02 
       1.268010577357e-05       3.701538648859e-02 
       1.327770074781e-05       3.895543117164e-02 
       1.390345950551e-05       4.095937261242e-02 
       1.455870936489e-05       4.304351223015e-02 
       1.524484019875e-05       4.573212940068e-02 
       1.596330738259e-05       4.844862275770e-02 
       1.671563488162e-05       5.069429400207e-02 
       1.750341848334e-05       5.364648416615e-02 
       1.832832918239e-05       5.696923065928e-02 
       1.919211672495e-05       6.151112505154e-02 
       2.009661332022e-05       6.120481730169e-02 
       2.104373752675e-05       6.396879805409e-02 
       2.203549832195e-05       6.920842123118e-02 
       2.307399936344e-05       7.446219871637e-02 
       2.416144345116e-05       7.727767855804e-02 
       2.530013719983e-05       8.011285346980e-02 
       2.649249593155e-05       8.267216935086e-02 
       2.774104879905e-05       8.459102919322e-02 
       2.904844415035e-05       9.073501084701e-02 
       3.041745514630e-05       9.439823284022e-02 
       3.185098564275e-05       9.837473503561e-02 
       3.335207635008e-05       1.025179673290e-01 
       3.492391128294e-05       1.063228972729e-01 
       3.656982451396e-05       1.107359659602e-01 
       3.829330724578e-05       1.154440782283e-01 
       4.009801521634e-05       1.201268224494e-01 
       4.198777645321e-05       1.254875429681e-01 
       4.396659939334e-05       1.319536121822e-01 
       4.603868138548e-05       1.370570649817e-01 
       4.820841759336e-05       1.433539475590e-01 
       5.048041031836e-05       1.498298000998e-01 
       5.285947876168e-05       1.568043920900e-01 
       5.535066924645e-05       1.639816185873e-01 
       5.795926592168e-05       1.715022382100e-01 
       6.069080197066e-05       1.792997129436e-01 
       6.355107134759e-05       1.874151042398e-01 
       6.654614106728e-05       1.958216566475e-01 
       6.968236407417e-05       2.047095548273e-01 
       7.296639271774e-05       2.140548998304e-01 
       7.640519286304e-05       2.238296692948e-01 
       8.000605866622e-05       2.339984119040e-01 
       8.377662804643e-05       2.445934146970e-01 
       8.772489888686e-05       2.556172982760e-01 
       9.185924599931e-05       2.672757706916e-01 
       9.618843888831e-05       2.797209352361e-01 
       1.007216603524e-04       2.924370304600e-01 
       1.054685259621e-04       3.055534271851e-01 
       1.104391044557e-04       3.193626435951e-01 
       1.156439390968e-04       3.337446854739e-01 
       1.210940700373e-04       3.489608948970e-01 
       1.268010577357e-04       3.646650925400e-01 
       1.327770074781e-04       3.811542757780e-01 
       1.390345950551e-04       3.983821546377e-01 
       1.455870936489e-04       4.164144560381e-01 
       1.524484019875e-04       4.350253890705e-01 
       1.596330738259e-04       4.547274440371e-01 
       1.671563488162e-04       4.753057204451e-01 
       1.750341848334e-04       4.967378259659e-01 
       1.832832918239e-04       5.193568086123e-01 
       1.919211672495e-04       5.428463898769e-01 
       2.009661332022e-04       5.674457253793e-01 
       2.104373752675e-04       5.931340735942e-01 
       2.203549832195e-04       6.199821001781e-01 
       2.307399936344e-04       6.480471244027e-01 
       2.416144345116e-04       6.773785711585e-01 
       2.530013719983e-04       7.080537003534e-01 
       2.649249593155e-04       7.400847963944e-01 
       2.774104879905e-04       7.735696933071e-01 
       2.904844415035e-04       8.085636788865e-01 
       3.041745514630e-04       8.452221742565e-01 
       3.185098564275e-04       8.834789710945e-01 
       3.335207635008e-04       9.234298480434e-01 
       3.492391128294e-04       9.651759558715e-01 
       3.656982451396e-04       1.008729737455e+00 
       3.829330724578e-04       1.054291035023e+00 
       4.009801521634e-04       1.101813916019e+00 
       4.198777645321e-04       1.151719111390e+00 
       4.396659939334e-04       1.203766513052e+00 
       4.603868138548e-04       1.258059017878e+00 
       4.820841759336e-04       1.314952993587e+00 
       5.048041031836e-04       1.374422499680e+00 
       5.285947876168e-04       1.436317661049e+00 
       5.535066924645e-04       1.501081352361e+00 
       5.795926592168e-04       1.568778719157e+00 
       6.069080197066e-04       1.639307052464e+00 
       6.355107134759e-04       1.713174713012e+00 
       6.654614106728e-04       1.790241289311e+00 
       6.968236407417e-04       1.870774277495e+00 
       7.296639271774e-04       1.954894165432e+00 
       7.640519286304e-04       2.042612228992e+00 
       8.000605866622e-04       2.134285644235e+00 
       8.377662804643e-04       2.229906090157e+00 
       8.772489888686e-04       2.329830167568e+00 
       9.185924599931e-04       2.434107134399e+00 
