# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=5.80813
# for k=1.05469e-05 to 226.999 h/Mpc,
# number of wavenumbers equal to 388
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_fld                 14:t_ur                  15:t_tot              
       1.054685259621e-05      -1.601083204857e+00      -1.200812419099e+00      -1.200812419101e+00      -1.200678847172e-01      -1.601083204235e+00      -1.188370046108e+00       5.997903758872e-01       5.985707659661e-01       6.140607874363e-08       6.141649416508e-08       6.141649838739e-08       6.141649839603e-08       6.140559752529e-08       6.141646953548e-08 
       1.104391044557e-05      -1.601105158017e+00      -1.200828887173e+00      -1.200828887174e+00      -1.200682565351e-01      -1.601105157271e+00      -1.188386328480e+00       5.997907892839e-01       5.985711943113e-01       6.732934960737e-08       6.734186657457e-08       6.734187200259e-08       6.734187201174e-08       6.732877040652e-08       6.734183727278e-08 
       1.156439390968e-05      -1.601131394824e+00      -1.200848568707e+00      -1.200848568709e+00      -1.200688037534e-01      -1.601131393921e+00      -1.188405789503e+00       5.997907010023e-01       5.985711230540e-01       7.382375245958e-08       7.383887213302e-08       7.383887841659e-08       7.383887842622e-08       7.382305278407e-08       7.383883650791e-08 
       1.210940700373e-05      -1.601160806908e+00      -1.200870632545e+00      -1.200870632548e+00      -1.200693227083e-01      -1.601160805814e+00      -1.188427603282e+00       5.997904430417e-01       5.985708840198e-01       8.094442296256e-08       8.096269234007e-08       8.096270039779e-08       8.096270040782e-08       8.094357651083e-08       8.096264968492e-08 
       1.268010577357e-05      -1.601196017577e+00      -1.200897046823e+00      -1.200897046830e+00      -1.200698352375e-01      -1.601196016233e+00      -1.188453717094e+00       5.997894195443e-01       5.985698845339e-01       8.875137887874e-08       8.877370849218e-08       8.877371830800e-08       8.877371831831e-08       8.875034394744e-08       8.877365632939e-08 
       1.327770074781e-05      -1.601225205960e+00      -1.200918944958e+00      -1.200918944967e+00      -1.200704509064e-01      -1.601225204341e+00      -1.188475367793e+00       5.997906522211e-01       5.985711390652e-01       9.731159568901e-08       9.733843072784e-08       9.733843971034e-08       9.733843972111e-08       9.731035351680e-08       9.733836566942e-08 
       1.390345950551e-05      -1.601267706052e+00      -1.200950828277e+00      -1.200950828290e+00      -1.200713369074e-01      -1.601267704101e+00      -1.188506891873e+00       5.997893796589e-01       5.985698905036e-01       1.066971416853e-07       1.067294497709e-07       1.067294625902e-07       1.067294626012e-07       1.066956439866e-07       1.067293731316e-07 
       1.455870936489e-05      -1.601308792031e+00      -1.200981652667e+00      -1.200981652683e+00      -1.200720753384e-01      -1.601308789684e+00      -1.188537369977e+00       5.997893626448e-01       5.985698998905e-01       1.169876869977e-07       1.170265188756e-07       1.170265359739e-07       1.170265359851e-07       1.169858842744e-07       1.170264281836e-07 
       1.524484019875e-05      -1.601355049439e+00      -1.201016357829e+00      -1.201016357851e+00      -1.200727621158e-01      -1.601355046609e+00      -1.188571679676e+00       5.997890416682e-01       5.985696086406e-01       1.282700577371e-07       1.283169200564e-07       1.283169420458e-07       1.283169420569e-07       1.282678836594e-07       1.283168117540e-07 
       1.596330738259e-05      -1.601405902486e+00      -1.201054512131e+00      -1.201054512154e+00      -1.200740755221e-01      -1.601405899084e+00      -1.188609408864e+00       5.997886561124e-01       5.985692553274e-01       1.406402995211e-07       1.406966928397e-07       1.406967143480e-07       1.406967143587e-07       1.406376875568e-07       1.406965583379e-07 
