# power spectrum of delta
# redshift z=96.079122
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   1.537378e-08   7.667927e-04   2.857939e-09   18
  1.037418e-02   2.833570e-07   1.725047e-03   3.212138e-08   128
  1.616528e-02   1.163231e-06   1.646572e-03   6.531719e-08   314
  2.269071e-02   2.703271e-06   1.954354e-03   1.044635e-07   728
  2.897169e-02   5.112092e-06   1.717946e-03   1.716184e-07   1016
  3.518826e-02   7.053129e-06   1.880676e-03   1.738920e-07   1682
  4.169479e-02   1.053649e-05   1.831736e-03   2.219911e-07   2300
  4.790974e-02   1.335141e-05   1.770731e-03   2.508938e-07   2906
  5.429022e-02   1.795725e-05   1.892687e-03   2.961414e-07   4040
  6.068098e-02   2.305946e-05   1.775551e-03   3.482797e-07   4712
  6.698900e-02   2.939295e-05   1.857705e-03   3.779868e-07   6002
  7.346135e-02   3.469152e-05   1.857594e-03   4.121437e-07   7256
  7.977379e-02   4.105335e-05   1.772571e-03   4.633373e-07   8120
  8.609019e-02   4.492774e-05   1.864951e-03   4.506932e-07   9950
  9.253636e-02   4.938455e-05   1.853578e-03   4.565087e-07   11384
  9.885187e-02   5.250493e-05   1.809244e-03   4.717986e-07   12666
  1.052712e-01   5.773910e-05   1.889168e-03   4.629158e-07   15104
  1.117654e-01   6.371027e-05   1.850532e-03   5.001237e-07   16616
  1.180754e-01   7.240315e-05   1.799489e-03   5.435773e-07   18026
  1.244216e-01   7.945241e-05   1.853405e-03   5.444888e-07   20696
  1.308065e-01   8.620980e-05   1.827918e-03   5.800252e-07   22436
  1.371558e-01   9.460434e-05   1.845873e-03   6.043569e-07   24962
  1.435394e-01   9.900908e-05   1.831283e-03   5.940415e-07   27176
  1.499133e-01   1.019892e-04   1.847268e-03   5.935103e-07   29810
  1.562775e-01   1.059980e-04   1.828450e-03   5.988046e-07   32120
  1.626776e-01   1.096272e-04   1.865216e-03   5.840243e-07   35432
  1.690383e-01   1.167656e-04   1.814577e-03   6.060291e-07   37238
  1.754019e-01   1.235095e-04   1.856016e-03   6.096273e-07   41072
  1.817869e-01   1.299730e-04   1.834293e-03   6.298844e-07   43472
  1.881565e-01   1.391880e-04   1.848176e-03   6.435903e-07   47042
  1.945298e-01   1.485355e-04   1.829223e-03   6.729499e-07   49712
  2.008693e-01   1.539147e-04   1.840592e-03   6.735464e-07   53226
  2.072637e-01   1.558551e-04   1.853753e-03   6.490530e-07   57320
  2.136558e-01   1.613622e-04   1.831629e-03   6.612947e-07   60092
  2.200056e-01   1.660083e-04   1.839426e-03   6.583941e-07   63914
  2.263950e-01   1.695518e-04   1.849752e-03   6.467640e-07   68192
  2.327751e-01   1.753073e-04   1.833934e-03   6.572831e-07   71336
  2.391397e-01   1.808887e-04   1.845607e-03   6.570967e-07   75818
  2.455297e-01   1.876593e-04   1.844019e-03   6.660103e-07   79880
  2.518964e-01   1.957125e-04   1.834462e-03   6.753040e-07   83642
  2.582661e-01   2.035276e-04   1.840779e-03   6.832538e-07   88316
  2.646730e-01   2.086317e-04   1.859422e-03   6.845126e-07   93488
  2.710484e-01   2.131389e-04   1.827184e-03   6.858616e-07   96458
  2.773871e-01   2.176956e-04   1.829038e-03   6.934253e-07   101264
  2.837816e-01   2.212636e-04   1.862873e-03   6.726572e-07   107696
  2.901819e-01   2.241721e-04   1.837217e-03   6.725526e-07   111170
  2.965233e-01   2.323962e-04   1.822285e-03   6.834854e-07   115232
  3.028941e-01   2.370813e-04   1.855375e-03   6.782024e-07   122310
  3.093019e-01   2.424411e-04   1.843350e-03   6.807639e-07   126944
  3.156739e-01   2.499365e-04   1.828600e-03   6.904806e-07   131192
  3.220432e-01   2.558549e-04   1.844535e-03   6.937990e-07   137618
  3.284234e-01   2.613020e-04   1.836674e-03   6.915977e-07   142448
  3.347979e-01   2.645463e-04   1.844704e-03   6.848456e-07   148520
  3.411627e-01   2.698849e-04   1.831436e-03   6.947108e-07   153254
  3.475446e-01   2.751955e-04   1.852010e-03   6.888890e-07   160760
  3.539284e-01   2.760977e-04   1.835751e-03   6.745910e-07   165290
  3.603019e-01   2.831814e-04   1.840148e-03   6.841748e-07   171992
  3.666828e-01   2.881229e-04   1.840217e-03   6.860525e-07   177800
  3.730569e-01   2.941773e-04   1.843032e-03   6.876993e-07   184322
  3.794439e-01   2.991312e-04   1.841595e-03   6.877882e-07   190832
  3.858239e-01   3.036617e-04   1.839260e-03   6.897790e-07   196772
  3.921872e-01   3.101257e-04   1.836453e-03   6.904655e-07   202970
  3.985536e-01   3.156330e-04   1.839266e-03   6.893282e-07   210056
  4.049173e-01   3.203373e-04   1.832832e-03   6.890572e-07   216210
  4.112896e-01   3.244005e-04   1.841640e-03   6.837381e-07   224168
  4.176700e-01   3.266023e-04   1.840761e-03   6.832064e-07   230792
  4.240565e-01   3.335856e-04   1.846256e-03   6.843209e-07   238778
  4.304312e-01   3.355121e-04   1.831772e-03   6.784904e-07   243956
  4.367939e-01   3.424909e-04   1.845141e-03   6.812226e-07   252680
  4.431746e-01   3.466324e-04   1.842020e-03   6.807165e-07   260066
  4.495713e-01   3.517562e-04   1.849294e-03   6.785959e-07   268712
  4.559494e-01   3.576602e-04   1.834336e-03   6.831112e-07   274034
  4.623270e-01   3.587761e-04   1.847366e-03   6.745195e-07   283904
  4.687088e-01   3.641629e-04   1.837425e-03   6.753287e-07   290048
  4.750707e-01   3.674101e-04   1.836659e-03   6.761589e-07   297950
  4.814434e-01   3.727485e-04   1.842026e-03   6.775452e-07   306968
  4.878269e-01   3.797670e-04   1.843240e-03   6.779755e-07   315320
  4.942006e-01   3.802762e-04   1.835899e-03   6.695554e-07   322346
  5.005701e-01   3.858219e-04   1.842589e-03   6.687003e-07   331664
  5.069538e-01   3.892419e-04   1.844896e-03   6.655417e-07   340818
  5.133346e-01   3.964030e-04   1.837322e-03   6.718474e-07   348164
  5.197083e-01   3.995696e-04   1.843548e-03   6.682426e-07   357584
  5.260929e-01   4.034514e-04   1.846059e-03   6.643199e-07   367106
