# power spectrum of phi
# redshift z=48.519767
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   3.231362e-10   7.667927e-04   7.120976e-11   18
  1.037418e-02   4.742346e-10   1.725047e-03   4.846764e-11   128
  1.616528e-02   3.879483e-10   1.646572e-03   2.060936e-11   314
  2.269071e-02   2.411970e-10   1.954354e-03   8.791327e-12   728
  2.897169e-02   1.788555e-10   1.717946e-03   6.162381e-12   1016
  3.518826e-02   1.147117e-10   1.880676e-03   2.852583e-12   1682
  4.169479e-02   8.608863e-11   1.831736e-03   1.776462e-12   2300
  4.790974e-02   6.287345e-11   1.770731e-03   1.180242e-12   2906
  5.429022e-02   5.144585e-11   1.892687e-03   8.460947e-13   4040
  6.068098e-02   4.254214e-11   1.775551e-03   6.416599e-13   4712
  6.698900e-02   3.656288e-11   1.857705e-03   4.716760e-13   6002
  7.346135e-02   2.993569e-11   1.857594e-03   3.585639e-13   7256
  7.977379e-02   2.538248e-11   1.772571e-03   2.863477e-13   8120
  8.609019e-02   2.050006e-11   1.864951e-03   2.068522e-13   9950
  9.253636e-02   1.686615e-11   1.853578e-03   1.558425e-13   11384
  9.885187e-02   1.378733e-11   1.809244e-03   1.247548e-13   12666
  1.052712e-01   1.177392e-11   1.889168e-03   9.420837e-14   15104
  1.117654e-01   1.023049e-11   1.850532e-03   8.031202e-14   16616
  1.180754e-01   9.339524e-12   1.799489e-03   7.020264e-14   18026
  1.244216e-01   8.300371e-12   1.853405e-03   5.679379e-14   20696
  1.308065e-01   7.385182e-12   1.827918e-03   4.982854e-14   22436
  1.371558e-01   6.703874e-12   1.845873e-03   4.296585e-14   24962
  1.435394e-01   5.848765e-12   1.831283e-03   3.520201e-14   27176
  1.499133e-01   5.062444e-12   1.847268e-03   2.949742e-14   29810
  1.562775e-01   4.452480e-12   1.828450e-03   2.512627e-14   32120
  1.626776e-01   3.922566e-12   1.865216e-03   2.090084e-14   35432
  1.690383e-01   3.580185e-12   1.814577e-03   1.856039e-14   37238
  1.754019e-01   3.269135e-12   1.856016e-03   1.612420e-14   41072
  1.817869e-01   2.981069e-12   1.834293e-03   1.444324e-14   43472
  1.881565e-01   2.783339e-12   1.848176e-03   1.287824e-14   47042
  1.945298e-01   2.599538e-12   1.829223e-03   1.179605e-14   49712
  2.008693e-01   2.369274e-12   1.840592e-03   1.037673e-14   53226
  2.072637e-01   2.115965e-12   1.853753e-03   8.819635e-15   57320
  2.136558e-01   1.940175e-12   1.831629e-03   7.956203e-15   60092
  2.200056e-01   1.774879e-12   1.839426e-03   7.046845e-15   63914
  2.263950e-01   1.616529e-12   1.849752e-03   6.174674e-15   68192
  2.327751e-01   1.495226e-12   1.833934e-03   5.611976e-15   71336
  2.391397e-01   1.384623e-12   1.845607e-03   5.031775e-15   75818
  2.455297e-01   1.292897e-12   1.844019e-03   4.588637e-15   79880
  2.518964e-01   1.216866e-12   1.834462e-03   4.201112e-15   83642
  2.582661e-01   1.144989e-12   1.840779e-03   3.844149e-15   88316
  2.646730e-01   1.063945e-12   1.859422e-03   3.491240e-15   93488
  2.710484e-01   9.882288e-13   1.827184e-03   3.182991e-15   96458
  2.773871e-01   9.199240e-13   1.829038e-03   2.930071e-15   101264
  2.837816e-01   8.533794e-13   1.862873e-03   2.594655e-15   107696
  2.901819e-01   7.909131e-13   1.837217e-03   2.374150e-15   111170
  2.965233e-01   7.517688e-13   1.822285e-03   2.212025e-15   115232
  3.028941e-01   7.044369e-13   1.855375e-03   2.016737e-15   122310
  3.093019e-01   6.624674e-13   1.843350e-03   1.861233e-15   126944
  3.156739e-01   6.291031e-13   1.828600e-03   1.737719e-15   131192
  3.220432e-01   5.945568e-13   1.844535e-03   1.612147e-15   137618
  3.284234e-01   5.613352e-13   1.836674e-03   1.485516e-15   142448
  3.347979e-01   5.261767e-13   1.844704e-03   1.362553e-15   148520
  3.411627e-01   4.977649e-13   1.831436e-03   1.282197e-15   153254
  3.475446e-01   4.711727e-13   1.852010e-03   1.179871e-15   160760
  3.539284e-01   4.394498e-13   1.835751e-03   1.073948e-15   165290
  3.603019e-01   4.196522e-13   1.840148e-03   1.013655e-15   171992
  3.666828e-01   3.980099e-13   1.840217e-03   9.480766e-16   177800
  3.730569e-01   3.792397e-13   1.843032e-03   8.861904e-16   184322
  3.794439e-01   3.602039e-13   1.841595e-03   8.284885e-16   190832
  3.858239e-01   3.420816e-13   1.839260e-03   7.773192e-16   196772
  3.921872e-01   3.271431e-13   1.836453e-03   7.283227e-16   202970
