# power spectrum of zeta (dimensionless)
# redshift z=48.519767
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   2.570378e-21   7.667927e-04   4.909154e-22   18
  1.037418e-02   6.660422e-20   1.725047e-03   7.699396e-21   128
  1.616528e-02   2.956189e-19   1.646572e-03   1.669268e-20   314
  2.269071e-02   7.093445e-19   1.954354e-03   2.748413e-20   728
  2.897169e-02   1.360180e-18   1.717946e-03   4.567576e-20   1016
  3.518826e-02   1.891361e-18   1.880676e-03   4.664375e-20   1682
  4.169479e-02   2.836830e-18   1.831736e-03   5.978038e-20   2300
  4.790974e-02   3.597561e-18   1.770731e-03   6.760276e-20   2906
  5.429022e-02   4.834288e-18   1.892687e-03   7.972308e-20   4040
  6.068098e-02   6.198834e-18   1.775551e-03   9.362624e-20   4712
  6.698900e-02   7.895934e-18   1.857705e-03   1.015334e-19   6002
  7.346135e-02   9.322510e-18   1.857594e-03   1.107537e-19   7256
  7.977379e-02   1.104843e-17   1.772571e-03   1.246953e-19   8120
  8.609019e-02   1.211715e-17   1.864951e-03   1.215585e-19   9950
  9.253636e-02   1.334766e-17   1.853578e-03   1.233932e-19   11384
  9.885187e-02   1.420724e-17   1.809244e-03   1.276633e-19   12666
  1.052712e-01   1.562010e-17   1.889168e-03   1.252302e-19   15104
  1.117654e-01   1.721128e-17   1.850532e-03   1.350932e-19   16616
  1.180754e-01   1.952132e-17   1.799489e-03   1.465587e-19   18026
  1.244216e-01   2.138430e-17   1.853405e-03   1.465423e-19   20696
  1.308065e-01   2.318073e-17   1.827918e-03   1.559608e-19   22436
  1.371558e-01   2.543764e-17   1.845873e-03   1.625066e-19   24962
  1.435394e-01   2.664272e-17   1.831283e-03   1.598622e-19   27176
  1.499133e-01   2.747709e-17   1.847268e-03   1.599029e-19   29810
  1.562775e-01   2.858618e-17   1.828450e-03   1.614944e-19   32120
  1.626776e-01   2.957545e-17   1.865216e-03   1.575520e-19   35432
  1.690383e-01   3.148731e-17   1.814577e-03   1.634306e-19   37238
  1.754019e-01   3.326691e-17   1.856016e-03   1.641914e-19   41072
  1.817869e-01   3.495536e-17   1.834293e-03   1.694005e-19   43472
  1.881565e-01   3.738318e-17   1.848176e-03   1.728584e-19   47042
  1.945298e-01   3.986269e-17   1.829223e-03   1.805813e-19   49712
  2.008693e-01   4.129009e-17   1.840592e-03   1.807010e-19   53226
  2.072637e-01   4.181766e-17   1.853753e-03   1.741438e-19   57320
  2.136558e-01   4.331469e-17   1.831629e-03   1.775113e-19   60092
  2.200056e-01   4.457417e-17   1.839426e-03   1.767799e-19   63914
  2.263950e-01   4.552529e-17   1.849752e-03   1.736684e-19   68192
  2.327751e-01   4.704600e-17   1.833934e-03   1.764075e-19   71336
  2.391397e-01   4.849609e-17   1.845607e-03   1.761648e-19   75818
  2.455297e-01   5.025832e-17   1.844019e-03   1.783654e-19   79880
  2.518964e-01   5.236056e-17   1.834462e-03   1.806664e-19   83642
  2.582661e-01   5.440221e-17   1.840779e-03   1.826226e-19   88316
  2.646730e-01   5.573918e-17   1.859422e-03   1.828708e-19   93488
  2.710484e-01   5.693063e-17   1.827184e-03   1.831889e-19   96458
  2.773871e-01   5.813591e-17   1.829038e-03   1.851818e-19   101264
  2.837816e-01   5.907910e-17   1.862873e-03   1.796015e-19   107696
  2.901819e-01   5.982997e-17   1.837217e-03   1.794987e-19   111170
  2.965233e-01   6.199406e-17   1.822285e-03   1.823120e-19   115232
  3.028941e-01   6.319015e-17   1.855375e-03   1.807667e-19   122310
  3.093019e-01   6.456416e-17   1.843350e-03   1.812882e-19   126944
  3.156739e-01   6.649875e-17   1.828600e-03   1.837046e-19   131192
  3.220432e-01   6.801841e-17   1.844535e-03   1.844414e-19   137618
  3.284234e-01   6.941106e-17   1.836674e-03   1.837133e-19   142448
  3.347979e-01   7.023177e-17   1.844704e-03   1.818122e-19   148520
  3.411627e-01   7.161644e-17   1.831436e-03   1.843391e-19   153254
  3.475446e-01   7.298498e-17   1.852010e-03   1.827030e-19   160760
  3.539284e-01   7.317838e-17   1.835751e-03   1.788005e-19   165290
  3.603019e-01   7.500110e-17   1.840148e-03   1.812081e-19   171992
  3.666828e-01   7.625262e-17   1.840217e-03   1.815622e-19   177800
  3.730569e-01   7.778552e-17   1.843032e-03   1.818464e-19   184322
  3.794439e-01   7.902762e-17   1.841595e-03   1.817120e-19   190832
  3.858239e-01   8.015097e-17   1.839260e-03   1.820656e-19   196772
  3.921872e-01   8.178157e-17   1.836453e-03   1.820794e-19   202970
  3.985536e-01   8.317123e-17   1.839266e-03   1.816317e-19   210056
  4.049173e-01   8.434558e-17   1.832832e-03   1.814168e-19   216210
  4.112896e-01   8.535442e-17   1.841640e-03   1.798922e-19   224168
  4.176700e-01   8.586581e-17   1.840761e-03   1.796165e-19   230792
  4.240565e-01   8.762246e-17   1.846256e-03   1.797432e-19   238778
  4.304312e-01   8.805218e-17   1.831772e-03   1.780727e-19   243956
  4.367939e-01   8.979919e-17   1.845141e-03   1.786083e-19   252680
  4.431746e-01   9.079237e-17   1.842020e-03   1.782764e-19   260066
  4.495713e-01   9.204573e-17   1.849294e-03   1.775626e-19   268712
  4.559494e-01   9.350305e-17   1.834336e-03   1.785846e-19   274034
  4.623270e-01   9.370361e-17   1.847366e-03   1.761795e-19   283904
  4.687088e-01   9.502334e-17   1.837425e-03   1.762040e-19   290048
  4.750707e-01   9.578493e-17   1.836659e-03   1.762805e-19   297950
  4.814434e-01   9.708037e-17   1.842026e-03   1.764553e-19   306968
  4.878269e-01   9.880701e-17   1.843240e-03   1.763918e-19   315320
  4.942006e-01   9.883765e-17   1.835899e-03   1.740183e-19   322346
  5.005701e-01   1.001764e-16   1.842589e-03   1.736251e-19   331664
  5.069538e-01   1.009560e-16   1.844896e-03   1.726145e-19   340818
  5.133346e-01   1.027032e-16   1.837322e-03   1.740596e-19   348164
  5.197083e-01   1.034109e-16   1.843548e-03   1.729456e-19   357584
  5.260929e-01   1.043004e-16   1.846059e-03   1.717452e-19   367106
  5.324635e-01   1.052853e-16   1.832285e-03   1.718879e-19   373376
  5.388350e-01   1.059652e-16   1.848023e-03   1.702468e-19   385376
  5.452233e-01   1.071774e-16   1.842356e-03   1.707888e-19   393650
  5.516038e-01   1.077351e-16   1.840588e-03   1.695914e-19   402704
  5.579656e-01   1.086704e-16   1.830970e-03   1.698703e-19   409910
  5.643320e-01   1.099097e-16   1.843407e-03   1.698406e-19   422024
  5.707212e-01   1.104254e-16   1.846526e-03   1.675759e-19   432176
  5.771022e-01   1.116251e-16   1.837404e-03   1.687119e-19   440066
