# power spectrum of phi_prime/H (dimensionless)
# redshift z=5.988045
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   1.850292e-14   7.667927e-04   4.125724e-15   18
  1.037418e-02   2.934475e-14   1.725047e-03   3.027952e-15   128
  1.616528e-02   3.080495e-14   1.646572e-03   1.613332e-15   314
  2.269071e-02   3.349671e-14   1.954354e-03   1.317736e-15   728
  2.897169e-02   4.908396e-14   1.717946e-03   1.581412e-15   1016
  3.518826e-02   6.090372e-14   1.880676e-03   1.625184e-15   1682
  4.169479e-02   7.316650e-14   1.831736e-03   1.561486e-15   2300
  4.790974e-02   7.995680e-14   1.770731e-03   1.501380e-15   2906
  5.429022e-02   9.349528e-14   1.892687e-03   1.444843e-15   4040
  6.068098e-02   9.196411e-14   1.775551e-03   1.345225e-15   4712
  6.698900e-02   1.072040e-13   1.857705e-03   1.326719e-15   6002
  7.346135e-02   1.077911e-13   1.857594e-03   1.309049e-15   7256
  7.977379e-02   1.152936e-13   1.772571e-03   1.301026e-15   8120
  8.609019e-02   1.206810e-13   1.864951e-03   1.211236e-15   9950
  9.253636e-02   1.224061e-13   1.853578e-03   1.157683e-15   11384
  9.885187e-02   1.227772e-13   1.809244e-03   1.088323e-15   12666
  1.052712e-01   1.231981e-13   1.889168e-03   1.024496e-15   15104
  1.117654e-01   1.230481e-13   1.850532e-03   9.548138e-16   16616
  1.180754e-01   1.261956e-13   1.799489e-03   9.325207e-16   18026
  1.244216e-01   1.241405e-13   1.853405e-03   8.551662e-16   20696
  1.308065e-01   1.211582e-13   1.827918e-03   8.064888e-16   22436
  1.371558e-01   1.233372e-13   1.845873e-03   7.857010e-16   24962
  1.435394e-01   1.215444e-13   1.831283e-03   7.414098e-16   27176
  1.499133e-01   1.195930e-13   1.847268e-03   6.964154e-16   29810
  1.562775e-01   1.196470e-13   1.828450e-03   6.680666e-16   32120
  1.626776e-01   1.167548e-13   1.865216e-03   6.202955e-16   35432
  1.690383e-01   1.178739e-13   1.814577e-03   6.189847e-16   37238
  1.754019e-01   1.147583e-13   1.856016e-03   5.642685e-16   41072
  1.817869e-01   1.128716e-13   1.834293e-03   5.417597e-16   43472
  1.881565e-01   1.104904e-13   1.848176e-03   5.076402e-16   47042
  1.945298e-01   1.105150e-13   1.829223e-03   4.985725e-16   49712
  2.008693e-01   1.084497e-13   1.840592e-03   4.716201e-16   53226
  2.072637e-01   1.069787e-13   1.853753e-03   4.455334e-16   57320
  2.136558e-01   1.054977e-13   1.831629e-03   4.312083e-16   60092
  2.200056e-01   1.026384e-13   1.839426e-03   4.035384e-16   63914
  2.263950e-01   1.005453e-13   1.849752e-03   3.858636e-16   68192
  2.327751e-01   9.911448e-14   1.833934e-03   3.667040e-16   71336
  2.391397e-01   9.692718e-14   1.845607e-03   3.545583e-16   75818
  2.455297e-01   9.557551e-14   1.844019e-03   3.377942e-16   79880
  2.518964e-01   9.499931e-14   1.834462e-03   3.257478e-16   83642
  2.582661e-01   9.295284e-14   1.840779e-03   3.183390e-16   88316
  2.646730e-01   9.069424e-14   1.859422e-03   2.992899e-16   93488
  2.710484e-01   8.989497e-14   1.827184e-03   2.912505e-16   96458
  2.773871e-01   8.818564e-14   1.829038e-03   2.758766e-16   101264
  2.837816e-01   8.669590e-14   1.862873e-03   2.644189e-16   107696
  2.901819e-01   8.473935e-14   1.837217e-03   2.527107e-16   111170
  2.965233e-01   8.437931e-14   1.822285e-03   2.476377e-16   115232
  3.028941e-01   8.150590e-14   1.855375e-03   2.333025e-16   122310
  3.093019e-01   8.052476e-14   1.843350e-03   2.238197e-16   126944
  3.156739e-01   7.979772e-14   1.828600e-03   2.205289e-16   131192
  3.220432e-01   7.821484e-14   1.844535e-03   2.106753e-16   137618
  3.284234e-01   7.623268e-14   1.836674e-03   2.016071e-16   142448
  3.347979e-01   7.578287e-14   1.844704e-03   1.963602e-16   148520
  3.411627e-01   7.460484e-14   1.831436e-03   1.904080e-16   153254
  3.475446e-01   7.304816e-14   1.852010e-03   1.810615e-16   160760
  3.539284e-01   7.138003e-14   1.835751e-03   1.755854e-16   165290
  3.603019e-01   7.076079e-14   1.840148e-03   1.704522e-16   171992
  3.666828e-01   6.959270e-14   1.840217e-03   1.650983e-16   177800
  3.730569e-01   6.855496e-14   1.843032e-03   1.605043e-16   184322
  3.794439e-01   6.764876e-14   1.841595e-03   1.557719e-16   190832
  3.858239e-01   6.662254e-14   1.839260e-03   1.499680e-16   196772
  3.921872e-01   6.559555e-14   1.836453e-03   1.458690e-16   202970
  3.985536e-01   6.456082e-14   1.839266e-03   1.404928e-16   210056
  4.049173e-01   6.331902e-14   1.832832e-03   1.359385e-16   216210
  4.112896e-01   6.252002e-14   1.841640e-03   1.326028e-16   224168
  4.176700e-01   6.163841e-14   1.840761e-03   1.283716e-16   230792
  4.240565e-01   6.070171e-14   1.846256e-03   1.237552e-16   238778
  4.304312e-01   5.993778e-14   1.831772e-03   1.218411e-16   243956
  4.367939e-01   5.880526e-14   1.845141e-03   1.174687e-16   252680
  4.431746e-01   5.796720e-14   1.842020e-03   1.143885e-16   260066
  4.495713e-01   5.722350e-14   1.849294e-03   1.106254e-16   268712
  4.559494e-01   5.666678e-14   1.834336e-03   1.082600e-16   274034
  4.623270e-01   5.549858e-14   1.847366e-03   1.047139e-16   283904
  4.687088e-01   5.477497e-14   1.837425e-03   1.016736e-16   290048
  4.750707e-01   5.379130e-14   1.836659e-03   9.884472e-17   297950
  4.814434e-01   5.339903e-14   1.842026e-03   9.651821e-17   306968
  4.878269e-01   5.282171e-14   1.843240e-03   9.407341e-17   315320
  4.942006e-01   5.160615e-14   1.835899e-03   9.113562e-17   322346
  5.005701e-01   5.119748e-14   1.842589e-03   8.899632e-17   331664
  5.069538e-01   5.065099e-14   1.844896e-03   8.667690e-17   340818
  5.133346e-01   4.989298e-14   1.837322e-03   8.477306e-17   348164
  5.197083e-01   4.914474e-14   1.843548e-03   8.202396e-17   357584
  5.260929e-01   4.849206e-14   1.846059e-03   8.008272e-17   367106
  5.324635e-01   4.798588e-14   1.832285e-03   7.889895e-17   373376
  5.388350e-01   4.740368e-14   1.848023e-03   7.646274e-17   385376
  5.452233e-01   4.672654e-14   1.842356e-03   7.478667e-17   393650
  5.516038e-01   4.617251e-14   1.840588e-03   7.270511e-17   402704
  5.579656e-01   4.549030e-14   1.830970e-03   7.130928e-17   409910
  5.643320e-01   4.485562e-14   1.843407e-03   6.898773e-17   422024
  5.707212e-01   4.428106e-14   1.846526e-03   6.739469e-17   432176
  5.771022e-01   4.382946e-14   1.837404e-03   6.599162e-17   440066
  5.834769e-01   4.344721e-14   1.841263e-03   6.495756e-17   450680
  5.898365e-01   4.270685e-14   1.831084e-03   6.320210e-17   457856
  5.962115e-01   4.238315e-14   1.848347e-03   6.159567e-17   472538
  6.026013e-01   4.173633e-14   1.839689e-03   6.028172e-17   480140
  6.089752e-01   4.122352e-14   1.841279e-03   5.885633e-17   490842
  6.153517e-01   4.083920e-14   1.838382e-03   5.799584e-17   500744
  6.217295e-01   4.044353e-14   1.842392e-03   5.644305e-17   511856
  6.281145e-01   3.981007e-14   1.844734e-03   5.519854e-17   523202
  6.344991e-01   3.944129e-14   1.840396e-03   5.421155e-17   532688
  6.408638e-01   3.898474e-14   1.834541e-03   5.307557e-17   541520
  6.472341e-01   3.853064e-14   1.842653e-03   5.183537e-17   555110
  6.536136e-01   3.813446e-14   1.839126e-03   5.089692e-17   564944
  6.599884e-01   3.763980e-14   1.839832e-03   4.969493e-17   576434
  6.663740e-01   3.721255e-14   1.844405e-03   4.867577e-17   588848
  6.727501e-01   3.695682e-14   1.838623e-03   4.775835e-17   597704
  6.791236e-01   3.642032e-14   1.842386e-03   4.677852e-17   610946
  6.855006e-01   3.608878e-14   1.837794e-03   4.589260e-17   620852
  6.918722e-01   3.577925e-14   1.841901e-03   4.503339e-17   633530
  6.982524e-01   3.540377e-14   1.841844e-03   4.405817e-17   645704
  7.046316e-01   3.500462e-14   1.840565e-03   4.344662e-17   656744
  7.110074e-01   3.458006e-14   1.841941e-03   4.228786e-17   669162
  7.173906e-01   3.432290e-14   1.843286e-03   4.160268e-17   681992
  7.237681e-01   3.390482e-14   1.838959e-03   4.088328e-17   692360
  7.301485e-01   3.357684e-14   1.844364e-03   4.006674e-17   707006
  7.365206e-01   3.327124e-14   1.834135e-03   3.945365e-17   714944
  7.428835e-01   3.287579e-14   1.841775e-03   3.854478e-17   730346
  7.492606e-01   3.260103e-14   1.838962e-03   3.798330e-17   742616
  7.556415e-01   3.231432e-14   1.843530e-03   3.732697e-17   756536
  7.620128e-01   3.191185e-14   1.836595e-03   3.666680e-17   766418
  7.683917e-01   3.163208e-14   1.845753e-03   3.584830e-17   783392
  7.747614e-01   3.134116e-14   1.833632e-03   3.531779e-17   790412
  7.811334e-01   3.101972e-14   1.848120e-03   3.456164e-17   810314
  7.875277e-01   3.075896e-14   1.843702e-03   3.402378e-17   821960
  7.938987e-01   3.048267e-14   1.834976e-03   3.359763e-17   831266
  8.002712e-01   3.013049e-14   1.843706e-03   3.285589e-17   848960
  8.066557e-01   2.990034e-14   1.842629e-03   3.232786e-17   861488
  8.130204e-01   2.962983e-14   1.833334e-03   3.194330e-17   871194
  8.193985e-01   2.946608e-14   1.847247e-03   3.131536e-17   891788
  8.257796e-01   2.910741e-14   1.838008e-03   3.079160e-17   900416
  8.321422e-01   2.892020e-14   1.836250e-03   3.035227e-17   914306
