# power spectrum of delta_kessence
# redshift z=-0.011770
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   1.910022e-08   7.667927e-04   3.692508e-09   18
  1.037418e-02   5.121565e-07   1.725047e-03   5.895557e-08   128
  1.616528e-02   2.255732e-06   1.646572e-03   1.273138e-07   314
  2.269071e-02   5.394337e-06   1.954354e-03   2.094997e-07   728
  2.897169e-02   1.026073e-05   1.717946e-03   3.445342e-07   1016
  3.518826e-02   1.420991e-05   1.880676e-03   3.519581e-07   1682
  4.169479e-02   2.117263e-05   1.831736e-03   4.422868e-07   2300
  4.790974e-02   2.689768e-05   1.770731e-03   5.046168e-07   2906
  5.429022e-02   3.569865e-05   1.892687e-03   5.845090e-07   4040
  6.068098e-02   4.614530e-05   1.775551e-03   6.923246e-07   4712
  6.698900e-02   5.808944e-05   1.857705e-03   7.532188e-07   6002
  7.346135e-02   6.832710e-05   1.857594e-03   8.168198e-07   7256
  7.977379e-02   8.092513e-05   1.772571e-03   9.199315e-07   8120
  8.609019e-02   8.785823e-05   1.864951e-03   8.824339e-07   9950
  9.253636e-02   9.652475e-05   1.853578e-03   8.930260e-07   11384
  9.885187e-02   1.022331e-04   1.809244e-03   9.241647e-07   12666
  1.052712e-01   1.127035e-04   1.889168e-03   9.080095e-07   15104
  1.117654e-01   1.228438e-04   1.850532e-03   9.633641e-07   16616
  1.180754e-01   1.383258e-04   1.799489e-03   1.034496e-06   18026
  1.244216e-01   1.501546e-04   1.853405e-03   1.032496e-06   20696
  1.308065e-01   1.615140e-04   1.827918e-03   1.086540e-06   22436
  1.371558e-01   1.748354e-04   1.845873e-03   1.105702e-06   24962
  1.435394e-01   1.834274e-04   1.831283e-03   1.102090e-06   27176
  1.499133e-01   1.876335e-04   1.847268e-03   1.088862e-06   29810
  1.562775e-01   1.950449e-04   1.828450e-03   1.096896e-06   32120
  1.626776e-01   2.025102e-04   1.865216e-03   1.082905e-06   35432
  1.690383e-01   2.131227e-04   1.814577e-03   1.094929e-06   37238
  1.754019e-01   2.229549e-04   1.856016e-03   1.103018e-06   41072
  1.817869e-01   2.324521e-04   1.834293e-03   1.122154e-06   43472
  1.881565e-01   2.443521e-04   1.848176e-03   1.136593e-06   47042
  1.945298e-01   2.570757e-04   1.829223e-03   1.166895e-06   49712
  2.008693e-01   2.659788e-04   1.840592e-03   1.154238e-06   53226
  2.072637e-01   2.658145e-04   1.853753e-03   1.109691e-06   57320
  2.136558e-01   2.740864e-04   1.831629e-03   1.121564e-06   60092
  2.200056e-01   2.804669e-04   1.839426e-03   1.110918e-06   63914
  2.263950e-01   2.835585e-04   1.849752e-03   1.085849e-06   68192
  2.327751e-01   2.908865e-04   1.833934e-03   1.082805e-06   71336
  2.391397e-01   2.980063e-04   1.845607e-03   1.083900e-06   75818
  2.455297e-01   3.059784e-04   1.844019e-03   1.085423e-06   79880
  2.518964e-01   3.117135e-04   1.834462e-03   1.075981e-06   83642
  2.582661e-01   3.223801e-04   1.840779e-03   1.087427e-06   88316
  2.646730e-01   3.257128e-04   1.859422e-03   1.070737e-06   93488
  2.710484e-01   3.292252e-04   1.827184e-03   1.067621e-06   96458
  2.773871e-01   3.336760e-04   1.829038e-03   1.053943e-06   101264
  2.837816e-01   3.362289e-04   1.862873e-03   1.027093e-06   107696
  2.901819e-01   3.400356e-04   1.837217e-03   1.024725e-06   111170
  2.965233e-01   3.448794e-04   1.822285e-03   1.022767e-06   115232
  3.028941e-01   3.487857e-04   1.855375e-03   9.970572e-07   122310
  3.093019e-01   3.490413e-04   1.843350e-03   9.795516e-07   126944
  3.156739e-01   3.563959e-04   1.828600e-03   9.850353e-07   131192
  3.220432e-01   3.561630e-04   1.844535e-03   9.702596e-07   137618
  3.284234e-01   3.611067e-04   1.836674e-03   9.600792e-07   142448
  3.347979e-01   3.642512e-04   1.844704e-03   9.365653e-07   148520
  3.411627e-01   3.651038e-04   1.831436e-03   9.302168e-07   153254
  3.475446e-01   3.672934e-04   1.852010e-03   9.199929e-07   160760
  3.539284e-01   3.670275e-04   1.835751e-03   9.019101e-07   165290
  3.603019e-01   3.717896e-04   1.840148e-03   8.955161e-07   171992
  3.666828e-01   3.711771e-04   1.840217e-03   8.815437e-07   177800
  3.730569e-01   3.725938e-04   1.843032e-03   8.678570e-07   184322
  3.794439e-01   3.769928e-04   1.841595e-03   8.653475e-07   190832
  3.858239e-01   3.752378e-04   1.839260e-03   8.462822e-07   196772
  3.921872e-01   3.787999e-04   1.836453e-03   8.420051e-07   202970
  3.985536e-01   3.795074e-04   1.839266e-03   8.287972e-07   210056
  4.049173e-01   3.771050e-04   1.832832e-03   8.130311e-07   216210
  4.112896e-01   3.787350e-04   1.841640e-03   8.018248e-07   224168
  4.176700e-01   3.787907e-04   1.840761e-03   7.867686e-07   230792
  4.240565e-01   3.805243e-04   1.846256e-03   7.793049e-07   238778
  4.304312e-01   3.799877e-04   1.831772e-03   7.669096e-07   243956
  4.367939e-01   3.792642e-04   1.845141e-03   7.549184e-07   252680
  4.431746e-01   3.785606e-04   1.842020e-03   7.453167e-07   260066
  4.495713e-01   3.798482e-04   1.849294e-03   7.323412e-07   268712
  4.559494e-01   3.792815e-04   1.834336e-03   7.233082e-07   274034
  4.623270e-01   3.785920e-04   1.847366e-03   7.094193e-07   283904
  4.687088e-01   3.787813e-04   1.837425e-03   7.009415e-07   290048
  4.750707e-01   3.776583e-04   1.836659e-03   6.893497e-07   297950
  4.814434e-01   3.771166e-04   1.842026e-03   6.805247e-07   306968
  4.878269e-01   3.778730e-04   1.843240e-03   6.767449e-07   315320
  4.942006e-01   3.738138e-04   1.835899e-03   6.580447e-07   322346
  5.005701e-01   3.740721e-04   1.842589e-03   6.479491e-07   331664
  5.069538e-01   3.738122e-04   1.844896e-03   6.410636e-07   340818
  5.133346e-01   3.740514e-04   1.837322e-03   6.338912e-07   348164
  5.197083e-01   3.718479e-04   1.843548e-03   6.204960e-07   357584
  5.260929e-01   3.705086e-04   1.846059e-03   6.091287e-07   367106
  5.324635e-01   3.702403e-04   1.832285e-03   6.059061e-07   373376
  5.388350e-01   3.696810e-04   1.848023e-03   5.946337e-07   385376
  5.452233e-01   3.672369e-04   1.842356e-03   5.871238e-07   393650
  5.516038e-01   3.653304e-04   1.840588e-03   5.755771e-07   402704
  5.579656e-01   3.651359e-04   1.830970e-03   5.706410e-07   409910
  5.643320e-01   3.635166e-04   1.843407e-03   5.597845e-07   422024
  5.707212e-01   3.617054e-04   1.846526e-03   5.505758e-07   432176
  5.771022e-01   3.600858e-04   1.837404e-03   5.440951e-07   440066
  5.834769e-01   3.578104e-04   1.841263e-03   5.328683e-07   450680
  5.898365e-01   3.587936e-04   1.831084e-03   5.290718e-07   457856
  5.962115e-01   3.568274e-04   1.848347e-03   5.185561e-07   472538
  6.026013e-01   3.562368e-04   1.839689e-03   5.140068e-07   480140
  6.089752e-01   3.534842e-04   1.841279e-03   5.059646e-07   490842
  6.153517e-01   3.520736e-04   1.838382e-03   4.981093e-07   500744
  6.217295e-01   3.503400e-04   1.842392e-03   4.890522e-07   511856
  6.281145e-01   3.488410e-04   1.844734e-03   4.831039e-07   523202
  6.344991e-01   3.485094e-04   1.840396e-03   4.780535e-07   532688
  6.408638e-01   3.466207e-04   1.834541e-03   4.700595e-07   541520
  6.472341e-01   3.447306e-04   1.842653e-03   4.624981e-07   555110
  6.536136e-01   3.438639e-04   1.839126e-03   4.572304e-07   564944
  6.599884e-01   3.421913e-04   1.839832e-03   4.503331e-07   576434
  6.663740e-01   3.396167e-04   1.844405e-03   4.431861e-07   588848
  6.727501e-01   3.385702e-04   1.838623e-03   4.372653e-07   597704
  6.791236e-01   3.372944e-04   1.842386e-03   4.312237e-07   610946
  6.855006e-01   3.365609e-04   1.837794e-03   4.260974e-07   620852
  6.918722e-01   3.349817e-04   1.841901e-03   4.217694e-07   633530
  6.982524e-01   3.332828e-04   1.841844e-03   4.147871e-07   645704
  7.046316e-01   3.307788e-04   1.840565e-03   4.084845e-07   656744
  7.110074e-01   3.295278e-04   1.841941e-03   4.034798e-07   669162
  7.173906e-01   3.283235e-04   1.843286e-03   3.970864e-07   681992
  7.237681e-01   3.258824e-04   1.838959e-03   3.932018e-07   692360
  7.301485e-01   3.243168e-04   1.844364e-03   3.866023e-07   707006
  7.365206e-01   3.214531e-04   1.834135e-03   3.812654e-07   714944
  7.428835e-01   3.229018e-04   1.841775e-03   3.770695e-07   730346
  7.492606e-01   3.195393e-04   1.838962e-03   3.706814e-07   742616
  7.556415e-01   3.187613e-04   1.843530e-03   3.668234e-07   756536
  7.620128e-01   3.176113e-04   1.836595e-03   3.631505e-07   766418
  7.683917e-01   3.159292e-04   1.845753e-03   3.571039e-07   783392
  7.747614e-01   3.144486e-04   1.833632e-03   3.539015e-07   790412
  7.811334e-01   3.126302e-04   1.848120e-03   3.474544e-07   810314
  7.875277e-01   3.116573e-04   1.843702e-03   3.442590e-07   821960
  7.938987e-01   3.094665e-04   1.834976e-03   3.400087e-07   831266
  8.002712e-01   3.081734e-04   1.843706e-03   3.343095e-07   848960
  8.066557e-01   3.058138e-04   1.842629e-03   3.291580e-07   861488
  8.130204e-01   3.041562e-04   1.833334e-03   3.261137e-07   871194
  8.193985e-01   3.027667e-04   1.847247e-03   3.200268e-07   891788
  8.257796e-01   3.017862e-04   1.838008e-03   3.179220e-07   900416
  8.321422e-01   3.010205e-04   1.836250e-03   3.157015e-07   914306
  8.385264e-01   2.994936e-04   1.847988e-03   3.102826e-07   933992
  8.449011e-01   2.968319e-04   1.834294e-03   3.064408e-07   940826
  8.512701e-01   2.954123e-04   1.842364e-03   3.014008e-07   960224
  8.576621e-01   2.943879e-04   1.846556e-03   2.984141e-07   976316
  8.640381e-01   2.925757e-04   1.835724e-03   2.954857e-07   985010
  8.704114e-01   2.907573e-04   1.843336e-03   2.903046e-07   1004024
  8.767898e-01   2.890633e-04   1.839706e-03   2.870927e-07   1016288
  8.831639e-01   2.884622e-04   1.840690e-03   2.840768e-07   1032290
  8.895470e-01   2.864779e-04   1.843156e-03   2.797331e-07   1048640
  8.959130e-01   2.855094e-04   1.831919e-03   2.778657e-07   1057250
  9.022937e-01   2.838724e-04   1.849588e-03   2.721640e-07   1083140
  9.086870e-01   2.817555e-04   1.840763e-03   2.696743e-07   1092248
  9.150555e-01   2.802098e-04   1.837510e-03   2.669502e-07   1105914
  9.214310e-01   2.787040e-04   1.841822e-03   2.628623e-07   1124744
  9.278120e-01   2.772302e-04   1.841202e-03   2.597370e-07   1139120
  9.341841e-01   2.760864e-04   1.838536e-03   2.570820e-07   1153490
  9.405650e-01   2.736299e-04   1.844187e-03   2.526848e-07   1172936
  9.469357e-01   2.722731e-04   1.834491e-03   2.506271e-07   1182158
  9.533110e-01   2.709398e-04   1.846126e-03   2.465455e-07   1206392
  9.596894e-01   2.694866e-04   1.835525e-03   2.441764e-07   1215224
  9.660641e-01   2.678577e-04   1.844936e-03   2.409996e-07   1237874
  9.724505e-01   2.662935e-04   1.841050e-03   2.379106e-07   1251800
  9.788233e-01   2.648278e-04   1.838619e-03   2.360256e-07   1265792
  9.851993e-01   2.636233e-04   1.843109e-03   2.327062e-07   1286306
  9.915793e-01   2.619725e-04   1.838809e-03   2.299056e-07   1299764
  9.979438e-01   2.594177e-04   1.836769e-03   2.269173e-07   1314554
  1.004319e+00   2.584294e-04   1.843595e-03   2.235275e-07   1337288
  1.010703e+00   2.569720e-04   1.840912e-03   2.211141e-07   1351304
  1.017077e+00   2.558606e-04   1.841769e-03   2.188098e-07   1369026
  1.023461e+00   2.539392e-04   1.843478e-03   2.156113e-07   1388456
  1.029842e+00   2.530392e-04   1.840406e-03   2.137298e-07   1402700
  1.036211e+00   2.508195e-04   1.837802e-03   2.109563e-07   1418282
  1.042587e+00   2.495977e-04   1.843596e-03   2.082166e-07   1440272
  1.048964e+00   2.476944e-04   1.838705e-03   2.053082e-07   1454114
  1.055341e+00   2.465370e-04   1.842603e-03   2.032529e-07   1475480
  1.061720e+00   2.448103e-04   1.840520e-03   2.006787e-07   1490936
  1.068091e+00   2.439162e-04   1.838519e-03   1.986846e-07   1507826
  1.074472e+00   2.425143e-04   1.844275e-03   1.963762e-07   1530764
  1.080850e+00   2.406667e-04   1.839052e-03   1.939672e-07   1543424
