# power spectrum of pi_k * H (dimensionless)
# redshift z=-0.011770
# k              Pk             sigma(k)       sigma(Pk)      count
  5.011399e-03   2.323903e-10   7.667927e-04   5.119376e-11   18
  1.037418e-02   3.399455e-10   1.725047e-03   3.470298e-11   128
  1.616528e-02   2.774668e-10   1.646572e-03   1.475555e-11   314
  2.269071e-02   1.727093e-10   1.954354e-03   6.314323e-12   728
  2.897169e-02   1.271828e-10   1.717946e-03   4.367986e-12   1016
  3.518826e-02   8.133227e-11   1.880676e-03   2.034373e-12   1682
  4.169479e-02   6.061799e-11   1.831736e-03   1.240121e-12   2300
  4.790974e-02   4.427538e-11   1.770731e-03   8.309295e-13   2906
  5.429022e-02   3.561747e-11   1.892687e-03   5.809408e-13   4040
  6.068098e-02   2.960965e-11   1.775551e-03   4.430192e-13   4712
  6.698900e-02   2.506045e-11   1.857705e-03   3.271297e-13   6002
  7.346135e-02   2.039755e-11   1.857594e-03   2.463363e-13   7256
  7.977379e-02   1.731106e-11   1.772571e-03   1.967085e-13   8120
  8.609019e-02   1.385150e-11   1.864951e-03   1.398129e-13   9950
  9.253636e-02   1.140557e-11   1.853578e-03   1.055012e-13   11384
  9.885187e-02   9.290082e-12   1.809244e-03   8.474353e-14   12666
  1.052712e-01   7.964298e-12   1.889168e-03   6.409140e-14   15104
  1.117654e-01   6.817482e-12   1.850532e-03   5.337495e-14   16616
  1.180754e-01   6.154753e-12   1.799489e-03   4.604624e-14   18026
  1.244216e-01   5.402584e-12   1.853405e-03   3.716156e-14   20696
  1.308065e-01   4.756648e-12   1.827918e-03   3.209678e-14   22436
  1.371558e-01   4.245361e-12   1.845873e-03   2.686623e-14   24962
  1.435394e-01   3.723969e-12   1.831283e-03   2.248461e-14   27176
  1.499133e-01   3.203380e-12   1.847268e-03   1.863812e-14   29810
  1.562775e-01   2.823908e-12   1.828450e-03   1.589846e-14   32120
  1.626776e-01   2.505043e-12   1.865216e-03   1.343303e-14   35432
  1.690383e-01   2.259522e-12   1.814577e-03   1.161658e-14   37238
  1.754019e-01   2.036742e-12   1.856016e-03   1.007256e-14   41072
  1.817869e-01   1.839521e-12   1.834293e-03   8.866977e-15   43472
  1.881565e-01   1.677937e-12   1.848176e-03   7.825415e-15   47042
  1.945298e-01   1.544504e-12   1.829223e-03   6.990142e-15   49712
  2.008693e-01   1.406353e-12   1.840592e-03   6.101461e-15   53226
  2.072637e-01   1.240607e-12   1.853753e-03   5.183908e-15   57320
  2.136558e-01   1.136665e-12   1.831629e-03   4.654038e-15   60092
  2.200056e-01   1.035037e-12   1.839426e-03   4.095437e-15   63914
  2.263950e-01   9.341603e-13   1.849752e-03   3.578548e-15   68192
  2.327751e-01   8.577888e-13   1.833934e-03   3.198835e-15   71336
  2.391397e-01   7.891491e-13   1.845607e-03   2.875164e-15   75818
  2.455297e-01   7.294868e-13   1.844019e-03   2.586565e-15   79880
  2.518964e-01   6.701625e-13   1.834462e-03   2.314508e-15   83642
  2.582661e-01   6.271184e-13   1.840779e-03   2.116946e-15   88316
  2.646730e-01   5.737834e-13   1.859422e-03   1.887216e-15   93488
  2.710484e-01   5.280972e-13   1.827184e-03   1.713790e-15   96458
  2.773871e-01   4.900361e-13   1.829038e-03   1.545090e-15   101264
  2.837816e-01   4.517598e-13   1.862873e-03   1.380824e-15   107696
  2.901819e-01   4.188371e-13   1.837217e-03   1.259809e-15   111170
  2.965233e-01   3.893468e-13   1.822285e-03   1.155973e-15   115232
  3.028941e-01   3.626416e-13   1.855375e-03   1.040208e-15   122310
  3.093019e-01   3.338426e-13   1.843350e-03   9.387117e-16   126944
  3.156739e-01   3.149418e-13   1.828600e-03   8.707463e-16   131192
  3.220432e-01   2.906461e-13   1.844535e-03   7.917755e-16   137618
  3.284234e-01   2.727485e-13   1.836674e-03   7.253351e-16   142448
  3.347979e-01   2.556141e-13   1.844704e-03   6.558123e-16   148520
  3.411627e-01   2.379718e-13   1.831436e-03   6.056242e-16   153254
  3.475446e-01   2.230123e-13   1.852010e-03   5.575205e-16   160760
  3.539284e-01   2.077607e-13   1.835751e-03   5.106662e-16   165290
  3.603019e-01   1.961677e-13   1.840148e-03   4.729466e-16   171992
  3.666828e-01   1.832310e-13   1.840217e-03   4.353580e-16   177800
  3.730569e-01   1.719637e-13   1.843032e-03   3.993457e-16   184322
  3.794439e-01   1.630001e-13   1.841595e-03   3.735126e-16   190832
  3.858239e-01   1.523302e-13   1.839260e-03   3.435868e-16   196772
  3.921872e-01   1.440027e-13   1.836453e-03   3.205801e-16   202970
  3.985536e-01   1.359375e-13   1.839266e-03   2.967372e-16   210056
  4.049173e-01   1.273724e-13   1.832832e-03   2.751664e-16   216210
  4.112896e-01   1.206259e-13   1.841640e-03   2.557541e-16   224168
  4.176700e-01   1.140124e-13   1.840761e-03   2.368356e-16   230792
  4.240565e-01   1.080141e-13   1.846256e-03   2.211234e-16   238778
  4.304312e-01   1.018001e-13   1.831772e-03   2.056207e-16   243956
  4.367939e-01   9.621970e-14   1.845141e-03   1.921346e-16   252680
  4.431746e-01   9.088822e-14   1.842020e-03   1.789725e-16   260066
  4.495713e-01   8.683053e-14   1.849294e-03   1.673737e-16   268712
  4.559494e-01   8.214314e-14   1.834336e-03   1.563084e-16   274034
  4.623270e-01   7.801404e-14   1.847366e-03   1.463767e-16   283904
  4.687088e-01   7.401463e-14   1.837425e-03   1.366847e-16   290048
  4.750707e-01   7.029742e-14   1.836659e-03   1.282234e-16   297950
  4.814434e-01   6.689843e-14   1.842026e-03   1.201540e-16   306968
  4.878269e-01   6.372133e-14   1.843240e-03   1.139444e-16   315320
  4.942006e-01   6.032528e-14   1.835899e-03   1.061185e-16   322346
  5.005701e-01   5.760611e-14   1.842589e-03   1.003019e-16   331664
  5.069538e-01   5.486147e-14   1.844896e-03   9.396913e-17   340818
  5.133346e-01   5.248811e-14   1.837322e-03   8.895139e-17   348164
  5.197083e-01   4.998822e-14   1.843548e-03   8.337648e-17   357584
  5.260929e-01   4.756403e-14   1.846059e-03   7.827478e-17   367106
  5.324635e-01   4.560257e-14   1.832285e-03   7.480709e-17   373376
  5.388350e-01   4.375098e-14   1.848023e-03   7.055687e-17   385376
  5.452233e-01   4.162111e-14   1.842356e-03   6.635072e-17   393650
  5.516038e-01   3.964154e-14   1.840588e-03   6.225568e-17   402704
  5.579656e-01   3.807239e-14   1.830970e-03   5.947390e-17   409910
  5.643320e-01   3.647718e-14   1.843407e-03   5.623326e-17   422024
  5.707212e-01   3.499897e-14   1.846526e-03   5.339897e-17   432176
  5.771022e-01   3.336911e-14   1.837404e-03   5.032704e-17   440066
  5.834769e-01   3.193183e-14   1.841263e-03   4.769802e-17   450680
  5.898365e-01   3.079963e-14   1.831084e-03   4.552887e-17   457856
  5.962115e-01   2.957358e-14   1.848347e-03   4.306516e-17   472538
  6.026013e-01   2.846152e-14   1.839689e-03   4.113466e-17   480140
  6.089752e-01   2.717198e-14   1.841279e-03   3.882779e-17   490842
  6.153517e-01   2.608273e-14   1.838382e-03   3.685488e-17   500744
  6.217295e-01   2.511832e-14   1.842392e-03   3.515636e-17   511856
  6.281145e-01   2.415214e-14   1.844734e-03   3.342110e-17   523202
  6.344991e-01   2.327001e-14   1.840396e-03   3.186085e-17   532688
  6.408638e-01   2.234727e-14   1.834541e-03   3.038131e-17   541520
