# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=10
# for k=1.02819e-05 to 5.00333 h/Mpc,
# number of wavenumbers equal to 1940
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.028185622909e-05      -1.525492611220e-04      -1.144180610185e-04      -1.144180615898e-04      -1.525491523447e-04      -1.145370563440e-04       6.014637105119e-01       5.995334758308e-01 
       1.034121403287e-05      -1.543156014989e-04      -1.157429587403e-04      -1.157429593249e-04      -1.543154901881e-04      -1.158633316716e-04       6.014637026899e-01       5.995334697572e-01 
       1.040091451300e-05      -1.561023928486e-04      -1.170831980093e-04      -1.170831986075e-04      -1.561022789453e-04      -1.172049644914e-04       6.014636946219e-01       5.995334634092e-01 
       1.046095964776e-05      -1.579098719683e-04      -1.184389565009e-04      -1.184389571131e-04      -1.579097554120e-04      -1.185621326634e-04       6.014636864772e-01       5.995334570641e-01 
       1.052135142686e-05      -1.597382783325e-04      -1.198104138999e-04      -1.198104145263e-04      -1.597381590613e-04      -1.199350160588e-04       6.014636781882e-01       5.995334505046e-01 
       1.058209185151e-05      -1.615878541972e-04      -1.211977519793e-04      -1.211977526203e-04      -1.615877321479e-04      -1.213237966396e-04       6.014636696389e-01       5.995334437844e-01 
       1.064318293446e-05      -1.634588443265e-04      -1.226011543949e-04      -1.226011550509e-04      -1.634587194342e-04      -1.227286582521e-04       6.014636597373e-01       5.995334357167e-01 
       1.070462670008e-05      -1.653514973703e-04      -1.240208077192e-04      -1.240208083904e-04      -1.653513695690e-04      -1.241497876626e-04       6.014636512512e-01       5.995334289604e-01 
       1.076642518443e-05      -1.672660636884e-04      -1.254568998083e-04      -1.254569004951e-04      -1.672659329102e-04      -1.255873729223e-04       6.014636425316e-01       5.995334222847e-01 
       1.082858043532e-05      -1.692027970641e-04      -1.269096210886e-04      -1.269096217915e-04      -1.692026632398e-04      -1.270416046553e-04       6.014636340214e-01       5.995334157410e-01 
       1.089109451240e-05      -1.711619539741e-04      -1.283791640086e-04      -1.283791647278e-04      -1.711618170328e-04      -1.285126755099e-04       6.014636251966e-01       5.995334089365e-01 
       1.095396948718e-05      -1.731437940828e-04      -1.298657234092e-04      -1.298657241452e-04      -1.731436539518e-04      -1.300007805292e-04       6.014636162593e-01       5.995334020104e-01 
       1.101720744314e-05      -1.751485799706e-04      -1.313694963211e-04      -1.313694970742e-04      -1.751484365757e-04      -1.315061169486e-04       6.014636071976e-01       5.995333949217e-01 
       1.108081047582e-05      -1.771765772525e-04      -1.328906820526e-04      -1.328906828232e-04      -1.771764305177e-04      -1.330288842833e-04       6.014635979507e-01       5.995333875760e-01 
       1.114478069280e-05      -1.792280551526e-04      -1.344294826216e-04      -1.344294834102e-04      -1.792279050004e-04      -1.345692847610e-04       6.014635902310e-01       5.995333818804e-01 
       1.120912021388e-05      -1.813032839025e-04      -1.359861008031e-04      -1.359861016101e-04      -1.813031302527e-04      -1.361275213671e-04       6.014635787176e-01       5.995333724444e-01 
       1.127383117107e-05      -1.834025401908e-04      -1.375607442183e-04      -1.375607450441e-04      -1.834023829623e-04      -1.377038019383e-04       6.014635692036e-01       5.995333650920e-01 
       1.133891570869e-05      -1.855261015615e-04      -1.391536211316e-04      -1.391536219766e-04      -1.855259406707e-04      -1.392983349553e-04       6.014635596765e-01       5.995333577107e-01 
       1.140437598345e-05      -1.876742493305e-04      -1.407649426393e-04      -1.407649435040e-04      -1.876740846924e-04      -1.409113317336e-04       6.014635499702e-01       5.995333500294e-01 
       1.147021416450e-05      -1.898472686389e-04      -1.423949227086e-04      -1.423949235934e-04      -1.898471001662e-04      -1.425430064623e-04       6.014635416990e-01       5.995333439524e-01 
       1.153643243351e-05      -1.920454464479e-04      -1.440437766750e-04      -1.440437775804e-04      -1.920452740511e-04      -1.441935747007e-04       6.014635318569e-01       5.995333362930e-01 
       1.160303298477e-05      -1.942690738727e-04      -1.457117229922e-04      -1.457117239187e-04      -1.942688974604e-04      -1.458632551291e-04       6.014635200993e-01       5.995333266775e-01 
       1.167001802520e-05      -1.965184466836e-04      -1.473989836069e-04      -1.473989845550e-04      -1.965182661623e-04      -1.475522699246e-04       6.014635099482e-01       5.995333186384e-01 
       1.173738977449e-05      -1.987938623523e-04      -1.491057817456e-04      -1.491057827158e-04      -1.987936776263e-04      -1.492608425454e-04       6.014634997169e-01       5.995333107871e-01 
       1.180515046514e-05      -2.010956223458e-04      -1.508323436338e-04      -1.508323446266e-04      -2.010954333170e-04      -1.509891994519e-04       6.014634893387e-01       5.995333028392e-01 
       1.187330234252e-05      -2.034240315761e-04      -1.525788980840e-04      -1.525788991000e-04      -2.034238381445e-04      -1.527375696939e-04       6.014634786688e-01       5.995332944872e-01 
       1.194184766498e-05      -2.057793986251e-04      -1.543456766638e-04      -1.543456777034e-04      -2.057792006881e-04      -1.545061850794e-04       6.014634679786e-01       5.995332861410e-01 
       1.201078870391e-05      -2.081620355334e-04      -1.561329135377e-04      -1.561329146015e-04      -2.081618329860e-04      -1.562952800162e-04       6.014634571722e-01       5.995332775986e-01 
       1.208012774379e-05      -2.105722578871e-04      -1.579408455331e-04      -1.579408466217e-04      -2.105720506221e-04      -1.581050915771e-04       6.014634459986e-01       5.995332688982e-01 
       1.214986708233e-05      -2.130103851923e-04      -1.597697124198e-04      -1.597697135337e-04      -2.130101730996e-04      -1.599358597810e-04       6.014634349618e-01       5.995332603193e-01 
       1.222000903046e-05      -2.154767406960e-04      -1.616197567772e-04      -1.616197579171e-04      -2.154765236633e-04      -1.617878274589e-04       6.014634247076e-01       5.995332524791e-01 
       1.229055591247e-05      -2.179716506326e-04      -1.634912234284e-04      -1.634912245948e-04      -2.179714285450e-04      -1.636612396881e-04       6.014634137691e-01       5.995332439092e-01 
       1.236151006608e-05      -2.204954456695e-04      -1.653843605242e-04      -1.653843617178e-04      -2.204952184090e-04      -1.655563448768e-04       6.014634023426e-01       5.995332349905e-01 
       1.243287384249e-05      -2.230484602690e-04      -1.672994190659e-04      -1.672994202873e-04      -2.230482277152e-04      -1.674733942868e-04       6.014633907865e-01       5.995332259690e-01 
       1.250464960647e-05      -2.256310325100e-04      -1.692366527704e-04      -1.692366540203e-04      -2.256307945396e-04      -1.694126418983e-04       6.014633786321e-01       5.995332162461e-01 
