# Matter power spectrum P(k) at redshift z=0
# for k=1.02819e-05 to 5.00333 h/Mpc,
# number of wavenumbers equal to 1940
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.028185622909e-05       4.062494322372e+01 
       1.034121403287e-05       4.085947220284e+01 
       1.040091451300e-05       4.109535549310e+01 
       1.046095964776e-05       4.133259998790e+01 
       1.052135142686e-05       4.157122241622e+01 
       1.058209185151e-05       4.181121329897e+01 
       1.064318293446e-05       4.205258031774e+01 
       1.070462670008e-05       4.229535682952e+01 
       1.076642518443e-05       4.253952882341e+01 
       1.082858043532e-05       4.278511399404e+01 
       1.089109451240e-05       4.303211498564e+01 
       1.095396948718e-05       4.328053744922e+01 
       1.101720744314e-05       4.353040012584e+01 
       1.108081047582e-05       4.378170037950e+01 
       1.114478069280e-05       4.403445588023e+01 
       1.120912021388e-05       4.428866691091e+01 
       1.127383117107e-05       4.454434293561e+01 
       1.133891570869e-05       4.480150305570e+01 
       1.140437598345e-05       4.506014250723e+01 
       1.147021416450e-05       4.532027862093e+01 
       1.153643243351e-05       4.558190869566e+01 
       1.160303298477e-05       4.584505830952e+01 
       1.167001802520e-05       4.610971822581e+01 
       1.173738977449e-05       4.637591675456e+01 
       1.180515046514e-05       4.664364135261e+01 
       1.187330234252e-05       4.691291796678e+01 
       1.194184766498e-05       4.718374171030e+01 
       1.201078870391e-05       4.745613472933e+01 
       1.208012774379e-05       4.773010515250e+01 
       1.214986708233e-05       4.800565509047e+01 
       1.222000903046e-05       4.828278960082e+01 
       1.229055591247e-05       4.856152624006e+01 
       1.236151006608e-05       4.884187295702e+01 
       1.243287384249e-05       4.912383543107e+01 
       1.250464960647e-05       4.940743244653e+01 
       1.257683973647e-05       4.969265967441e+01 
       1.264944662463e-05       4.997953699081e+01 
       1.272247267693e-05       5.026806975522e+01 
       1.279592031323e-05       5.055827004257e+01 
       1.286979196736e-05       5.085014370509e+01 
       1.294409008721e-05       5.114370213631e+01 
       1.301881713479e-05       5.143895579563e+01 
       1.309397558631e-05       5.173591181536e+01 
       1.316956793232e-05       5.203458181624e+01 
       1.324559667769e-05       5.233498188832e+01 
       1.332206434181e-05       5.263711096467e+01 
       1.339897345857e-05       5.294098700758e+01 
       1.347632657650e-05       5.324660899774e+01 
       1.355412625886e-05       5.355400912635e+01 
       1.363237508369e-05       5.386317471996e+01 
       1.371107564391e-05       5.417413374302e+01 
       1.379023054742e-05       5.448687551725e+01 
       1.386984241718e-05       5.480142944023e+01 
       1.394991389128e-05       5.511779950848e+01 
       1.403044762304e-05       5.543599573754e+01 
       1.411144628111e-05       5.575602724524e+01 
       1.419291254954e-05       5.607789801089e+01 
       1.427484912787e-05       5.640163768524e+01 
       1.435725873122e-05       5.672725122407e+01 
       1.444014409041e-05       5.705473851675e+01 
       1.452350795200e-05       5.738411529524e+01 
       1.460735307841e-05       5.771537919641e+01 
       1.469168224802e-05       5.804858678091e+01 
       1.477649825524e-05       5.838370056960e+01 
       1.486180391061e-05       5.872074897566e+01 
       1.494760204091e-05       5.905974371816e+01 
       1.503389548922e-05       5.940069701093e+01 
       1.512068711504e-05       5.974360132536e+01 
       1.520797979438e-05       6.008850092635e+01 
       1.529577641986e-05       6.043540004631e+01 
       1.538407990080e-05       6.078428818820e+01 
       1.547289316329e-05       6.113520399766e+01 
       1.556221915034e-05       6.148813916419e+01 
       1.565206082194e-05       6.184310953151e+01 
       1.574242115517e-05       6.220013146612e+01 
       1.583330314430e-05       6.255921227760e+01 
       1.592470980088e-05       6.292036600144e+01 
       1.601664415384e-05       6.328360473107e+01 
       1.610910924962e-05       6.364894009312e+01 
       1.620210815222e-05       6.401638524730e+01 
       1.629564394334e-05       6.438595014773e+01 
       1.638971972248e-05       6.475764959324e+01 
       1.648433860702e-05       6.513149257352e+01 
       1.657950373234e-05       6.550749389557e+01 
       1.667521825193e-05       6.588565777933e+01 
       1.677148533746e-05       6.626601846973e+01 
       1.686830817895e-05       6.664858063766e+01 
       1.696568998480e-05       6.703333978649e+01 
       1.706363398195e-05       6.742032103036e+01 
       1.716214341596e-05       6.780953790770e+01 
       1.726122155115e-05       6.820100016001e+01 
       1.736087167065e-05       6.859472503302e+01 
       1.746109707657e-05       6.899072029078e+01 
       1.756190109007e-05       6.938900171263e+01 
       1.766328705150e-05       6.978957787559e+01 
       1.776525832046e-05       7.019247247237e+01 
       1.786781827599e-05       7.059769280761e+01 
       1.797097031660e-05       7.100525296807e+01 
       1.807471786044e-05       7.141516413435e+01 
       1.817906434539e-05       7.182743810245e+01 
       1.828401322917e-05       7.224209875858e+01 
       1.838956798946e-05       7.265914568187e+01 
       1.849573212404e-05       7.307860894219e+01 
       1.860250915086e-05       7.350048343897e+01 
       1.870990260817e-05       7.392480131364e+01 
       1.881791605469e-05       7.435156989605e+01 
       1.892655306963e-05       7.478079865085e+01 
       1.903581725291e-05       7.521249924779e+01 
       1.914571222520e-05       7.564670163153e+01 
       1.925624162809e-05       7.608339951902e+01 
       1.936740912418e-05       7.652263462700e+01 
       1.947921839724e-05       7.696439734826e+01 
       1.959167315227e-05       7.740870405745e+01 
       1.970477711569e-05       7.785558461741e+01 
       1.981853403541e-05       7.830504100344e+01 
       1.993294768100e-05       7.875709190111e+01 
       2.004802184377e-05       7.921174877592e+01 
       2.016376033694e-05       7.966903579837e+01 
       2.028016699571e-05       8.012895539957e+01 
