# power spectrum of phi
# redshift z=-0.029885
# k              Pk             sigma(k)       sigma(Pk)      count
  1.570796e-02   3.715815e-10   0.000000e+00   8.414890e-11   6
  2.221441e-02   1.343636e-10   0.000000e+00   2.617899e-11   12
  2.720699e-02   6.413511e-11   2.980232e-10   8.861288e-12   8
  3.141593e-02   6.437871e-11   0.000000e+00   1.949522e-11   6
  3.512407e-02   6.032528e-11   5.619580e-10   1.313252e-11   24
  3.847649e-02   3.553363e-11   5.619580e-10   6.526387e-12   24
  4.442883e-02   4.649001e-11   0.000000e+00   1.061130e-11   12
  4.712389e-02   2.823924e-11   6.357829e-10   3.383096e-12   30
  4.967294e-02   1.970315e-11   0.000000e+00   4.535393e-12   24
  5.209742e-02   1.945460e-11   9.733398e-10   4.544904e-12   24
  5.441398e-02   2.422530e-11   5.960464e-10   3.195753e-12   8
  5.663587e-02   1.129579e-11   7.947286e-10   2.669308e-12   24
  5.877382e-02   2.682627e-11   0.000000e+00   3.517669e-12   48
  6.283185e-02   1.636996e-11   0.000000e+00   4.950497e-13   6
  6.476559e-02   1.874570e-11   7.947286e-10   2.323596e-12   48
  6.664324e-02   2.724959e-11   7.492773e-10   3.216669e-12   36
  6.846942e-02   2.661533e-11   7.947286e-10   7.228398e-12   24
  7.024815e-02   1.273447e-11   1.123916e-09   2.800283e-12   24
  7.198293e-02   1.377394e-11   0.000000e+00   1.491669e-12   48
  7.367688e-02   1.992852e-11   1.123916e-09   3.707695e-12   24
  7.695299e-02   2.088364e-11   1.123916e-09   4.040613e-12   24
  7.853982e-02   9.277220e-12   0.000000e+00   1.349137e-12   30
  8.009521e-02   1.352151e-11   0.000000e+00   1.562718e-12   72
  8.162097e-02   1.085154e-11   1.192093e-09   1.476586e-12   32
  8.458997e-02   8.971126e-12   0.000000e+00   1.109971e-12   72
  8.603606e-02   1.140550e-11   0.000000e+00   1.575043e-12   48
  8.885766e-02   4.935385e-12   0.000000e+00   9.432953e-13   12
  9.091388e-02   8.509176e-12   6.784996e-04   7.181846e-13   96
  9.292956e-02   8.333729e-12   1.123916e-09   1.202666e-12   48
  9.424778e-02   9.798911e-12   1.271566e-09   1.131216e-12   30
  9.650974e-02   6.272721e-12   5.553727e-04   5.381747e-13   96
  9.934588e-02   8.170574e-12   0.000000e+00   1.317158e-12   24
  1.009864e-01   6.472476e-12   5.747348e-04   5.665289e-13   144
  1.030040e-01   9.467952e-12   1.946680e-09   1.357918e-12   24
  1.050779e-01   6.027396e-12   5.098206e-04   5.417907e-13   96
  1.065366e-01   5.450490e-12   0.000000e+00   5.045631e-13   48
  1.098102e-01   4.422034e-12   3.780724e-04   5.480943e-13   62
  1.114740e-01   4.936108e-12   5.316623e-04   4.429246e-13   132
  1.132717e-01   8.678214e-12   1.589457e-09   1.629791e-12   24
  1.149693e-01   5.429980e-12   5.313863e-04   5.502518e-13   168
  1.180701e-01   3.683481e-12   5.224442e-04   4.195717e-13   96
  1.203984e-01   4.404777e-12   4.446482e-04   3.893025e-13   96
  1.232554e-01   4.094744e-12   4.956196e-04   3.339426e-13   168
  1.256637e-01   3.971459e-12   0.000000e+00   1.186473e-12   6
  1.266416e-01   4.021218e-12   0.000000e+00   4.738288e-13   96
  1.278047e-01   3.966725e-12   3.852495e-04   4.494971e-13   120
  1.301638e-01   3.816038e-12   4.473436e-04   3.058130e-13   144
  1.314222e-01   3.428607e-12   0.000000e+00   5.438668e-13   48
  1.338136e-01   3.741119e-12   4.564740e-04   4.214204e-13   84
  1.351250e-01   4.228742e-12   3.114687e-09   3.157774e-13   120
  1.363061e-01   2.891115e-12   4.142175e-04   3.209104e-13   80
  1.381342e-01   3.856653e-12   4.205668e-04   3.195666e-13   144
  1.404963e-01   4.109682e-12   2.247832e-09   4.017976e-13   24
  1.416501e-01   3.299787e-12   4.058285e-04   2.745770e-13   150
  1.434502e-01   2.922220e-12   4.210699e-04   2.529751e-13   120
  1.454270e-01   2.913953e-12   3.837166e-04   2.075994e-13   168
  1.473538e-01   3.389120e-12   2.247832e-09   5.600552e-13   24
  1.485660e-01   2.972130e-12   4.133786e-04   1.766571e-13   264
  1.498444e-01   2.983082e-12   2.247832e-09   4.064649e-13   48
  1.520236e-01   2.316859e-12   3.828947e-04   1.929137e-13   144
  1.544390e-01   2.148851e-12   3.768959e-04   2.751022e-13   72
  1.558174e-01   2.322481e-12   3.876848e-04   1.728880e-13   180
  1.577444e-01   1.950822e-12   2.809042e-04   1.154173e-13   198
  1.586427e-01   2.896331e-12   0.000000e+00   3.839401e-13   48
  1.606295e-01   2.190450e-12   3.802118e-04   1.863333e-13   168
  1.621039e-01   2.146700e-12   3.805277e-04   2.002509e-13   144
  1.643345e-01   1.928926e-12   5.346625e-04   1.083193e-13   248
  1.673465e-01   2.005316e-12   3.686065e-04   1.315933e-13   192
  1.693976e-01   1.807437e-12   5.693667e-04   1.028741e-13   240
  1.706322e-01   2.116285e-12   0.000000e+00   2.742476e-13   72
  1.725150e-01   2.056867e-12   3.474519e-04   1.682726e-13   126
  1.737029e-01   1.891751e-12   3.205713e-04   1.344084e-13   168
  1.759709e-01   2.042130e-12   3.505411e-04   1.159325e-13   288
  1.783549e-01   1.737673e-12   1.846233e-04   1.491052e-13   156
  1.795894e-01   1.744760e-12   3.105899e-04   1.544952e-13   168
  1.814616e-01   1.688222e-12   5.324516e-04   1.085437e-13   264
  1.831848e-01   2.069119e-12   0.000000e+00   2.621524e-13   48
  1.844652e-01   1.497297e-12   5.299184e-04   9.237420e-14   264
  1.863009e-01   1.455212e-12   3.123533e-04   1.142614e-13   144
  1.876872e-01   1.213586e-12   6.390593e-04   1.208320e-13   78
  1.897067e-01   1.467084e-12   4.154149e-04   8.458249e-14   336
  1.916111e-01   1.746688e-12   3.160631e-04   1.204345e-13   200
  1.928618e-01   1.659484e-12   6.188557e-04   1.188913e-13   192
  1.945503e-01   1.402341e-12   3.105574e-04   8.401583e-14   240
  1.961016e-01   1.388480e-12   6.223754e-04   1.012494e-13   168
  1.976952e-01   1.315446e-12   4.982915e-04   1.055426e-13   120
  1.996091e-01   1.241493e-12   3.894583e-04   6.806018e-14   324
  2.014663e-01   1.120827e-12   3.061804e-04   8.278031e-14   192
  2.027302e-01   1.314128e-12   5.491178e-04   9.296286e-14   168
  2.048802e-01   1.124810e-12   4.522690e-04   6.062875e-14   342
  2.068188e-01   1.273821e-12   3.641675e-04   7.030435e-14   336
  2.087838e-01   1.002506e-12   2.786838e-04   8.679857e-14   72
  2.101088e-01   1.047347e-12   4.457174e-04   5.789565e-14   288
  2.116470e-01   1.001509e-12   2.902819e-04   5.992840e-14   264
  2.137954e-01   1.169837e-12   3.817923e-04   6.169291e-14   384
  2.157197e-01   1.252699e-12   4.582500e-04   7.820882e-14   240
  2.165193e-01   1.260716e-12   0.000000e+00   1.863731e-13   48
  2.188323e-01   1.036944e-12   3.751076e-04   5.194485e-14   392
  2.205970e-01   1.167170e-12   4.116619e-04   6.906634e-14   294
  2.224945e-01   9.726870e-13   2.675587e-04   6.708597e-14   228
  2.237424e-01   1.100827e-12   4.063271e-04   6.938947e-14   216
  2.252951e-01   9.858369e-13   2.475063e-04   5.582568e-14   336
  2.271958e-01   9.037666e-13   2.940781e-04   4.720302e-14   360
  2.287649e-01   8.983820e-13   4.480490e-04   5.519353e-14   240
  2.303999e-01   7.406687e-13   5.301447e-04   5.462812e-14   168
  2.319249e-01   8.498718e-13   4.172883e-04   4.936449e-14   312
  2.337418e-01   9.291380e-13   2.611535e-04   5.071399e-14   336
  2.357046e-01   9.340490e-13   3.562619e-04   5.438443e-14   294
  2.371846e-01   7.518988e-13   4.748243e-04   4.637925e-14   288
  2.383170e-01   8.292858e-13   2.971134e-04   5.244512e-14   264
  2.403364e-01   9.037845e-13   5.103645e-04   4.109672e-14   480
  2.420249e-01   8.375789e-13   2.496686e-04   5.660102e-14   240
  2.440949e-01   8.627775e-13   2.524589e-04   5.053129e-14   276
  2.457280e-01   7.268531e-13   5.541970e-04   3.200101e-14   488
  2.476682e-01   8.081311e-13   2.440802e-04   5.494237e-14   240
  2.487944e-01   7.292014e-13   4.739408e-04   3.789445e-14   360
  2.503735e-01   8.477078e-13   1.686210e-04   4.998993e-14   198
  2.524044e-01   7.827659e-13   5.697771e-04   3.543481e-14   480
  2.538913e-01   6.388152e-13   2.103076e-04   3.385513e-14   288
  2.559478e-01   7.658957e-13   4.445422e-04   3.507586e-14   480
  2.577972e-01   6.591998e-13   2.738942e-04   3.044086e-14   480
  2.596963e-01   6.439834e-13   3.542367e-04   3.212753e-14   288
  2.608812e-01   7.695358e-13   3.779053e-04   4.687434e-14   288
  2.627448e-01   5.421231e-13   6.569890e-04   2.465451e-14   456
  2.646214e-01   6.570299e-13   6.187305e-04   3.643974e-14   360
  2.658312e-01   6.750472e-13   3.708853e-04   5.307023e-14   180
  2.675821e-01   5.774571e-13   4.039393e-04   2.681537e-14   486
  2.693567e-01   5.912590e-13   5.373692e-04   3.065426e-14   504
  2.711612e-01   6.493213e-13   4.175087e-04   2.742509e-14   456
  2.726573e-01   5.385666e-13   3.468761e-04   3.774272e-14   296
  2.746340e-01   5.631271e-13   3.422861e-04   2.119156e-14   528
  2.761206e-01   5.843697e-13   3.377476e-04   2.908602e-14   336
  2.783101e-01   6.163413e-13   3.746254e-04   2.663056e-14   600
  2.799128e-01   5.834901e-13   2.194755e-04   3.678322e-14   264
  2.815189e-01   6.287884e-13   2.373367e-04   3.089641e-14   360
  2.831582e-01   5.789565e-13   4.751715e-04   2.334965e-14   630
  2.849646e-01   5.167479e-13   2.452791e-04   2.605002e-14   432
  2.865671e-01   5.490350e-13   4.725907e-04   2.662950e-14   408
  2.885340e-01   4.570644e-13   3.136768e-04   2.511026e-14   324
  2.899972e-01   4.952020e-13   4.470278e-04   1.663742e-14   744
  2.917622e-01   5.155985e-13   3.573689e-04   2.859972e-14   336
  2.934486e-01   5.017087e-13   4.912911e-04   2.056292e-14   528
  2.952978e-01   5.206541e-13   2.506716e-04   2.490871e-14   408
  2.965238e-01   4.845519e-13   4.266433e-04   2.060710e-14   408
  2.985496e-01   4.680333e-13   3.522079e-04   2.174548e-14   470
  3.000252e-01   4.669313e-13   4.231156e-04   1.991447e-14   528
  3.020857e-01   4.157071e-13   3.525700e-04   1.552081e-14   624
  3.036033e-01   4.160161e-13   2.682725e-04   1.760456e-14   504
  3.051691e-01   4.690746e-13   3.736837e-04   2.133198e-14   552
  3.067221e-01   3.972216e-13   1.816539e-04   2.353809e-14   336
  3.086668e-01   4.515121e-13   3.866695e-04   1.861463e-14   528
  3.101733e-01   4.262658e-13   4.402305e-04   1.839980e-14   564
  3.119378e-01   4.011225e-13   4.051859e-04   1.692110e-14   528
