# power spectrum of delta
# redshift z=54.766324
# k              Pk             sigma(k)       sigma(Pk)      count
  1.570796e-02   1.640908e-06   0.000000e+00   6.614340e-07   6
  2.221441e-02   2.905049e-06   0.000000e+00   5.799325e-07   12
  2.720699e-02   3.971009e-06   2.980232e-10   8.090379e-07   8
  3.141593e-02   1.975503e-05   0.000000e+00   2.125809e-06   6
  3.512407e-02   1.857522e-05   5.619580e-10   5.921613e-06   24
  3.847649e-02   3.390768e-05   5.619580e-10   5.718451e-06   24
  4.442883e-02   2.242065e-05   0.000000e+00   1.008727e-05   12
  4.712389e-02   3.084371e-05   6.357829e-10   5.669665e-06   30
  4.967294e-02   4.524076e-05   0.000000e+00   9.965242e-06   24
  5.209742e-02   4.773531e-05   9.733398e-10   1.183941e-05   24
  5.441398e-02   6.386735e-05   5.960464e-10   1.293020e-05   8
  5.663587e-02   6.161285e-05   7.947286e-10   7.670329e-06   24
  5.877382e-02   6.545189e-05   0.000000e+00   9.206646e-06   48
  6.283185e-02   9.684966e-05   0.000000e+00   4.258779e-05   6
  6.476559e-02   8.555839e-05   7.947286e-10   1.202193e-05   48
  6.664324e-02   8.723786e-05   7.492773e-10   9.085817e-06   36
  6.846942e-02   1.367719e-04   7.947286e-10   2.863224e-05   24
  7.024815e-02   8.721765e-05   1.123916e-09   1.496877e-05   24
  7.198293e-02   8.421912e-05   0.000000e+00   1.143307e-05   48
  7.367688e-02   1.396552e-04   1.123916e-09   1.987530e-05   24
  7.695299e-02   1.270937e-04   1.123916e-09   1.995647e-05   24
  7.853982e-02   9.166434e-05   0.000000e+00   1.502359e-05   30
  8.009521e-02   1.036521e-04   0.000000e+00   1.143251e-05   72
  8.162097e-02   1.065283e-04   1.192093e-09   2.172511e-05   32
  8.458997e-02   1.556454e-04   0.000000e+00   1.805180e-05   72
  8.603606e-02   9.919434e-05   0.000000e+00   1.450924e-05   48
  8.885766e-02   5.696765e-05   0.000000e+00   1.692463e-05   12
  9.091388e-02   1.123448e-04   6.784996e-04   1.027969e-05   96
  9.292956e-02   1.475987e-04   1.123916e-09   1.865575e-05   48
  9.424778e-02   1.841893e-04   1.271566e-09   3.228206e-05   30
  9.650974e-02   1.782537e-04   5.553727e-04   1.668866e-05   96
  9.934588e-02   1.141342e-04   0.000000e+00   2.170016e-05   24
  1.009864e-01   1.681317e-04   5.747348e-04   1.357304e-05   144
  1.030040e-01   1.240796e-04   1.946680e-09   3.040704e-05   24
  1.050779e-01   1.958500e-04   5.098206e-04   2.239669e-05   96
  1.065366e-01   1.786076e-04   0.000000e+00   2.747353e-05   48
  1.098102e-01   2.406103e-04   3.780724e-04   2.726058e-05   62
  1.114740e-01   1.838876e-04   5.316623e-04   2.201628e-05   132
  1.132717e-01   1.279190e-04   1.589457e-09   2.274170e-05   24
  1.149693e-01   2.113534e-04   5.313863e-04   1.805692e-05   168
  1.180701e-01   2.685101e-04   5.224442e-04   2.216586e-05   96
  1.203984e-01   1.955508e-04   4.446482e-04   1.850766e-05   96
  1.232554e-01   2.222194e-04   4.956196e-04   1.835039e-05   168
  1.256637e-01   3.257835e-04   0.000000e+00   1.429401e-04   6
  1.266416e-01   2.713469e-04   0.000000e+00   2.639589e-05   96
  1.278047e-01   2.672581e-04   3.852495e-04   2.634074e-05   120
  1.301638e-01   2.267748e-04   4.473436e-04   1.795161e-05   144
  1.314222e-01   2.699147e-04   0.000000e+00   3.653134e-05   48
  1.338136e-01   2.532593e-04   4.564740e-04   2.712316e-05   84
  1.351250e-01   2.877788e-04   3.114687e-09   2.579178e-05   120
  1.363061e-01   2.281889e-04   4.142175e-04   2.617465e-05   80
  1.381342e-01   2.246097e-04   4.205668e-04   1.646979e-05   144
  1.404963e-01   2.968057e-04   2.247832e-09   5.501775e-05   24
  1.416501e-01   3.307415e-04   4.058285e-04   2.768928e-05   150
  1.434502e-01   3.061984e-04   4.210699e-04   2.224456e-05   120
  1.454270e-01   2.865001e-04   3.837166e-04   2.415969e-05   168
  1.473538e-01   4.363224e-04   2.247832e-09   7.257464e-05   24
  1.485660e-01   2.621040e-04   4.133786e-04   1.666834e-05   264
  1.498444e-01   2.128980e-04   2.247832e-09   2.990581e-05   48
  1.520236e-01   2.838663e-04   3.828947e-04   2.335406e-05   144
  1.544390e-01   3.578870e-04   3.768959e-04   4.376876e-05   72
