# power spectrum of phi
# redshift z=9.995300
# k              Pk             sigma(k)       sigma(Pk)      count
  1.570796e-02   2.133244e-10   0.000000e+00   8.600838e-11   6
  2.221441e-02   9.644984e-11   0.000000e+00   1.925640e-11   12
  2.720699e-02   5.890100e-11   2.980232e-10   1.206592e-11   8
  3.141593e-02   1.664897e-10   0.000000e+00   1.792244e-11   6
  3.512407e-02   1.001804e-10   5.619580e-10   3.193086e-11   24
  3.847649e-02   1.269775e-10   5.619580e-10   2.153391e-11   24
  4.442883e-02   4.704359e-11   0.000000e+00   2.110646e-11   12
  4.712389e-02   5.119533e-11   6.357829e-10   9.316116e-12   30
  4.967294e-02   6.143931e-11   0.000000e+00   1.348233e-11   24
  5.209742e-02   5.326373e-11   9.733398e-10   1.324705e-11   24
  5.441398e-02   5.961199e-11   5.960464e-10   1.198633e-11   8
  5.663587e-02   4.914652e-11   7.947286e-10   6.180991e-12   24
  5.877382e-02   4.501173e-11   0.000000e+00   6.361298e-12   48
  6.283185e-02   5.119285e-11   0.000000e+00   2.252859e-11   6
  6.476559e-02   3.994400e-11   7.947286e-10   5.639057e-12   48
  6.664324e-02   3.649687e-11   7.492773e-10   3.827381e-12   36
  6.846942e-02   5.120139e-11   7.947286e-10   1.078179e-11   24
  7.024815e-02   2.954804e-11   1.123916e-09   4.976808e-12   24
  7.198293e-02   2.583200e-11   0.000000e+00   3.475888e-12   48
  7.367688e-02   3.823054e-11   1.123916e-09   5.435150e-12   24
  7.695299e-02   3.008872e-11   1.123916e-09   4.673107e-12   24
  7.853982e-02   1.955063e-11   0.000000e+00   3.226734e-12   30
  8.009521e-02   2.079466e-11   0.000000e+00   2.282623e-12   72
  8.162097e-02   1.987195e-11   1.192093e-09   4.079679e-12   32
  8.458997e-02   2.494203e-11   0.000000e+00   2.898699e-12   72
  8.603606e-02   1.490761e-11   0.000000e+00   2.188141e-12   48
  8.885766e-02   7.456932e-12   0.000000e+00   2.204671e-12   12
  9.091388e-02   1.349014e-11   6.784996e-04   1.241241e-12   96
  9.292956e-02   1.597866e-11   1.123916e-09   2.040695e-12   48
