# power spectrum of phi
# redshift z=-0.029939
# k              Pk             sigma(k)       sigma(Pk)      count
  1.570796e-02   1.264895e-10   0.000000e+00   5.111291e-11   6
  2.221441e-02   5.723878e-11   0.000000e+00   1.152493e-11   12
  2.720699e-02   3.459159e-11   2.980232e-10   7.691022e-12   8
  3.141593e-02   9.724387e-11   0.000000e+00   1.086150e-11   6
  3.512407e-02   5.903633e-11   5.619580e-10   1.859639e-11   24
  3.847649e-02   7.335706e-11   5.619580e-10   1.309654e-11   24
  4.442883e-02   2.533614e-11   0.000000e+00   1.090252e-11   12
  4.712389e-02   2.825247e-11   6.357829e-10   4.470782e-12   30
  4.967294e-02   3.565406e-11   0.000000e+00   7.238564e-12   24
  5.209742e-02   3.151683e-11   9.733398e-10   7.688614e-12   24
  5.441398e-02   3.214822e-11   5.960464e-10   6.011372e-12   8
  5.663587e-02   2.780336e-11   7.947286e-10   3.743076e-12   24
  5.877382e-02   2.535809e-11   0.000000e+00   3.758628e-12   48
  6.283185e-02   2.447856e-11   0.000000e+00   1.069372e-11   6
  6.476559e-02   2.150308e-11   7.947286e-10   3.212271e-12   48
  6.664324e-02   2.006352e-11   7.492773e-10   2.544084e-12   36
  6.846942e-02   2.984360e-11   7.947286e-10   6.689565e-12   24
  7.024815e-02   1.838549e-11   1.123916e-09   2.848354e-12   24
  7.198293e-02   1.601480e-11   0.000000e+00   1.969219e-12   48
  7.367688e-02   1.954975e-11   1.123916e-09   3.157221e-12   24
  7.695299e-02   1.890478e-11   1.123916e-09   2.522416e-12   24
  7.853982e-02   9.835786e-12   0.000000e+00   1.828144e-12   30
  8.009521e-02   1.339885e-11   0.000000e+00   1.440279e-12   72
  8.162097e-02   1.160948e-11   1.192093e-09   2.589784e-12   32
  8.458997e-02   1.509810e-11   0.000000e+00   1.779413e-12   72
  8.603606e-02   7.268323e-12   0.000000e+00   1.150304e-12   48
  8.885766e-02   5.486763e-12   0.000000e+00   2.012876e-12   12
  9.091388e-02   8.858158e-12   6.784996e-04   7.030373e-13   96
  9.292956e-02   8.499848e-12   1.123916e-09   1.222239e-12   48
  9.424778e-02   1.075520e-11   1.271566e-09   2.011424e-12   30
  9.650974e-02   1.152805e-11   5.553727e-04   1.048200e-12   96
  9.934588e-02   3.791597e-12   0.000000e+00   1.142046e-12   24
  1.009864e-01   7.541828e-12   5.747348e-04   6.601852e-13   144
  1.030040e-01   4.669882e-12   1.946680e-09   6.848689e-13   24
  1.050779e-01   7.165943e-12   5.098206e-04   7.251775e-13   96
  1.065366e-01   6.277978e-12   0.000000e+00   8.889818e-13   48
  1.098102e-01   7.931566e-12   3.780724e-04   1.063146e-12   62
  1.114740e-01   6.299436e-12   5.316623e-04   5.746362e-13   132
  1.132717e-01   4.855641e-12   1.589457e-09   6.268992e-13   24
  1.149693e-01   5.545861e-12   5.313863e-04   4.600477e-13   168
  1.180701e-01   6.319683e-12   5.224442e-04   5.243100e-13   96
  1.203984e-01   5.172139e-12   4.446482e-04   4.260587e-13   96
  1.232554e-01   4.601057e-12   4.956196e-04   3.363479e-13   168
  1.256637e-01   5.430987e-12   0.000000e+00   1.751415e-12   6
  1.266416e-01   5.025739e-12   0.000000e+00   5.249459e-13   96
  1.278047e-01   4.595255e-12   3.852495e-04   4.485264e-13   120
  1.301638e-01   3.721302e-12   4.473436e-04   3.000930e-13   144
  1.314222e-01   3.963308e-12   0.000000e+00   8.590913e-13   48
  1.338136e-01   3.316855e-12   4.564740e-04   4.022073e-13   84
  1.351250e-01   3.643581e-12   3.114687e-09   3.429762e-13   120
  1.363061e-01   3.743830e-12   4.142175e-04   4.945577e-13   80
  1.381342e-01   3.349682e-12   4.205668e-04   2.804932e-13   144
  1.404963e-01   3.627424e-12   2.247832e-09   7.550530e-13   24
  1.416501e-01   4.245761e-12   4.058285e-04   3.638963e-13   150
  1.434502e-01   3.367467e-12   4.210699e-04   2.352473e-13   120
  1.454270e-01   3.962526e-12   3.837166e-04   2.890541e-13   168
  1.473538e-01   3.791993e-12   2.247832e-09   5.075097e-13   24
  1.485660e-01   2.641037e-12   4.133786e-04   1.774577e-13   264
  1.498444e-01   2.516185e-12   2.247832e-09   3.865263e-13   48
  1.520236e-01   2.975654e-12   3.828947e-04   2.486313e-13   144
  1.544390e-01   2.727734e-12   3.768959e-04   2.961523e-13   72
  1.558174e-01   2.799293e-12   3.876848e-04   1.870394e-13   180
  1.577444e-01   2.559535e-12   2.809042e-04   1.668453e-13   198
  1.586427e-01   3.474858e-12   0.000000e+00   4.148424e-13   48
  1.606295e-01   2.379212e-12   3.802118e-04   1.856635e-13   168
  1.621039e-01   2.376677e-12   3.805277e-04   1.826204e-13   144
  1.643345e-01   2.466062e-12   5.346625e-04   1.475963e-13   248
  1.673465e-01   1.819833e-12   3.686065e-04   1.386598e-13   192
  1.693976e-01   2.090405e-12   5.693667e-04   1.422601e-13   240
  1.706322e-01   2.595133e-12   0.000000e+00   2.608910e-13   72
  1.725150e-01   2.432185e-12   3.474519e-04   2.221358e-13   126
  1.737029e-01   1.884946e-12   3.205713e-04   1.553762e-13   168
  1.759709e-01   2.260375e-12   3.505411e-04   1.395759e-13   288
  1.783549e-01   1.992504e-12   1.846233e-04   1.499848e-13   156
  1.795894e-01   1.641562e-12   3.105899e-04   1.477238e-13   168
  1.814616e-01   2.042903e-12   5.324516e-04   1.509482e-13   264
  1.831848e-01   8.804039e-13   0.000000e+00   1.098209e-13   48
  1.844652e-01   1.868975e-12   5.299184e-04   9.518434e-14   264
  1.863009e-01   1.514733e-12   3.123533e-04   1.104201e-13   144
  1.876872e-01   1.889592e-12   6.390593e-04   1.687292e-13   78
  1.897067e-01   1.618695e-12   4.154149e-04   8.213622e-14   336
  1.916111e-01   1.360093e-12   3.160631e-04   9.992317e-14   200
  1.928618e-01   1.522155e-12   6.188557e-04   9.881584e-14   192
  1.945503e-01   1.750409e-12   3.105574e-04   1.104819e-13   240
  1.961016e-01   1.734935e-12   6.223754e-04   1.162557e-13   168
  1.976952e-01   1.372110e-12   4.982915e-04   1.217858e-13   120
  1.996091e-01   1.611802e-12   3.894583e-04   8.499160e-14   324
  2.014663e-01   1.215024e-12   3.061804e-04   8.455075e-14   192
  2.027302e-01   1.863650e-12   5.491178e-04   1.379286e-13   168
  2.048802e-01   1.440384e-12   4.522690e-04   7.463503e-14   342
  2.068188e-01   1.314766e-12   3.641675e-04   7.599955e-14   336
  2.087838e-01   1.375578e-12   2.786838e-04   1.375774e-13   72
  2.101088e-01   1.206938e-12   4.457174e-04   7.190315e-14   288
  2.116470e-01   1.348494e-12   2.902819e-04   8.182500e-14   264
  2.137954e-01   1.304924e-12   3.817923e-04   6.106856e-14   384
  2.157197e-01   1.272497e-12   4.582500e-04   8.212823e-14   240
  2.165193e-01   8.218765e-13   0.000000e+00   1.397484e-13   48
  2.188323e-01   1.109101e-12   3.751076e-04   5.634287e-14   392
  2.205970e-01   1.050693e-12   4.116619e-04   6.874874e-14   294
  2.224945e-01   1.083652e-12   2.675587e-04   7.380244e-14   228
  2.237424e-01   1.226906e-12   4.063271e-04   8.105259e-14   216
  2.252951e-01   1.144910e-12   2.475063e-04   6.478139e-14   336
  2.271958e-01   1.225714e-12   2.940781e-04   6.360401e-14   360
  2.287649e-01   1.155275e-12   4.480490e-04   8.482208e-14   240
  2.303999e-01   1.244770e-12   5.301447e-04   8.734066e-14   168
