# power spectrum of phi_prime
# redshift z=9.995300
# k              Pk             sigma(k)       sigma(Pk)      count
  5.235988e-03   3.762151e-15   0.000000e+00   1.476260e-15   6
  7.404805e-03   3.016772e-15   0.000000e+00   6.652438e-16   12
  9.068997e-03   3.544155e-15   9.934107e-11   6.300550e-16   8
  1.047198e-02   4.967722e-15   0.000000e+00   9.707842e-16   6
  1.170802e-02   4.943816e-15   1.873193e-10   1.536514e-15   24
  1.282550e-02   9.494744e-15   1.873193e-10   1.190198e-15   24
  1.480961e-02   6.639600e-15   0.000000e+00   2.340435e-15   12
  1.570796e-02   1.047659e-14   2.119276e-10   2.394119e-15   30
  1.655765e-02   5.035726e-15   0.000000e+00   1.013531e-15   24
  1.736581e-02   9.730102e-15   3.244466e-10   1.806054e-15   24
  1.813799e-02   1.232498e-14   1.986821e-10   1.539872e-15   8
  1.887862e-02   9.931240e-15   2.649095e-10   1.367625e-15   24
  1.959127e-02   1.067129e-14   0.000000e+00   1.034976e-15   48
  2.094395e-02   5.487835e-15   0.000000e+00   1.985621e-15   6
  2.158853e-02   1.051661e-14   2.649095e-10   1.436033e-15   48
  2.221441e-02   8.821922e-15   2.497591e-10   1.625725e-15   36
  2.282314e-02   1.700354e-14   2.649095e-10   4.417766e-15   24
  2.341605e-02   9.273496e-15   3.746387e-10   2.981085e-15   24
  2.399431e-02   8.489226e-15   0.000000e+00   1.244180e-15   48
  2.455896e-02   3.131179e-14   3.746387e-10   4.445805e-15   24
  2.565100e-02   9.322860e-15   3.746387e-10   1.280969e-15   24
  2.617994e-02   1.427859e-14   0.000000e+00   2.116464e-15   30
  2.669840e-02   9.853935e-15   0.000000e+00   1.297997e-15   72
  2.720699e-02   6.752529e-15   3.973643e-10   1.403046e-15   32
  2.819666e-02   1.686606e-14   0.000000e+00   1.776172e-15   72
  2.867869e-02   6.318775e-15   0.000000e+00   8.819446e-16   48
  2.961922e-02   1.326028e-14   0.000000e+00   4.001963e-15   12
  3.030463e-02   1.561935e-14   2.261665e-04   1.559628e-15   96
  3.097652e-02   2.229458e-14   3.746387e-10   2.531054e-15   48
  3.141593e-02   2.655318e-14   4.238553e-10   4.710875e-15   30
  3.216991e-02   9.785822e-15   1.851242e-04   1.216783e-15   96
  3.311529e-02   9.079589e-15   0.000000e+00   2.121497e-15   24
  3.366215e-02   2.027273e-14   1.915783e-04   2.173191e-15   144
  3.433467e-02   1.770403e-14   6.488932e-10   3.410256e-15   24
  3.502596e-02   2.470478e-14   1.699402e-04   3.036241e-15   96
  3.551220e-02   1.194214e-14   0.000000e+00   1.230139e-15   48
  3.660341e-02   2.229675e-14   1.260241e-04   2.828276e-15   62
  3.715799e-02   2.317654e-14   1.772208e-04   3.650213e-15   132
  3.775724e-02   1.314145e-14   5.298191e-10   2.839639e-15   24
  3.832310e-02   1.833472e-14   1.771288e-04   1.851053e-15   168
  3.935669e-02   2.965335e-14   1.741481e-04   2.992508e-15   96
  4.013281e-02   1.947800e-14   1.482161e-04   1.891997e-15   96
  4.108514e-02   2.396906e-14   1.652065e-04   1.806626e-15   168
  4.188790e-02   1.906553e-15   0.000000e+00   6.429777e-16   6
  4.221388e-02   2.401431e-14   0.000000e+00   2.942091e-15   96
  4.260157e-02   2.211703e-14   1.284165e-04   2.460026e-15   120
  4.338794e-02   1.853754e-14   1.491145e-04   2.475839e-15   144
  4.380742e-02   4.604139e-14   0.000000e+00   6.787495e-15   48
  4.460453e-02   2.315279e-14   1.521580e-04   4.790612e-15   84
  4.504167e-02   2.300064e-14   1.038229e-09   2.427661e-15   120
  4.543537e-02   2.372012e-14   1.380725e-04   2.579486e-15   80
  4.604473e-02   2.904105e-14   1.401889e-04   2.681986e-15   144
  4.683210e-02   1.018856e-14   7.492773e-10   1.544199e-15   24
  4.721669e-02   2.399924e-14   1.352762e-04   2.374989e-15   150
  4.781672e-02   2.828771e-14   1.403566e-04   3.115209e-15   120
  4.847566e-02   2.103946e-14   1.279055e-04   2.119340e-15   168
  4.911792e-02   8.368452e-14   7.492773e-10   1.841090e-14   24
  4.952200e-02   2.501821e-14   1.377929e-04   1.805429e-15   264
  4.994814e-02   7.410181e-15   7.492773e-10   8.455662e-16   48
  5.067454e-02   2.945382e-14   1.276316e-04   3.036598e-15   144
  5.147966e-02   5.281352e-14   1.256320e-04   7.269643e-15   72
  5.193915e-02   2.757606e-14   1.292283e-04   2.718793e-15   180
  5.258146e-02   2.925090e-14   9.363474e-05   2.725192e-15   198
  5.288088e-02   2.168191e-14   0.000000e+00   3.949700e-15   48
  5.354315e-02   2.163659e-14   1.267373e-04   1.972586e-15   168
  5.403464e-02   3.172990e-14   1.268426e-04   2.508141e-15   144
  5.477816e-02   2.767195e-14   1.782208e-04   1.987180e-15   248
  5.578218e-02   2.415026e-14   1.228688e-04   1.693916e-15   192
  5.646587e-02   3.442763e-14   1.897889e-04   2.577387e-15   240
  5.687739e-02   2.376410e-14   0.000000e+00   2.633438e-15   72
  5.750501e-02   3.146216e-14   1.158173e-04   3.501408e-15   126
  5.790096e-02   4.188682e-14   1.068571e-04   4.888794e-15   168
  5.865697e-02   2.998680e-14   1.168470e-04   2.976785e-15   288
  5.945162e-02   3.696101e-14   6.154109e-05   2.976936e-15   156
  5.986314e-02   2.590140e-14   1.035300e-04   2.976832e-15   168
  6.048719e-02   3.046983e-14   1.774839e-04   2.127381e-15   264
  6.106159e-02   5.521893e-14   0.000000e+00   6.425856e-15   48
  6.148841e-02   3.769892e-14   1.766395e-04   2.543996e-15   264
  6.210029e-02   3.150362e-14   1.041178e-04   2.587593e-15   144
  6.256240e-02   4.555328e-14   2.130198e-04   5.013840e-15   78
