# power spectrum of delta_kessence
# redshift z=4.989304
# k              Pk             sigma(k)       sigma(Pk)      count
  9.713012e-03   4.033771e-08   2.406229e-03   4.774203e-09   146
  2.072432e-02   3.947007e-07   3.528511e-03   1.396183e-08   1042
  3.284725e-02   1.133306e-06   3.519819e-03   2.288779e-08   2698
  4.516399e-02   2.181610e-06   3.571852e-03   3.099032e-08   5206
  5.773095e-02   3.734329e-06   3.674394e-03   4.210738e-08   8752
  7.053126e-02   5.820017e-06   3.718866e-03   5.126073e-08   13258
  8.325183e-02   7.781666e-06   3.633038e-03   5.845465e-08   18070
  9.586244e-02   9.182147e-06   3.646001e-03   5.931744e-08   24050
  1.086731e-01   1.093753e-05   3.743375e-03   6.162937e-08   31720
  1.214673e-01   1.364161e-05   3.655693e-03   6.912688e-08   38722
  1.341503e-01   1.617705e-05   3.664149e-03   7.500599e-08   47398
  1.468737e-01   1.791206e-05   3.676840e-03   7.482868e-08   56986
  1.596345e-01   1.918874e-05   3.691904e-03   7.436424e-08   67552
  1.723758e-01   2.130214e-05   3.670421e-03   7.619585e-08   78310
  1.850973e-01   2.377432e-05   3.676755e-03   7.960608e-08   90514
  1.978078e-01   2.656406e-05   3.661019e-03   8.363730e-08   102938
  2.105352e-01   2.772779e-05   3.688328e-03   8.104320e-08   117412
  2.233038e-01   2.922329e-05   3.687633e-03   8.033580e-08   132106
  2.360543e-01   3.087515e-05   3.674616e-03   8.051328e-08   147154
  2.487863e-01   3.305608e-05   3.675727e-03   8.185974e-08   163522
  2.615607e-01   3.536076e-05   3.698362e-03   8.310251e-08   181804
  2.742948e-01   3.671236e-05   3.657995e-03   8.315201e-08   197722
  2.870326e-01   3.774644e-05   3.695982e-03   8.072060e-08   218866
  2.998036e-01   3.953654e-05   3.677083e-03   8.114479e-08   237542
  3.125403e-01   4.115253e-05   3.676719e-03   8.110761e-08   258136
  3.252883e-01   4.291239e-05   3.682574e-03   8.126679e-08   280066
  3.380302e-01   4.400091e-05   3.674707e-03   8.032719e-08   301774
  3.507809e-01   4.509202e-05   3.685866e-03   7.885482e-08   326050
  3.635453e-01   4.644549e-05   3.682723e-03   7.879306e-08   349792
  3.763059e-01   4.779502e-05   3.686387e-03   7.825611e-08   375154
  3.890549e-01   4.906540e-05   3.673994e-03   7.800089e-08   399742
  4.017814e-01   5.038197e-05   3.673301e-03   7.738059e-08   426266
  4.145262e-01   5.103477e-05   3.683104e-03   7.580245e-08   454960
  4.272780e-01   5.207892e-05   3.679614e-03   7.499756e-08   482734
  4.400302e-01   5.315690e-05   3.684412e-03   7.434475e-08   512746
  4.527916e-01   5.411562e-05   3.682552e-03   7.345768e-08   542746
  4.655520e-01   5.466006e-05   3.684426e-03   7.224378e-08   573952
  4.783045e-01   5.538823e-05   3.678870e-03   7.160425e-08   604918
  4.910489e-01   5.631447e-05   3.679488e-03   7.065562e-08   637666
  5.038054e-01   5.682977e-05   3.685840e-03   6.920723e-08   672482
  5.165640e-01   5.772574e-05   3.679909e-03   6.877869e-08   705748
  5.293052e-01   5.816523e-05   3.678052e-03   6.742671e-08   740482
  5.420630e-01   5.856184e-05   3.688653e-03   6.618936e-08   779026
  5.548129e-01   5.891913e-05   3.672495e-03   6.530322e-08   812614
  5.675646e-01   5.939006e-05   3.688923e-03   6.428550e-08   854200
  5.803275e-01   5.976279e-05   3.679836e-03   6.337540e-08   890746
  5.930743e-01   6.017091e-05   3.680017e-03   6.233162e-08   930394
  6.058234e-01   6.053120e-05   3.680076e-03   6.146033e-08   970982
  6.185756e-01   6.075347e-05   3.681715e-03   6.036943e-08   1012600
  6.313355e-01   6.101831e-05   3.685773e-03   5.947079e-08   1055890
  6.440885e-01   6.117847e-05   3.677546e-03   5.856357e-08   1096630
  6.568331e-01   6.110888e-05   3.679931e-03   5.718330e-08   1141378
  6.695858e-01   6.118695e-05   3.681602e-03   5.626280e-08   1186552
  6.823378e-01   6.137574e-05   3.681238e-03   5.541291e-08   1231798
  6.950926e-01   6.121448e-05   3.683520e-03   5.428612e-08   1279234
  7.078494e-01   6.126906e-05   3.681308e-03   5.328970e-08   1325906
  7.206034e-01   6.120278e-05   3.681998e-03   5.223750e-08   1374352
  7.333523e-01   6.108325e-05   3.678754e-03   5.118823e-08   1421950
  7.460986e-01   6.113393e-05   3.681438e-03   5.040162e-08   1472962
  7.588478e-01   6.086085e-05   3.678790e-03   4.933078e-08   1522954
  7.715908e-01   6.064165e-05   3.677970e-03   4.829289e-08   1573804
  7.843534e-01   6.040578e-05   3.691683e-03   4.725416e-08   1632274
  7.971185e-01   6.013859e-05   3.678939e-03   4.642603e-08   1680226
  8.098559e-01   5.982680e-05   3.674931e-03   4.558092e-08   1732682
  8.226044e-01   5.943714e-05   3.684362e-03   4.435865e-08   1792204
  8.353683e-01   5.923015e-05   3.685360e-03   4.354916e-08   1848298
  8.481180e-01   5.886799e-05   3.676906e-03   4.274240e-08   1901050
  8.608642e-01   5.846299e-05   3.681435e-03   4.179456e-08   1961326
  8.736200e-01   5.806506e-05   3.682643e-03   4.094584e-08   2020312
  8.863805e-01   5.768030e-05   3.684838e-03   4.004717e-08   2080930
  8.991420e-01   5.720112e-05   3.683140e-03   3.907251e-08   2140390
  9.118910e-01   5.675329e-05   3.677128e-03   3.836992e-08   2198162
  9.246418e-01   5.627716e-05   3.683722e-03   3.741790e-08   2263864
  9.374012e-01   5.581331e-05   3.683606e-03   3.664223e-08   2326426
  9.501557e-01   5.535120e-05   3.680653e-03   3.586745e-08   2388550
  9.629062e-01   5.472563e-05   3.680356e-03   3.490465e-08   2453098
  9.756546e-01   5.417814e-05   3.679357e-03   3.416348e-08   2517592
  9.884059e-01   5.366543e-05   3.683066e-03   3.342242e-08   2586070
  1.001159e+00   5.310644e-05   3.680738e-03   3.263347e-08   2651842
  1.013911e+00   5.259647e-05   3.680987e-03   3.186608e-08   2720330
  1.026668e+00   5.201774e-05   3.684024e-03   3.118325e-08   2791156
  1.039424e+00   5.147650e-05   3.681208e-03   3.046497e-08   2858554
  1.052176e+00   5.083233e-05   3.681647e-03   2.970761e-08   2929594
  1.064923e+00   5.028891e-05   3.678395e-03   2.901542e-08   2998762
  1.077674e+00   4.967242e-05   3.682468e-03   2.836770e-08   3074188
  1.090422e+00   4.907359e-05   3.678360e-03   2.770958e-08   3143482
  1.103180e+00   4.837703e-05   3.687908e-03   2.694674e-08   3226186
  1.115936e+00   4.786416e-05   3.676634e-03   2.639150e-08   3291158
  1.128688e+00   4.721374e-05   3.685737e-03   2.570277e-08   3375112
  1.141448e+00   4.657948e-05   3.681431e-03   2.509310e-08   3447658
  1.154199e+00   4.598126e-05   3.680732e-03   2.448655e-08   3524626
  1.166950e+00   4.534548e-05   3.680340e-03   2.390127e-08   3602998
  1.179695e+00   4.473244e-05   3.677316e-03   2.335222e-08   3678592
  1.192442e+00   4.411636e-05   3.682841e-03   2.274636e-08   3764122
  1.205202e+00   4.345996e-05   3.684112e-03   2.217711e-08   3846598
  1.217954e+00   4.286615e-05   3.678173e-03   2.162438e-08   3922250
  1.230710e+00   4.216570e-05   3.685590e-03   2.103419e-08   4013032
  1.243470e+00   4.161927e-05   3.681062e-03   2.060151e-08   4091182
