# power spectrum of delta
# redshift z=3.977616
# k              Pk             sigma(k)       sigma(Pk)      count
  9.713012e-03   7.788532e-05   2.406229e-03   9.257890e-06   146
  2.072432e-02   7.813924e-04   3.528511e-03   2.771174e-05   1042
  3.284725e-02   2.253237e-03   3.519819e-03   4.556726e-05   2698
  4.516399e-02   4.347126e-03   3.571852e-03   6.169288e-05   5206
  5.773095e-02   7.448554e-03   3.674394e-03   8.386201e-05   8752
  7.053126e-02   1.161638e-02   3.718866e-03   1.025536e-04   13258
  8.325183e-02   1.558797e-02   3.633038e-03   1.172202e-04   18070
  9.586244e-02   1.845917e-02   3.646001e-03   1.194060e-04   24050
  1.086731e-01   2.209554e-02   3.743375e-03   1.246054e-04   31720
  1.214673e-01   2.760400e-02   3.655693e-03   1.398841e-04   38722
  1.341503e-01   3.281162e-02   3.664149e-03   1.518469e-04   47398
  1.468737e-01   3.656943e-02   3.676840e-03   1.526857e-04   56986
  1.596345e-01   3.955880e-02   3.691904e-03   1.532796e-04   67552
  1.723758e-01   4.414776e-02   3.670421e-03   1.577842e-04   78310
  1.850973e-01   4.951552e-02   3.676755e-03   1.659363e-04   90514
  1.978078e-01   5.558757e-02   3.661019e-03   1.749155e-04   102938
  2.105352e-01   5.850118e-02   3.688328e-03   1.710557e-04   117412
  2.233038e-01   6.225021e-02   3.687633e-03   1.713308e-04   132106
  2.360543e-01   6.640113e-02   3.674616e-03   1.728623e-04   147154
  2.487863e-01   7.162940e-02   3.675727e-03   1.773524e-04   163522
  2.615607e-01   7.729573e-02   3.698362e-03   1.820259e-04   181804
  2.742948e-01   8.100172e-02   3.657995e-03   1.834573e-04   197722
  2.870326e-01   8.430828e-02   3.695982e-03   1.806589e-04   218866
  2.998036e-01   8.914487e-02   3.677083e-03   1.832207e-04   237542
  3.125403e-01   9.357425e-02   3.676719e-03   1.845200e-04   258136
  3.252883e-01   9.842020e-02   3.682574e-03   1.865446e-04   280066
  3.380302e-01   1.023208e-01   3.674707e-03   1.864811e-04   301774
  3.507809e-01   1.061987e-01   3.685866e-03   1.863056e-04   326050
  3.635453e-01   1.108926e-01   3.682723e-03   1.878138e-04   349792
  3.763059e-01   1.154240e-01   3.686387e-03   1.891386e-04   375154
  3.890549e-01   1.200310e-01   3.673994e-03   1.903856e-04   399742
  4.017814e-01   1.246094e-01   3.673301e-03   1.916860e-04   426266
  4.145262e-01   1.278939e-01   3.683104e-03   1.900514e-04   454960
  4.272780e-01   1.327019e-01   3.679614e-03   1.909561e-04   482734
  4.400302e-01   1.372244e-01   3.684412e-03   1.917907e-04   512746
  4.527916e-01   1.413172e-01   3.682552e-03   1.921828e-04   542746
  4.655520e-01   1.452642e-01   3.684426e-03   1.920656e-04   573952
  4.783045e-01   1.494805e-01   3.678870e-03   1.928896e-04   604918
  4.910489e-01   1.542183e-01   3.679488e-03   1.935226e-04   637666
  5.038054e-01   1.583801e-01   3.685840e-03   1.930517e-04   672482
  5.165640e-01   1.631133e-01   3.679909e-03   1.947131e-04   705748
  5.293052e-01   1.671283e-01   3.678052e-03   1.939971e-04   740482
