# power spectrum of zeta (dimensionless)
# redshift z=1.983194
# k              Pk             sigma(k)       sigma(Pk)      count
  9.713012e-03   1.443586e-17   2.406229e-03   1.718045e-18   146
  2.072432e-02   1.453245e-16   3.528511e-03   5.152798e-18   1042
  3.284725e-02   4.190865e-16   3.519819e-03   8.471113e-18   2698
  4.516399e-02   8.074045e-16   3.571852e-03   1.146131e-17   5206
  5.773095e-02   1.380702e-15   3.674394e-03   1.555199e-17   8752
  7.053126e-02   2.147752e-15   3.718866e-03   1.894270e-17   13258
  8.325183e-02   2.869624e-15   3.633038e-03   2.156864e-17   18070
  9.586244e-02   3.381514e-15   3.646001e-03   2.186077e-17   24050
  1.086731e-01   4.023395e-15   3.743375e-03   2.267987e-17   31720
  1.214673e-01   4.999913e-15   3.655693e-03   2.533346e-17   38722
  1.341503e-01   5.907619e-15   3.664149e-03   2.735548e-17   47398
  1.468737e-01   6.530297e-15   3.676840e-03   2.726704e-17   56986
  1.596345e-01   6.993103e-15   3.691904e-03   2.709550e-17   67552
  1.723758e-01   7.735506e-15   3.670421e-03   2.764856e-17   78310
  1.850973e-01   8.597736e-15   3.676755e-03   2.879879e-17   90514
  1.978078e-01   9.561292e-15   3.661019e-03   3.009377e-17   102938
  2.105352e-01   9.944929e-15   3.688328e-03   2.907453e-17   117412
  2.233038e-01   1.045151e-14   3.687633e-03   2.874650e-17   132106
  2.360543e-01   1.100511e-14   3.674616e-03   2.866251e-17   147154
  2.487863e-01   1.172187e-14   3.675727e-03   2.902627e-17   163522
  2.615607e-01   1.248186e-14   3.698362e-03   2.937581e-17   181804
  2.742948e-01   1.289241e-14   3.657995e-03   2.920103e-17   197722
  2.870326e-01   1.320715e-14   3.695982e-03   2.828302e-17   218866
  2.998036e-01   1.375307e-14   3.677083e-03   2.825060e-17   237542
  3.125403e-01   1.421479e-14   3.676719e-03   2.801986e-17   258136
  3.252883e-01   1.471700e-14   3.682574e-03   2.788316e-17   280066
  3.380302e-01   1.502416e-14   3.674707e-03   2.739938e-17   301774
  3.507809e-01   1.531266e-14   3.685866e-03   2.683411e-17   326050
  3.635453e-01   1.568773e-14   3.682723e-03   2.658432e-17   349792
  3.763059e-01   1.602842e-14   3.686387e-03   2.625996e-17   375154
  3.890549e-01   1.634503e-14   3.673994e-03   2.594525e-17   399742
  4.017814e-01   1.664677e-14   3.673301e-03   2.560117e-17   426266
  4.145262e-01   1.673789e-14   3.683104e-03   2.487366e-17   454960
  4.272780e-01   1.699318e-14   3.679614e-03   2.445605e-17   482734
  4.400302e-01   1.720633e-14   3.684412e-03   2.405271e-17   512746
  4.527916e-01   1.734511e-14   3.682552e-03   2.357229e-17   542746
  4.655520e-01   1.742231e-14   3.684426e-03   2.303060e-17   573952
  4.783045e-01   1.752298e-14   3.678870e-03   2.261945e-17   604918
  4.910489e-01   1.766695e-14   3.679488e-03   2.217237e-17   637666
  5.038054e-01   1.770675e-14   3.685840e-03   2.157527e-17   672482
  5.165640e-01   1.781680e-14   3.679909e-03   2.126161e-17   705748
  5.293052e-01   1.781366e-14   3.678052e-03   2.067594e-17   740482
  5.420630e-01   1.776294e-14   3.688653e-03   2.005991e-17   779026
  5.548129e-01   1.775714e-14   3.672495e-03   1.967431e-17   812614
  5.675646e-01   1.770378e-14   3.688923e-03   1.916079e-17   854200
  5.803275e-01   1.766447e-14   3.679836e-03   1.871716e-17   890746
  5.930743e-01   1.762855e-14   3.680017e-03   1.827699e-17   930394
  6.058234e-01   1.756749e-14   3.680076e-03   1.782282e-17   970982
