# power spectrum of phi
# redshift z=0.994293
# k              Pk             sigma(k)       sigma(Pk)      count
  9.713012e-03   3.943471e-10   2.406229e-03   3.767394e-11   146
  2.072432e-02   2.470947e-10   3.528511e-03   7.784695e-12   1042
  3.284725e-02   1.197529e-10   3.519819e-03   2.573635e-12   2698
  4.516399e-02   6.294394e-11   3.571852e-03   8.876394e-13   5206
  5.773095e-02   3.993509e-11   3.674394e-03   4.441121e-13   8752
  7.053126e-02   2.806451e-11   3.718866e-03   2.507130e-13   13258
  8.325183e-02   1.946837e-11   3.633038e-03   1.488455e-13   18070
  9.586244e-02   1.320315e-11   3.646001e-03   8.629009e-14   24050
  1.086731e-01   9.614174e-12   3.743375e-03   5.415540e-14   31720
  1.214673e-01   7.666229e-12   3.655693e-03   3.898761e-14   38722
  1.341503e-01   6.112892e-12   3.664149e-03   2.829457e-14   47398
  1.468737e-01   4.812935e-12   3.676840e-03   2.024001e-14   56986
  1.596345e-01   3.802643e-12   3.691904e-03   1.479607e-14   67552
  1.723758e-01   3.151036e-12   3.670421e-03   1.125371e-14   78310
  1.850973e-01   2.658949e-12   3.676755e-03   8.926090e-15   90514
  1.978078e-01   2.299554e-12   3.661019e-03   7.216054e-15   102938
  2.105352e-01   1.914099e-12   3.688328e-03   5.601536e-15   117412
  2.233038e-01   1.636767e-12   3.687633e-03   4.516212e-15   132106
  2.360543e-01   1.417650e-12   3.674616e-03   3.694587e-15   147154
  2.487863e-01   1.248845e-12   3.675727e-03   3.088965e-15   163522
  2.615607e-01   1.111149e-12   3.698362e-03   2.618991e-15   181804
  2.742948e-01   9.777071e-13   3.657995e-03   2.214422e-15   197722
  2.870326e-01   8.674602e-13   3.695982e-03   1.864187e-15   218866
  2.998036e-01   7.783500e-13   3.677083e-03   1.603043e-15   237542
  3.125403e-01   6.978629e-13   3.676719e-03   1.374971e-15   258136
  3.252883e-01   6.302879e-13   3.682574e-03   1.198412e-15   280066
  3.380302e-01   5.748465e-13   3.674707e-03   1.039803e-15   301774
  3.507809e-01   5.209770e-13   3.685866e-03   9.142960e-16   326050
  3.635453e-01   4.775616e-13   3.682723e-03   8.077342e-16   349792
  3.763059e-01   4.385927e-13   3.686387e-03   7.162064e-16   375154
  3.890549e-01   4.040303e-13   3.673994e-03   6.404026e-16   399742
  4.017814e-01   3.725373e-13   3.673301e-03   5.713770e-16   426266
  4.145262e-01   3.449041e-13   3.683104e-03   5.112146e-16   454960
  4.272780e-01   3.206902e-13   3.679614e-03   4.608931e-16   482734
  4.400302e-01   2.971557e-13   3.684412e-03   4.157093e-16   512746
  4.527916e-01   2.780620e-13   3.682552e-03   3.771907e-16   542746
  4.655520e-01   2.600497e-13   3.684426e-03   3.426583e-16   573952
  4.783045e-01   2.432304e-13   3.678870e-03   3.126404e-16   604918
  4.910489e-01   2.284044e-13   3.679488e-03   2.864950e-16   637666
  5.038054e-01   2.144728e-13   3.685840e-03   2.613162e-16   672482
  5.165640e-01   2.024712e-13   3.679909e-03   2.410323e-16   705748
  5.293052e-01   1.908717e-13   3.678052e-03   2.215899e-16   740482
  5.420630e-01   1.804819e-13   3.688653e-03   2.046371e-16   779026
  5.548129e-01   1.706334e-13   3.672495e-03   1.896284e-16   812614
  5.675646e-01   1.611330e-13   3.688923e-03   1.742981e-16   854200
